index,MAE,PCA components,k_best,groupwise PCA
"9, 3, 1",27027.011983459284,9,3,1
"9, 4, 0",28030.429188554925,9,4,0
"9, 4, 1",26724.17166342562,9,4,1
"9, 5, 0",27122.158316504898,9,5,0
"9, 5, 1",26494.985440345896,9,5,1
"9, 6, 0",27002.974310842365,9,6,0
"9, 6, 1",26247.50771514276,9,6,1
"9, 7, 0",26660.48348753001,9,7,0
"9, 7, 1",26000.369353583133,9,7,1
"9, 8, 0",26571.84724899595,9,8,0
"9, 8, 1",26346.497765806405,9,8,1
"9, 9, 0",26490.74512161666,9,9,0
"9, 9, 1",27182.773587560387,9,9,1
"9, 10, 0",26456.382457115,9,10,0
"10, 1, 1",34199.43402975922,10,1,1
"10, 2, 1",28653.01238062583,10,2,1
"10, 3, 1",27027.011983459284,10,3,1
"10, 4, 1",26724.17166342562,10,4,1
"10, 5, 1",26494.985440345896,10,5,1
"10, 6, 1",26247.50771514276,10,6,1
"10, 7, 1",26000.369353583133,10,7,1
"10, 8, 1",26346.497765806405,10,8,1
"10, 9, 1",27182.773587560387,10,9,1
"10, 10, 1",27457.9854956996,10,10,1
"11, 1, 1",34199.43402975922,11,1,1
"11, 2, 1",28653.01238062583,11,2,1
"11, 3, 1",27027.011983459284,11,3,1
"11, 4, 1",26724.17166342562,11,4,1
"11, 5, 1",26494.985440345896,11,5,1
"11, 6, 1",26247.50771514276,11,6,1
"11, 7, 1",26000.369353583133,11,7,1
"11, 8, 1",26346.497765806405,11,8,1
"11, 9, 1",27182.773587560387,11,9,1
"11, 10, 1",27457.9854956996,11,10,1
"12, 1, 1",34199.43402975922,12,1,1
"12, 2, 1",28653.01238062583,12,2,1
"12, 3, 1",27027.011983459284,12,3,1
"12, 4, 1",26724.17166342562,12,4,1
"12, 5, 1",26494.985440345896,12,5,1
"12, 6, 1",26247.50771514276,12,6,1
"12, 7, 1",26000.369353583133,12,7,1
"12, 8, 1",26346.497765806405,12,8,1
"12, 9, 1",27182.773587560387,12,9,1
"12, 10, 1",27457.9854956996,12,10,1
"13, 1, 1",34199.43402975922,13,1,1
"13, 2, 1",28653.01238062583,13,2,1
"13, 3, 1",27027.011983459284,13,3,1
"13, 4, 1",26724.17166342562,13,4,1
"13, 5, 1",26494.985440345896,13,5,1
"13, 6, 1",26247.50771514276,13,6,1
"13, 7, 1",26000.369353583133,13,7,1
"13, 8, 1",26346.497765806405,13,8,1
"13, 9, 1",27182.773587560387,13,9,1
"13, 10, 1",27457.9854956996,13,10,1
"14, 1, 1",34199.43402975922,14,1,1
"14, 2, 1",28653.01238062583,14,2,1
"14, 3, 1",27027.011983459284,14,3,1
"14, 4, 1",26724.17166342562,14,4,1
"14, 5, 1",26494.985440345896,14,5,1
"14, 6, 1",26247.50771514276,14,6,1
"14, 7, 1",26000.369353583133,14,7,1
"14, 8, 1",26346.497765806405,14,8,1
"14, 9, 1",27182.773587560387,14,9,1
"14, 10, 1",27457.9854956996,14,10,1
"15, 1, 1",34199.43402975922,15,1,1
"15, 2, 1",28653.01238062583,15,2,1
"15, 3, 1",27027.011983459284,15,3,1
"15, 4, 1",26724.17166342562,15,4,1
"15, 5, 1",26494.985440345896,15,5,1
"15, 6, 1",26247.50771514276,15,6,1
"15, 7, 1",26000.369353583133,15,7,1
"15, 8, 1",26346.497765806405,15,8,1
"15, 9, 1",27182.773587560387,15,9,1
"15, 10, 1",27457.9854956996,15,10,1
"16, 1, 1",34199.43402975922,16,1,1
"16, 2, 1",28653.01238062583,16,2,1
"16, 3, 1",27027.011983459284,16,3,1
"16, 4, 1",26724.17166342562,16,4,1
"16, 5, 1",26494.985440345896,16,5,1
"16, 6, 1",26247.50771514276,16,6,1
"16, 7, 1",26000.369353583133,16,7,1
"16, 8, 1",26346.497765806405,16,8,1
"16, 9, 1",27182.773587560387,16,9,1
"16, 10, 1",27457.9854956996,16,10,1
"17, 1, 1",34199.43402975922,17,1,1
"17, 2, 1",28653.01238062583,17,2,1
"17, 3, 1",27027.011983459284,17,3,1
"17, 4, 1",26724.17166342562,17,4,1
"17, 5, 1",26494.985440345896,17,5,1
"17, 6, 1",26247.50771514276,17,6,1
"17, 7, 1",26000.369353583133,17,7,1
"17, 8, 1",26346.497765806405,17,8,1
"17, 9, 1",27182.773587560387,17,9,1
"17, 10, 1",27457.9854956996,17,10,1
"18, 1, 1",34199.43402975922,18,1,1
"18, 2, 1",28653.01238062583,18,2,1
"18, 3, 1",27027.011983459284,18,3,1
"18, 4, 1",26724.17166342562,18,4,1
"18, 5, 1",26494.985440345896,18,5,1
"18, 6, 1",26247.50771514276,18,6,1
"18, 7, 1",26000.369353583133,18,7,1
"18, 8, 1",26346.497765806405,18,8,1
"18, 9, 1",27182.773587560387,18,9,1
"18, 10, 1",27457.9854956996,18,10,1
"19, 1, 1",34199.43402975922,19,1,1
"19, 2, 1",28653.01238062583,19,2,1
"19, 3, 1",27027.011983459284,19,3,1
"19, 4, 1",26724.17166342562,19,4,1
"19, 5, 1",26494.985440345896,19,5,1
"19, 6, 1",26247.50771514276,19,6,1
"19, 7, 1",26000.369353583133,19,7,1
"19, 8, 1",26346.497765806405,19,8,1
"19, 9, 1",27182.773587560387,19,9,1
"19, 10, 1",27457.9854956996,19,10,1
"20, 1, 1",34199.43402975922,20,1,1
"20, 2, 1",28653.01238062583,20,2,1
"20, 3, 1",27027.011983459284,20,3,1
"20, 4, 1",26724.17166342562,20,4,1
"20, 5, 1",26494.985440345896,20,5,1
"20, 6, 1",26247.50771514276,20,6,1
"20, 7, 1",26000.369353583133,20,7,1
"20, 8, 1",26346.497765806405,20,8,1
"20, 9, 1",27182.773587560387,20,9,1
"20, 10, 1",27457.9854956996,20,10,1
"21, 1, 1",34199.43402975922,21,1,1
"21, 2, 1",28653.01238062583,21,2,1
"21, 3, 1",27027.011983459284,21,3,1
"21, 4, 1",26724.17166342562,21,4,1
"21, 5, 1",26494.985440345896,21,5,1
"21, 6, 1",26247.50771514276,21,6,1
"21, 7, 1",26000.369353583133,21,7,1
"21, 8, 1",26346.497765806405,21,8,1
"21, 9, 1",27182.773587560387,21,9,1
"21, 10, 1",27457.9854956996,21,10,1
"22, 1, 1",34199.43402975922,22,1,1
"22, 2, 1",28653.01238062583,22,2,1
"22, 3, 1",27027.011983459284,22,3,1
"22, 4, 1",26724.17166342562,22,4,1
"22, 5, 1",26494.985440345896,22,5,1
"22, 6, 1",26247.50771514276,22,6,1
"22, 7, 1",26000.369353583133,22,7,1
"22, 8, 1",26346.497765806405,22,8,1
"22, 9, 1",27182.773587560387,22,9,1
"22, 10, 1",27457.9854956996,22,10,1
"23, 1, 1",34199.43402975922,23,1,1
"23, 2, 1",28653.01238062583,23,2,1
"23, 3, 1",27027.011983459284,23,3,1
"23, 4, 1",26724.17166342562,23,4,1
"23, 5, 1",26494.985440345896,23,5,1
"23, 6, 1",26247.50771514276,23,6,1
"23, 7, 1",26000.369353583133,23,7,1
"23, 8, 1",26346.497765806405,23,8,1
"23, 9, 1",27182.773587560387,23,9,1
"23, 10, 1",27457.9854956996,23,10,1
"24, 1, 1",34199.43402975922,24,1,1
"24, 2, 1",28653.01238062583,24,2,1
"24, 3, 1",27027.011983459284,24,3,1
"24, 4, 1",26724.17166342562,24,4,1
"24, 5, 1",26494.985440345896,24,5,1
"24, 6, 1",26247.50771514276,24,6,1
"24, 7, 1",26000.369353583133,24,7,1
"24, 8, 1",26346.497765806405,24,8,1
"24, 9, 1",27182.773587560387,24,9,1
"24, 10, 1",27457.9854956996,24,10,1
"25, 1, 1",34199.43402975922,25,1,1
"25, 2, 1",28653.01238062583,25,2,1
"25, 3, 1",27027.011983459284,25,3,1
"25, 4, 1",26724.17166342562,25,4,1
"25, 5, 1",26494.985440345896,25,5,1
"25, 6, 1",26247.50771514276,25,6,1
"25, 7, 1",26000.369353583133,25,7,1
"25, 8, 1",26346.497765806405,25,8,1
"25, 9, 1",27182.773587560387,25,9,1
"25, 10, 1",27457.9854956996,25,10,1
"26, 1, 1",34199.43402975922,26,1,1
"26, 2, 1",28653.01238062583,26,2,1
"26, 3, 1",27027.011983459284,26,3,1
"26, 4, 1",26724.17166342562,26,4,1
"26, 5, 1",26494.985440345896,26,5,1
"26, 6, 1",26247.50771514276,26,6,1
"26, 7, 1",26000.369353583133,26,7,1
"26, 8, 1",26346.497765806405,26,8,1
"26, 9, 1",27182.773587560387,26,9,1
"26, 10, 1",27457.9854956996,26,10,1
"27, 1, 1",34199.43402975922,27,1,1
"27, 2, 1",28653.01238062583,27,2,1
"27, 3, 1",27027.011983459284,27,3,1
"27, 4, 1",26724.17166342562,27,4,1
"27, 5, 1",26494.985440345896,27,5,1
"27, 6, 1",26247.50771514276,27,6,1
"27, 7, 1",26000.369353583133,27,7,1
"27, 8, 1",26346.497765806405,27,8,1
"27, 9, 1",27182.773587560387,27,9,1
"27, 10, 1",27457.9854956996,27,10,1
"28, 1, 1",34199.43402975922,28,1,1
"28, 2, 1",28653.01238062583,28,2,1
"28, 3, 1",27027.011983459284,28,3,1
"28, 4, 1",26724.17166342562,28,4,1
"28, 5, 1",26494.985440345896,28,5,1
"28, 6, 1",26247.50771514276,28,6,1
"28, 7, 1",26000.369353583133,28,7,1
"28, 8, 1",26346.497765806405,28,8,1
"28, 9, 1",27182.773587560387,28,9,1
"28, 10, 1",27457.9854956996,28,10,1
"29, 1, 1",34199.43402975922,29,1,1
"29, 2, 1",28653.01238062583,29,2,1
"29, 3, 1",27027.011983459284,29,3,1
"29, 4, 1",26724.17166342562,29,4,1
"29, 5, 1",26494.985440345896,29,5,1
"29, 6, 1",26247.50771514276,29,6,1
"29, 7, 1",26000.369353583133,29,7,1
"29, 8, 1",26346.497765806405,29,8,1
"29, 9, 1",27182.773587560387,29,9,1
"29, 10, 1",27457.9854956996,29,10,1
"30, 1, 1",34199.43402975922,30,1,1
"30, 2, 1",28653.01238062583,30,2,1
"30, 3, 1",27027.011983459284,30,3,1
"30, 4, 1",26724.17166342562,30,4,1
"30, 5, 1",26494.985440345896,30,5,1
"30, 6, 1",26247.50771514276,30,6,1
"30, 7, 1",26000.369353583133,30,7,1
"30, 8, 1",26346.497765806405,30,8,1
"30, 9, 1",27182.773587560387,30,9,1
"30, 10, 1",27457.9854956996,30,10,1
