coords,bus_stops_closest_km,bus_stops_less500m,bus_stops_0.5-1km,bus_stops_1-3km,bus_stops_3-5km,bus_stops_5-10km,bus_stops_10-15km
"('55.615765', '37.738006')",0.28601129199721526,11,50,297,448,1969,3400
"('55.7956', '37.706667')",0.09820331333081696,15,64,474,760,3652,4502
"('55.707436', '37.784157')",0.18863452454377116,6,28,362,666,3208,4121
"('55.826554', '37.65028')",0.08197848890657579,38,84,352,800,3527,4247
"('55.716468', '37.619028')",0.028767020070508676,19,52,410,984,4107,5599
"('55.664538', '37.473483')",0.1724482437598702,13,53,282,573,2628,3802
"('55.72386', '37.610054')",0.1233146387351493,28,38,453,944,4129,5504
"('55.7457189', '37.5925871')",0.3982490472013484,4,57,479,981,4221,5479
"('55.723521', '37.58694')",0.054281543650824604,15,24,449,926,4057,5464
"('55.74192', '37.598015')",0.0798660216260893,16,36,495,946,4275,5480
"('55.748589', '37.591351')",0.44370072641547836,2,50,491,981,4233,5484
"('55.7499998', '37.6990018')",0.2049979217803543,19,37,564,914,4101,5106
"('55.7515567', '37.7105369')",0.1405865218921141,32,55,478,986,3943,5045
"('55.753235', '37.70709')",0.1359185156305719,19,68,491,979,3966,5106
"('55.752445', '37.71445')",0.1108757756690717,43,45,485,974,3906,4986
"('55.756072', '37.706128')",0.16638114329568998,16,73,497,995,3974,5067
"('55.745595', '37.704754')",0.10168176619208344,16,39,484,941,4025,5094
"('55.7515567', '37.7105369')",0.1405865218921141,32,55,478,986,3943,5045
"('55.747535', '37.702966')",0.08676676382249134,16,42,513,953,4033,5113
"('55.773773', '37.687839')",0.14930617784451353,17,52,564,922,3902,5058
"('55.75527', '37.657806')",0.02019668792707352,21,48,592,1005,4050,5494
"('55.751817', '37.716144')",0.035053699860592404,41,39,476,975,3887,4967
"('55.7524872', '37.7055563')",0.1562844820178648,21,66,492,1001,3962,5149
"('55.749927', '37.704736')",0.15516811420710336,14,61,471,1006,3967,5149
"('55.74342', '37.720467')",0.14278481679081478,9,38,465,909,3909,4915
"('55.751206', '37.7001934')",0.25589827172549984,16,53,548,931,4088,5109
"('55.748539', '37.70337')",0.04578125974266796,16,50,496,965,4010,5123
"('55.788216', '37.671272')",0.07987292484875759,21,70,465,1095,3672,5146
"('55.771104', '37.703865')",0.09852585981842375,8,46,591,808,3986,4746
"('55.751959', '37.686006')",0.040922492184533164,17,47,584,939,4187,5124
"('55.7515567', '37.7105369')",0.1405865218921141,32,55,478,986,3943,5045
"('55.751568', '37.71495')",0.023132008108314076,41,43,484,966,3908,4968
"('55.7515567', '37.7105369')",0.1405865218921141,32,55,478,986,3943,5045
"('55.752267', '37.7002331')",0.13794167413063407,16,57,529,966,4059,5126
"('55.740406', '37.627445')",0.1374287014634535,11,43,524,1073,4108,5690
"('55.677159', '37.695348')",0.12897760174156758,14,25,301,781,3517,4868
"('55.752708', '37.645564')",0.10430631419292946,17,60,573,1088,4023,5657
"('55.7406555', '37.6665063')",0.1500418901332475,18,83,518,955,4196,5478
"('55.747703', '37.688297')",0.06491253218951357,21,51,559,944,4164,5179
"('55.71954', '37.690896')",0.1600856195562276,16,39,406,950,3965,5328
"('55.681442', '37.6555')",0.3673074041725545,8,52,324,757,3877,4809
"('55.674473', '37.667501')",0.2378461588173214,17,36,273,829,3626,4777
"('55.6898201', '37.6558154')",0.09639163377597865,10,22,385,756,4030,5075
"('55.719315', '37.66175')",0.17511939140446334,8,49,461,927,4225,5416
"('55.702186', '37.684856')",0.16261216086901178,14,12,411,800,4089,5182
"('55.699938', '37.635314')",0.10525100670630176,13,41,376,851,4025,5405
"('55.6892303', '37.6536623')",0.10460438327871335,7,22,399,746,4031,5050
"('55.720802', '37.661785')",0.25671331736882724,14,40,487,924,4228,5413
"('55.717518', '37.659748')",0.20494351561971208,5,43,458,907,4231,5441
"('55.70457', '37.670868')",0.17239462270470582,16,38,352,907,4150,5314
"('55.72108', '37.664867')",0.22623160476477278,12,48,475,933,4235,5354
"('55.698361', '37.635296')",0.23610905194407025,10,41,388,851,4004,5370
"('55.703155', '37.672792')",0.04914579276145549,11,37,355,876,4135,5281
"('55.6996661', '37.6368671')",0.060422419501801106,7,42,382,849,4037,5379
"('55.713234', '37.67484')",0.1814018700187436,18,52,365,983,4093,5417
"('55.688923', '37.6556035')",0.022561883105112687,12,17,394,733,4031,5036
"('55.71148', '37.658733')",0.04829402250535466,18,32,435,910,4167,5473
"('55.702495', '37.669881')",0.053481985234240706,11,37,372,846,4168,5275
"('55.700613', '37.633634')",0.10841479030402087,14,41,369,867,4010,5449
"('55.683194', '37.648277')",0.07609736214616504,10,32,369,717,3962,4767
"('55.703814', '37.640138')",0.08910756343191192,18,27,446,818,4161,5377
"('55.683194', '37.648277')",0.07609736214616504,10,32,369,717,3962,4767
"('55.715748', '37.675415')",0.04997308273068503,20,47,396,988,4094,5382
"('55.700613', '37.633634')",0.10841479030402087,14,41,369,867,4010,5449
"('55.700704', '37.660961')",0.25689616752302175,8,43,398,807,4161,5289
"('55.70073', '37.631586')",0.058522937603745176,15,41,378,873,3993,5473
"('55.6903564', '37.655683')",0.1457716989462296,6,27,380,769,4037,5091
"('55.702495', '37.669881')",0.053481985234240706,11,37,372,846,4168,5275
"('55.6988708', '37.6385646')",0.1433046343658559,5,36,393,837,4026,5368
"('55.703581', '37.661078')",0.023122709825447976,17,35,413,839,4201,5328
"('55.6987549', '37.6362756')",0.16702106744154835,8,39,390,842,4023,5376
"('55.707806', '37.67393')",0.1991315343116445,10,57,334,957,4106,5379
"('55.690187', '37.657781')",0.06810417013859578,9,24,381,742,4051,5054
"('55.695611', '37.662371')",0.11106124306733564,9,24,412,772,4070,5225
"('55.682727', '37.584829')",0.1725959126181169,17,54,418,882,3528,5129
"('55.686909', '37.593695')",0.041127330710833805,22,48,421,902,3646,5202
"('55.693084', '37.59613')",0.22986381333794956,19,31,438,872,3767,5330
"('55.678199', '37.596731')",0.06229960507361163,18,33,446,814,3635,4972
"('55.690256', '37.5530337')",0.15980784731875874,9,56,448,779,3470,5175
"('55.68701', '37.577678')",0.08424351188038898,18,45,427,876,3531,5215
"('55.686306', '37.538036')",0.1309261109615944,14,61,427,737,3404,4884
"('55.702926', '37.580337')",0.05790650416148882,13,30,460,822,3866,5335
"('55.693497', '37.58077')",0.14384205994559157,8,37,457,853,3671,5354
"('55.676164', '37.579259')",0.11152470491020956,16,41,459,777,3506,5003
"('55.6940437', '37.6040148')",0.17194721012135528,19,22,433,865,3866,5311
"('55.689162', '37.598286')",0.0858545862811974,26,36,424,880,3735,5199
"('55.679276', '37.57349')",0.05952521959692222,18,46,424,836,3446,5087
"('55.682194', '37.578738')",0.14739197797996004,12,56,427,871,3498,5112
"('55.675369', '37.55206')",0.20519909539943665,14,44,488,755,3297,4998
"('55.683823', '37.577364')",0.225846250552743,14,53,432,862,3506,5148
"('55.685675', '37.581379')",0.07953299221420686,16,57,416,885,3545,5162
"('55.696078', '37.563152')",0.1527287510583128,13,24,453,818,3582,5321
"('55.684093', '37.597145')",0.07565098610476055,19,56,410,908,3655,5122
"('55.672763', '37.560529')",0.1535149201056703,9,58,450,779,3288,4984
"('55.678458', '37.564248')",0.04345973131671266,18,40,453,798,3368,5100
"('55.67314', '37.57369')",0.13351581524419645,12,56,442,761,3382,5033
"('55.687193', '37.56388')",0.08606882079708802,14,50,436,844,3436,5223
"('55.670773', '37.571003')",0.18211068448365123,18,46,458,727,3364,4918
"('55.673818', '37.565174')",0.26176580225790375,16,57,449,776,3346,5008
"('55.683798', '37.537883')",0.1451811887164024,10,64,438,729,3381,4889
"('55.678113', '37.548511')",0.1656744404824104,11,56,456,772,3305,5008
"('55.677346', '37.565955')",0.02331024024808022,21,40,456,789,3394,5063
"('55.692475', '37.551726')",0.06031574563762254,10,60,428,779,3528,5126
"('55.678113', '37.548511')",0.1656744404824104,11,56,456,772,3305,5008
"('55.68665', '37.592644')",0.04795719420023702,23,48,423,896,3629,5205
"('55.680103', '37.581963')",0.17760991812175228,17,51,424,857,3504,5087
"('55.68499', '37.595215')",0.1171224153493159,23,48,427,893,3658,5147
"('55.670128', '37.57097')",0.24458748948674688,16,47,455,722,3357,4903
"('55.69109', '37.542958')",0.1790473705088803,24,52,450,722,3521,4952
"('55.674477', '37.570007')",0.0960621871249187,15,45,466,764,3390,5034
"('55.682026', '37.566539')",0.07233339563040522,15,52,430,833,3396,5166
"('55.691526', '37.538134')",0.058402267557260336,35,34,455,711,3502,4896
"('55.681265', '37.582403')",0.21040478445696106,17,54,428,858,3525,5096
"('55.693597', '37.577678')",0.08340819848149177,8,41,439,880,3615,5384
"('55.692191', '37.562991')",0.02082492803822636,14,40,446,846,3489,5318
"('55.691526', '37.538134')",0.058402267557260336,35,34,455,711,3502,4896
"('55.680625', '37.559218')",0.13126620936841268,18,45,458,806,3349,5144
"('55.68955', '37.56528')",0.0786945891421573,11,49,435,861,3453,5270
"('55.687497', '37.543327')",0.054690071818220394,23,54,450,730,3444,4963
"('55.688072', '37.569305')",0.16740910019779406,18,36,440,858,3490,5223
"('55.67733', '37.571552')",0.08729581217555632,24,32,447,808,3412,5088
"('55.670585', '37.566243')",0.14403991458901771,13,48,458,723,3337,4907
"('55.693394', '37.557502')",0.023516412489113927,13,31,461,791,3545,5214
"('55.694205', '37.566503')",0.010021109649229367,12,37,445,853,3550,5342
"('55.672011', '37.570878')",0.09276439636806835,13,51,461,732,3382,4950
"('55.689625', '37.564034')",0.11216857637248555,11,51,436,851,3442,5281
"('55.683036', '37.585655')",0.13778356171151582,16,57,414,895,3522,5158
"('55.691379', '37.604906')",0.09590985952433344,22,32,428,880,3821,5270
"('55.688086', '37.565955')",0.09033248883379652,14,42,445,839,3470,5222
"('55.67855', '37.593623')",0.08508429681754336,19,40,456,815,3608,4999
"('55.687066', '37.56697')",0.17520260152064335,14,42,428,848,3465,5215
"('55.690268', '37.553873')",0.1859874215601972,10,54,444,793,3459,5202
"('55.695296', '37.575648')",0.11021421704020766,9,41,442,871,3658,5351
"('55.683676', '37.582215')",0.07269778188291393,16,57,421,878,3525,5135
"('55.677783', '37.560493')",0.08357113445504102,14,59,450,799,3348,5089
"('55.692506', '37.558454')",0.1346608699407751,13,37,451,808,3510,5243
"('55.701861', '37.580679')",0.042667746240045136,11,30,469,812,3852,5348
"('55.72386', '37.610054')",0.1233146387351493,28,38,453,944,4129,5504
"('55.645136', '37.51697')",0.10511387200300903,16,33,296,557,2665,4152
"('55.753169', '37.589796')",0.0627268413917101,9,44,480,1036,4138,5568
"('55.753129', '37.589096')",0.08358475350301525,9,45,481,1034,4139,5549
"('55.753286', '37.59657')",0.07652639126607373,16,32,510,1014,4177,5643
"('55.753114', '37.591566')",0.07636847253829353,7,40,481,1040,4133,5601
"('55.7531212', '37.5903682')",0.03960389139240888,7,44,481,1030,4142,5575
"('55.7270229', '37.561437')",0.021660042410631606,15,42,383,889,4016,5218
"('55.727212', '37.583598')",0.1353248164481772,12,26,461,889,4120,5396
"('55.748936', '37.595627')",0.2973145610567117,7,46,508,980,4236,5513
"('55.747363', '37.594486')",0.29926988262193654,4,49,494,989,4225,5514
"('55.741465', '37.540784')",0.2057310512006899,11,34,405,781,4021,5016
"('55.757131', '37.617114')",0.04948603096354101,9,37,534,1045,4135,5812
"('55.720585', '37.567042')",0.16666762950444497,24,43,384,914,3950,5358
