coords,bus_stops_closest_km,bus_stops_less500m,bus_stops_0.5-1km,bus_stops_1-3km,bus_stops_3-5km,bus_stops_5-10km,bus_stops_10-15km
"('55.766694', '37.570564')",0.1626294444080407,11,53,473,915,4120,5402
"('55.76156', '37.54907')",0.3060955148817776,8,49,438,874,4028,5138
"('55.759136', '37.574005')",0.17669171291192756,20,50,462,961,4122,5413
"('55.76762', '37.587021')",0.28393112450016844,10,54,511,925,4190,5579
"('55.769388', '37.580795')",0.13751768434473116,11,54,512,886,4168,5471
"('55.76685', '37.58739')",0.20804004132743403,11,53,507,936,4188,5585
"('55.76459', '37.58984')",0.10726972600469868,6,56,499,984,4179,5613
"('55.7660148', '37.5714951')",0.0684242075887144,13,49,474,936,4118,5426
"('55.76917', '37.588323')",0.22166764791957214,18,41,515,928,4167,5593
"('55.767934', '37.582808')",0.2036233559090329,10,53,496,922,4156,5567
"('55.742727', '37.64613')",0.06599716256999236,19,66,536,1043,4126,5605
"('55.756158', '37.550693')",0.021730718524577825,13,36,430,879,4024,5183
"('55.768537', '37.6009')",0.09918091282171866,23,43,525,995,4161,5743
"('55.7666059', '37.5676078')",0.19424619635512064,17,38,491,889,4127,5364
"('55.764065', '37.569782')",0.1266754908548508,17,42,468,946,4097,5418
"('55.754801', '37.58455')",0.08981988532886714,12,48,466,1042,4115,5532
"('55.75753', '37.575027')",0.1956079410546383,19,50,453,968,4127,5420
"('55.761745', '37.56654')",0.10013434455227885,17,55,444,965,4053,5385
"('55.765793', '37.574635')",0.06105001428887862,9,58,479,946,4111,5468
"('55.767097', '37.5686125')",0.2573116240538126,11,46,482,896,4117,5381
"('55.754593', '37.56892')",0.02633732235848785,14,48,446,945,4130,5333
"('55.766056', '37.58832')",0.11306854006217253,6,54,509,946,4188,5604
"('55.761338', '37.567906')",0.07160424736792731,16,54,460,959,4074,5382
"('55.775555', '37.68164')",0.09424522265798838,22,49,537,983,3843,5159
"('55.765854', '37.677734')",0.1512694567189584,35,53,587,965,4036,5244
"('55.775753', '37.671938')",0.04577678548735436,22,65,494,1068,3758,5315
"('55.772168', '37.677409')",0.06332144727362912,28,57,564,989,3899,5191
"('55.77142', '37.668434')",0.014758500599188523,23,76,539,1041,3852,5376
"('55.795834', '37.717939')",0.05444322307179212,29,35,477,689,3503,4501
"('55.790423', '37.680499')",0.06867047602500642,46,40,497,990,3703,4956
"('55.762703', '37.661213')",0.05022527772276686,24,50,573,1007,4002,5486
"('55.772041', '37.686788')",0.11277675036235782,22,50,590,896,3953,5062
"('55.77325', '37.6812')",0.05352456465170866,31,48,564,961,3896,5156
"('55.7749976', '37.6729808')",0.062170691004513785,26,59,512,1046,3805,5270
"('55.775459', '37.673519')",0.1200389402996885,22,62,514,1052,3788,5274
"('55.777094', '37.681443')",0.15725312133329392,16,69,504,1002,3800,5155
"('55.77471', '37.68217')",0.060616275895246055,24,46,538,982,3843,5181
"('55.762543', '37.67272')",0.06461780516886702,18,61,590,987,4040,5350
"('55.7749976', '37.6729808')",0.062170691004513785,26,59,512,1046,3805,5270
"('55.775915', '37.686877')",0.031280752647544034,13,54,541,945,3863,5072
"('55.776993', '37.714634')",0.037573627369226356,18,43,560,760,3865,4571
"('55.766148', '37.67139')",0.11549350386259845,23,70,591,980,4010,5315
"('55.777094', '37.681443')",0.15725312133329392,16,69,504,1002,3800,5155
"('55.762794', '37.677921')",0.06594767906721823,27,46,597,967,4066,5263
"('55.77314', '37.693561')",0.06190791940111847,11,50,601,844,3961,4915
"('55.773793', '37.694845')",0.14297434936886627,10,40,614,809,3993,4861
"('55.771206', '37.658212')",0.10284335657656359,21,54,568,1011,3883,5549
"('55.66994', '37.536032')",0.18190075219019855,9,43,442,701,3102,4957
"('55.7224', '37.619946')",0.14373553735064679,12,67,436,991,4109,5657
"('55.724728', '37.664516')",0.06476487289459341,16,66,486,882,4263,5402
"('55.816424', '37.705257')",0.11797800913457977,16,28,301,708,3355,4311
"('55.819176', '37.721193')",0.03951269647172158,22,39,264,638,3178,4186
"('55.823151', '37.715956')",0.3633627148749724,9,37,235,641,3140,4182
"('55.819555', '37.707566')",0.15065898484397247,16,31,264,701,3245,4298
"('55.820632', '37.713701')",0.14031710739887715,15,37,258,657,3223,4196
"('55.819386', '37.706489')",0.08155554994333038,18,30,265,705,3266,4296
"('55.820025', '37.714626')",0.16575801500403806,19,36,261,660,3226,4198
"('55.821072', '37.70276')",0.27722998564412044,12,33,270,725,3239,4333
"('55.817448', '37.711975')",0.09282373978693706,21,34,275,688,3267,4270
"('55.818954', '37.71327')",0.12341593865554096,20,35,267,673,3242,4251
"('55.813477', '37.710197')",0.1346666881324267,10,50,291,723,3328,4348
"('55.806504', '37.720097')",0.07567931419996403,14,37,397,605,3445,4296
"('55.863758', '37.665436')",0.091137021101026,13,55,364,543,2544,3886
"('55.793896', '37.712067')",0.17416913230817918,31,37,490,735,3615,4533
"('55.815549', '37.757817')",0.43906581866247163,2,28,299,517,2679,4108
"('55.814518', '37.729305')",0.23893067313729563,33,30,302,577,3206,4161
"('55.7762572', '37.7368937')",0.12728835045470127,16,35,407,887,3356,4725
"('55.799143', '37.729359')",0.021068122632411014,16,35,419,665,3351,4438
"('55.766735', '37.73041')",0.03923523605751007,18,38,424,926,3605,4806
"('55.820025', '37.714626')",0.16575801500403806,19,36,261,660,3226,4198
"('55.811508', '37.698915')",0.11205461325168317,10,43,346,765,3431,4468
"('55.819359', '37.702035')",0.18931665228200242,12,36,275,723,3294,4322
"('55.8167', '37.72118')",0.14520774988156507,24,42,279,652,3227,4215
"('55.822711', '37.719055')",0.2997530950985347,10,35,244,617,3146,4139
"('55.79988', '37.730618')",0.13334929810778823,15,38,414,647,3333,4410
"('55.8058209', '37.7547534')",0.2664901825090233,7,26,399,543,2930,4193
"('55.7755746', '37.7378258')",0.19325384015116245,14,38,399,896,3354,4718
"('55.7946813', '37.6844009')",0.14184286503560345,21,68,446,931,3694,4815
"('55.807907', '37.706629')",0.08783018895156641,15,30,398,733,3485,4418
"('55.78549', '37.68692')",0.12549938563586918,13,84,469,956,3752,4936
"('55.82779', '37.75684')",0.35319665014345414,9,26,169,479,2523,3904
"('55.788819', '37.698358')",0.042108504811591646,19,62,476,837,3750,4736
"('55.811594', '37.708203')",0.058851506876229316,9,52,319,730,3401,4343
"('55.814598', '37.705158')",0.28915729246620114,17,31,318,719,3366,4330
"('55.818948', '37.702706')",0.13643246379886395,15,37,278,712,3313,4308
"('55.759693', '37.738503')",0.03265383139921926,28,30,406,854,3638,4719
"('55.79343', '37.72872')",0.4994378566012316,1,59,408,772,3332,4555
"('55.809525', '37.789734')",0.050692797283541965,14,61,335,347,2484,3931
"('55.792903', '37.802877')",0.14897012194167417,20,35,298,549,2210,4341
"('55.792078', '37.770061')",0.20240856376482871,12,27,296,761,2735,4499
"('55.764171', '37.739716')",0.12272937873468819,26,36,408,878,3532,4737
"('55.859478', '37.482124')",0.17625801936491814,17,54,332,650,2700,3266
"('55.862882', '37.474886')",0.20271870716295662,26,50,339,604,2591,3134
"('55.86929', '37.479736')",0.18909757347755987,22,35,333,535,2529,3072
"('55.863439', '37.506586')",0.07097351584742156,12,37,374,588,2915,3246
"('55.872567', '37.462586')",0.10580599024968552,9,18,342,492,2364,2931
"('55.858897', '37.500118')",0.23688075065740985,9,35,354,631,2955,3307
"('55.874733', '37.465225')",0.1322486971305138,12,14,344,482,2342,2905
"('55.85967', '37.499839')",0.14981334687475834,10,37,350,632,2937,3304
"('55.86795', '37.463116')",0.06935736261398806,10,35,331,544,2410,3019
"('55.867536', '37.488332')",0.142490102757779,13,47,309,596,2614,3191
"('55.849054', '37.486059')",0.20426747602460268,6,49,298,759,2747,3592
"('55.866325', '37.491943')",0.06156568146176372,11,44,317,603,2683,3182
"('55.861231', '37.495024')",0.11071038177199856,10,40,324,636,2838,3276
"('55.868359', '37.463673')",0.12172656877690395,10,35,334,533,2414,3008
"('55.868662', '37.456755')",0.16779169891445844,6,24,342,518,2355,2990
"('55.85463', '37.472702')",0.05980640868399989,31,15,372,639,2640,3336
"('55.868395', '37.462514')",0.0783943139295223,9,37,332,536,2405,3002
"('55.856391', '37.4781')",0.06195077592942784,24,34,355,638,2695,3313
"('55.863373', '37.492922')",0.35868797241044387,14,31,326,629,2776,3194
"('55.863828', '37.518219')",0.13693692134174476,12,28,395,570,2982,3335
"('55.865152', '37.472081')",0.1301603219499119,26,27,364,547,2566,3051
"('55.868794', '37.494665')",0.03832508677571893,11,33,321,605,2632,3191
"('55.84979', '37.476196')",0.12063977371024288,9,32,338,703,2637,3494
"('55.866809', '37.488655')",0.11894439066968399,13,45,314,598,2644,3176
"('55.874733', '37.465225')",0.1322486971305138,12,14,344,482,2342,2905
"('55.868662', '37.456755')",0.16779169891445844,6,24,342,518,2355,2990
"('55.84776', '37.487602')",0.07481322689672247,6,29,313,747,2807,3598
"('55.862317', '37.490897')",0.28600703254932164,9,41,314,644,2746,3246
"('55.870789', '37.462334')",0.11433103393509617,9,30,334,511,2380,2959
"('55.856598', '37.470078')",0.044054990725811,23,31,367,612,2625,3227
"('55.778628', '37.589419')",0.04457044410963552,22,54,521,905,4106,5480
"('55.80774', '37.508812')",0.15930058425976829,22,51,344,778,3496,4595
"('55.773598', '37.590508')",0.06825518720918869,21,54,524,922,4138,5561
"('55.769388', '37.566755')",0.0721862106852082,12,36,511,852,4130,5350
"('55.779084', '37.571498')",0.27700572585553346,8,37,525,840,4092,5358
"('55.777353', '37.576735')",0.21457949985022562,15,37,534,841,4131,5332
"('55.77382', '37.580086')",0.04388331050097076,20,39,518,869,4134,5429
"('55.771555', '37.571318')",0.07019152594198542,11,35,520,852,4147,5377
"('55.772512', '37.585547')",0.06373454874772497,27,39,520,885,4152,5527
"('55.772421', '37.581173')",0.025755724782555153,17,48,510,874,4149,5460
"('55.773165', '37.583463')",0.14941024107292297,29,36,519,872,4155,5471
"('55.776112', '37.588485')",0.13089617234210635,26,48,538,903,4119,5515
"('55.776856', '37.574911')",0.3347335952724106,11,42,521,849,4130,5335
"('55.777753', '37.580409')",0.1164360768320763,24,34,542,841,4140,5324
"('55.80774', '37.508812')",0.15930058425976829,22,51,344,778,3496,4595
"('55.7711551', '37.5722103')",0.0388406808032112,10,38,520,858,4132,5399
"('55.771828', '37.586384')",0.09900755470689487,23,45,519,897,4159,5541
"('55.77314', '37.578712')",0.05982524901446455,19,41,521,864,4136,5426
"('55.780162', '37.578855')",0.020772550994843084,13,42,529,843,4087,5352
"('55.780785', '37.57977')",0.1001133078070417,14,38,528,848,4085,5356
"('55.80774', '37.508812')",0.15930058425976829,22,51,344,778,3496,4595
"('55.769388', '37.580795')",0.13751768434473116,11,54,512,886,4168,5471
"('55.783939', '37.587371')",0.06601831160907647,11,63,514,869,4080,5361
"('55.773537', '37.58013')",0.07210774853830788,22,39,519,865,4136,5430
"('55.769271', '37.56582')",0.07930307864137436,12,34,513,843,4152,5323
"('55.78118', '37.578532')",0.13515181346330624,11,39,529,848,4069,5358
"('55.78089', '37.580982')",0.15048818718182905,16,39,529,850,4092,5356
"('55.775692', '37.590731')",0.19548926627544322,25,54,531,919,4138,5516
"('55.773768', '37.592482')",0.13094792837961639,15,65,505,941,4136,5598
"('55.778644', '37.582709')",0.15453410462611838,27,32,541,843,4125,5367
"('55.769995', '37.572046')",0.14210479891763564,11,35,522,863,4133,5391
"('55.76998', '37.586723')",0.08865739943611066,16,47,519,903,4190,5551
"('55.771646', '37.584469')",0.054942409121453435,23,44,501,902,4143,5547
"('55.769388', '37.580795')",0.13751768434473116,11,54,512,886,4168,5471
"('55.7803455', '37.5796864')",0.057809549320443715,14,38,530,843,4093,5340
"('55.777753', '37.580409')",0.1164360768320763,24,34,542,841,4140,5324
"('55.777753', '37.580409')",0.1164360768320763,24,34,542,841,4140,5324
"('55.78583', '37.573853')",0.1711993686567571,11,43,509,832,4062,5253
"('55.778628', '37.589419')",0.04457044410963552,22,54,521,905,4106,5480
"('55.768446', '37.571938')",0.029168740018891963,15,45,492,902,4104,5423
"('55.805678', '37.504814')",0.12493320365585016,19,54,359,739,3509,4581
"('55.64191', '37.509075')",0.216979081256624,8,33,301,516,2619,3914
"('55.64005', '37.516431')",0.4459076912297279,4,45,248,581,2583,4060
"('55.642403', '37.519127')",0.25510286849195674,17,35,265,591,2619,4167
"('55.653538', '37.52261')",0.11363614372890607,9,34,377,597,2823,4349
"('55.63941', '37.528765')",0.26215337557151475,12,40,233,718,2569,4269
"('55.6418045', '37.5346585')",0.1707491797823715,10,35,222,779,2556,4478
"('55.649063', '37.533957')",0.08814021619253813,11,49,287,747,2690,4572
"('55.634207', '37.512667')",0.2576471923189708,10,20,271,492,2579,3848
"('55.645878', '37.526528')",0.14449489169279972,18,29,254,685,2650,4381
"('55.642606', '37.547405')",0.20639888638556664,7,17,262,807,2621,4556
"('55.649362', '37.497773')",0.08386616727375909,6,37,316,533,2634,3916
"('55.635716', '37.534352')",0.04487055851798966,11,28,231,702,2587,4234
"('55.646045', '37.525522')",0.2024884312786401,19,27,261,651,2676,4338
"('55.633033', '37.517823')",0.11348538953453198,14,16,266,519,2589,3921
"('55.634629', '37.537137')",0.1834199576668771,11,16,229,701,2609,4218
"('55.649362', '37.497773')",0.08386616727375909,6,37,316,533,2634,3916
"('55.6301641', '37.5145688')",0.15108640530169565,6,19,255,470,2604,3728
"('55.615751', '37.493937')",0.19200220632559478,9,41,202,361,2421,3220
"('55.651074', '37.515632')",0.07894119776725987,9,31,341,585,2751,4234
"('55.648621', '37.522432')",0.41335781647033365,8,40,294,638,2690,4350
"('55.645395', '37.522863')",0.14113720753744693,20,25,259,638,2658,4302
"('55.646604', '37.519413')",0.11947306710633354,16,34,291,601,2673,4254
"('55.631066', '37.509487')",0.48049056577887406,1,23,261,447,2588,3665
"('55.647087', '37.503073')",0.04047181311421239,12,29,319,510,2647,3911
"('55.648275', '37.520509')",0.31090449997953423,9,39,300,613,2698,4296
"('55.635716', '37.534352')",0.04487055851798966,11,28,231,702,2587,4234
"('55.63755', '37.528972')",0.34394321967562086,11,42,232,703,2566,4220
"('55.643266', '37.502004')",0.19076285151673936,12,25,313,510,2576,3875
"('55.649408', '37.526133')",0.33885000609101096,11,38,294,658,2707,4415
"('55.641388', '37.545715')",0.2479558198811129,8,15,239,824,2580,4560
"('55.679817', '37.515057')",0.07949729303056316,17,56,418,691,3122,4666
"('55.670041', '37.498977')",0.15426075253502186,9,42,352,691,2869,4251
"('55.663004', '37.475881')",0.13246375020709172,25,44,292,576,2613,3838
"('55.604336', '37.534794')",0.1191716958563609,18,40,143,461,2356,3206
"('55.661013', '37.522351')",0.061829595795667186,12,27,417,634,2933,4475
"('55.686493', '37.56599')",0.08836093631354976,13,48,434,838,3440,5213
"('55.634578', '37.51591')",0.0967057716919993,13,18,280,511,2595,3906
"('55.658144', '37.485403')",0.2892533268073736,20,42,315,582,2614,3939
"('55.67484', '37.506683')",0.14816852760325597,24,46,415,659,3022,4398
"('55.655712', '37.58005')",0.22865873267971443,13,39,406,734,3059,4762
"('55.688974', '37.556415')",0.1708001828291735,10,45,445,813,3402,5254
"('55.643033', '37.475468')",0.23758282482112608,16,19,213,597,2342,3612
"('55.663603', '37.488772')",0.279568331175959,31,31,344,608,2706,4000
"('55.67981', '37.5432')",0.19310043232855134,9,54,454,748,3317,4952
"('55.668056', '37.506738')",0.1424966754208732,9,39,398,645,2949,4317
"('55.658236', '37.564644')",0.0971312838696542,13,40,372,740,3044,4889
"('55.643612', '37.507906')",0.04110072864291082,9,32,313,511,2620,3978
"('55.653715', '37.5300411')",0.20918095342263296,14,34,342,702,2782,4547
"('55.644506', '37.534299')",0.39673345880890976,9,37,245,760,2602,4519
"('55.6538', '37.514057')",0.3653585909498981,3,31,374,569,2791,4232
"('55.635963', '37.539303')",0.193223434731086,10,15,232,739,2585,4313
"('55.6466', '37.532852')",0.17755310760357285,8,39,266,738,2649,4511
"('55.649362', '37.497773')",0.08386616727375909,6,37,316,533,2634,3916
"('55.646863', '37.534613')",0.2764381667811213,6,43,268,746,2662,4533
"('55.636001', '37.541278')",0.1227632505425972,10,12,240,746,2602,4320
"('55.648153', '37.537191')",0.3154943285104659,8,41,287,768,2696,4577
"('55.637897', '37.540802')",0.14434256500061643,12,12,227,782,2578,4395
"('55.640495', '37.54685')",0.1952059206704139,7,15,234,820,2587,4533
"('55.6301641', '37.5145688')",0.15108640530169565,6,19,255,470,2604,3728
"('55.643937', '37.528855')",0.11781324554852093,21,24,247,734,2594,4429
"('55.638333', '37.530939')",0.28161104231706036,12,41,222,724,2562,4279
"('55.643266', '37.502004')",0.19076285151673936,12,25,313,510,2576,3875
"('55.640316', '37.530857')",0.1450144415054724,13,37,232,736,2568,4357
"('55.642718', '37.503396')",0.13010332172726044,11,24,315,507,2583,3865
"('55.667823', '37.548258')",0.19137747040939726,20,28,453,738,3130,5031
"('55.668442', '37.559856')",0.15812298300665506,23,27,459,731,3232,4952
"('55.693597', '37.577678')",0.08340819848149177,8,41,439,880,3615,5384
"('55.671102', '37.540012')",0.09370062751897548,10,48,432,729,3130,5021
"('55.643769', '37.496075')",0.16078491591059954,11,21,296,514,2537,3855
"('55.626213', '37.510152')",0.14176073053073052,3,29,254,406,2641,3507
"('55.665101', '37.552462')",0.22279703606703896,12,40,415,761,3079,4995
"('55.63755', '37.528972')",0.34394321967562086,11,42,232,703,2566,4220
"('55.645634', '37.542763')",0.06083443614155906,6,27,270,803,2616,4634
"('55.644313', '37.537281')",0.3057059333939154,6,42,235,788,2590,4581
"('55.639176', '37.513008')",0.2362973093873119,5,44,253,558,2566,3984
"('55.636497', '37.5146')",0.15237957238277244,9,33,271,538,2594,3925
"('55.6266371', '37.5219362')",0.13841440472958563,5,19,253,464,2671,3669
"('55.66013', '37.491413')",0.23379257922535576,9,49,327,617,2652,4040
"('55.634014', '37.524219')",0.06596143720690582,16,21,257,584,2595,4042
"('55.646101', '37.537137')",0.4188545160538817,5,46,250,772,2633,4566
"('55.632499', '37.523016')",0.12918024695532365,15,16,262,548,2596,3983
"('55.875218', '37.545276')",0.1308350146206885,15,35,333,690,2658,3427
"('55.882671', '37.562712')",0.2321372523352778,9,22,381,530,2552,3326
"('55.880226', '37.55044')",0.1367824717072258,11,26,346,623,2605,3323
"('55.873257', '37.561096')",0.09456726645043302,11,30,374,632,2697,3531
"('55.892242', '37.574245')",0.06515665646227178,8,34,307,486,2296,3191
"('55.680174', '37.666557')",0.09679348210604904,28,33,303,786,3776,4859
"('55.871326', '37.59044')",0.09604001937703832,10,30,405,651,2611,3850
"('55.889286', '37.5596')",0.1745913223843995,5,19,362,488,2429,3220
"('55.883145', '37.561275')",0.24588509937323888,9,19,384,535,2542,3310
"('55.879728', '37.560332')",0.03866842917926207,14,26,380,579,2609,3374
"('55.874714', '37.589016')",0.18088922392838105,13,28,402,622,2547,3760
"('55.878324', '37.55999')",0.16784594104934336,16,26,380,603,2640,3415
"('55.810654', '37.56483')",0.15975896236730772,13,35,373,948,3852,4707
"('55.78552', '37.60524')",0.073066505402252,26,63,462,989,4026,5461
"('55.863621', '37.559388')",0.057367049256264555,15,42,367,665,2919,3713
"('55.858923', '37.563063')",0.040178212587566126,22,27,391,686,3003,3825
"('55.808902', '37.568156')",0.1466633773788797,20,44,363,978,3818,4824
"('55.884161', '37.563449')",0.2859083740917631,8,20,378,536,2497,3335
"('55.87183', '37.56465')",0.2774541963998588,8,32,368,629,2753,3565
"('55.87358', '37.588467')",0.10063482820993531,14,29,407,630,2577,3776
"('55.881066', '37.564509')",0.04671177539405817,11,21,390,545,2562,3394
"('55.873222', '37.59009')",0.200088053132165,14,31,413,622,2592,3792
"('55.874799', '37.548995')",0.08047530935075933,12,39,338,683,2668,3448
"('55.884161', '37.563449')",0.2859083740917631,8,20,378,536,2497,3335
"('55.878526', '37.563889')",0.21412277834417937,18,20,388,565,2639,3429
"('55.8775119', '37.5388126')",0.04375386735019411,14,36,312,694,2626,3326
"('55.874065', '37.591682')",0.30888717193218596,15,27,402,628,2552,3794
"('55.884737', '37.594144')",0.2336490326365686,12,41,333,587,2235,3575
"('55.874065', '37.591682')",0.30888717193218596,15,27,402,628,2552,3794
"('55.880783', '37.562901')",0.07300054132833236,11,23,382,549,2588,3361
"('55.8798721', '37.5810486')",0.02944186685007394,9,29,392,544,2519,3527
"('55.89287', '37.561527')",0.25453383923465295,6,23,326,446,2358,3151
"('55.889137', '37.559021')",0.13836966875837173,5,20,365,486,2443,3209
"('55.871602', '37.560664')",0.04431198087058537,12,30,368,657,2726,3571
"('55.85721', '37.439607')",0.13502333100772101,11,62,305,536,2233,3182
"('55.891996', '37.600388')",0.12909933897042367,8,57,252,572,2075,3412
"('55.895858', '37.631658')",0.05758889696724328,7,19,268,466,1957,3355
"('55.878131', '37.610755')",0.2654977798621,4,38,360,619,2319,3824
"('55.869915', '37.613728')",0.09516753332843025,15,45,345,717,2508,4022
"('55.882308', '37.635251')",0.2436453577120245,9,26,353,531,2140,3735
"('55.869656', '37.61001')",0.17009492857407374,12,43,349,711,2505,4049
"('55.878723', '37.622353')",0.18117530015857244,10,18,394,581,2295,3789
"('55.89346', '37.653891')",0.03820566878935847,7,31,244,547,1763,3415
"('55.89346', '37.653891')",0.03820566878935847,7,31,244,547,1763,3415
"('55.9347854', '37.5543862')",0.07835204488683283,9,3,124,227,1376,2379
"('55.8534582', '37.6434107')",0.2241248656508632,14,37,424,714,2881,4106
"('55.863014', '37.67102')",0.12230293256176092,16,59,336,547,2546,3864
"('55.8592', '37.67431')",0.07053982289546601,13,56,295,602,2604,3958
"('55.880974', '37.641061')",0.14298241637847728,13,34,367,519,2148,3722
"('55.836838', '37.667564')",0.07602934382130486,14,33,376,601,3285,4176
"('55.886357', '37.644863')",0.1018405144166967,13,28,324,536,1973,3634
"('55.875925', '37.603424')",0.20618766856067075,7,32,370,635,2423,3838
"('55.892223', '37.65523')",0.18622747060481099,9,33,254,539,1811,3406
"('55.875925', '37.603424')",0.20618766856067075,7,32,370,635,2423,3838
"('55.89821', '37.61854')",0.17860228644542114,11,35,226,459,1992,3221
"('55.87044', '37.60794')",0.057167744457827505,14,39,356,702,2470,4062
"('55.885323', '37.643856')",0.04558398108690952,15,24,333,531,2004,3652
"('55.893536', '37.66477')",0.049920779614802784,8,39,243,514,1728,3329
"('55.88793', '37.617294')",0.12666174513287298,9,26,338,532,2138,3532
"('55.87233', '37.604046')",0.19690686566897317,11,29,367,671,2483,3946
"('55.775818', '37.616287')",0.1805261112524064,15,69,490,1026,3961,5799
"('55.747692', '37.568929')",0.24853237670746348,32,47,434,918,4113,5287
"('55.752766', '37.536427')",0.09977529994413065,18,49,415,753,3966,5017
"('55.741029', '37.576313')",0.09082006359473255,16,70,437,868,4186,5255
"('55.7755221', '37.5984969')",0.2791365131597316,12,72,505,957,4121,5607
"('55.7377562', '37.5711381')",0.18881763626361867,19,57,452,812,4206,5172
"('55.761573', '37.631469')",0.10777207943870244,18,34,541,1075,4019,5821
"('55.579215', '37.657026')",0.09058988846501302,20,38,169,402,1711,2943
"('55.588618', '37.642231')",0.16141727318718768,18,33,258,420,1961,3079
"('55.583118', '37.646768')",0.0655583660816578,18,38,208,419,1842,2981
"('55.57603', '37.64607')",0.13045292756376245,8,24,176,368,1762,2834
"('55.580788', '37.646525')",0.0685870359961649,15,35,198,395,1833,2914
"('55.582665', '37.644279')",0.1944096023308318,15,33,225,393,1875,2932
"('55.575785', '37.655347')",0.10579908971396983,12,30,169,350,1719,2818
"('55.585652', '37.641971')",0.09338003468934933,17,30,252,400,1928,3010
"('55.583037', '37.641962')",0.05970731674505698,15,27,241,381,1915,2917
"('55.589198', '37.647819')",0.12912325600408545,16,37,233,450,1902,3130
"('55.603721', '37.655746')",0.15549915962666486,12,23,288,596,2129,3408
"('55.632814', '37.612506')",0.08203204441086821,10,43,356,591,2978,3942
"('55.591986', '37.669953')",0.18731381448527668,11,26,222,467,1843,3162
"('55.599672', '37.664599')",0.1281022399167401,13,29,280,547,2015,3313
"('55.612502', '37.577364')",0.1256317805707732,5,22,243,551,2521,3525
"('55.58992', '37.64843')",0.12421915696155136,15,36,234,449,1909,3156
"('55.6592015', '37.6165642')",0.24552439451821878,15,50,405,689,3658,4357
"('55.6002', '37.508884')",0.17391139100814235,9,13,210,298,2271,2984
"('55.599082', '37.582861')",0.336513235904372,13,19,263,384,2440,3119
"('55.599097', '37.510718')",0.07956593658400768,9,12,195,321,2242,3000
"('55.600638', '37.581244')",0.463365497295919,5,25,263,401,2447,3174
"('55.59712', '37.58285')",0.3079683965413154,11,15,265,358,2413,3087
"('55.600638', '37.581244')",0.463365497295919,5,25,263,401,2447,3174
"('55.61114', '37.544818')",0.0933219966308644,8,32,180,526,2491,3445
"('55.598375', '37.534281')",0.14653538828260115,12,38,127,467,2222,3163
"('55.596986', '37.541476')",0.141323428044983,11,35,126,471,2198,3152
"('55.567906', '37.579924')",0.26308625059802787,21,35,136,375,1804,2659
"('55.671473', '37.592078')",0.20089943696353027,13,30,479,741,3561,4836
"('55.535473', '37.514967')",0.026865414344518015,11,40,168,305,1130,2069
"('55.631686', '37.472414')",0.07700023813140534,12,10,207,492,2302,3360
"('55.6223609', '37.5928588')",0.16462625619818427,18,25,276,644,2670,3805
"('55.592953', '37.548276')",0.08652066020491421,11,21,168,423,2192,3058
"('55.613926', '37.544342')",0.3045951216636359,13,13,205,525,2530,3541
"('55.600435', '37.545905')",0.315506339291785,9,27,153,475,2250,3228
"('55.60279', '37.545069')",0.12927971584405695,12,30,150,484,2313,3222
"('55.59752', '37.534281')",0.05986478716459942,11,34,127,464,2210,3134
"('55.604025', '37.539473')",0.12027971479838784,17,31,144,483,2338,3213
"('55.609975', '37.54109')",0.19785504074397786,11,36,165,508,2472,3409
"('55.617195', '37.53561')",0.28056081090505713,6,17,203,506,2581,3586
"('55.603654', '37.534263')",0.08329544249073156,18,35,147,457,2338,3198
"('55.603883', '37.518362')",0.2427319753757078,8,36,176,376,2395,3091
"('55.604025', '37.539473')",0.12027971479838784,17,31,144,483,2338,3213
"('55.613794', '37.535682')",0.06503860431022536,10,29,192,477,2554,3476
"('55.61895', '37.540836')",0.11337360110910571,8,14,203,552,2576,3684
"('55.656097', '37.59639')",0.10879841916968523,21,45,365,760,3288,4560
"('55.601387', '37.50867')",0.05490417883778942,8,15,207,296,2305,2991
"('55.604025', '37.539473')",0.12027971479838784,17,31,144,483,2338,3213
"('55.614358', '37.549777')",0.12968497763565362,6,18,218,561,2502,3599
"('55.61895', '37.540836')",0.11337360110910571,8,14,203,552,2576,3684
"('55.605215', '37.54215')",0.0900845180764763,11,30,150,492,2370,3239
"('55.568349', '37.284378')",0.11394112482163893,4,6,27,95,734,1155
"('55.614235', '37.542454')",0.2145123261615197,11,16,199,524,2546,3532
"('55.610173', '37.533032')",0.23875726723621216,16,31,181,450,2494,3319
"('55.569499', '37.469764')",0.41735029640450544,7,32,126,278,1422,2596
"('55.67406', '37.530537')",0.2909733908626886,15,49,418,728,3097,4905
"('55.667397', '37.574436')",0.03299818990569068,14,35,458,712,3308,4909
"('55.646238', '37.736419')",0.09481868621064128,15,32,368,579,2632,4114
"('55.627426', '37.720886')",0.16691253635407527,6,30,396,480,2303,3832
"('55.64568', '37.739474')",0.165557267458376,18,36,366,566,2606,4079
"('55.635762', '37.720861')",0.07203398113134436,6,15,423,514,2501,4050
"('55.647498', '37.753973')",0.05794385523264966,14,46,353,499,2566,3959
"('55.635741', '37.719316')",0.16490031241793107,5,16,409,543,2479,4088
"('55.623265', '37.73173')",0.1148426249086668,13,25,372,472,2152,3649
"('55.62505', '37.73676')",0.15219014155365948,15,31,361,456,2202,3683
"('55.637932', '37.699283')",0.19190573486505333,11,28,329,654,2510,4340
