coords,eco_dump_closest_km,eco_dump_less500m,eco_dump_0.5-1km,eco_dump_1-3km,eco_dump_3-5km,eco_dump_5-10km,eco_dump_10-15km
"('55.758068', '37.419117')",15.843640707955188,0,0,0,0,0,0
"('55.730101', '37.630939')",17.6433368512636,0,0,0,0,0,0
"('55.67638', '37.642')",14.504257415674726,0,0,0,0,0,1
"('55.675346', '37.541386')",9.345275736301957,0,0,0,0,1,1
"('55.749633', '37.577561')",17.32519426303079,0,0,0,0,0,0
"('55.781626', '37.734578')",14.102635754203947,0,0,0,0,0,1
"('55.746227', '37.63473')",19.129580103161437,0,0,0,0,0,0
"('55.725534', '37.570501')",14.829612762470257,0,0,0,0,0,1
"('55.76565', '37.594926')",16.143311189054344,0,0,0,0,0,0
"('55.768405', '37.626187')",16.711776071247417,0,0,0,0,0,0
"('55.790529', '37.569063')",12.97357750696351,0,0,0,0,0,2
"('55.76705', '37.61186')",16.433274599981985,0,0,0,0,0,0
"('55.757492', '37.399048')",15.915362868960987,0,0,0,0,0,0
"('55.863544', '37.47846')",4.1623492925566845,0,0,0,1,1,1
"('55.747652', '37.61777')",18.549068719590405,0,0,0,0,0,0
"('55.74446', '37.613018')",18.111618721428755,0,0,0,0,0,0
"('55.784997', '37.526636')",12.912941097548481,0,0,0,0,0,2
"('55.809085', '37.448482')",10.508076410627373,0,0,0,0,0,2
"('55.723004', '37.575468')",14.782356180306797,0,0,0,0,0,1
"('55.697238', '37.476732')",9.388488685118599,0,0,0,0,1,1
"('55.759897', '37.644477')",18.103221398826513,0,0,0,0,0,0
"('55.822979', '37.526735')",8.755029154105024,0,0,0,0,2,0
"('55.64191', '37.34936')",5.666986115558874,0,0,0,0,2,0
"('55.731891', '37.539922')",14.451153002648166,0,0,0,0,0,1
"('55.69316', '37.470599')",8.850093199419238,0,0,0,0,1,1
"('55.738698', '37.593039')",16.844427861704748,0,0,0,0,0,0
"('55.763933', '37.60929')",16.678103960233578,0,0,0,0,0,0
"('55.77796', '37.600594')",15.032301391643324,0,0,0,0,0,0
"('55.71268', '37.517698')",11.915163923119259,0,0,0,0,0,1
"('55.900103', '37.585745')",4.901917632627573,0,0,0,1,1,2
"('55.701262', '37.651583')",16.491107310933902,0,0,0,0,0,0
"('55.904835', '37.38836')",6.476518955269365,0,0,0,0,2,1
"('55.643658', '37.539455')",7.095449909355983,0,0,0,0,1,1
"('55.5677654', '37.4416839')",1.6667735691389627,0,0,1,1,1,1
"('55.841561', '37.495863')",6.468480770046895,0,0,0,0,2,0
"('55.718633', '37.623214')",16.388073528102865,0,0,0,0,0,0
"('55.694784', '37.581559')",12.658872334515491,0,0,0,0,0,1
"('55.726894', '37.574345')",15.092218513011272,0,0,0,0,0,0
"('55.733917', '37.614754')",17.27226626134165,0,0,0,0,0,0
"('55.757214', '37.64955')",18.50276255464985,0,0,0,0,0,0
"('55.588949', '37.60081')",10.557778576859889,0,0,0,0,0,2
"('55.637393', '37.600388')",10.458951432856745,0,0,0,0,0,2
"('55.898916', '37.379034')",7.061988880744227,0,0,0,0,2,1
"('55.745083', '37.49736')",14.86846382700883,0,0,0,0,0,1
"('55.834421', '37.659596')",12.480477447004125,0,0,0,0,0,2
"('55.790975', '37.634182')",14.843187562135654,0,0,0,0,0,1
"('55.795423', '37.495276')",11.605427851988756,0,0,0,0,0,2
"('55.763265', '37.514994')",15.234101917525143,0,0,0,0,0,0
"('55.7407086', '37.6011763')",17.327930700014882,0,0,0,0,0,0
"('55.763072', '37.58968')",16.290005156635303,0,0,0,0,0,0
"('55.760915', '37.554861')",15.883682956445371,0,0,0,0,0,0
"('55.7182621', '37.4771618')",11.6642161156395,0,0,0,0,0,1
"('55.807435', '37.448662')",10.681406700638124,0,0,0,0,0,2
"('55.7753205', '37.6300127')",16.16313354451636,0,0,0,0,0,0
"('55.681183', '37.495808')",8.162026812728705,0,0,0,0,1,1
"('55.5213774', '37.3160383')",8.130297530877263,0,0,0,0,1,1
"('55.77396', '37.586293')",15.082765277870395,0,0,0,0,0,0
"('55.720798', '37.444099')",11.668429345677863,0,0,0,0,0,1
"('55.739352', '37.602606')",17.261748142917373,0,0,0,0,0,0
"('55.76725', '37.584476')",15.73994838616793,0,0,0,0,0,0
"('55.78564', '37.633266')",15.300573073776434,0,0,0,0,0,0
"('55.789289', '37.491126')",12.291620833377442,0,0,0,0,0,2
"('55.77854', '37.662956')",17.02817869461693,0,0,0,0,0,0
"('55.643769', '37.496075')",4.843710227242659,0,0,0,1,1,1
"('55.795853', '37.485538')",11.574875846310468,0,0,0,0,0,2
"('55.893369', '37.602058')",6.061423408923136,0,0,0,0,2,1
"('55.771545', '37.568956')",14.973156079348309,0,0,0,0,0,1
"('55.886782', '37.38988')",6.599518936328754,0,0,0,0,2,1
"('55.841278', '37.494442')",6.50041686602824,0,0,0,0,2,0
"('55.742043', '37.552498')",15.817740282049098,0,0,0,0,0,0
"('55.83525', '37.643642')",11.639844159219143,0,0,0,0,0,2
"('55.8134352', '37.5849828')",11.074231310393694,0,0,0,0,0,2
"('55.695625', '37.821663')",8.441937456981558,0,0,0,0,2,2
"('55.715527', '37.477104')",11.366633819859024,0,0,0,0,0,1
"('55.739534', '37.63341')",18.516515282912138,0,0,0,0,0,0
"('55.684929', '37.533966')",9.830822202894387,0,0,0,0,1,1
"('55.6900645', '37.6548865')",15.969705991284247,0,0,0,0,0,0
"('55.703599', '37.516463')",10.975533056529063,0,0,0,0,0,1
"('55.806504', '37.449866')",10.760759542406568,0,0,0,0,0,2
"('55.702763', '37.64046')",16.031380583396132,0,0,0,0,0,0
"('55.700877', '37.622405')",15.015154025381701,0,0,0,0,0,0
"('55.7220172', '37.6077158')",15.987706860176646,0,0,0,0,0,0
"('55.828217', '37.462414')",8.221896737621565,0,0,0,0,2,0
"('55.8170545', '37.7545798')",14.897354246399862,0,0,0,0,0,1
"('55.763245', '37.624822')",17.17755963895574,0,0,0,0,0,0
"('55.68153', '37.849888')",7.080430803267092,0,0,0,0,2,3
"('55.7355913', '37.5720679')",15.815095645230901,0,0,0,0,0,0
"('55.853178', '37.608212')",8.663364880336683,0,0,0,0,2,0
"('55.712766', '37.528064')",12.218705140046854,0,0,0,0,0,1
"('55.7439839', '37.5919617')",17.28589989606621,0,0,0,0,0,0
"('55.699886', '37.500745')",10.176412164444734,0,0,0,0,0,2
"('55.5512278', '37.3356786')",5.10781494131226,0,0,0,0,2,0
"('55.740928', '37.622118')",18.166500167940644,0,0,0,0,0,0
"('55.741683', '37.601726')",17.435475412423923,0,0,0,0,0,0
"('55.829598', '37.465955')",8.018942876780155,0,0,0,0,2,0
"('55.758402', '37.549282')",16.082183521892194,0,0,0,0,0,0
"('55.756376', '37.54948')",16.305584488357045,0,0,0,0,0,0
"('55.756771', '37.592725')",17.013930705609763,0,0,0,0,0,0
"('55.779575', '37.706863')",15.632921415238828,0,0,0,0,0,0
"('55.786166', '37.497836')",12.636801333951059,0,0,0,0,0,2
"('55.699314', '37.511239')",10.401013630562952,0,0,0,0,0,2
"('55.735175', '37.44064')",13.261430528288173,0,0,0,0,0,1
"('55.738292', '37.625972')",18.10221988430975,0,0,0,0,0,0
"('55.76447', '37.652958')",17.949310582024328,0,0,0,0,0,0
"('55.659573', '37.56007')",9.11458007433794,0,0,0,0,1,1
"('55.76963', '37.47916')",14.51397190694474,0,0,0,0,0,1
"('55.763194', '37.62572')",17.208792736695422,0,0,0,0,0,0
"('55.733493', '37.609973')",17.041928735944516,0,0,0,0,0,0
"('55.738262', '37.420177')",13.639310812788883,0,0,0,0,0,1
"('55.774137', '37.630769')",16.30061638687212,0,0,0,0,0,0
"('55.759384', '37.602894')",16.979326190294536,0,0,0,0,0,0
"('55.810165', '37.651043')",13.864738956281336,0,0,0,0,0,2
"('55.768441', '37.62713')",16.736860538543684,0,0,0,0,0,0
"('55.770157', '37.635998')",16.84932851357847,0,0,0,0,0,0
"('55.71304', '37.500944')",11.53806861899637,0,0,0,0,0,1
"('55.73467', '37.616646')",17.41333918084732,0,0,0,0,0,0
"('55.700444', '37.51071')",10.498294726680667,0,0,0,0,0,1
"('55.807983', '37.450844')",10.585719071209413,0,0,0,0,0,2
"('55.754983', '37.647675')",18.58224370086234,0,0,0,0,0,0
"('55.743923', '37.582655')",16.9551398599196,0,0,0,0,0,0
"('55.809348', '37.450872')",10.438772780559125,0,0,0,0,0,2
"('55.651811', '37.395635')",4.545510871488301,0,0,0,1,1,1
"('55.729807', '37.62978')",17.569506221539157,0,0,0,0,0,0
"('55.669889', '37.556262')",9.61046249293218,0,0,0,0,1,1
"('55.817837', '37.464825')",9.312136828831104,0,0,0,0,1,1
"('55.642133', '37.601385')",10.66027720160381,0,0,0,0,0,2
"('55.77517', '37.674022')",17.43826345769562,0,0,0,0,0,0
"('55.747936', '37.599058')",17.90155022219238,0,0,0,0,0,0
"('55.7952463', '37.6114797')",13.663033909296214,0,0,0,0,0,2
"('55.669899', '37.515371')",7.794892917379051,0,0,0,0,1,1
"('55.730431', '37.574067')",15.40570201870446,0,0,0,0,0,0
"('55.776894', '37.630096')",16.015696394044223,0,0,0,0,0,0
"('55.8170621', '37.7536315')",14.946032090939964,0,0,0,0,0,1
"('55.732012', '37.594054')",16.286406456198506,0,0,0,0,0,0
"('55.7482025', '37.6930091')",15.661019701771036,0,0,0,0,0,0
"('55.775505', '37.594971')",15.13408532244693,0,0,0,0,0,0
"('55.709637', '37.591943')",14.303269408461222,0,0,0,0,0,1
"('55.637195', '37.665668')",14.476853606513941,0,0,0,0,0,1
"('55.7678312', '37.6190593')",16.557636843985147,0,0,0,0,0,0
"('55.74938', '37.534092')",16.067521084222303,0,0,0,0,0,0
"('55.745797', '37.513107')",15.230483337238132,0,0,0,0,0,0
"('55.885332', '37.389095')",6.6903028249529495,0,0,0,0,2,1
"('55.765205', '37.647486')",17.69611078436503,0,0,0,0,0,0
"('55.856432', '37.449641')",5.608510067128196,0,0,0,0,2,0
"('55.754303', '37.58563')",17.12302664767025,0,0,0,0,0,0
"('55.767477', '37.50025')",14.719672532469184,0,0,0,0,0,1
"('55.674606', '37.568497')",10.53816471912086,0,0,0,0,0,2
"('55.747115', '37.539078')",15.959593521004864,0,0,0,0,0,0
"('55.733802', '37.438906')",13.106713329676928,0,0,0,0,0,1
"('55.8099435', '37.644094')",13.584717703754459,0,0,0,0,0,2
"('55.754814', '37.59013')",17.162504419330716,0,0,0,0,0,0
"('55.762733', '37.589745')",16.326751880317104,0,0,0,0,0,0
"('55.776041', '37.603631')",15.307267811445438,0,0,0,0,0,0
"('55.733964', '37.620905')",17.530381546502664,0,0,0,0,0,0
"('55.829633', '37.470455')",7.95451685577368,0,0,0,0,2,0
"('55.744941', '37.658886')",17.755463023524044,0,0,0,0,0,0
"('55.763108', '37.634865')",17.492045528112453,0,0,0,0,0,0
"('55.811452', '37.632799')",12.989171404909015,0,0,0,0,0,2
"('55.677209', '37.528163')",8.935909965431243,0,0,0,0,1,1
"('55.744617', '37.51212')",15.086217973107518,0,0,0,0,0,0
"('55.765854', '37.63352')",17.184442878807854,0,0,0,0,0,0
"('55.828941', '37.468784')",8.051257769827085,0,0,0,0,2,0
"('55.7417', '37.59354')",17.134383163501404,0,0,0,0,0,0
"('55.789026', '37.567887')",13.10579795019297,0,0,0,0,0,2
"('55.717863', '37.442015')",11.336952605020103,0,0,0,0,0,1
"('55.754801', '37.58455')",17.048762800831316,0,0,0,0,0,0
"('55.780846', '37.449147')",13.545417509216161,0,0,0,0,0,2
"('55.734354', '37.446866')",13.184224447981972,0,0,0,0,0,1
"('55.763187', '37.615112')",16.909342814601292,0,0,0,0,0,0
"('55.835483', '37.658338')",12.343613777320906,0,0,0,0,0,2
"('55.743005', '37.602256')",17.573436034111776,0,0,0,0,0,0
"('55.768962', '37.59825')",15.884087551388852,0,0,0,0,0,0
"('55.7633955', '37.6147912')",16.879681376975384,0,0,0,0,0,0
"('55.683112', '37.521803')",9.205662025653854,0,0,0,0,1,1
"('55.740664', '37.60284')",17.386874266318713,0,0,0,0,0,0
"('55.7411641', '37.6230759')",18.225415926247436,0,0,0,0,0,0
"('55.75506', '37.59004')",17.13481630566366,0,0,0,0,0,0
"('55.727952', '37.737578')",12.751688749685522,0,0,0,0,0,1
"('55.88793', '37.617294')",7.147718077364927,0,0,0,0,2,1
"('55.747966', '37.687102')",16.026251318960934,0,0,0,0,0,0
"('55.720418', '37.608472')",15.88940397013389,0,0,0,0,0,0
"('55.75939', '37.598968')",16.88452328012208,0,0,0,0,0,0
"('55.580742', '37.159881')",15.552088070635124,0,0,0,0,0,0
"('55.762783', '37.590443')",16.337087036064215,0,0,0,0,0,0
"('55.774674', '37.630831')",16.251264282076946,0,0,0,0,0,0
"('55.79848', '37.520671')",11.373526422103648,0,0,0,0,0,2
"('55.769479', '37.622738')",16.503235940153836,0,0,0,0,0,0
"('55.641834', '37.48491')",4.192022785284636,0,0,0,1,1,1
"('55.755383', '37.596579')",17.24426417748517,0,0,0,0,0,0
"('55.765073', '37.582799')",15.932045233810454,0,0,0,0,0,0
"('55.789406', '37.569539')",13.101242742671417,0,0,0,0,0,2
"('55.589147', '37.456388')",2.6851937700436257,0,0,2,0,2,0
"('55.68172', '37.49094')",8.079677067671033,0,0,0,0,1,1
"('55.756376', '37.508975')",15.974646663896229,0,0,0,0,0,0
"('55.711681', '37.519512')",11.864925413522958,0,0,0,0,0,1
"('55.615765', '37.738006')",15.616771029846989,0,0,0,0,0,0
"('55.7956', '37.706667')",16.344613832750827,0,0,0,0,0,0
"('55.707436', '37.784157')",10.167362697637301,0,0,0,0,0,3
"('55.826554', '37.65028')",12.575933549937352,0,0,0,0,0,2
"('55.751974', '37.578855')",17.238392096526155,0,0,0,0,0,0
"('55.716468', '37.619028')",16.031624189317565,0,0,0,0,0,0
"('55.664538', '37.473483')",5.883507495671652,0,0,0,0,1,1
"('55.722527', '37.613503')",16.277024998207555,0,0,0,0,0,0
"('55.72386', '37.610054')",16.23824641599612,0,0,0,0,0,0
"('55.785366', '37.479824')",12.763700254777948,0,0,0,0,0,2
"('55.7457189', '37.5925871')",17.46737571063009,0,0,0,0,0,0
"('55.723521', '37.58694')",15.266502727140882,0,0,0,0,0,0
"('55.74192', '37.598015')",17.318356554462575,0,0,0,0,0,0
"('55.748589', '37.591351')",17.689089516366536,0,0,0,0,0,0
"('55.751447', '37.703775')",15.039942856270637,0,0,0,0,0,0
"('55.7499998', '37.6990018')",15.313531455587224,0,0,0,0,0,0
"('55.7515567', '37.7105369')",14.62216183494898,0,0,0,0,0,1
"('55.751928', '37.696364')",15.508078268381587,0,0,0,0,0,0
"('55.753235', '37.70709')",14.865700371878438,0,0,0,0,0,1
"('55.752445', '37.71445')",14.395388628404023,0,0,0,0,0,1
"('55.756072', '37.706128')",14.980405836338619,0,0,0,0,0,1
"('55.75667', '37.70716')",14.929228845928177,0,0,0,0,0,1
"('55.745595', '37.704754')",14.8951304026199,0,0,0,0,0,1
"('55.753225', '37.706973')",14.872762703442914,0,0,0,0,0,1
"('55.751017', '37.6985938')",15.354752533790608,0,0,0,0,0,0
"('55.747535', '37.702966')",15.031344020942916,0,0,0,0,0,0
"('55.773773', '37.687839')",16.562598325892555,0,0,0,0,0,0
"('55.75527', '37.657806')",17.957514729358838,0,0,0,0,0,0
"('55.751817', '37.716144')",14.27906859247746,0,0,0,0,0,1
"('55.7524872', '37.7055563')",14.947273086014762,0,0,0,0,0,1
"('55.749927', '37.704736')",14.95577366582469,0,0,0,0,0,1
"('55.74342', '37.720467')",13.888622540899375,0,0,0,0,0,1
"('55.751206', '37.7001934')",15.258408231221726,0,0,0,0,0,0
"('55.748539', '37.70337')",15.020100507962743,0,0,0,0,0,0
"('55.788216', '37.671272')",16.524413647840905,0,0,0,0,0,0
"('55.771104', '37.703865')",15.513848257788323,0,0,0,0,0,0
"('55.751959', '37.686006')",16.15204602070601,0,0,0,0,0,0
"('55.751568', '37.71495')",14.348663992942965,0,0,0,0,0,1
"('55.752267', '37.7002331')",15.273613831981999,0,0,0,0,0,0
"('55.740406', '37.627445')",18.34023309946989,0,0,0,0,0,0
"('55.677159', '37.695348')",16.534885049083346,0,0,0,0,0,0
"('55.752708', '37.645564')",18.67952146331778,0,0,0,0,0,0
"('55.7406555', '37.6665063')",17.243288145904298,0,0,0,0,0,0
"('55.720121', '37.690686')",15.741483233641715,0,0,0,0,0,0
"('55.747703', '37.688297')",15.948327674806151,0,0,0,0,0,0
"('55.71954', '37.690896')",15.733552791774436,0,0,0,0,0,0
"('55.681442', '37.6555')",15.519564514406065,0,0,0,0,0,0
"('55.719433', '37.656871')",17.86618566567377,0,0,0,0,0,0
"('55.674473', '37.667501')",15.843944684598357,0,0,0,0,0,0
"('55.6898201', '37.6558154')",16.005133215747463,0,0,0,0,0,0
"('55.719315', '37.66175')",17.561419689869787,0,0,0,0,0,0
"('55.702186', '37.684856')",16.381881905804594,0,0,0,0,0,0
"('55.697453', '37.633976')",15.348427997568997,0,0,0,0,0,0
"('55.714191', '37.670914')",17.041491709038297,0,0,0,0,0,0
"('55.699938', '37.635314')",15.583034393993733,0,0,0,0,0,0
"('55.694114', '37.665183')",16.757645744223325,0,0,0,0,0,0
"('55.6892303', '37.6536623')",15.855392539088895,0,0,0,0,0,0
"('55.720802', '37.661785')",17.547414373426562,0,0,0,0,0,0
"('55.6968553', '37.6359431')",15.40770631477153,0,0,0,0,0,0
"('55.717518', '37.659748')",17.70310532602119,0,0,0,0,0,0
"('55.70457', '37.670868')",17.19696166341656,0,0,0,0,0,0
"('55.72108', '37.664867')",17.35211393399822,0,0,0,0,0,0
"('55.698208', '37.647504')",16.08458813751256,0,0,0,0,0,0
"('55.70128', '37.642654')",16.04062192186962,0,0,0,0,0,0
"('55.698361', '37.635296')",15.47558134944471,0,0,0,0,0,0
"('55.703155', '37.672792')",17.105978705877302,0,0,0,0,0,0
"('55.6996661', '37.6368671')",15.642128217647924,0,0,0,0,0,0
"('55.713234', '37.67484')",16.80870050429291,0,0,0,0,0,0
"('55.688923', '37.6556035')",15.941664722148676,0,0,0,0,0,0
"('55.694322', '37.63676')",15.28331506385068,0,0,0,0,0,0
"('55.71148', '37.658733')",17.533983069611125,0,0,0,0,0,0
"('55.702495', '37.669881')",17.299398894059575,0,0,0,0,0,0
"('55.700613', '37.633634')",15.545737277279398,0,0,0,0,0,0
"('55.683194', '37.648277')",15.219593567449643,0,0,0,0,0,0
"('55.703814', '37.640138')",16.08744556573116,0,0,0,0,0,0
"('55.6988237', '37.6385601')",15.67056049426504,0,0,0,0,0,0
"('55.715748', '37.675415')",16.74160242229395,0,0,0,0,0,0
"('55.700704', '37.660961')",16.937346714954916,0,0,0,0,0,0
"('55.70073', '37.631586')",15.452671426099894,0,0,0,0,0,0
"('55.6903564', '37.655683')",16.029404387011123,0,0,0,0,0,0
"('55.6988708', '37.6385646')",15.673928967065988,0,0,0,0,0,0
"('55.703581', '37.661078')",17.12679199205785,0,0,0,0,0,0
"('55.6987549', '37.6362756')",15.551162208491105,0,0,0,0,0,0
"('55.707806', '37.67393')",16.948109000076986,0,0,0,0,0,0
"('55.690187', '37.657781')",16.13186577312722,0,0,0,0,0,0
"('55.695611', '37.662371')",16.697299563097083,0,0,0,0,0,0
"('55.682727', '37.584829')",11.906146859405,0,0,0,0,0,1
"('55.686909', '37.593695')",12.632630986096052,0,0,0,0,0,1
"('55.693084', '37.59613')",13.196598439163042,0,0,0,0,0,1
"('55.678199', '37.596731')",12.191204483362245,0,0,0,0,0,1
"('55.690256', '37.5530337')",11.059044805794468,0,0,0,0,0,1
"('55.6811648', '37.5948427')",12.291517810993138,0,0,0,0,0,1
"('55.68701', '37.577678')",11.882621197406532,0,0,0,0,0,1
"('55.686306', '37.538036')",10.111269394021702,0,0,0,0,0,2
"('55.702926', '37.580337')",13.259114716465392,0,0,0,0,0,1
"('55.693497', '37.58077')",12.522676725928562,0,0,0,0,0,1
"('55.676164', '37.579259')",11.174972980372335,0,0,0,0,0,1
"('55.6940437', '37.6040148')",13.640771599499091,0,0,0,0,0,1
"('55.689162', '37.598286')",13.015024073053668,0,0,0,0,0,1
"('55.679276', '37.57349')",11.113053388142648,0,0,0,0,0,1
"('55.682194', '37.578738')",11.575137208488268,0,0,0,0,0,1
"('55.675369', '37.55206')",9.820857608734842,0,0,0,0,1,1
"('55.683823', '37.577364')",11.629435269126562,0,0,0,0,0,1
"('55.685675', '37.581379')",11.955183198464495,0,0,0,0,0,1
"('55.696078', '37.563152')",11.966418400113136,0,0,0,0,0,1
"('55.686366', '37.582152')",12.042631534704327,0,0,0,0,0,1
"('55.684093', '37.597145')",12.605101831206724,0,0,0,0,0,1
"('55.672763', '37.560529')",10.022076119336456,0,0,0,0,0,2
"('55.678458', '37.564248')",10.616440029826503,0,0,0,0,0,2
"('55.67314', '37.57369')",10.691739740205216,0,0,0,0,0,2
"('55.687193', '37.56388')",11.276573271815954,0,0,0,0,0,1
"('55.670773', '37.571003')",10.397349036799001,0,0,0,0,0,2
"('55.693145', '37.546525')",11.038743142160985,0,0,0,0,0,1
"('55.673818', '37.565174')",10.321230914001625,0,0,0,0,0,2
"('55.683798', '37.537883')",9.890860478662265,0,0,0,0,1,1
"('55.678113', '37.548511')",9.877814456773168,0,0,0,0,1,1
"('55.677346', '37.565955')",10.614104185103832,0,0,0,0,0,2
"('55.692475', '37.551726')",11.19089481319105,0,0,0,0,0,1
"('55.68665', '37.592644')",12.563364648523537,0,0,0,0,0,1
"('55.680103', '37.581963')",11.581356733161394,0,0,0,0,0,1
"('55.68499', '37.595215')",12.57176524027435,0,0,0,0,0,1
"('55.670128', '37.57097')",10.352508020832323,0,0,0,0,0,2
"('55.69109', '37.542958')",10.719785630718558,0,0,0,0,0,1
"('55.684772', '37.585404')",12.080342683632706,0,0,0,0,0,1
"('55.674477', '37.570007')",10.602590803413394,0,0,0,0,0,2
"('55.682026', '37.566539')",10.991807154424183,0,0,0,0,0,1
"('55.691526', '37.538134')",10.570521638822369,0,0,0,0,0,2
"('55.681265', '37.582403')",11.68479515149765,0,0,0,0,0,1
"('55.693597', '37.577678')",12.393064149998617,0,0,0,0,0,1
"('55.692191', '37.562991')",11.641258330128768,0,0,0,0,0,1
"('55.680625', '37.559218')",10.551348680266752,0,0,0,0,0,2
"('55.68955', '37.56528')",11.526999160187351,0,0,0,0,0,1
"('55.687497', '37.543327')",10.426417305416612,0,0,0,0,0,2
"('55.688072', '37.569305')",11.585537776562257,0,0,0,0,0,1
"('55.67733', '37.571552')",10.87993352613647,0,0,0,0,0,2
"('55.670585', '37.566243')",10.147226608290868,0,0,0,0,0,2
"('55.693394', '37.557502')",11.506836119198947,0,0,0,0,0,1
"('55.694205', '37.566503')",11.95592264500706,0,0,0,0,0,1
"('55.672011', '37.570878')",10.474884896557853,0,0,0,0,0,2
"('55.689625', '37.564034')",11.479320614845962,0,0,0,0,0,1
"('55.683036', '37.585655')",11.968101490342645,0,0,0,0,0,1
"('55.691379', '37.604906')",13.493205172484247,0,0,0,0,0,1
"('55.688086', '37.565955')",11.438802876861873,0,0,0,0,0,1
"('55.67855', '37.593623')",12.055872854182303,0,0,0,0,0,1
"('55.687066', '37.56697')",11.402546392072766,0,0,0,0,0,1
"('55.690268', '37.553873')",11.095254371925536,0,0,0,0,0,1
"('55.695296', '37.575648')",12.439895173166994,0,0,0,0,0,1
"('55.683676', '37.582215')",11.848565928550682,0,0,0,0,0,1
"('55.677783', '37.560493')",10.39146941611234,0,0,0,0,0,2
"('55.692506', '37.558454')",11.473253103966538,0,0,0,0,0,1
"('55.701861', '37.580679')",13.187828193247626,0,0,0,0,0,1
"('55.661327', '37.509342')",6.826314681297004,0,0,0,0,1,1
"('55.650583', '37.563543')",8.796729998978511,0,0,0,0,1,1
"('55.663639', '37.486679')",6.1758809712872536,0,0,0,0,1,1
"('55.692317', '37.531551')",10.395882124976733,0,0,0,0,0,2
"('55.645136', '37.51697')",5.966998571190005,0,0,0,0,1,1
"('55.753169', '37.589796')",17.328010780909203,0,0,0,0,0,0
"('55.753129', '37.589096')",17.317617639621083,0,0,0,0,0,0
"('55.753286', '37.59657')",17.46213759452669,0,0,0,0,0,0
"('55.753114', '37.591566')",17.37111822373024,0,0,0,0,0,0
"('55.7531212', '37.5903682')",17.345029510502236,0,0,0,0,0,0
"('55.7270229', '37.561437')",14.651500520418479,0,0,0,0,0,1
"('55.727212', '37.583598')",15.463233967164408,0,0,0,0,0,0
"('55.748936', '37.595627')",17.870865241231375,0,0,0,0,0,0
"('55.747363', '37.594486')",17.685790628727315,0,0,0,0,0,0
"('55.741465', '37.540784')",15.432381882256246,0,0,0,0,0,0
"('55.757131', '37.617114')",17.572044646640443,0,0,0,0,0,0
"('55.720585', '37.567042')",14.253759056383661,0,0,0,0,0,1
"('55.749847', '37.579815')",17.41875595197576,0,0,0,0,0,0
"('55.7630905', '37.5930036')",16.363100397398714,0,0,0,0,0,0
"('55.760955', '37.611446')",17.035869890799546,0,0,0,0,0,0
"('55.744713', '37.5827')",17.030520628612994,0,0,0,0,0,0
"('55.742534', '37.545465')",15.667058742596236,0,0,0,0,0,0
