coords,eco_dump_closest_km,eco_dump_less500m,eco_dump_0.5-1km,eco_dump_1-3km,eco_dump_3-5km,eco_dump_5-10km,eco_dump_10-15km
"('55.735505', '37.635593')",18.28046942203129,0,0,0,0,0,0
"('55.732839', '37.622306')",17.495800399806775,0,0,0,0,0,0
"('55.65044', '37.34142')",6.651388252439909,0,0,0,0,2,0
"('55.776188', '37.586095')",14.847777669968531,0,0,0,0,0,1
"('55.749626', '37.537427')",16.174267993807476,0,0,0,0,0,0
"('55.751568', '37.535314')",16.321932032638216,0,0,0,0,0,0
"('55.702307', '37.515093')",10.808181785216096,0,0,0,0,0,1
"('55.765154', '37.603586')",16.406737033557825,0,0,0,0,0,0
"('55.716846', '37.508022')",12.094723275029834,0,0,0,0,0,1
"('55.6255029', '37.3040935')",7.4511808739565435,0,0,0,0,2,0
"('55.69731', '37.473725')",9.346548109272673,0,0,0,0,1,1
"('55.772684', '37.729664')",14.027186708655789,0,0,0,0,0,1
"('55.543419', '37.482277')",5.292531342421927,0,0,0,0,2,0
"('55.742954', '37.58051')",16.791392379140767,0,0,0,0,0,0
"('55.7119655', '37.9285327')",2.2471286214783253,0,0,1,1,4,1
"('55.817612', '37.745424')",15.401257188666372,0,0,0,0,0,0
"('55.625831', '37.641575')",12.799734975267773,0,0,0,0,0,1
"('55.757906', '37.606137')",17.21046967319745,0,0,0,0,0,0
"('55.790712', '37.474444')",12.202446714436944,0,0,0,0,0,2
"('55.7742587', '37.546541')",14.319493471145192,0,0,0,0,0,1
"('55.740451', '37.592716')",16.9910668187125,0,0,0,0,0,0
"('55.748577', '37.598557')",17.942109316542155,0,0,0,0,0,0
"('55.7538036', '37.5246841')",16.312020917391518,0,0,0,0,0,0
"('55.783539', '37.742016')",13.76474517090708,0,0,0,0,0,1
"('55.747323', '37.396371')",14.823912865373376,0,0,0,0,0,1
"('55.717589', '37.511643')",12.25794483555093,0,0,0,0,0,1
"('55.7498574', '37.6055674')",18.023784055391882,0,0,0,0,0,0
"('55.745868', '37.597926')",17.67230019389813,0,0,0,0,0,0
"('55.715753', '37.753964')",11.841691658590888,0,0,0,0,0,2
"('55.714699', '37.504701')",11.795393221365195,0,0,0,0,0,1
"('55.806687', '37.542949')",10.758817486776916,0,0,0,0,0,2
"('55.76317', '37.508592')",15.21800363979291,0,0,0,0,0,0
"('55.76643', '37.6137')",16.545861455750487,0,0,0,0,0,0
"('55.771211', '37.676134')",17.191839253166652,0,0,0,0,0,0
"('55.8088116', '37.5776144')",11.312472104446302,0,0,0,0,0,2
"('55.692318', '37.597594')",13.209494518324318,0,0,0,0,0,1
