coords,eco_factory_closest_km,eco_factory_less500m,eco_factory_0.5-1km,eco_factory_1-3km,eco_factory_3-5km,eco_factory_5-10km,eco_factory_10-15km
"('55.5213774', '37.3160383')",16.389485279802656,0,0,0,0,0,0
"('55.77396', '37.586293')",3.2526998890491843,0,0,0,3,4,9
"('55.720798', '37.444099')",1.3664255294916214,0,0,2,0,4,3
"('55.739352', '37.602606')",5.4284999396418465,0,0,0,0,7,6
"('55.76725', '37.584476')",3.9778719968959106,0,0,0,3,4,9
"('55.78564', '37.633266')",3.4309695394527355,0,0,0,2,5,7
"('55.789289', '37.491126')",2.1142655176714333,0,0,1,0,7,4
"('55.77854', '37.662956')",3.750909183255161,0,0,0,1,6,4
"('55.643769', '37.496075')",7.495772727963542,0,0,0,0,3,4
"('55.795853', '37.485538')",2.921955772285931,0,0,1,0,5,5
"('55.893369', '37.602058')",1.6552369046750364,0,0,1,0,4,5
"('55.771545', '37.568956')",3.5211852052522774,0,0,0,3,4,9
"('55.886782', '37.38988')",9.651073773793541,0,0,0,0,1,3
"('55.841278', '37.494442')",2.954846623970565,0,0,1,0,6,0
"('55.742043', '37.552498')",4.4175236054647815,0,0,0,1,6,7
"('55.83525', '37.643642')",4.688072889586376,0,0,0,1,4,9
"('55.8134352', '37.5849828')",0.9861444747650155,0,1,1,1,5,6
"('55.695625', '37.821663')",5.2292661335072195,0,0,0,0,4,3
"('55.715527', '37.477104')",2.0622859274185434,0,0,2,0,4,4
"('55.739534', '37.63341')",3.5814112510096643,0,0,0,1,7,6
"('55.684929', '37.533966')",4.677780809403838,0,0,0,1,3,6
"('55.6900645', '37.6548865')",2.976084099711354,0,0,1,1,3,10
"('55.703599', '37.516463')",4.423095658424499,0,0,0,2,2,9
"('55.806504', '37.449866')",4.4186102765104955,0,0,0,1,4,4
"('55.702763', '37.64046')",2.8055856928739025,0,0,1,1,4,9
"('55.700877', '37.622405')",1.9491940414606972,0,0,1,0,4,9
"('55.7220172', '37.6077158')",4.09059544699869,0,0,0,1,6,5
"('55.828217', '37.462414')",5.431737342742727,0,0,0,0,5,3
"('55.8170545', '37.7545798')",5.401615698945034,0,0,0,0,3,10
"('55.763245', '37.624822')",5.135608289125571,0,0,0,0,7,6
"('55.68153', '37.849888')",4.4114240334167025,0,0,0,1,1,5
"('55.7355913', '37.5720679')",5.768359392884016,0,0,0,0,7,6
"('55.853178', '37.608212')",3.4232133067666584,0,0,0,2,2,10
"('55.712766', '37.528064')",5.137327821376726,0,0,0,0,4,7
"('55.7439839', '37.5919617')",6.153030424469887,0,0,0,0,8,5
"('55.699886', '37.500745')",3.535853418245235,0,0,0,2,2,8
"('55.5512278', '37.3356786')",15.344887110232978,0,0,0,0,0,0
"('55.740928', '37.622118')",4.300760668714931,0,0,0,1,6,6
"('55.741683', '37.601726')",5.54743111208173,0,0,0,0,7,6
"('55.829598', '37.465955')",5.161767368926429,0,0,0,0,5,3
"('55.758402', '37.549282')",3.0297275129851484,0,0,0,1,6,6
"('55.756376', '37.54948')",3.167038841396235,0,0,0,1,6,6
"('55.756771', '37.592725')",5.207472782508062,0,0,0,0,7,7
"('55.779575', '37.706863')",1.2382472483241007,0,0,1,1,5,7
"('55.786166', '37.497836')",1.6086206416282898,0,0,1,0,7,4
"('55.699314', '37.511239')",4.189452463331983,0,0,0,2,2,8
"('55.735175', '37.44064')",2.9817012875866244,0,0,1,1,3,5
"('55.738292', '37.625972')",3.979647739936803,0,0,0,1,6,6
"('55.76447', '37.652958')",4.398070796019834,0,0,0,2,6,7
"('55.659573', '37.56007')",4.172750301470083,0,0,0,1,4,4
"('55.76963', '37.47916')",1.8873121939860331,0,0,1,0,6,3
"('55.763194', '37.62572')",5.164218656707454,0,0,0,0,7,6
"('55.733493', '37.609973')",4.85623838454053,0,0,0,1,6,6
"('55.738262', '37.420177')",3.6971636149247797,0,0,0,2,2,6
"('55.774137', '37.630769')",4.267366775128115,0,0,0,2,5,8
"('55.759384', '37.602894')",5.0819132481056375,0,0,0,0,7,7
"('55.810165', '37.651043')",3.797054496784554,0,0,0,2,6,7
"('55.768441', '37.62713')",4.682655556594015,0,0,0,2,5,8
"('55.770157', '37.635998')",4.8187195335980695,0,0,0,1,6,7
"('55.71304', '37.500944')",3.4471861663874117,0,0,0,2,2,7
"('55.73467', '37.616646')",4.460267358366846,0,0,0,1,6,6
"('55.700444', '37.51071')",4.127651220014779,0,0,0,2,2,8
"('55.807983', '37.450844')",4.539798583406106,0,0,0,1,4,4
"('55.754983', '37.647675')",3.8711244675856618,0,0,0,1,7,6
"('55.743923', '37.582655')",5.668348302289743,0,0,0,0,8,5
"('55.809348', '37.450872')",4.605258004852295,0,0,0,1,4,4
"('55.651811', '37.395635')",6.615699793161327,0,0,0,0,2,1
"('55.729807', '37.62978')",3.5794529287028323,0,0,0,1,6,6
"('55.669889', '37.556262')",3.696856906636468,0,0,0,1,3,6
"('55.817837', '37.464825')",5.692179515443487,0,0,0,0,5,3
"('55.642133', '37.601385')",4.823439391409715,0,0,0,1,2,7
"('55.77517', '37.674022')",3.008011736264834,0,0,0,2,4,7
"('55.747936', '37.599058')",5.931530252262041,0,0,0,0,7,6
"('55.7952463', '37.6114797')",1.696837527600314,0,0,2,0,8,5
"('55.669899', '37.515371')",5.890089220770911,0,0,0,0,3,4
"('55.730431', '37.574067')",5.469226855710214,0,0,0,0,7,6
"('55.776894', '37.630096')",3.9959212899131615,0,0,0,2,4,8
"('55.8170621', '37.7536315')",5.379949367367902,0,0,0,0,3,10
"('55.732012', '37.594054')",5.280055029037791,0,0,0,0,9,4
"('55.7482025', '37.6930091')",2.2781535064787217,0,0,1,2,5,5
"('55.775505', '37.594971')",3.222380220163573,0,0,0,2,5,8
"('55.709637', '37.591943')",2.9012562131137623,0,0,1,0,6,6
"('55.637195', '37.665668')",1.5422174820158174,0,0,1,0,4,5
"('55.7678312', '37.6190593')",4.522935926015808,0,0,0,2,5,9
"('55.74938', '37.534092')",3.0834093526066333,0,0,0,1,6,5
"('55.745797', '37.513107')",3.04804460451416,0,0,0,1,6,5
"('55.885332', '37.389095')",9.640962574692628,0,0,0,0,1,4
"('55.765205', '37.647486')",4.721051861345638,0,0,0,2,6,7
"('55.856432', '37.449641')",5.27639745510241,0,0,0,0,3,3
"('55.754303', '37.58563')",5.266289076026021,0,0,0,0,7,7
"('55.767477', '37.50025')",0.8131419347170222,0,1,0,1,5,6
"('55.674606', '37.568497')",2.773391549092934,0,0,1,0,5,6
"('55.747115', '37.539078')",3.464111909585234,0,0,0,1,6,6
"('55.733802', '37.438906')",2.846772606080616,0,0,1,1,3,5
"('55.8099435', '37.644094')",3.362524281201444,0,0,0,2,6,7
"('55.754814', '37.59013')",5.396159674325411,0,0,0,0,7,7
"('55.762733', '37.589745')",4.521305446127627,0,0,0,2,5,9
"('55.776041', '37.603631')",3.348592665202528,0,0,0,2,5,8
"('55.733964', '37.620905')",4.183560514322572,0,0,0,1,6,6
"('55.829633', '37.470455')",4.929612545772322,0,0,0,1,4,4
"('55.744941', '37.658886')",2.5650583118423476,0,0,1,1,7,6
"('55.763108', '37.634865')",5.0807466819946026,0,0,0,0,7,6
"('55.811452', '37.632799')",2.7027616583572893,0,0,1,1,7,6
"('55.677209', '37.528163')",5.122511602371085,0,0,0,0,3,6
"('55.744617', '37.51212')",3.1739797597315462,0,0,0,1,6,5
"('55.765854', '37.63352')",5.132811425730769,0,0,0,0,7,6
"('55.828941', '37.468784')",5.059619773967608,0,0,0,0,5,3
"('55.7417', '37.59354')",6.044174065517431,0,0,0,0,8,5
"('55.789026', '37.567887')",1.6520288055772214,0,0,2,1,4,8
"('55.717863', '37.442015')",1.0707817465504186,0,0,2,0,4,3
"('55.754801', '37.58455')",5.182095370790133,0,0,0,0,7,7
"('55.780846', '37.449147')",3.830935049322174,0,0,0,2,5,3
"('55.734354', '37.446866')",2.866169399863219,0,0,1,1,3,5
"('55.763187', '37.615112')",4.922308952178736,0,0,0,2,5,9
"('55.835483', '37.658338')",5.391353391323804,0,0,0,0,5,8
"('55.743005', '37.602256')",5.55761878929372,0,0,0,0,7,6
"('55.768962', '37.59825')",3.9780430405522713,0,0,0,2,5,9
"('55.7633955', '37.6147912')",4.894064462415739,0,0,0,2,5,9
"('55.683112', '37.521803')",5.413538830028975,0,0,0,0,3,7
"('55.740664', '37.60284')",5.449899292156505,0,0,0,0,7,6
"('55.7411641', '37.6230759')",4.253009218214213,0,0,0,1,6,6
"('55.75506', '37.59004')",5.3682434344311565,0,0,0,0,7,7
"('55.727952', '37.737578')",2.7476087551743062,0,0,1,2,5,4
"('55.88793', '37.617294')",0.5929108265779858,0,1,0,1,4,6
"('55.747966', '37.687102')",2.2168892205974315,0,0,1,2,5,5
"('55.720418', '37.608472')",3.9123714294686955,0,0,0,2,6,6
"('55.75939', '37.598968')",5.010355610635177,0,0,0,0,7,7
"('55.580742', '37.159881')",22.599528222194248,0,0,0,0,0,0
"('55.762783', '37.590443')",4.52330359845919,0,0,0,2,5,9
"('55.774674', '37.630831')",4.2212180342165695,0,0,0,2,4,9
"('55.79848', '37.520671')",2.930029870933104,0,0,1,2,3,9
"('55.769479', '37.622738')",4.452327261932286,0,0,0,2,5,8
"('55.641834', '37.48491')",7.421157942775222,0,0,0,0,3,4
"('55.755383', '37.596579')",5.407121486948876,0,0,0,0,7,7
"('55.765073', '37.582799')",4.209798360492832,0,0,0,3,3,11
"('55.789406', '37.569539')",1.5759451615089362,0,0,2,1,4,9
"('55.589147', '37.456388')",10.126362189972722,0,0,0,0,0,5
"('55.68172', '37.49094')",3.866584994916692,0,0,0,2,1,8
"('55.756376', '37.508975')",1.857250802971051,0,0,1,0,6,5
"('55.711681', '37.519512')",4.591698171667089,0,0,0,2,2,9
"('55.615765', '37.738006')",4.494847746598729,0,0,0,1,3,5
"('55.7956', '37.706667')",2.7677695093230925,0,0,1,0,6,7
"('55.707436', '37.784157')",3.6478005256383876,0,0,0,1,5,2
"('55.826554', '37.65028')",4.401124507948864,0,0,0,1,4,8
"('55.751974', '37.578855')",4.995358026799331,0,0,0,1,7,7
"('55.716468', '37.619028')",3.53708821948363,0,0,0,2,5,8
"('55.664538', '37.473483')",4.803785768473012,0,0,0,1,2,4
"('55.722527', '37.613503')",4.159888516886994,0,0,0,2,6,6
"('55.72386', '37.610054')",4.29694520630837,0,0,0,2,5,6
"('55.785366', '37.479824')",2.267437814903338,0,0,1,0,7,3
"('55.7457189', '37.5925871')",6.087513074448489,0,0,0,0,7,6
"('55.723521', '37.58694')",4.465205206392229,0,0,0,1,6,6
"('55.74192', '37.598015')",5.778992977196875,0,0,0,0,7,6
"('55.748589', '37.591351')",5.8651977128365065,0,0,0,0,7,6
"('55.751447', '37.703775')",2.371765393617314,0,0,3,0,7,3
"('55.7499998', '37.6990018')",2.5630661538319024,0,0,3,0,7,3
"('55.7515567', '37.7105369')",1.9471225244177155,0,0,2,1,5,5
"('55.751928', '37.696364')",2.7267352463243073,0,0,3,0,7,3
"('55.753235', '37.70709')",2.161910036146257,0,0,2,1,6,4
"('55.752445', '37.71445')",1.6983962248950855,0,0,2,2,3,7
"('55.756072', '37.706128')",2.0456311453942173,0,0,2,1,6,4
"('55.75667', '37.70716')",1.9563773612896613,0,0,2,1,5,5
"('55.745595', '37.704754')",2.2592126789956293,0,0,2,1,5,5
"('55.753225', '37.706973')",2.1692120206234353,0,0,2,1,6,4
"('55.751017', '37.6985938')",2.6639165803324527,0,0,3,0,7,3
"('55.747535', '37.702966')",2.398250288275598,0,0,3,0,7,3
"('55.773773', '37.687839')",2.1299887890578946,0,0,1,1,5,6
"('55.75527', '37.657806')",3.5307771758134634,0,0,0,2,6,7
"('55.751817', '37.716144')",1.5939976701886496,0,0,2,2,3,7
"('55.7524872', '37.7055563')",2.2568170204924356,0,0,3,0,7,3
"('55.749927', '37.704736')",2.326529844297817,0,0,3,0,7,3
"('55.74342', '37.720467')",1.6653124530714367,0,0,2,2,3,7
"('55.751206', '37.7001934')",2.597787655729778,0,0,3,0,7,3
"('55.748539', '37.70337')",2.4351173069598078,0,0,3,0,7,3
"('55.788216', '37.671272')",3.6290393091630957,0,0,0,1,5,6
"('55.771104', '37.703865')",1.1241685102902954,0,0,1,2,4,7
"('55.751959', '37.686006')",2.6616144015730194,0,0,1,2,5,6
"('55.751568', '37.71495')",1.6704369321969441,0,0,2,2,4,6
"('55.752267', '37.7002331')",2.591234280165753,0,0,3,0,7,3
"('55.740406', '37.627445')",3.966307625313091,0,0,0,1,6,6
"('55.677159', '37.695348')",3.728979170548627,0,0,0,1,5,4
"('55.752708', '37.645564')",3.7680802728657876,0,0,0,1,7,6
"('55.7406555', '37.6665063')",1.8899296077469292,0,0,1,2,5,7
"('55.720121', '37.690686')",0.9188436829718799,0,1,0,2,4,6
"('55.747703', '37.688297')",2.189834043573764,0,0,1,2,5,5
"('55.71954', '37.690896')",0.9846796018271651,0,1,0,2,4,6
"('55.681442', '37.6555')",2.9974770971631877,0,0,1,1,3,10
"('55.719433', '37.656871')",2.104090122868007,0,0,1,1,5,7
"('55.674473', '37.667501')",3.6078849825782124,0,0,0,2,3,9
"('55.6898201', '37.6558154')",3.028928583937055,0,0,0,2,2,11
"('55.719315', '37.66175')",1.8435210128271864,0,0,1,0,6,6
"('55.702186', '37.684856')",2.8825270403303946,0,0,1,0,7,5
"('55.697453', '37.633976')",2.1066839262054584,0,0,1,1,4,9
"('55.714191', '37.670914')",1.8338319991080931,0,0,1,0,6,7
"('55.699938', '37.635314')",2.3543626850402934,0,0,1,1,4,9
"('55.694114', '37.665183')",3.7082685857572746,0,0,0,2,4,9
"('55.6892303', '37.6536623')",2.884775192234117,0,0,1,1,3,10
"('55.720802', '37.661785')",1.759762545996058,0,0,1,0,6,6
"('55.6968553', '37.6359431')",2.162519404077635,0,0,1,1,4,9
"('55.717518', '37.659748')",2.0586179080585687,0,0,1,1,5,8
"('55.70457', '37.670868')",2.7970356885107104,0,0,1,1,5,8
"('55.72108', '37.664867')",1.574689526521724,0,0,1,0,6,6
"('55.698208', '37.647504')",2.8531988357573863,0,0,1,1,4,9
"('55.70128', '37.642654')",2.7986447365965437,0,0,1,1,4,9
"('55.698361', '37.635296')",2.235391610803083,0,0,1,1,4,9
"('55.703155', '37.672792')",2.9063090305090205,0,0,1,1,5,8
"('55.6996661', '37.6368671')",2.4054366688160824,0,0,1,1,4,9
"('55.713234', '37.67484')",1.809879868067322,0,0,1,0,6,7
"('55.688923', '37.6556035')",3.000690449027344,0,0,0,2,2,11
"('55.694322', '37.63676')",2.0518758519536093,0,0,1,1,3,10
"('55.71148', '37.658733')",2.547078579546364,0,0,1,1,5,8
"('55.702495', '37.669881')",3.0351374883077806,0,0,0,2,4,9
"('55.700613', '37.633634')",2.3337928167388253,0,0,1,1,4,9
"('55.683194', '37.648277')",2.5231892107987752,0,0,1,1,3,10
"('55.703814', '37.640138')",2.873860878884587,0,0,1,1,4,9
"('55.6988237', '37.6385601')",2.426509543488105,0,0,1,1,4,9
"('55.715748', '37.675415')",1.5420016669237453,0,0,1,0,6,7
"('55.700704', '37.660961')",3.447337867433579,0,0,0,2,4,9
"('55.70073', '37.631586')",2.257871026887252,0,0,1,1,4,9
"('55.6903564', '37.655683')",3.031266093307001,0,0,0,2,2,11
"('55.6988708', '37.6385646')",2.429992749770221,0,0,1,1,4,9
"('55.703581', '37.661078')",3.164165810753117,0,0,0,2,4,9
"('55.6987549', '37.6362756')",2.310702749255856,0,0,1,1,4,9
"('55.707806', '37.67393')",2.392454197091706,0,0,1,1,5,8
"('55.690187', '37.657781')",3.1576869592543146,0,0,0,2,3,10
"('55.695611', '37.662371')",3.5879200571290992,0,0,0,2,4,9
"('55.682727', '37.584829')",1.5054567621673822,0,0,1,0,5,8
"('55.686909', '37.593695')",0.9384308560016754,0,1,0,1,4,9
"('55.693084', '37.59613')",1.1594569672534258,0,0,1,0,5,8
"('55.678199', '37.596731')",1.0741562954475545,0,0,1,0,3,10
"('55.690256', '37.5530337')",3.5219233801105347,0,0,0,1,5,6
"('55.6811648', '37.5948427')",0.9642536229798426,0,1,0,1,4,9
"('55.68701', '37.577678')",1.9377404543448622,0,0,1,0,5,7
"('55.686306', '37.538036')",4.423023408893746,0,0,0,1,3,8
"('55.702926', '37.580337')",2.6382026313399622,0,0,1,0,6,6
"('55.693497', '37.58077')",1.9601980007526012,0,0,1,0,6,6
"('55.676164', '37.579259')",2.091565974115878,0,0,1,0,5,7
"('55.6940437', '37.6040148')",1.013021879172131,0,0,1,0,3,10
"('55.689162', '37.598286')",0.7657087503149376,0,1,0,1,4,9
"('55.679276', '37.57349')",2.2913581145425104,0,0,1,0,5,6
"('55.682194', '37.578738')",1.8929658100662776,0,0,1,0,5,8
"('55.675369', '37.55206')",3.7078821280154473,0,0,0,1,3,7
"('55.683823', '37.577364')",1.9546748527066042,0,0,1,0,5,7
"('55.685675', '37.581379')",1.6959431044074027,0,0,1,0,5,8
"('55.696078', '37.563152')",3.085389554108973,0,0,0,1,5,6
"('55.686366', '37.582152')",1.6511812274680462,0,0,1,0,5,8
"('55.684093', '37.597145')",0.7159835305199955,0,1,0,1,4,9
"('55.672763', '37.560529')",3.31440982137194,0,0,0,1,3,7
"('55.678458', '37.564248')",2.875211883444325,0,0,1,0,5,6
"('55.67314', '37.57369')",2.5643331160352325,0,0,1,0,5,6
"('55.687193', '37.56388')",2.804091634334193,0,0,1,0,5,6
"('55.670773', '37.571003')",2.850123398319748,0,0,1,0,5,5
"('55.693145', '37.546525')",3.98471741335319,0,0,0,1,4,8
"('55.673818', '37.565174')",2.9999058054933445,0,0,1,0,5,6
"('55.683798', '37.537883')",4.434370055715466,0,0,0,1,2,8
"('55.678113', '37.548511')",3.8467030004158755,0,0,0,1,3,7
"('55.677346', '37.565955')",2.808268295177458,0,0,1,0,5,6
"('55.692475', '37.551726')",3.649246453546179,0,0,0,1,4,7
"('55.68665', '37.592644')",0.9985555916571647,0,1,0,1,4,9
"('55.680103', '37.581963')",1.755968059510443,0,0,1,0,5,8
"('55.68499', '37.595215')",0.8257329561765433,0,1,0,1,4,9
"('55.670128', '37.57097')",2.893120743319209,0,0,1,0,6,4
"('55.69109', '37.542958')",4.162313851604563,0,0,0,1,4,8
"('55.684772', '37.585404')",1.4433169327706556,0,0,1,0,5,8
"('55.674477', '37.570007')",2.69425170473665,0,0,1,0,5,6
"('55.682026', '37.566539')",2.653719098636245,0,0,1,0,5,6
"('55.691526', '37.538134')",4.469548907456414,0,0,0,1,3,9
"('55.681265', '37.582403')",1.6911383985147268,0,0,1,0,5,8
"('55.693597', '37.577678')",2.1388980766021457,0,0,1,0,6,6
"('55.692191', '37.562991')",2.953747793602219,0,0,1,0,6,5
"('55.680625', '37.559218')",3.132592807905139,0,0,0,1,4,7
"('55.68955', '37.56528')",2.7492909714219325,0,0,1,0,6,5
"('55.687497', '37.543327')",4.096143992677015,0,0,0,1,3,8
"('55.688072', '37.569305')",2.47436051623576,0,0,1,0,5,6
"('55.67733', '37.571552')",2.4771622646085723,0,0,1,0,5,6
"('55.670585', '37.566243')",3.112467916864527,0,0,0,1,4,6
"('55.693394', '37.557502')",3.322129521761567,0,0,0,1,5,6
"('55.694205', '37.566503')",2.8122459449415325,0,0,1,0,6,6
"('55.672011', '37.570878')",2.7809782986569087,0,0,1,0,5,6
"('55.689625', '37.564034')",2.8279240094737474,0,0,1,0,6,5
"('55.683036', '37.585655')",1.448136273820909,0,0,1,0,5,8
"('55.691379', '37.604906')",0.7126381426379834,0,1,0,1,2,11
"('55.688086', '37.565955')",2.683703811929197,0,0,1,0,5,6
"('55.67855', '37.593623')",1.1905141806825954,0,0,1,0,5,8
"('55.687066', '37.56697')",2.609230746451315,0,0,1,0,5,6
"('55.690268', '37.553873')",3.470016529655734,0,0,0,1,5,6
"('55.695296', '37.575648')",2.338690965979422,0,0,1,0,6,6
"('55.683676', '37.582215')",1.6524796112970535,0,0,1,0,5,8
"('55.677783', '37.560493')",3.1229199750936645,0,0,0,1,4,7
"('55.692506', '37.558454')",3.2386166284238826,0,0,0,1,5,6
"('55.701861', '37.580679')",2.5363421998727853,0,0,1,0,6,6
"('55.661327', '37.509342')",6.301539890618943,0,0,0,0,3,4
"('55.650583', '37.563543')",4.781741086006103,0,0,0,1,4,4
"('55.663639', '37.486679')",5.26280165592488,0,0,0,0,3,4
"('55.692317', '37.531551')",4.892244093973985,0,0,0,1,3,9
"('55.645136', '37.51697')",7.282282702488981,0,0,0,0,4,4
"('55.753169', '37.589796')",5.556507809033616,0,0,0,0,7,7
"('55.753129', '37.589096')",5.518024792844319,0,0,0,0,7,7
"('55.753286', '37.59657')",5.635089812257912,0,0,0,0,7,7
"('55.753114', '37.591566')",5.596759184779397,0,0,0,0,7,7
"('55.7531212', '37.5903682')",5.584840030102339,0,0,0,0,7,7
"('55.7270229', '37.561437')",5.503896948039583,0,0,0,0,7,6
"('55.727212', '37.583598')",4.920922234918693,0,0,0,1,6,7
"('55.748936', '37.595627')",6.087033781479421,0,0,0,0,7,6
"('55.747363', '37.594486')",6.103033408746992,0,0,0,0,7,6
"('55.741465', '37.540784')",4.056010271579125,0,0,0,1,6,6
