coords,eco_thermal_closest_km,eco_thermal_less500m,eco_thermal_0.5-1km,eco_thermal_1-3km,eco_thermal_3-5km,eco_thermal_5-10km,eco_thermal_10-15km
"('55.735505', '37.635593')",3.5804256119546354,0,0,0,4,19,24
"('55.732839', '37.622306')",3.641117307949888,0,0,0,4,18,24
"('55.65044', '37.34142')",1.3523677300881694,0,0,2,2,6,7
"('55.776188', '37.586095')",3.6645179160829726,0,0,0,5,14,29
"('55.749626', '37.537427')",1.2884420249164001,0,0,3,2,17,31
"('55.751568', '37.535314')",1.036075328019354,0,0,3,2,17,29
"('55.702307', '37.515093')",3.788060917340344,0,0,0,6,16,22
"('55.765154', '37.603586')",3.3168445251291265,0,0,0,3,18,26
"('55.716846', '37.508022')",2.1180718525267515,0,0,1,6,13,27
"('55.6255029', '37.3040935')",2.906926194554803,0,0,1,1,4,6
"('55.69731', '37.473725')",1.4302205030094222,0,0,2,3,18,12
"('55.772684', '37.729664')",2.259792777834461,0,0,1,3,11,23
"('55.543419', '37.482277')",2.7554237778606914,0,0,1,0,6,9
"('55.742954', '37.58051')",1.4136160302530296,0,0,1,3,20,25
"('55.7119655', '37.9285327')",2.629958363718991,0,0,1,3,2,7
"('55.817612', '37.745424')",1.1782500450002569,0,0,3,0,15,8
"('55.625831', '37.641575')",0.4033081341208792,1,0,2,8,9,20
"('55.757906', '37.606137')",3.714909586839219,0,0,0,3,19,26
"('55.790712', '37.474444')",2.0531997187274866,0,0,1,2,17,16
"('55.7742587', '37.546541')",1.956118341278527,0,0,2,2,13,30
"('55.740451', '37.592716')",1.9908812446047965,0,0,1,2,19,21
"('55.748577', '37.598557')",2.703656617334828,0,0,1,2,19,24
"('55.7538036', '37.5246841')",0.7269338597780683,0,2,1,5,13,35
"('55.783539', '37.742016')",3.055265852436066,0,0,0,4,9,22
"('55.747323', '37.396371')",1.2252604594105405,0,0,2,2,10,15
"('55.717589', '37.511643')",2.145120877731022,0,0,1,6,13,27
"('55.7498574', '37.6055674')",3.1537627190849595,0,0,0,3,19,22
"('55.745868', '37.597926')",2.5191798064923834,0,0,1,1,20,21
"('55.715753', '37.753964')",2.522991750379339,0,0,1,2,12,18
"('55.714699', '37.504701')",2.273863687532883,0,0,1,5,15,25
"('55.806687', '37.542949')",3.4044484172107308,0,0,0,3,20,20
"('55.76317', '37.508592')",0.9638326899713879,0,1,2,4,13,33
"('55.76643', '37.6137')",2.7771418468093394,0,0,1,1,19,24
"('55.771211', '37.676134')",2.6691486286247716,0,0,1,3,13,24
"('55.8088116', '37.5776144')",1.3509384646720377,0,0,2,3,15,23
"('55.692318', '37.597594')",1.0343624386514527,0,0,3,4,18,21
"('55.758068', '37.419117')",1.6325649100715802,0,0,2,2,13,16
"('55.730101', '37.630939')",3.118849622165128,0,0,0,4,18,26
"('55.67638', '37.642')",1.1361581859997272,0,0,5,6,12,22
"('55.675346', '37.541386')",3.9826436054248,0,0,0,5,18,19
"('55.749633', '37.577561')",1.8406372401183428,0,0,1,2,19,26
"('55.781626', '37.734578')",3.0824421409633,0,0,0,3,10,21
"('55.746227', '37.63473')",4.4047646914179515,0,0,0,4,18,25
"('55.725534', '37.570501')",1.22900260250532,0,0,1,4,16,25
"('55.76565', '37.594926')",3.6978147827960592,0,0,0,3,18,25
"('55.768405', '37.626187')",2.1557089808066925,0,0,1,1,19,22
"('55.790529', '37.569063')",3.28984524460816,0,0,0,5,13,30
"('55.76705', '37.61186')",2.8013407723595596,0,0,1,2,18,25
"('55.757492', '37.399048')",1.3879711676670734,0,0,2,1,14,13
"('55.863544', '37.47846')",0.26531531896260324,1,0,2,4,9,19
"('55.747652', '37.61777')",3.739372605151007,0,0,0,2,20,21
"('55.74446', '37.613018')",3.3404608935648694,0,0,0,2,20,21
"('55.784997', '37.526636')",1.4471640859088242,0,0,2,1,17,26
"('55.809085', '37.448482')",3.6004445789117794,0,0,0,4,13,19
"('55.723004', '37.575468')",1.6244217326605668,0,0,2,0,21,20
"('55.697238', '37.476732')",1.6101914466559462,0,0,2,3,19,12
"('55.759897', '37.644477')",2.862570492243403,0,0,1,0,20,22
"('55.822979', '37.526735')",4.307154688495717,0,0,0,2,21,12
"('55.64191', '37.34936')",2.0178001881245975,0,0,2,2,6,8
"('55.731891', '37.539922')",1.4597168186358294,0,0,2,4,15,29
"('55.69316', '37.470599')",1.1742094082308485,0,0,2,3,17,13
"('55.738698', '37.593039')",1.966348629914342,0,0,1,2,19,23
"('55.763933', '37.60929')",3.168150169371306,0,0,0,2,19,24
"('55.77796', '37.600594')",2.737129392423358,0,0,1,4,18,25
"('55.71268', '37.517698')",2.8089907782428494,0,0,1,6,14,25
"('55.900103', '37.585745')",4.940263472526881,0,0,0,1,9,15
"('55.701262', '37.651583')",0.3784053981246054,1,0,3,4,14,27
"('55.904835', '37.38836')",2.270892386444908,0,0,1,0,10,1
"('55.643658', '37.539455')",3.413180263293772,0,0,0,4,15,20
"('55.5677654', '37.4416839')",5.490388297862963,0,0,0,0,5,15
"('55.841561', '37.495863')",2.806532998361243,0,0,1,3,16,16
"('55.718633', '37.623214')",2.372440355612921,0,0,1,4,15,26
"('55.694784', '37.581559')",0.6734769475213391,0,1,1,6,15,25
"('55.726894', '37.574345')",1.226781367127237,0,0,1,3,19,22
"('55.733917', '37.614754')",3.303846326255405,0,0,0,3,20,22
"('55.757214', '37.64955')",3.1919861510250715,0,0,0,2,17,25
"('55.588949', '37.60081')",1.870355962972016,0,0,2,2,16,10
"('55.637393', '37.600388')",0.948365675508481,0,1,4,4,13,23
"('55.898916', '37.379034')",1.5196854946570106,0,0,1,1,9,3
"('55.745083', '37.49736')",1.2073359853207595,0,0,4,2,10,34
"('55.834421', '37.659596')",0.9458447629404197,0,1,2,9,5,23
"('55.790975', '37.634182')",0.7790954582319978,0,1,2,3,18,21
"('55.795423', '37.495276')",1.5159792886360888,0,0,1,2,19,17
"('55.763265', '37.514994')",0.9128729362962692,0,2,1,5,11,35
"('55.7407086', '37.6011763')",2.5125323586779262,0,0,1,1,20,21
"('55.763072', '37.58968')",3.5164539759174556,0,0,0,4,15,28
"('55.760915', '37.554861')",1.668491319660155,0,0,3,2,17,27
"('55.7182621', '37.4771618')",1.7183941070474398,0,0,2,5,11,24
"('55.807435', '37.448662')",3.7429021217586973,0,0,0,4,13,19
"('55.7753205', '37.6300127')",1.3694859880266854,0,0,1,3,19,22
"('55.681183', '37.495808')",3.086392114077942,0,0,0,2,20,15
"('55.5213774', '37.3160383')",10.520597783386746,0,0,0,0,0,3
"('55.77396', '37.586293')",3.7312396653810045,0,0,0,5,14,29
"('55.720798', '37.444099')",1.4849164269862345,0,0,3,3,13,21
"('55.739352', '37.602606')",2.5708689510668106,0,0,1,2,19,22
"('55.76725', '37.584476')",3.6155255520576444,0,0,0,4,16,28
"('55.78564', '37.633266')",0.5526457779558936,0,1,0,5,17,21
"('55.789289', '37.491126')",1.0871122104431146,0,0,1,2,19,16
"('55.77854', '37.662956')",1.5263099163746694,0,0,1,3,19,18
"('55.643769', '37.496075')",3.702501371177933,0,0,0,1,18,17
"('55.795853', '37.485538')",1.8634543381613924,0,0,1,2,20,14
"('55.893369', '37.602058')",4.528696443335301,0,0,0,4,8,15
"('55.771545', '37.568956')",2.8555504078661267,0,0,1,4,12,32
"('55.886782', '37.38988')",0.7586143058628806,0,1,0,4,6,7
"('55.841278', '37.494442')",2.8087128431526778,0,0,1,3,15,17
"('55.742043', '37.552498')",0.9479782037221277,0,1,2,2,21,27
"('55.83525', '37.643642')",1.0320023026968796,0,0,3,6,8,22
"('55.8134352', '37.5849828')",0.6782020288053924,0,1,2,4,13,23
"('55.695625', '37.821663')",2.23274319372115,0,0,1,2,9,14
"('55.715527', '37.477104')",1.9822262821406214,0,0,4,3,14,20
"('55.739534', '37.63341')",4.049473736967957,0,0,0,3,18,25
"('55.684929', '37.533966')",3.76007758493147,0,0,0,1,22,15
"('55.6900645', '37.6548865')",1.6372384104950952,0,0,4,6,11,30
"('55.703599', '37.516463')",3.683939985013912,0,0,0,6,16,22
"('55.806504', '37.449866')",3.8704942956007455,0,0,0,4,13,19
"('55.702763', '37.64046')",0.7381405708309923,0,1,1,7,14,28
"('55.700877', '37.622405')",1.8899572858401452,0,0,3,4,17,25
"('55.7220172', '37.6077158')",2.7811257966462533,0,0,1,3,17,23
"('55.828217', '37.462414')",2.7358379557920007,0,0,2,4,13,17
"('55.8170545', '37.7545798')",1.339144175620587,0,0,3,0,14,8
"('55.763245', '37.624822')",2.7113729705961416,0,0,1,1,18,23
"('55.68153', '37.849888')",2.3188343283191246,0,0,1,2,6,12
"('55.7355913', '37.5720679')",0.6173965770175089,0,1,0,5,17,26
"('55.853178', '37.608212')",0.7759247547760393,0,1,0,8,7,21
"('55.712766', '37.528064')",3.1852188744991077,0,0,0,5,14,24
"('55.7439839', '37.5919617')",2.0902137851974194,0,0,1,2,19,21
"('55.699886', '37.500745')",3.147152782188414,0,0,0,4,18,17
"('55.5512278', '37.3356786')",8.035888545360702,0,0,0,0,1,8
"('55.740928', '37.622118')",3.808704977641196,0,0,0,2,19,22
"('55.741683', '37.601726')",2.5728163178443526,0,0,1,1,20,21
"('55.829598', '37.465955')",2.85597523181272,0,0,2,4,13,16
"('55.758402', '37.549282')",1.327161145188117,0,0,3,2,17,27
"('55.756376', '37.54948')",1.3876045252170222,0,0,3,2,17,28
"('55.756771', '37.592725')",3.041846459566246,0,0,0,3,17,27
"('55.779575', '37.706863')",3.292319213868474,0,0,0,4,13,21
"('55.786166', '37.497836')",0.542437778668683,0,1,0,3,17,20
"('55.699314', '37.511239')",3.782201023050606,0,0,0,5,19,16
"('55.735175', '37.44064')",1.4532248063537543,0,0,3,5,9,25
"('55.738292', '37.625972')",4.015093824847381,0,0,0,4,17,25
"('55.76447', '37.652958')",2.4467181324804987,0,0,1,0,20,18
"('55.659573', '37.56007')",2.6628498271436594,0,0,2,5,16,22
"('55.76963', '37.47916')",2.130006746172906,0,0,2,4,12,27
"('55.763194', '37.62572')",2.6946163129275704,0,0,1,0,20,21
"('55.733493', '37.609973')",3.0072260279645047,0,0,0,3,20,23
"('55.738262', '37.420177')",0.5785056618102312,0,1,2,3,11,19
"('55.774137', '37.630769')",1.4574256709791407,0,0,1,2,20,21
"('55.759384', '37.602894')",3.6831413747160324,0,0,0,3,18,26
"('55.810165', '37.651043')",0.25763979888316363,1,0,4,4,13,20
"('55.768441', '37.62713')",2.1253916394721277,0,0,1,1,19,21
"('55.770157', '37.635998')",1.7581115531624896,0,0,1,2,18,22
"('55.71304', '37.500944')",2.4027881669267104,0,0,1,6,14,24
"('55.73467', '37.616646')",3.4190949007701956,0,0,0,3,19,22
"('55.700444', '37.51071')",3.772704690707331,0,0,0,5,18,17
"('55.807983', '37.450844')",3.7915408380614286,0,0,0,4,13,19
"('55.754983', '37.647675')",3.4238014944020314,0,0,0,2,20,22
"('55.743923', '37.582655')",1.586002022680723,0,0,1,3,19,26
"('55.809348', '37.450872')",3.6850900906913404,0,0,0,4,14,18
"('55.651811', '37.395635')",0.9380366630100417,0,1,3,1,9,15
"('55.729807', '37.62978')",3.120633193528453,0,0,0,4,18,26
"('55.669889', '37.556262')",3.3080513731200045,0,0,0,6,18,21
"('55.817837', '37.464825')",3.583368803149282,0,0,0,5,15,16
"('55.642133', '37.601385')",0.584374816273409,0,1,3,6,11,25
"('55.77517', '37.674022')",2.3151145163228426,0,0,1,3,17,19
"('55.747936', '37.599058')",2.6930096548379483,0,0,1,2,19,22
"('55.7952463', '37.6114797')",1.8609727002077867,0,0,3,2,17,23
"('55.669899', '37.515371')",4.7841877489715126,0,0,0,1,21,14
"('55.730431', '37.574067')",0.9357372115430301,0,1,0,4,18,22
"('55.776894', '37.630096')",1.2240752534848647,0,0,1,4,18,23
"('55.8170621', '37.7536315')",1.396114377440968,0,0,3,0,15,7
"('55.732012', '37.594054')",2.0368208437924613,0,0,1,2,21,21
"('55.7482025', '37.6930091')",2.493241869695342,0,0,3,0,19,19
"('55.775505', '37.594971')",3.1609126230756672,0,0,0,5,15,29
"('55.709637', '37.591943')",1.133724371256178,0,0,1,4,20,20
"('55.637195', '37.665668')",1.6294108427285188,0,0,3,7,11,18
"('55.7678312', '37.6190593')",2.446889295685303,0,0,1,1,19,23
"('55.74938', '37.534092')",1.2364568639109184,0,0,4,2,16,31
"('55.745797', '37.513107')",0.9963652601935593,0,1,2,4,13,32
"('55.885332', '37.389095')",0.6908183539759718,0,1,0,4,6,8
"('55.765205', '37.647486')",2.2929078877518005,0,0,1,0,18,22
"('55.856432', '37.449641')",1.0347314976533226,0,0,5,2,10,17
"('55.754303', '37.58563')",2.553792996533179,0,0,1,3,17,27
"('55.767477', '37.50025')",1.5986358515112666,0,0,3,2,16,29
"('55.674606', '37.568497')",2.777367422883647,0,0,1,5,18,19
"('55.747115', '37.539078')",1.5853088952516559,0,0,3,2,16,32
"('55.733802', '37.438906')",1.5235812778945943,0,0,3,4,10,24
"('55.8099435', '37.644094')",0.5201419198729927,0,1,3,4,13,21
"('55.754814', '37.59013')",2.770005094681224,0,0,1,3,17,27
"('55.762733', '37.589745')",3.485626161549175,0,0,0,4,15,28
"('55.776041', '37.603631')",2.635222878575248,0,0,1,2,17,27
"('55.733964', '37.620905')",3.6894761596612633,0,0,0,3,19,23
"('55.829633', '37.470455')",3.1094854166815735,0,0,0,6,11,18
"('55.744941', '37.658886')",3.50947001862874,0,0,0,5,15,26
"('55.763108', '37.634865')",2.5416777587725954,0,0,1,0,20,21
