coords,eco_thermal_closest_km,eco_thermal_less500m,eco_thermal_0.5-1km,eco_thermal_1-3km,eco_thermal_3-5km,eco_thermal_5-10km,eco_thermal_10-15km
"('55.811452', '37.632799')",0.9538978017151416,0,1,4,2,16,18
"('55.677209', '37.528163')",4.507100017943197,0,0,0,1,22,14
"('55.744617', '37.51212')",1.1251174020183832,0,0,3,3,14,31
"('55.765854', '37.63352')",2.260031770151913,0,0,1,0,20,20
"('55.828941', '37.468784')",3.047324665786922,0,0,0,6,11,19
"('55.7417', '37.59354')",2.0822434287340577,0,0,1,2,19,21
"('55.789026', '37.567887')",3.4720309991196125,0,0,0,5,12,31
"('55.717863', '37.442015')",1.2221181395143583,0,0,4,2,14,19
"('55.754801', '37.58455')",2.561619057420663,0,0,1,3,16,29
"('55.780846', '37.449147')",3.130448723741657,0,0,0,4,16,16
"('55.734354', '37.446866')",1.0527282875747643,0,0,3,5,9,27
"('55.763187', '37.615112')",3.0123858655476883,0,0,0,2,17,25
"('55.835483', '37.658338')",0.8078860633225168,0,1,5,6,8,20
"('55.743005', '37.602256')",2.647341776596575,0,0,1,1,20,21
"('55.768962', '37.59825')",3.313987832035846,0,0,0,4,17,26
"('55.7633955', '37.6147912')",3.0046319585613146,0,0,0,2,17,25
"('55.683112', '37.521803')",4.538904989668572,0,0,0,3,21,15
"('55.740664', '37.60284')",2.613280604036648,0,0,1,1,20,21
"('55.7411641', '37.6230759')",3.8722872693254606,0,0,0,2,19,22
"('55.75506', '37.59004')",2.7877301484910584,0,0,1,3,17,27
"('55.727952', '37.737578')",0.8213923158000418,0,1,2,1,17,16
"('55.88793', '37.617294')",3.845892583103147,0,0,0,4,8,15
"('55.747966', '37.687102')",2.831245459847901,0,0,2,1,18,20
"('55.720418', '37.608472')",2.6467105881016573,0,0,1,3,17,23
"('55.75939', '37.598968')",3.517238893494319,0,0,0,3,16,28
"('55.580742', '37.159881')",7.469315896935949,0,0,0,0,1,0
"('55.762783', '37.590443')",3.512358209928438,0,0,0,3,16,27
"('55.774674', '37.630831')",1.403536409976891,0,0,1,2,20,21
"('55.79848', '37.520671')",2.0458903854437813,0,0,1,2,19,19
"('55.769479', '37.622738')",2.1639345223065423,0,0,1,1,19,23
"('55.641834', '37.48491')",3.768264908292246,0,0,0,2,15,20
"('55.755383', '37.596579')",3.0873324263018924,0,0,0,3,18,27
"('55.765073', '37.582799')",3.4654300412001873,0,0,0,4,16,26
"('55.789406', '37.569539')",3.385948530902647,0,0,0,5,12,31
"('55.589147', '37.456388')",4.363647342449024,0,0,0,1,7,19
"('55.68172', '37.49094')",2.7871523180746633,0,0,1,1,20,15
"('55.756376', '37.508975')",0.2620329869519601,1,0,4,2,13,33
"('55.711681', '37.519512')",2.963228412998238,0,0,1,6,14,24
"('55.615765', '37.738006')",4.132866022596115,0,0,0,2,12,15
"('55.7956', '37.706667')",1.6415530051129983,0,0,2,2,15,15
"('55.707436', '37.784157')",4.491070032174465,0,0,0,3,10,17
"('55.826554', '37.65028')",1.3915083733132425,0,0,4,7,7,23
"('55.751974', '37.578855')",2.1063613472821374,0,0,1,2,18,27
"('55.716468', '37.619028')",2.4389799187998262,0,0,2,2,19,21
"('55.664538', '37.473483')",3.5090367793301853,0,0,0,4,15,20
"('55.722527', '37.613503')",3.011160642689305,0,0,0,4,17,23
"('55.72386', '37.610054')",3.0308174337638705,0,0,0,4,17,24
"('55.785366', '37.479824')",1.5410547962806302,0,0,1,2,16,19
"('55.7457189', '37.5925871')",2.21755830389583,0,0,1,1,20,21
"('55.723521', '37.58694')",2.0491207876160673,0,0,2,1,21,19
"('55.74192', '37.598015')",2.3567330657786996,0,0,1,2,19,22
"('55.748589', '37.591351')",2.33532965026553,0,0,1,1,20,24
"('55.751447', '37.703775')",1.7756751209885893,0,0,2,1,16,21
"('55.7499998', '37.6990018')",2.0896464909134074,0,0,3,0,17,21
"('55.7515567', '37.7105369')",1.3512080261046657,0,0,2,1,15,23
"('55.751928', '37.696364')",2.238333382792695,0,0,2,1,16,22
"('55.753235', '37.70709')",1.5666742164367367,0,0,2,1,16,21
"('55.752445', '37.71445')",1.1019836182225942,0,0,2,1,15,23
"('55.756072', '37.706128')",1.674297731439998,0,0,2,1,16,21
"('55.75667', '37.70716')",1.6295219107437366,0,0,2,1,15,22
"('55.745595', '37.704754')",1.8725569116291612,0,0,3,0,17,21
"('55.753225', '37.706973')",1.5739459116594625,0,0,2,1,16,21
"('55.751017', '37.6985938')",2.1035386433006047,0,0,2,1,16,22
"('55.747535', '37.702966')",1.902902591590006,0,0,3,0,16,22
"('55.773773', '37.687839')",3.1578460240926147,0,0,0,4,14,22
"('55.75527', '37.657806')",3.515269421088249,0,0,0,3,17,23
"('55.751817', '37.716144')",0.997958881857256,0,1,1,2,14,24
"('55.7524872', '37.7055563')",1.6604381339713556,0,0,2,1,16,21
"('55.749927', '37.704736')",1.7345226422113171,0,0,3,0,16,22
"('55.74342', '37.720467')",1.2087449738101472,0,0,3,0,18,21
"('55.751206', '37.7001934')",2.001844362208491,0,0,2,1,16,21
"('55.748539', '37.70337')",1.849255671891155,0,0,3,0,16,22
"('55.788216', '37.671272')",1.8552593646143927,0,0,2,4,15,20
"('55.771104', '37.703865')",2.7280395217914704,0,0,1,3,12,23
"('55.751959', '37.686006')",2.888504008563751,0,0,1,3,15,23
"('55.751568', '37.71495')",1.0748919370111127,0,0,2,1,15,23
"('55.752267', '37.7002331')",1.9947630502826128,0,0,2,1,16,21
"('55.740406', '37.627445')",4.131478248196265,0,0,0,3,18,24
"('55.677159', '37.695348')",2.2310045657336146,0,0,2,6,12,20
"('55.752708', '37.645564')",3.665550516901692,0,0,0,2,20,23
"('55.7406555', '37.6665063')",2.834341155693705,0,0,1,3,18,23
"('55.720121', '37.690686')",0.7018550632642987,0,1,2,2,15,23
"('55.747703', '37.688297')",2.7824326704299773,0,0,2,1,18,20
"('55.71954', '37.690896')",0.7291281564027555,0,1,2,2,14,24
"('55.681442', '37.6555')",0.713856442798011,0,1,4,6,12,25
"('55.719433', '37.656871')",1.6764608006484223,0,0,2,4,14,27
"('55.674473', '37.667501')",0.4870879186734742,1,0,2,7,12,21
"('55.6898201', '37.6558154')",1.6097749924819869,0,0,3,7,10,31
"('55.719315', '37.66175')",1.7494272520967125,0,0,2,3,14,27
"('55.702186', '37.684856')",2.102005246553125,0,0,2,3,14,27
"('55.697453', '37.633976')",1.3737069527989896,0,0,4,3,18,23
"('55.714191', '37.670914')",1.6072597331197844,0,0,2,3,14,26
"('55.699938', '37.635314')",1.1571633240156167,0,0,3,5,16,25
"('55.694114', '37.665183')",1.4478490146262808,0,0,2,6,11,29
"('55.6892303', '37.6536623')",1.573773653704115,0,0,4,6,11,30
"('55.720802', '37.661785')",1.9055003937906128,0,0,2,1,16,25
"('55.6968553', '37.6359431')",1.318256571504284,0,0,3,4,16,25
"('55.717518', '37.659748')",1.5181091706109369,0,0,2,4,14,28
"('55.70457', '37.670868')",1.2044632107136073,0,0,2,3,14,27
"('55.72108', '37.664867')",2.0064926948043467,0,0,2,1,16,24
"('55.698208', '37.647504')",0.7654711961966711,0,1,2,6,12,29
"('55.70128', '37.642654')",0.6824803741340495,0,1,1,7,13,28
"('55.698361', '37.635296')",1.2477357674942515,0,0,4,4,17,24
"('55.703155', '37.672792')",1.3359529515600066,0,0,2,3,14,27
"('55.6996661', '37.6368671')",1.0862778989251114,0,0,2,6,15,27
"('55.713234', '37.67484')",1.7393370626771747,0,0,2,3,14,26
"('55.688923', '37.6556035')",1.5137068594222072,0,0,4,6,11,30
"('55.694322', '37.63676')",1.4860632275726806,0,0,4,3,16,24
"('55.71148', '37.658733')",0.8783310087437117,0,1,1,4,14,28
"('55.702495', '37.669881')",1.1675540903632853,0,0,1,5,12,29
"('55.700613', '37.633634')",1.2225191684125305,0,0,3,5,16,25
"('55.683194', '37.648277')",1.1256205990513128,0,0,5,4,14,24
"('55.703814', '37.640138')",0.7335853930663976,0,1,1,6,15,27
"('55.6988237', '37.6385601')",1.0515572212879025,0,0,3,5,15,27
"('55.715748', '37.675415')",1.7751934245416512,0,0,2,2,15,25
"('55.700704', '37.660961')",0.7295710327704276,0,1,1,6,12,29
"('55.70073', '37.631586')",1.3387374482725685,0,0,3,5,16,25
"('55.6903564', '37.655683')",1.6119858076829436,0,0,3,7,10,31
"('55.6988708', '37.6385646')",1.0481014125267425,0,0,3,5,15,27
"('55.703581', '37.661078')",0.60108023535083,0,1,0,7,10,32
"('55.6987549', '37.6362756')",1.172142502458193,0,0,3,5,16,25
"('55.707806', '37.67393')",1.4401101435952783,0,0,2,3,14,27
"('55.690187', '37.657781')",1.6349270053571967,0,0,3,7,10,31
"('55.695611', '37.662371')",1.2100981718306285,0,0,2,5,12,28
"('55.682727', '37.584829')",1.9027488127266163,0,0,4,4,19,19
"('55.686909', '37.593695')",1.4774641152811028,0,0,5,3,20,17
"('55.693084', '37.59613')",0.9111275945568302,0,1,1,6,16,23
"('55.678199', '37.596731')",1.4373170561880058,0,0,5,4,16,21
"('55.690256', '37.5530337')",2.4221984910590466,0,0,1,3,18,21
"('55.6811648', '37.5948427')",1.5010732938737987,0,0,5,4,18,17
"('55.68701', '37.577678')",1.5511201493773392,0,0,2,4,18,21
"('55.686306', '37.538036')",3.4628620695122763,0,0,0,1,22,16
"('55.702926', '37.580337')",0.5832092350583519,0,1,0,7,16,25
"('55.693497', '37.58077')",0.8203749923315395,0,1,1,6,15,25
"('55.676164', '37.579259')",2.3151896459735215,0,0,4,3,20,16
"('55.6940437', '37.6040148')",1.2060852925750618,0,0,3,4,18,21
"('55.689162', '37.598286')",1.35283317215691,0,0,4,4,18,20
"('55.679276', '37.57349')",2.447391248291129,0,0,3,3,20,18
"('55.682194', '37.578738')",2.033186284774446,0,0,4,2,21,18
"('55.675369', '37.55206')",3.519530485407416,0,0,0,6,19,18
"('55.683823', '37.577364')",1.8875894531642095,0,0,2,4,19,19
"('55.685675', '37.581379')",1.615609392892477,0,0,2,5,18,21
"('55.696078', '37.563152')",1.5964824715889743,0,0,1,4,18,22
"('55.686366', '37.582152')",1.5293397321624753,0,0,2,5,18,21
"('55.684093', '37.597145')",1.3787646652209984,0,0,5,4,19,18
"('55.672763', '37.560529')",3.147699119570398,0,0,0,6,17,21
"('55.678458', '37.564248')",2.7910266699099604,0,0,1,5,19,18
"('55.67314', '37.57369')",2.412401374091929,0,0,3,3,19,18
"('55.687193', '37.56388')",2.0482301252061768,0,0,1,4,19,20
"('55.670773', '37.571003')",2.4531526879440855,0,0,1,5,15,23
"('55.693145', '37.546525')",2.691225765902026,0,0,1,2,20,19
"('55.673818', '37.565174')",2.9244002439229835,0,0,1,5,18,20
"('55.683798', '37.537883')",3.6007625586453704,0,0,0,2,20,17
"('55.678113', '37.548511')",3.4456692584343895,0,0,0,5,18,19
"('55.677346', '37.565955')",2.843719962894628,0,0,1,5,19,18
"('55.692475', '37.551726')",2.4023610210543263,0,0,1,3,18,21
"('55.68665', '37.592644')",1.4901859298846232,0,0,5,3,20,17
"('55.680103', '37.581963')",2.215880761369956,0,0,4,3,20,17
"('55.68499', '37.595215')",1.5185136260392564,0,0,5,4,19,18
"('55.670128', '37.57097')",2.4296348957735954,0,0,1,5,15,23
"('55.69109', '37.542958')",2.9737554297498883,0,0,1,1,22,16
"('55.684772', '37.585404')",1.672724133824253,0,0,4,4,19,20
"('55.674477', '37.570007')",2.687263029521173,0,0,1,5,18,20
"('55.682026', '37.566539')",2.379216462252777,0,0,1,5,19,19
"('55.691526', '37.538134')",3.2482164567912193,0,0,0,1,22,16
"('55.681265', '37.582403')",2.083737592928419,0,0,4,3,20,18
"('55.693597', '37.577678')",0.9300057379165816,0,1,1,6,17,23
"('55.692191', '37.562991')",1.7665000829706548,0,0,1,5,17,23
"('55.680625', '37.559218')",2.7816924497472333,0,0,1,5,18,19
"('55.68955', '37.56528')",1.8096461845015297,0,0,1,4,19,20
"('55.687497', '37.543327')",3.10554958485995,0,0,0,3,19,19
"('55.688072', '37.569305')",1.7394546282311856,0,0,1,4,19,20
"('55.67733', '37.571552')",2.6938256530826226,0,0,2,4,19,18
"('55.670585', '37.566243')",2.7270985623070065,0,0,1,5,16,22
"('55.693394', '37.557502')",2.0260589745948137,0,0,1,4,17,23
"('55.694205', '37.566503')",1.4684344044625222,0,0,1,5,18,22
"('55.672011', '37.570878')",2.514240654440243,0,0,1,5,17,21
"('55.689625', '37.564034')",1.8662825439040491,0,0,1,4,19,20
"('55.683036', '37.585655')",1.8642015221899646,0,0,4,4,19,20
"('55.691379', '37.604906')",1.37532103484182,0,0,4,3,19,20
"('55.688086', '37.565955')",1.8850504562114727,0,0,1,4,19,20
"('55.67855', '37.593623')",1.6168876764609879,0,0,5,4,18,18
"('55.687066', '37.56697')",1.92108475746566,0,0,1,5,18,21
"('55.690268', '37.553873')",2.3742168641600148,0,0,1,3,18,21
"('55.695296', '37.575648')",0.9050399273259899,0,1,0,7,15,25
"('55.683676', '37.582215')",1.8214653283444802,0,0,4,4,19,20
"('55.677783', '37.560493')",2.983973481031087,0,0,1,5,18,19
"('55.692506', '37.558454')",2.007663777965287,0,0,1,4,18,22
"('55.701861', '37.580679')",0.5006312245125019,0,1,0,7,15,26
"('55.661327', '37.509342')",5.094970363807207,0,0,0,0,22,14
"('55.650583', '37.563543')",1.9924888193470311,0,0,1,6,15,21
"('55.663639', '37.486679')",3.9887652513562837,0,0,0,2,18,17
"('55.692317', '37.531551')",3.626173368421652,0,0,0,1,22,16
"('55.645136', '37.51697')",3.711531719700111,0,0,0,3,15,20
"('55.753169', '37.589796')",2.6167744338152774,0,0,1,3,17,27
"('55.753129', '37.589096')",2.584533845226229,0,0,1,3,17,27
"('55.753286', '37.59657')",2.9244367556738293,0,0,1,2,19,26
"('55.753114', '37.591566')",2.687123629484599,0,0,1,2,18,26
"('55.7531212', '37.5903682')",2.636726345369541,0,0,1,3,17,27
"('55.7270229', '37.561437')",0.9496088080124047,0,1,0,5,15,27
"('55.727212', '37.583598')",1.631008259998288,0,0,1,2,21,19
"('55.748936', '37.595627')",2.573264717374681,0,0,1,1,20,24
"('55.747363', '37.594486')",2.415512714613736,0,0,1,1,20,22
