coords,edu_school_closest_km,edu_school_less500m,edu_school_0.5-1km,edu_school_1-3km,edu_school_3-5km,edu_school_5-10km,edu_school_10-15km
"('55.817837', '37.464825')",0.5307676486381149,0,1,16,41,95,144
"('55.642133', '37.601385')",0.1163385950179097,2,5,19,31,122,129
"('55.77517', '37.674022')",0.12085508910967598,2,5,22,37,123,188
"('55.747936', '37.599058')",0.13306290627603334,3,4,24,35,150,197
"('55.7952463', '37.6114797')",0.046073780229351526,1,2,19,40,138,187
"('55.669899', '37.515371')",0.3265803119295278,2,5,27,33,108,162
"('55.730431', '37.574067')",0.3627493224742333,1,5,15,40,141,187
"('55.776894', '37.630096')",0.046989045947301446,1,5,23,42,124,212
"('55.8170621', '37.7536315')",0.3134664825380487,1,1,15,13,96,122
"('55.732012', '37.594054')",0.19223798402608677,2,3,21,36,153,187
"('55.7482025', '37.6930091')",0.5714316384898943,0,6,16,34,127,180
"('55.775505', '37.594971')",0.2701275425639852,1,5,23,38,131,211
"('55.709637', '37.591943')",0.41354071724405356,2,1,22,34,145,176
"('55.637195', '37.665668')",0.21203260612847097,2,3,5,42,96,143
"('55.7678312', '37.6190593')",0.13916046771660842,1,4,27,33,137,214
"('55.74938', '37.534092')",0.47090662435129266,1,2,15,27,160,155
"('55.745797', '37.513107')",0.19715502472113267,1,4,8,39,132,170
"('55.885332', '37.389095')",0.22995010040733643,1,3,2,16,43,85
"('55.765205', '37.647486')",0.08135506373734584,2,5,29,36,136,200
"('55.856432', '37.449641')",0.1807541588464871,1,3,15,15,105,86
"('55.754303', '37.58563')",0.053321015684711176,2,5,21,36,150,198
"('55.767477', '37.50025')",0.5201655622686705,0,3,13,29,126,176
"('55.674606', '37.568497')",0.18775601650582532,2,7,25,34,125,169
"('55.747115', '37.539078')",0.357143127410489,1,2,16,31,153,160
"('55.733802', '37.438906')",0.15069847716986534,1,3,15,13,111,137
"('55.8099435', '37.644094')",0.10387831304085217,1,4,11,38,136,150
"('55.754814', '37.59013')",0.1052815122506662,3,5,22,36,146,204
"('55.762733', '37.589745')",0.19363498078541427,3,7,25,33,143,206
"('55.776041', '37.603631')",0.04749364308379329,2,1,26,37,131,209
"('55.733964', '37.620905')",0.18063425407723674,2,1,26,31,154,188
"('55.829633', '37.470455')",0.7511240399226807,0,2,18,36,99,129
"('55.744941', '37.658886')",0.31934953389489085,3,4,23,33,139,193
"('55.763108', '37.634865')",0.235765681811537,2,3,28,38,133,210
"('55.811452', '37.632799')",0.2199494623401258,3,2,13,37,141,155
"('55.677209', '37.528163')",0.10817090312447744,3,7,25,34,113,166
"('55.744617', '37.51212')",0.30888062989958653,1,4,8,35,136,166
"('55.765854', '37.63352')",0.33234196672575883,2,4,27,40,134,210
"('55.828941', '37.468784')",0.7051089974452215,0,2,16,40,96,131
"('55.7417', '37.59354')",0.16375758105489513,2,1,25,32,153,188
"('55.789026', '37.567887')",0.2575480777509947,3,3,23,42,146,176
"('55.717863', '37.442015')",0.20405329277957213,1,3,15,14,109,131
"('55.754801', '37.58455')",0.054469247412693836,2,4,21,37,147,198
"('55.780846', '37.449147')",0.35846720236575924,1,2,9,35,102,154
"('55.734354', '37.446866')",0.3546856306539907,1,3,16,18,114,142
"('55.763187', '37.615112')",0.15455291661115358,2,5,27,40,132,223
"('55.835483', '37.658338')",0.10554966595398896,2,1,12,29,128,114
"('55.743005', '37.602256')",0.14445995882100163,2,1,27,34,152,190
"('55.768962', '37.59825')",0.11166816742204798,3,6,24,34,134,215
"('55.7633955', '37.6147912')",0.12629301176888608,2,5,26,40,132,222
"('55.683112', '37.521803')",0.08819997376941792,3,3,29,30,119,161
"('55.740664', '37.60284')",0.08297358677921807,2,3,23,37,154,188
"('55.7411641', '37.6230759')",0.2623673423015758,1,3,25,33,149,192
"('55.75506', '37.59004')",0.1313954762689843,3,5,22,35,147,202
"('55.727952', '37.737578')",0.45049097274861527,1,1,16,29,114,148
"('55.88793', '37.617294')",0.08412973173543033,1,3,17,26,67,122
"('55.747966', '37.687102')",0.49830339991929345,1,5,19,31,133,177
"('55.720418', '37.608472')",0.19897307741615713,3,2,15,37,138,194
"('55.75939', '37.598968')",0.10893549976637065,4,3,26,31,145,209
"('55.580742', '37.159881')",1.8909123716080698,0,0,1,1,4,9
"('55.762783', '37.590443')",0.2128659517869278,3,6,26,32,144,206
"('55.774674', '37.630831')",0.29748249149984096,2,2,25,40,126,212
"('55.79848', '37.520671')",0.15033769665245128,3,6,23,35,142,147
"('55.769479', '37.622738')",0.32029695031168365,1,4,26,36,133,213
"('55.641834', '37.48491')",0.0759318235068896,2,2,21,24,94,112
"('55.755383', '37.596579')",0.10129251959356975,5,4,24,35,144,205
"('55.765073', '37.582799')",0.15682301414815228,3,3,24,30,150,195
"('55.789406', '37.569539')",0.2412315604139721,4,2,23,40,147,175
"('55.589147', '37.456388')",0.23135474170096665,1,0,4,8,73,76
"('55.68172', '37.49094')",0.4808626638589078,1,2,26,30,107,142
"('55.756376', '37.508975')",0.33089616671472644,1,2,14,36,132,169
"('55.711681', '37.519512')",0.09422864842299351,2,0,20,36,138,147
"('55.615765', '37.738006')",0.045375624208779074,1,7,13,24,59,123
"('55.7956', '37.706667')",0.2554046880324329,1,4,19,26,129,142
"('55.707436', '37.784157')",0.08613268711928042,3,3,15,27,94,125
"('55.826554', '37.65028')",0.0997417779484921,2,2,10,33,139,117
"('55.751974', '37.578855')",0.11369951145056219,2,3,22,33,152,190
"('55.716468', '37.619028')",0.06610795067320144,3,4,14,36,141,194
"('55.664538', '37.473483')",0.3902630864871678,2,4,16,34,91,128
"('55.722527', '37.613503')",0.11110397941900302,3,2,16,36,141,193
"('55.72386', '37.610054')",0.11714337228238321,2,3,15,37,142,193
"('55.785366', '37.479824')",0.22171728160660667,2,2,19,29,121,164
"('55.7457189', '37.5925871')",0.03216547780397845,2,3,24,34,153,190
"('55.723521', '37.58694')",0.26958462431468694,2,3,16,41,143,191
"('55.74192', '37.598015')",0.21352433605577872,2,2,24,35,152,189
"('55.748589', '37.591351')",0.14772959278388212,2,4,23,36,152,195
"('55.751447', '37.703775')",0.08563642931362646,2,2,18,33,124,176
"('55.7499998', '37.6990018')",0.146103507893521,2,2,20,32,125,177
"('55.7515567', '37.7105369')",0.17211607741260862,4,0,21,28,127,172
"('55.751928', '37.696364')",0.31784052269755364,2,2,21,31,125,180
"('55.753235', '37.70709')",0.25429554518337344,4,0,20,29,125,175
"('55.752445', '37.71445')",0.14655741279131468,3,1,17,32,122,170
"('55.756072', '37.706128')",0.3265991493248747,2,2,19,34,120,179
"('55.75667', '37.70716')",0.3609494890925195,2,2,20,33,121,177
"('55.745595', '37.704754')",0.04086623585942551,1,3,16,35,122,175
"('55.753225', '37.706973')",0.261626358570596,4,0,20,29,125,175
"('55.751017', '37.6985938')",0.15604488038139494,2,2,20,31,125,178
"('55.747535', '37.702966')",0.25289606963370953,3,1,20,31,126,173
"('55.773773', '37.687839')",0.10527021828452915,3,3,25,28,131,173
"('55.75527', '37.657806')",0.18134028336611027,2,2,29,32,140,189
"('55.751817', '37.716144')",0.19597790351545985,3,1,16,32,122,170
"('55.7524872', '37.7055563')",0.23291390023092068,4,0,21,29,126,174
"('55.749927', '37.704736')",0.06553770062961968,3,1,19,32,123,177
"('55.74342', '37.720467')",0.10380592567531012,2,0,14,34,119,165
"('55.751206', '37.7001934')",0.06631637881916624,2,2,20,31,124,175
"('55.748539', '37.70337')",0.17206898302450113,3,1,20,32,126,174
"('55.788216', '37.671272')",0.167915734119247,3,2,23,29,137,157
"('55.771104', '37.703865')",0.07317780354559396,2,4,18,29,128,162
"('55.751959', '37.686006')",0.4096038595655196,3,3,20,28,138,171
"('55.751568', '37.71495')",0.157268653322479,3,1,16,33,121,171
"('55.752267', '37.7002331')",0.1641070248773872,2,2,19,31,124,176
"('55.740406', '37.627445')",0.28264726121224015,1,3,25,34,149,193
"('55.677159', '37.695348')",0.07085691211782436,2,2,10,29,121,161
"('55.752708', '37.645564')",0.2036667080894656,1,2,28,32,135,204
"('55.7406555', '37.6665063')",0.04696553064147372,4,2,25,30,142,183
"('55.720121', '37.690686')",1.136706507256056,0,0,16,30,132,176
"('55.747703', '37.688297')",0.519656910073314,0,6,17,33,131,179
"('55.71954', '37.690896')",1.1314935465425446,0,0,16,30,135,172
"('55.681442', '37.6555')",0.03189113598774482,1,3,9,28,145,146
"('55.719433', '37.656871')",0.23491619882390913,2,3,19,24,158,173
"('55.674473', '37.667501')",0.06885001826013412,1,3,6,34,118,162
"('55.6898201', '37.6558154')",0.9043490267863149,0,1,12,25,150,161
"('55.719315', '37.66175')",0.06000323807636913,1,4,17,25,153,173
"('55.702186', '37.684856')",0.03526406178954275,1,0,12,28,142,168
"('55.697453', '37.633976')",0.20210017066117653,1,1,17,29,140,187
"('55.714191', '37.670914')",0.12212206455381885,1,3,13,29,142,177
"('55.699938', '37.635314')",0.1294717243468869,1,1,18,29,144,181
"('55.694114', '37.665183')",0.8764956149169808,0,1,11,27,149,163
"('55.6892303', '37.6536623')",0.8567033688779863,0,1,12,26,151,160
"('55.720802', '37.661785')",0.08401253471405964,2,2,20,23,156,170
"('55.6968553', '37.6359431')",0.31478179407152157,1,1,17,29,141,184
"('55.717518', '37.659748')",0.20749563601275667,1,4,17,26,153,175
"('55.70457', '37.670868')",0.03022458099213411,2,2,11,33,138,175
"('55.72108', '37.664867')",0.18145527055932406,2,2,19,24,153,171
"('55.698208', '37.647504')",0.5498085145767942,0,3,13,28,146,178
"('55.70128', '37.642654')",0.1538345311368377,1,2,14,30,148,180
"('55.698361', '37.635296')",0.16354887619446876,1,1,16,31,142,185
"('55.703155', '37.672792')",0.1746497722317866,1,2,12,31,141,172
"('55.6996661', '37.6368671')",0.12367279327544879,1,0,18,26,147,178
"('55.713234', '37.67484')",0.10215211536521009,1,2,15,28,147,171
"('55.688923', '37.6556035')",0.8054536296339895,0,1,12,24,152,156
"('55.694322', '37.63676')",0.5891561049198183,0,1,17,30,144,179
"('55.71148', '37.658733')",0.16311535939560134,1,3,13,34,140,182
"('55.702495', '37.669881')",0.1654587212988882,2,1,12,32,140,173
"('55.700613', '37.633634')",0.11299766377108476,1,2,17,30,144,181
"('55.683194', '37.648277')",0.2914896291395668,2,0,14,28,146,151
"('55.703814', '37.640138')",0.2539682806042512,1,2,14,30,146,182
"('55.6988237', '37.6385601')",0.17711452629415247,1,0,18,26,148,177
"('55.715748', '37.675415')",0.1213189969215345,1,2,15,29,142,176
"('55.700704', '37.660961')",0.11349341928323214,1,2,11,30,144,173
"('55.70073', '37.631586')",0.1296351543562147,1,2,16,32,141,184
"('55.6903564', '37.655683')",0.9644113380433043,0,1,12,24,151,161
"('55.6988708', '37.6385646')",0.17191490589198904,1,0,18,26,148,177
"('55.703581', '37.661078')",0.10433945358762811,2,1,14,28,147,171
"('55.6987549', '37.6362756')",0.20044876656487323,1,0,18,29,144,182
"('55.707806', '37.67393')",0.057418916596292974,2,1,13,31,141,174
"('55.690187', '37.657781')",0.9426835995113984,0,1,11,26,148,162
"('55.695611', '37.662371')",0.6820993427625104,0,1,12,27,148,166
"('55.682727', '37.584829')",0.33666273077969255,1,4,26,30,137,168
"('55.686909', '37.593695')",0.13219793989737136,2,2,27,28,146,162
"('55.693084', '37.59613')",0.1517404036286166,2,1,24,34,137,178
"('55.678199', '37.596731')",0.1336834251533775,2,0,26,30,146,154
"('55.690256', '37.5530337')",0.19348753460823215,3,7,21,37,129,173
"('55.6811648', '37.5948427')",0.15654831152557788,2,1,24,30,146,158
"('55.68701', '37.577678')",0.17159865880284111,3,1,27,31,139,166
"('55.686306', '37.538036')",0.012929669016780899,2,6,26,33,123,170
"('55.702926', '37.580337')",0.17985780145836067,1,1,23,36,140,178
"('55.693497', '37.58077')",0.06455450185951936,1,4,20,41,130,182
"('55.676164', '37.579259')",0.03974900010972251,2,4,29,27,134,162
"('55.6940437', '37.6040148')",0.03585761818961837,1,2,16,44,131,184
"('55.689162', '37.598286')",0.0989205672283897,2,1,25,31,144,167
"('55.679276', '37.57349')",0.21594016541803468,3,5,27,33,129,169
"('55.682194', '37.578738')",0.20276718107235192,2,3,27,32,135,167
"('55.675369', '37.55206')",0.07540588469137653,3,8,21,39,114,182
"('55.683823', '37.577364')",0.20436972720963079,2,5,24,36,128,175
"('55.685675', '37.581379')",0.10622683898955536,2,2,26,30,137,168
"('55.696078', '37.563152')",0.36221203425655263,4,2,23,38,135,176
"('55.686366', '37.582152')",0.07756007163125528,2,2,28,29,139,167
"('55.684093', '37.597145')",0.10057691792080872,1,2,25,30,147,161
"('55.672763', '37.560529')",0.28508705663055756,2,9,22,40,114,176
"('55.678458', '37.564248')",0.10579109272101808,4,5,27,33,124,172
"('55.67314', '37.57369')",0.17867892887543502,3,5,27,32,127,165
"('55.687193', '37.56388')",0.1403109166655087,1,4,23,39,121,181
"('55.670773', '37.571003')",0.12566156363134282,2,5,24,34,122,164
"('55.693145', '37.546525')",0.07590556225244062,4,6,24,32,134,170
"('55.673818', '37.565174')",0.13556836283484436,1,8,24,35,120,173
"('55.683798', '37.537883')",0.08552646462431726,3,7,24,40,114,176
"('55.678113', '37.548511')",0.04425284796187262,5,6,22,41,117,176
"('55.677346', '37.565955')",0.16436033285152696,5,5,27,34,125,170
"('55.692475', '37.551726')",0.14520575269116948,4,6,21,36,131,173
"('55.68665', '37.592644')",0.19801851031690723,2,2,27,28,145,162
"('55.680103', '37.581963')",0.06453634099243592,2,2,30,27,140,160
"('55.68499', '37.595215')",0.17021650937087482,1,3,25,30,146,162
"('55.670128', '37.57097')",0.06693569818897784,2,5,24,33,124,162
"('55.69109', '37.542958')",0.031172973328912588,5,3,27,29,135,165
"('55.684772', '37.585404')",0.1267376241452399,2,1,29,28,141,165
"('55.674477', '37.570007')",0.2200478115085883,2,6,27,32,127,167
"('55.682026', '37.566539')",0.20614224060659025,4,4,26,35,125,170
"('55.691526', '37.538134')",0.045382538103510096,5,4,27,30,136,158
"('55.681265', '37.582403')",0.183596066894915,2,3,28,28,139,163
"('55.693597', '37.577678')",0.1325184812349895,2,3,21,40,128,183
"('55.692191', '37.562991')",0.1646427918825588,1,5,21,38,131,174
"('55.680625', '37.559218')",0.1024990478915215,5,4,25,35,120,171
"('55.68955', '37.56528')",0.10636976041710118,1,4,23,39,126,178
"('55.687497', '37.543327')",0.11227209059811921,7,2,28,32,129,168
"('55.688072', '37.569305')",0.25939590635325743,2,3,24,37,130,172
"('55.67733', '37.571552')",0.18727636737480413,2,8,24,36,124,173
"('55.670585', '37.566243')",0.13004870923278097,1,7,23,35,121,165
"('55.693394', '37.557502')",0.18040292325633295,2,5,22,37,132,172
"('55.694205', '37.566503')",0.1824428749491285,1,6,20,40,131,177
"('55.672011', '37.570878')",0.13881520493781452,2,7,23,37,122,168
"('55.689625', '37.564034')",0.09339803556628999,1,5,22,40,124,180
"('55.683036', '37.585655')",0.27582269446233465,1,4,26,31,137,169
"('55.691379', '37.604906')",0.19190490586763465,1,2,20,40,136,178
"('55.688086', '37.565955')",0.11098938496087364,2,4,23,39,126,176
"('55.67855', '37.593623')",0.19400465959358792,2,1,24,32,143,156
"('55.687066', '37.56697')",0.2281501893626456,2,3,25,37,128,176
"('55.690268', '37.553873')",0.21813581118493278,3,7,22,36,129,172
"('55.695296', '37.575648')",0.28951517246430436,1,3,21,37,130,180
"('55.683676', '37.582215')",0.3349058284615964,2,3,27,30,139,166
"('55.677783', '37.560493')",0.1078376495383242,5,3,28,32,123,170
"('55.692506', '37.558454')",0.2901110442429066,3,4,21,39,130,173
"('55.701861', '37.580679')",0.27925849433122063,1,1,24,35,138,181
"('55.661327', '37.509342')",0.1973637702754598,1,3,27,30,106,143
"('55.650583', '37.563543')",0.12387286548142483,1,1,24,36,110,151
"('55.663639', '37.486679')",0.20222161721952261,1,2,24,30,99,131
"('55.692317', '37.531551')",0.2734538819657216,4,2,28,30,134,154
"('55.645136', '37.51697')",0.08918853964324877,2,2,20,34,95,145
"('55.753169', '37.589796')",0.03425186942883283,4,4,24,35,153,196
"('55.753129', '37.589096')",0.05603745131091128,4,4,24,35,153,196
