coords,edu_prof_closest_km,edu_prof_less500m,edu_prof_0.5-1km,edu_prof_1-3km,edu_prof_3-5km,edu_prof_5-10km,edu_prof_10-15km
"('55.738698', '37.593039')",0.49968142172035424,1,0,7,7,28,18
"('55.763933', '37.60929')",1.0479698083682885,0,0,8,8,31,14
"('55.77796', '37.600594')",1.0676741062610455,0,0,10,6,30,15
"('55.71268', '37.517698')",3.358388097735754,0,0,0,8,17,23
"('55.900103', '37.585745')",0.7049068499566279,0,1,3,4,10,20
"('55.742954', '37.58051')",0.7472050620055707,0,1,3,12,26,19
"('55.904835', '37.38836')",5.134526408413685,0,0,0,0,8,11
"('55.643658', '37.539455')",3.1153607614617917,0,0,0,4,14,15
"('55.5677654', '37.4416839')",7.181117282064815,0,0,0,0,2,9
"('55.841561', '37.495863')",0.8236052742232963,0,2,4,11,13,22
"('55.817612', '37.745424')",0.7649977994532485,0,1,5,4,20,18
"('55.694784', '37.581559')",1.008451399367069,0,0,10,3,21,25
"('55.733917', '37.614754')",0.8303093696581959,0,2,10,4,30,18
