coords,bus_stations_closest_km,bus_stations_less500m,bus_stations_0.5-1km,bus_stations_1-3km,bus_stations_3-5km,bus_stations_5-10km,bus_stations_10-15km
"('55.732839', '37.622306')",14.157167032747076,0,0,0,0,0,1
"('55.65044', '37.34142')",6.0144242101100405,0,0,0,0,1,1
"('55.776188', '37.586095')",13.225898850980357,0,0,0,0,0,2
"('55.765154', '37.603586')",13.34674465967498,0,0,0,0,0,2
"('55.716846', '37.508022')",11.96384146461237,0,0,0,0,0,2
"('55.772684', '37.729664')",6.1493742776087466,0,0,0,0,1,0
"('55.543419', '37.482277')",7.622106778642083,0,0,0,0,2,0
"('55.742954', '37.58051')",15.729946134722091,0,0,0,0,0,0
"('55.7119655', '37.9285327')",13.437523416736706,0,0,0,0,0,2
"('55.817612', '37.745424')",3.502476572923113,0,0,0,1,0,1
"('55.757906', '37.606137')",13.533366951187165,0,0,0,0,0,1
"('55.790712', '37.474444')",9.842613931009868,0,0,0,0,1,0
"('55.7742587', '37.546541')",12.378882005188064,0,0,0,0,0,1
"('55.740451', '37.592716')",15.206191889014523,0,0,0,0,0,0
"('55.748577', '37.598557')",14.435151111946318,0,0,0,0,0,1
"('55.783539', '37.742016')",4.76300175846644,0,0,0,1,0,1
"('55.747323', '37.396371')",14.14028084019456,0,0,0,0,0,1
"('55.717589', '37.511643')",12.142163544069613,0,0,0,0,0,2
"('55.7498574', '37.6055674')",13.98115571414285,0,0,0,0,0,1
"('55.745868', '37.597926')",14.617739449124596,0,0,0,0,0,1
"('55.715753', '37.753964')",10.59663175042545,0,0,0,0,0,3
"('55.76317', '37.508592')",13.021049635631059,0,0,0,0,0,1
"('55.76643', '37.6137')",12.706586180725292,0,0,0,0,0,1
"('55.771211', '37.676134')",8.954739266665667,0,0,0,0,1,0
"('55.692318', '37.597594')",10.804830520141003,0,0,0,0,0,4
"('55.758068', '37.419117')",14.009036817282391,0,0,0,0,0,1
"('55.730101', '37.630939')",13.929913977813927,0,0,0,0,0,2
"('55.675346', '37.541386')",8.602531746656535,0,0,0,0,2,1
"('55.781626', '37.734578')",5.258857657478838,0,0,0,0,1,0
"('55.746227', '37.63473')",12.642795499228932,0,0,0,0,0,1
"('55.725534', '37.570501')",14.18924329219512,0,0,0,0,0,2
"('55.76565', '37.594926')",13.829698775293947,0,0,0,0,0,2
"('55.768405', '37.626187')",11.899886675847203,0,0,0,0,0,1
"('55.76705', '37.61186')",12.786153568835648,0,0,0,0,0,2
"('55.757492', '37.399048')",14.465599688565117,0,0,0,0,0,1
"('55.747652', '37.61777')",13.445648147031646,0,0,0,0,0,1
"('55.784997', '37.526636')",10.862794359920361,0,0,0,0,0,1
"('55.723004', '37.575468')",13.93482925631902,0,0,0,0,0,2
"('55.822979', '37.526735')",6.880857737997058,0,0,0,0,1,0
"('55.64191', '37.34936')",5.106647768255369,0,0,0,0,1,1
"('55.731891', '37.539922')",14.40399484832006,0,0,0,0,0,2
"('55.69316', '37.470599')",8.592235774532378,0,0,0,0,1,1
"('55.738698', '37.593039')",15.291095229287356,0,0,0,0,0,0
"('55.763933', '37.60929')",13.07117428569763,0,0,0,0,0,1
"('55.77796', '37.600594')",13.045690164044352,0,0,0,0,0,2
"('55.71268', '37.517698')",11.851429338757967,0,0,0,0,0,2
"('55.900103', '37.585745')",6.988347883834723,0,0,0,0,1,0
"('55.742954', '37.58051')",15.729946134722091,0,0,0,0,0,0
"('55.904835', '37.38836')",6.441919218214454,0,0,0,0,1,0
"('55.643658', '37.539455')",5.121676937436954,0,0,0,0,2,1
"('55.5677654', '37.4416839')",6.07344881477708,0,0,0,0,2,0
"('55.841561', '37.495863')",4.282796759533786,0,0,0,1,0,1
"('55.817612', '37.745424')",3.502476572923113,0,0,0,1,0,1
"('55.694784', '37.581559')",10.865785573047955,0,0,0,0,0,3
"('55.733917', '37.614754')",14.461852348951705,0,0,0,0,0,1
"('55.757214', '37.64955')",11.189529846676392,0,0,0,0,0,1
"('55.588949', '37.60081')",3.120694013116714,0,0,0,1,1,3
"('55.637393', '37.600388')",5.223700042481751,0,0,0,0,2,2
"('55.898916', '37.379034')",6.724931506376709,0,0,0,0,1,0
"('55.745083', '37.49736')",14.60024799434586,0,0,0,0,0,2
"('55.834421', '37.659596')",9.180179421720805,0,0,0,0,1,1
"('55.790975', '37.634182')",10.64300926421058,0,0,0,0,0,2
"('55.795423', '37.495276')",9.356446426563835,0,0,0,0,1,0
"('55.763265', '37.514994')",13.070870199585986,0,0,0,0,0,1
"('55.7407086', '37.6011763')",14.739097782769996,0,0,0,0,0,1
"('55.763072', '37.58968')",14.24216852758147,0,0,0,0,0,2
"('55.760915', '37.554861')",13.953643567924187,0,0,0,0,0,1
"('55.7182621', '37.4771618')",11.365606011058771,0,0,0,0,0,2
"('55.807435', '37.448662')",8.21943150290201,0,0,0,0,1,0
"('55.681183', '37.495808')",8.156008983281666,0,0,0,0,2,0
"('55.5213774', '37.3160383')",12.94950056646788,0,0,0,0,0,1
"('55.720798', '37.444099')",11.187188467034742,0,0,0,0,0,1
"('55.739352', '37.602606')",14.744665770646396,0,0,0,0,0,1
"('55.76725', '37.584476')",14.049390475140415,0,0,0,0,0,2
"('55.78564', '37.633266')",10.839880500033587,0,0,0,0,0,2
"('55.789289', '37.491126')",10.01569507162669,0,0,0,0,0,1
"('55.77854', '37.662956')",9.334240076618885,0,0,0,0,1,0
"('55.643769', '37.496075')",5.323654468127785,0,0,0,0,2,0
"('55.795853', '37.485538')",9.268152366405983,0,0,0,0,1,0
"('55.893369', '37.602058')",7.770155234594842,0,0,0,0,1,0
"('55.886782', '37.38988')",5.737910744009515,0,0,0,0,1,0
"('55.841278', '37.494442')",4.294579535089824,0,0,0,1,0,1
"('55.742043', '37.552498')",15.780238243030754,0,0,0,0,0,0
"('55.83525', '37.643642')",10.167192119094002,0,0,0,0,0,2
"('55.8134352', '37.5849828')",9.807032109757486,0,0,0,0,1,1
"('55.695625', '37.821663')",8.475323018294285,0,0,0,0,1,2
"('55.715527', '37.477104')",11.075124040659713,0,0,0,0,0,2
"('55.739534', '37.63341')",13.149369135646774,0,0,0,0,0,1
"('55.684929', '37.533966')",9.715492835684689,0,0,0,0,1,1
"('55.6900645', '37.6548865')",10.394638792874623,0,0,0,0,0,3
"('55.806504', '37.449866')",8.302252581292064,0,0,0,0,1,0
"('55.715527', '37.477104')",11.075124040659713,0,0,0,0,0,2
"('55.702763', '37.64046')",12.07401052870056,0,0,0,0,0,3
"('55.700877', '37.622405')",12.187884607697546,0,0,0,0,0,3
"('55.7220172', '37.6077158')",14.166546234687344,0,0,0,0,0,1
"('55.828217', '37.462414')",5.7720746219087316,0,0,0,0,1,0
"('55.8170545', '37.7545798')",2.928647450754644,0,0,1,0,1,0
"('55.68153', '37.849888')",7.738204968825293,0,0,0,0,1,2
"('55.853178', '37.608212')",8.497097814383775,0,0,0,0,1,1
"('55.807435', '37.448662')",8.21943150290201,0,0,0,0,1,0
"('55.7439839', '37.5919617')",15.047028782545203,0,0,0,0,0,0
"('55.5512278', '37.3356786')",9.483161629426833,0,0,0,0,1,1
"('55.740928', '37.622118')",13.630033790409028,0,0,0,0,0,1
"('55.741683', '37.601726')",14.652244861484483,0,0,0,0,0,1
"('55.829598', '37.465955')",5.58086495748408,0,0,0,0,1,0
"('55.758402', '37.549282')",14.106991895169822,0,0,0,0,0,1
"('55.756376', '37.54948')",14.325716548253489,0,0,0,0,0,1
"('55.756771', '37.592725')",14.34768861649686,0,0,0,0,0,1
"('55.779575', '37.706863')",6.820148002743334,0,0,0,0,1,0
"('55.828217', '37.462414')",5.7720746219087316,0,0,0,0,1,0
"('55.786166', '37.497836')",10.398078391184702,0,0,0,0,0,1
"('55.699314', '37.511239')",10.372742909276816,0,0,0,0,0,2
"('55.735175', '37.44064')",12.754381064814645,0,0,0,0,0,1
"('55.738292', '37.625972')",13.60569435565997,0,0,0,0,0,1
"('55.807435', '37.448662')",8.21943150290201,0,0,0,0,1,0
"('55.76447', '37.652958')",10.590287046478954,0,0,0,0,0,1
"('55.659573', '37.56007')",6.818316291627281,0,0,0,0,2,2
"('55.76963', '37.47916')",12.182752549137048,0,0,0,0,0,1
"('55.763194', '37.62572')",12.1703237506859,0,0,0,0,0,1
"('55.733493', '37.609973')",14.731945875148943,0,0,0,0,0,1
"('55.806504', '37.449866')",8.302252581292064,0,0,0,0,1,0
"('55.738262', '37.420177')",13.042219468512805,0,0,0,0,0,1
"('55.774137', '37.630769')",11.390392762165337,0,0,0,0,0,1
"('55.759384', '37.602894')",13.646128448920777,0,0,0,0,0,1
"('55.790975', '37.634182')",10.64300926421058,0,0,0,0,0,2
"('55.806504', '37.449866')",8.302252581292064,0,0,0,0,1,0
"('55.768441', '37.62713')",11.844068846288817,0,0,0,0,0,1
"('55.770157', '37.635998')",11.257743434939412,0,0,0,0,0,1
"('55.73467', '37.616646')",14.316443874348328,0,0,0,0,0,1
"('55.700444', '37.51071')",10.460629495173126,0,0,0,0,0,2
"('55.754983', '37.647675')",11.423193836675688,0,0,0,0,0,1
"('55.743923', '37.582655')",15.559877371785573,0,0,0,0,0,0
"('55.651811', '37.395635')",3.788769058713607,0,0,0,1,0,2
"('55.729807', '37.62978')",14.006591124548407,0,0,0,0,0,2
"('55.763194', '37.62572')",12.1703237506859,0,0,0,0,0,1
"('55.669889', '37.556262')",7.957937574778457,0,0,0,0,1,2
"('55.817837', '37.464825')",6.88579572599634,0,0,0,0,1,0
"('55.642133', '37.601385')",5.702055054424202,0,0,0,0,2,2
"('55.77517', '37.674022')",8.862114184897475,0,0,0,0,1,0
"('55.747936', '37.599058')",14.442332391379813,0,0,0,0,0,1
