coords,bus_stations_closest_km,bus_stations_less500m,bus_stations_0.5-1km,bus_stations_1-3km,bus_stations_3-5km,bus_stations_5-10km,bus_stations_10-15km
"('55.7952463', '37.6114797')",11.958477416597272,0,0,0,0,0,2
"('55.776894', '37.630096')",11.322485161824378,0,0,0,0,0,2
"('55.732012', '37.594054')",15.083189684901278,0,0,0,0,0,0
"('55.775505', '37.594971')",13.462667933025953,0,0,0,0,0,2
"('55.709637', '37.591943')",12.607897616205037,0,0,0,0,0,3
"('55.637195', '37.665668')",5.822950144596174,0,0,0,0,3,0
"('55.7678312', '37.6190593')",12.335961923128794,0,0,0,0,0,1
"('55.745797', '37.513107')",14.975887761877187,0,0,0,0,0,1
"('55.885332', '37.389095')",5.764777566063799,0,0,0,0,1,0
"('55.765205', '37.647486')",10.851914992225073,0,0,0,0,0,1
"('55.856432', '37.449641')",3.1749065505751735,0,0,0,1,0,1
"('55.754303', '37.58563')",14.867698616312266,0,0,0,0,0,1
"('55.757214', '37.64955')",11.189529846676392,0,0,0,0,0,1
"('55.674606', '37.568497')",8.529574370249211,0,0,0,0,1,3
"('55.733802', '37.438906')",12.592315781524347,0,0,0,0,0,1
"('55.8099435', '37.644094')",9.781149717285505,0,0,0,0,1,1
"('55.754814', '37.59013')",14.588059351198325,0,0,0,0,0,1
"('55.762733', '37.589745')",14.25266238413529,0,0,0,0,0,2
"('55.776041', '37.603631')",12.926305009935076,0,0,0,0,0,2
"('55.829633', '37.470455')",5.537881081480987,0,0,0,0,1,0
"('55.744941', '37.658886')",11.522797094931741,0,0,0,0,0,1
"('55.763108', '37.634865')",11.66177058865711,0,0,0,0,0,1
"('55.811452', '37.632799')",10.48832728911415,0,0,0,0,0,2
"('55.677209', '37.528163')",8.924078610509758,0,0,0,0,2,0
"('55.744617', '37.51212')",14.881039970271758,0,0,0,0,0,1
"('55.765854', '37.63352')",11.60048279614754,0,0,0,0,0,1
"('55.7417', '37.59354')",15.090103220851338,0,0,0,0,0,0
"('55.789026', '37.567887')",11.4202568087823,0,0,0,0,0,2
"('55.717863', '37.442015')",10.846833671362761,0,0,0,0,0,1
"('55.754801', '37.58455')",14.905568778630556,0,0,0,0,0,1
"('55.780846', '37.449147')",11.109140401255123,0,0,0,0,0,1
"('55.734354', '37.446866')",12.70635149778987,0,0,0,0,0,1
"('55.763187', '37.615112')",12.77213732339021,0,0,0,0,0,1
"('55.7633955', '37.6147912')",12.780731114713195,0,0,0,0,0,1
"('55.683112', '37.521803')",9.348717515451664,0,0,0,0,2,0
"('55.7411641', '37.6230759')",13.565690037496466,0,0,0,0,0,1
"('55.75506', '37.59004')",14.581378697824537,0,0,0,0,0,1
"('55.727952', '37.737578')",10.055304607598078,0,0,0,0,0,3
"('55.88793', '37.617294')",8.615742104803589,0,0,0,0,1,1
"('55.747966', '37.687102')",9.984086780724487,0,0,0,0,1,0
"('55.720418', '37.608472')",14.005205861630767,0,0,0,0,0,2
"('55.75939', '37.598968')",13.869542114871372,0,0,0,0,0,1
"('55.580742', '37.159881')",17.100765186732357,0,0,0,0,0,0
"('55.762783', '37.590443')",14.210013087593943,0,0,0,0,0,2
"('55.769479', '37.622738')",12.051904869482534,0,0,0,0,0,1
"('55.641834', '37.48491')",4.604597852839164,0,0,0,1,1,1
"('55.755383', '37.596579')",14.195862983598895,0,0,0,0,0,1
"('55.765073', '37.582799')",14.216958875572997,0,0,0,0,0,2
"('55.789406', '37.569539')",11.433267058873266,0,0,0,0,0,2
"('55.589147', '37.456388')",4.179917298041802,0,0,0,1,1,1
"('55.68172', '37.49094')",8.034625072554899,0,0,0,0,1,1
"('55.711681', '37.519512')",11.815046148547754,0,0,0,0,0,2
"('55.780846', '37.449147')",11.109140401255123,0,0,0,0,0,1
"('55.615765', '37.738006')",0.679805541638558,0,1,0,2,0,3
"('55.7956', '37.706667')",6.107341227043708,0,0,0,0,1,0
"('55.707436', '37.784157')",9.481922649903533,0,0,0,0,1,2
"('55.826554', '37.65028')",9.546617203346248,0,0,0,0,1,1
"('55.716468', '37.619028')",13.761274491911378,0,0,0,0,0,3
"('55.664538', '37.473483')",5.833057016823723,0,0,0,0,2,0
"('55.72386', '37.610054')",14.40110170000153,0,0,0,0,0,1
"('55.7457189', '37.5925871')",14.917508620619039,0,0,0,0,0,1
"('55.723521', '37.58694')",14.079478966412072,0,0,0,0,0,1
"('55.74192', '37.598015')",14.836837018254442,0,0,0,0,0,1
"('55.748589', '37.591351')",14.832215377572405,0,0,0,0,0,1
"('55.7499998', '37.6990018')",9.301498390631304,0,0,0,0,1,0
"('55.7515567', '37.7105369')",8.690832937358527,0,0,0,0,1,0
"('55.753235', '37.70709')",8.692715818693245,0,0,0,0,1,0
"('55.752445', '37.71445')",8.457507765889206,0,0,0,0,1,0
"('55.756072', '37.706128')",8.502826232028536,0,0,0,0,1,0
"('55.745595', '37.704754')",9.433321532249742,0,0,0,0,1,1
"('55.7515567', '37.7105369')",8.690832937358527,0,0,0,0,1,0
"('55.747535', '37.702966')",9.340037712136104,0,0,0,0,1,1
"('55.773773', '37.687839')",8.176338634210948,0,0,0,0,1,0
"('55.75527', '37.657806')",10.878323506187913,0,0,0,0,0,1
"('55.751817', '37.716144')",8.44495288261229,0,0,0,0,1,0
"('55.7524872', '37.7055563')",8.819074467551639,0,0,0,0,1,0
"('55.749927', '37.704736')",9.066072867278606,0,0,0,0,1,0
"('55.74342', '37.720467')",9.041911135003527,0,0,0,0,1,2
"('55.751206', '37.7001934')",9.152292081350733,0,0,0,0,1,0
"('55.748539', '37.70337')",9.238891509461375,0,0,0,0,1,1
"('55.788216', '37.671272')",8.471068158488144,0,0,0,0,1,0
"('55.771104', '37.703865')",7.501239421558048,0,0,0,0,1,0
"('55.751959', '37.686006')",9.726432456529704,0,0,0,0,1,0
"('55.7515567', '37.7105369')",8.690832937358527,0,0,0,0,1,0
"('55.751568', '37.71495')",8.513457527891989,0,0,0,0,1,0
"('55.7515567', '37.7105369')",8.690832937358527,0,0,0,0,1,0
"('55.752267', '37.7002331')",9.064790789230727,0,0,0,0,1,0
"('55.740406', '37.627445')",13.391644539911072,0,0,0,0,0,1
"('55.677159', '37.695348')",7.88688239727652,0,0,0,0,2,1
"('55.752708', '37.645564')",11.673695301159263,0,0,0,0,0,1
"('55.7406555', '37.6665063')",11.480218571710319,0,0,0,0,0,1
"('55.747703', '37.688297')",9.951750203090256,0,0,0,0,1,0
"('55.71954', '37.690896')",12.284636251362295,0,0,0,0,0,3
"('55.681442', '37.6555')",9.591372706359858,0,0,0,0,1,2
"('55.674473', '37.667501')",8.518133764640837,0,0,0,0,2,1
"('55.6898201', '37.6558154')",10.339411639142666,0,0,0,0,0,3
"('55.719315', '37.66175')",13.03385559442948,0,0,0,0,0,3
"('55.702186', '37.684856')",10.710050342150433,0,0,0,0,0,4
"('55.699938', '37.635314')",12.001703376206418,0,0,0,0,0,3
"('55.6892303', '37.6536623')",10.361530686287622,0,0,0,0,0,3
"('55.720802', '37.661785')",13.183848321258889,0,0,0,0,0,3
"('55.717518', '37.659748')",12.905302859103982,0,0,0,0,0,4
"('55.70457', '37.670868')",11.303282465515524,0,0,0,0,0,4
"('55.72108', '37.664867')",13.134250211725792,0,0,0,0,0,3
"('55.698361', '37.635296')",11.860840805051295,0,0,0,0,0,3
"('55.703155', '37.672792')",11.10928543759386,0,0,0,0,0,4
"('55.6996661', '37.6368671')",11.919936719442862,0,0,0,0,0,3
"('55.713234', '37.67484')",12.086183886631506,0,0,0,0,0,4
"('55.688923', '37.6556035')",10.264170903450287,0,0,0,0,0,3
"('55.71148', '37.658733')",12.329782837912585,0,0,0,0,0,4
"('55.702495', '37.669881')",11.121846487152684,0,0,0,0,0,4
"('55.700613', '37.633634')",12.12468433176727,0,0,0,0,0,3
"('55.683194', '37.648277')",10.024091309409071,0,0,0,0,0,3
"('55.703814', '37.640138')",12.182514304577811,0,0,0,0,0,3
"('55.683194', '37.648277')",10.024091309409071,0,0,0,0,0,3
"('55.715748', '37.675415')",12.332435075469531,0,0,0,0,0,3
"('55.700613', '37.633634')",12.12468433176727,0,0,0,0,0,3
"('55.700704', '37.660961')",11.204500159653483,0,0,0,0,0,3
"('55.70073', '37.631586')",12.211674809740469,0,0,0,0,0,3
"('55.6903564', '37.655683')",10.393645000329217,0,0,0,0,0,3
"('55.702495', '37.669881')",11.121846487152684,0,0,0,0,0,4
"('55.6988708', '37.6385646')",11.785776490535955,0,0,0,0,0,3
"('55.703581', '37.661078')",11.482036778032255,0,0,0,0,0,4
"('55.6987549', '37.6362756')",11.859650038029178,0,0,0,0,0,3
"('55.707806', '37.67393')",11.551756498248963,0,0,0,0,0,4
"('55.690187', '37.657781')",10.305114368879213,0,0,0,0,0,3
"('55.695611', '37.662371')",10.66765039345467,0,0,0,0,0,3
"('55.682727', '37.584829')",9.582053329131474,0,0,0,0,1,3
"('55.686909', '37.593695')",10.160519538111975,0,0,0,0,0,4
"('55.693084', '37.59613')",10.864606978886643,0,0,0,0,0,4
"('55.678199', '37.596731')",9.276722121728517,0,0,0,0,1,3
"('55.690256', '37.5530337')",10.224755904509491,0,0,0,0,0,3
"('55.68701', '37.577678')",9.973046175998915,0,0,0,0,1,3
"('55.686306', '37.538036')",9.83764790166361,0,0,0,0,1,1
"('55.702926', '37.580337')",11.750682772350926,0,0,0,0,0,3
"('55.693497', '37.58077')",10.716472929170997,0,0,0,0,0,3
"('55.676164', '37.579259')",8.797961819313327,0,0,0,0,1,3
"('55.6940437', '37.6040148')",11.098169093579363,0,0,0,0,0,4
"('55.689162', '37.598286')",10.476720649093853,0,0,0,0,0,4
"('55.679276', '37.57349')",9.083409247107648,0,0,0,0,1,3
"('55.682194', '37.578738')",9.453781691856634,0,0,0,0,1,3
"('55.675369', '37.55206')",8.56810478428665,0,0,0,0,1,2
"('55.683823', '37.577364')",9.619267919983606,0,0,0,0,1,3
"('55.685675', '37.581379')",9.863798967964316,0,0,0,0,1,3
"('55.696078', '37.563152')",10.887204927462106,0,0,0,0,0,3
"('55.684093', '37.597145')",9.91385305042256,0,0,0,0,1,3
"('55.672763', '37.560529')",8.286402973401911,0,0,0,0,1,2
"('55.678458', '37.564248')",8.933274013846566,0,0,0,0,1,2
"('55.67314', '37.57369')",8.408710036685633,0,0,0,0,1,3
"('55.687193', '37.56388')",9.90214692946053,0,0,0,0,1,2
"('55.670773', '37.571003')",8.124349609866524,0,0,0,0,1,3
"('55.673818', '37.565174')",8.422623438134009,0,0,0,0,1,2
"('55.683798', '37.537883')",9.560999014461755,0,0,0,0,1,1
"('55.678113', '37.548511')",8.87981636058062,0,0,0,0,1,2
"('55.677346', '37.565955')",8.818138328684311,0,0,0,0,1,2
"('55.692475', '37.551726')",10.47271688345269,0,0,0,0,0,2
"('55.678113', '37.548511')",8.87981636058062,0,0,0,0,1,2
"('55.68665', '37.592644')",10.116534249155999,0,0,0,0,0,4
"('55.680103', '37.581963')",9.260341786892528,0,0,0,0,1,3
"('55.68499', '37.595215')",9.97783973316109,0,0,0,0,1,3
"('55.670128', '37.57097')",8.05288221800983,0,0,0,0,1,3
"('55.69109', '37.542958')",10.34168807778379,0,0,0,0,0,2
"('55.674477', '37.570007')",8.525855729871903,0,0,0,0,1,3
"('55.682026', '37.566539')",9.3404388613585,0,0,0,0,1,2
"('55.691526', '37.538134')",10.415260362162911,0,0,0,0,0,2
"('55.681265', '37.582403')",9.392613797809723,0,0,0,0,1,3
"('55.693597', '37.577678')",10.698865674789223,0,0,0,0,0,3
"('55.692191', '37.562991')",10.454503391833914,0,0,0,0,0,3
"('55.691526', '37.538134')",10.415260362162911,0,0,0,0,0,2
"('55.680625', '37.559218')",9.157607345253085,0,0,0,0,1,2
"('55.68955', '37.56528')",10.169736882371636,0,0,0,0,0,3
"('55.687497', '37.543327')",9.941008787742506,0,0,0,0,1,1
"('55.688072', '37.569305')",10.026398506881193,0,0,0,0,0,3
"('55.67733', '37.571552')",8.852870783392571,0,0,0,0,1,3
"('55.670585', '37.566243')",8.069976712292334,0,0,0,0,1,3
"('55.693394', '37.557502')",10.575870005862818,0,0,0,0,0,3
"('55.694205', '37.566503')",10.692139440965706,0,0,0,0,0,3
"('55.672011', '37.570878')",8.260026236468827,0,0,0,0,1,3
"('55.689625', '37.564034')",10.173002119548487,0,0,0,0,0,3
"('55.683036', '37.585655')",9.626313914457135,0,0,0,0,1,3
"('55.691379', '37.604906')",10.830330362969173,0,0,0,0,0,4
"('55.688086', '37.565955')",10.010177027788648,0,0,0,0,0,3
"('55.67855', '37.593623')",9.259788935247308,0,0,0,0,1,3
"('55.687066', '37.56697')",9.901903702149404,0,0,0,0,1,2
"('55.690268', '37.553873')",10.225841466476126,0,0,0,0,0,3
"('55.695296', '37.575648')",10.869642325259859,0,0,0,0,0,3
"('55.683676', '37.582215')",9.65416542890754,0,0,0,0,1,3
"('55.677783', '37.560493')",8.844604905672293,0,0,0,0,1,2
"('55.692506', '37.558454')",10.47837502356174,0,0,0,0,0,3
"('55.701861', '37.580679')",11.636352898696988,0,0,0,0,0,3
"('55.72386', '37.610054')",14.40110170000153,0,0,0,0,0,1
"('55.645136', '37.51697')",5.706029121588797,0,0,0,0,2,1
"('55.753169', '37.589796')",14.686753517461755,0,0,0,0,0,1
"('55.753129', '37.589096')",14.728180554263401,0,0,0,0,0,1
"('55.753286', '37.59657')",14.300255170870845,0,0,0,0,0,1
"('55.753114', '37.591566')",14.589782724863891,0,0,0,0,0,1
"('55.7531212', '37.5903682')",14.65685946141457,0,0,0,0,0,1
"('55.7270229', '37.561437')",14.325176854450259,0,0,0,0,0,2
"('55.727212', '37.583598')",14.457718727821408,0,0,0,0,0,1
"('55.748936', '37.595627')",14.577398825517133,0,0,0,0,0,1
"('55.747363', '37.594486')",14.724286040007856,0,0,0,0,0,1
"('55.741465', '37.540784')",15.352499416058876,0,0,0,0,0,0
"('55.757131', '37.617114')",12.957558720086904,0,0,0,0,0,1
"('55.720585', '37.567042')",13.625115002356754,0,0,0,0,0,2
"('55.749847', '37.579815')",15.412438980548966,0,0,0,0,0,0
"('55.7630905', '37.5930036')",14.04835277922708,0,0,0,0,0,2
"('55.760955', '37.611446')",13.085855122711825,0,0,0,0,0,1
"('55.744713', '37.5827')",15.515181134855986,0,0,0,0,0,0
"('55.742534', '37.545465')",15.601343486364692,0,0,0,0,0,0
"('55.765716', '37.59356')",13.906800641755725,0,0,0,0,0,2
"('55.762485', '37.598887')",13.734270046835963,0,0,0,0,0,2
"('55.725214', '37.578496')",14.19900184021357,0,0,0,0,0,1
"('55.744414', '37.594072')",14.908268487790643,0,0,0,0,0,1
"('55.7180332', '37.5737618')",13.373761485865346,0,0,0,0,0,2
"('55.751933', '37.590075')",14.732241936744309,0,0,0,0,0,1
"('55.75571', '37.600845')",13.9394199293576,0,0,0,0,0,1
"('55.753407', '37.600082')",14.097680971095034,0,0,0,0,0,1
"('55.758929', '37.645393')",11.311097224659646,0,0,0,0,0,1
"('55.764121', '37.615416')",12.711537371115488,0,0,0,0,0,1
"('55.75554', '37.594433')",14.309497305424955,0,0,0,0,0,1
"('55.749603', '37.597872')",14.418068741787678,0,0,0,0,0,1
"('55.754507', '37.602687')",13.896270099449264,0,0,0,0,0,1
"('55.7557561', '37.6033112')",13.798529439061953,0,0,0,0,0,1
"('55.755196', '37.592796')",14.418723236180183,0,0,0,0,0,1
"('55.75768', '37.606674')",13.514170824056801,0,0,0,0,0,1
"('55.754507', '37.602687')",13.896270099449264,0,0,0,0,0,1
"('55.754753', '37.59622')",14.246969931511888,0,0,0,0,0,1
"('55.759436', '37.605733')",13.482382953446951,0,0,0,0,0,1
"('55.812666', '37.640911')",9.98101614993813,0,0,0,0,1,1
"('55.801455', '37.63765')",10.241967872959092,0,0,0,0,0,2
"('55.812292', '37.653316')",9.202759902047385,0,0,0,0,1,1
"('55.814062', '37.623735')",11.061058560708062,0,0,0,0,0,2
"('55.816387', '37.656082')",9.047037699660939,0,0,0,0,1,1
"('55.817613', '37.661859')",8.695828024172735,0,0,0,0,1,1
"('55.8114519', '37.6453291')",9.702740455521418,0,0,0,0,1,1
"('55.8064017', '37.6481266')",9.542286134009323,0,0,0,0,1,1
"('55.813637', '37.645501')",9.695705401520021,0,0,0,0,1,1
"('55.816328', '37.631379')",10.592581195475235,0,0,0,0,0,2
"('55.8064017', '37.6481266')",9.542286134009323,0,0,0,0,1,1
"('55.804612', '37.635503')",10.344944603418703,0,0,0,0,0,2
"('55.812337', '37.658571')",8.873399484982613,0,0,0,0,1,1
"('55.8134', '37.659847')",8.795927346780955,0,0,0,0,1,1
"('55.815367', '37.659084')",8.852547299760264,0,0,0,0,1,1
"('55.806282', '37.640947')",9.992524952001125,0,0,0,0,1,1
"('55.814117', '37.64788')",9.548285685171269,0,0,0,0,1,1
"('55.806499', '37.643911')",9.805633134393819,0,0,0,0,1,1
"('55.80527', '37.63897')",10.12304753102073,0,0,0,0,0,2
"('55.801536', '37.636715')",10.29932702297533,0,0,0,0,0,2
"('55.806565', '37.642662')",9.883452347645463,0,0,0,0,1,1
"('55.815556', '37.624374')",11.027021384574562,0,0,0,0,0,2
"('55.816045', '37.627247')",10.849642994915172,0,0,0,0,0,2
"('55.8145435', '37.6248368')",10.993679564171444,0,0,0,0,0,2
"('55.8158484', '37.6282409')",10.786347079112828,0,0,0,0,0,2
"('55.812216', '37.632368')",10.515900145472406,0,0,0,0,0,2
"('55.810602', '37.632098')",10.53247298135165,0,0,0,0,0,2
"('55.8064017', '37.6481266')",9.542286134009323,0,0,0,0,1,1
"('55.809904', '37.635081')",10.346257865967518,0,0,0,0,0,2
"('55.810688', '37.63676')",10.240123889031844,0,0,0,0,0,2
"('55.8039169', '37.6292881')",10.739299251496853,0,0,0,0,0,2
"('55.806545', '37.632107')",10.544551451037231,0,0,0,0,0,2
"('55.806545', '37.632107')",10.544551451037231,0,0,0,0,0,2
"('55.808948', '37.638')",10.165344607973395,0,0,0,0,0,2
"('55.806499', '37.643911')",9.805633134393819,0,0,0,0,1,1
"('55.632825', '37.744549')",2.246110936921308,0,0,2,0,2,1
