coords,edu_uni_closest_km,edu_uni_less500m,edu_uni_0.5-1km,edu_uni_1-3km,edu_uni_3-5km,edu_uni_5-10km,edu_uni_10-15km
"('55.759384', '37.602894')",1.4134553271299297,0,0,1,0,1,0
"('55.790975', '37.634182')",1.091593821063628,0,0,1,0,1,0
"('55.806504', '37.449866')",2.6658793004456878,0,0,1,0,1,0
"('55.768441', '37.62713')",0.882516965260524,0,1,0,1,0,1
"('55.770157', '37.635998')",1.1440644336568548,0,0,1,0,1,0
"('55.73467', '37.616646')",0.8341323209679148,0,1,0,1,0,1
"('55.700444', '37.51071')",2.379054924058195,0,0,1,0,1,0
"('55.754983', '37.647675')",0.7985904454632988,0,1,0,1,0,1
"('55.743923', '37.582655')",0.755097192573154,0,1,0,1,0,1
"('55.651811', '37.395635')",8.413052451929753,0,0,0,0,1,0
"('55.729807', '37.62978')",0.7661676396376667,0,1,0,1,0,1
"('55.763194', '37.62572')",1.228832617924021,0,0,1,0,1,0
"('55.669889', '37.556262')",1.0175303948315222,0,0,1,0,1,0
"('55.817837', '37.464825')",3.369213930537734,0,0,0,1,0,1
"('55.642133', '37.601385')",3.6101478753947682,0,0,0,1,0,1
"('55.77517', '37.674022')",1.9191030327118317,0,0,1,0,1,0
"('55.747936', '37.599058')",0.8549151375670189,0,1,0,1,0,1
"('55.7952463', '37.6114797')",0.9760742535875526,0,1,0,1,0,1
"('55.776894', '37.630096')",0.5405853696183797,0,1,0,1,0,1
"('55.732012', '37.594054')",2.1231411688581097,0,0,1,0,1,0
"('55.775505', '37.594971')",1.2378757958670632,0,0,1,0,1,0
"('55.709637', '37.591943')",1.8416001470882337,0,0,1,0,1,0
"('55.637195', '37.665668')",4.864763568897524,0,0,0,1,0,1
"('55.7678312', '37.6190593')",0.5715405972341204,0,1,0,1,0,1
"('55.745797', '37.513107')",1.4365625330947878,0,0,1,0,1,0
"('55.885332', '37.389095')",5.4213460321859,0,0,0,0,1,0
"('55.765205', '37.647486')",0.5727479863979172,0,1,0,1,0,1
"('55.856432', '37.449641')",1.7177535630486924,0,0,1,0,1,0
"('55.754303', '37.58563')",0.3838665864385385,1,0,1,0,1,0
"('55.757214', '37.64955')",0.5250036404066761,0,1,0,1,0,1
"('55.674606', '37.568497')",0.5028414424634473,0,1,0,1,0,1
"('55.733802', '37.438906')",5.8088216161172905,0,0,0,0,1,0
"('55.8099435', '37.644094')",1.025962356991802,0,0,1,0,1,0
"('55.754814', '37.59013')",0.5038541375881879,0,1,0,1,0,1
"('55.762733', '37.589745')",1.3394703663196181,0,0,1,0,1,0
"('55.776041', '37.603631')",0.7400518195446716,0,1,0,1,0,1
"('55.829633', '37.470455')",2.698002160993321,0,0,1,0,1,0
"('55.744941', '37.658886')",0.4217645056503667,1,0,1,0,1,0
"('55.763108', '37.634865')",1.2022035133458673,0,0,1,0,1,0
"('55.811452', '37.632799')",0.8311434513980406,0,1,0,1,0,1
"('55.677209', '37.528163')",0.5336204146730076,0,1,0,1,0,1
"('55.744617', '37.51212')",1.4114058512946954,0,0,1,0,1,0
"('55.765854', '37.63352')",1.364703648665243,0,0,1,0,1,0
"('55.7417', '37.59354')",1.0934197047978176,0,0,1,0,1,0
"('55.789026', '37.567887')",0.5743700123622791,0,1,0,1,0,1
"('55.717863', '37.442015')",6.021793719663323,0,0,0,0,1,0
"('55.754801', '37.58455')",0.449693636126959,1,0,1,0,1,0
"('55.780846', '37.449147')",1.2091836847783333,0,0,1,0,1,0
"('55.734354', '37.446866')",5.305563462791221,0,0,0,0,1,0
"('55.763187', '37.615112')",1.0235535156339963,0,0,1,0,1,0
"('55.7633955', '37.6147912')",0.9995656583609068,0,1,0,1,0,1
"('55.683112', '37.521803')",0.37122159742262495,1,0,1,0,1,0
"('55.7411641', '37.6230759')",0.5858082197049781,0,1,0,1,0,1
"('55.75506', '37.59004')",0.5252733935163982,0,1,0,1,0,1
"('55.727952', '37.737578')",2.725369982486516,0,0,1,0,1,0
"('55.88793', '37.617294')",2.6232289880781874,0,0,1,0,1,0
"('55.747966', '37.687102')",1.4566388424906176,0,0,1,0,1,0
"('55.720418', '37.608472')",1.9385793886876863,0,0,1,0,1,0
"('55.75939', '37.598968')",1.2421710166536288,0,0,1,0,1,0
"('55.580742', '37.159881')",25.210035751215834,0,0,0,0,0,0
"('55.762783', '37.590443')",1.352912444031903,0,0,1,0,1,0
"('55.769479', '37.622738')",0.5873227262115038,0,1,0,1,0,1
"('55.641834', '37.48491')",4.740181835063166,0,0,0,1,0,1
"('55.755383', '37.596579')",0.8231546002142405,0,1,0,1,0,1
"('55.765073', '37.582799')",1.0085785375126997,0,0,1,0,1,0
"('55.789406', '37.569539')",0.4886069371287579,1,0,1,0,1,0
"('55.589147', '37.456388')",10.825604355971352,0,0,0,0,0,1
"('55.68172', '37.49094')",1.837074185850172,0,0,1,0,1,0
"('55.711681', '37.519512')",2.9690308158125545,0,0,1,0,1,0
"('55.780846', '37.449147')",1.2091836847783333,0,0,1,0,1,0
"('55.615765', '37.738006')",6.738383278107811,0,0,0,0,1,0
"('55.7956', '37.706667')",0.40597771987360964,1,0,1,0,1,0
"('55.707436', '37.784157')",3.624865562670247,0,0,0,1,0,1
"('55.826554', '37.65028')",0.0995364882688294,1,0,1,0,1,0
"('55.716468', '37.619028')",1.3555251536909723,0,0,1,0,1,0
"('55.664538', '37.473483')",3.371612367148607,0,0,0,1,0,1
"('55.72386', '37.610054')",1.8774232620645928,0,0,1,0,1,0
"('55.7457189', '37.5925871')",0.6743948408530154,0,1,0,1,0,1
"('55.723521', '37.58694')",2.9815898323266055,0,0,1,0,1,0
"('55.74192', '37.598015')",1.21718521802847,0,0,1,0,1,0
"('55.748589', '37.591351')",0.38985174828542307,1,0,1,0,1,0
"('55.7499998', '37.6990018')",2.2358852983648223,0,0,1,0,1,0
"('55.7515567', '37.7105369')",2.97726526994848,0,0,1,0,1,0
"('55.753235', '37.70709')",2.8406231938081516,0,0,1,0,1,0
"('55.752445', '37.71445')",3.2416187098267115,0,0,0,1,0,1
"('55.756072', '37.706128')",2.926198913471232,0,0,1,0,1,0
"('55.745595', '37.704754')",2.4794642123507606,0,0,1,0,1,0
"('55.7515567', '37.7105369')",2.97726526994848,0,0,1,0,1,0
"('55.747535', '37.702966')",2.401768526445556,0,0,1,0,1,0
"('55.773773', '37.687839')",2.122363428297455,0,0,1,0,1,0
"('55.75527', '37.657806')",0.7001730959952872,0,1,0,1,0,1
"('55.751817', '37.716144')",3.321810997019057,0,0,0,1,0,1
"('55.7524872', '37.7055563')",2.719616407211344,0,0,1,0,1,0
"('55.749927', '37.704736')",2.5752197293162356,0,0,1,0,1,0
"('55.74342', '37.720467')",3.4520618120217788,0,0,0,1,0,1
"('55.751206', '37.7001934')",2.353927431631745,0,0,1,0,1,0
"('55.748539', '37.70337')",2.4512996668838807,0,0,1,0,1,0
"('55.788216', '37.671272')",2.3144422592221914,0,0,1,0,1,0
"('55.771104', '37.703865')",1.7708036954890263,0,0,1,0,1,0
"('55.751959', '37.686006')",1.6123085909697248,0,0,1,0,1,0
"('55.7515567', '37.7105369')",2.97726526994848,0,0,1,0,1,0
"('55.751568', '37.71495')",3.2420300893903224,0,0,0,1,0,1
"('55.7515567', '37.7105369')",2.97726526994848,0,0,1,0,1,0
"('55.752267', '37.7002331')",2.4034062314722098,0,0,1,0,1,0
"('55.740406', '37.627445')",0.3714703808457785,1,0,1,0,1,0
"('55.677159', '37.695348')",2.576685616770426,0,0,1,0,1,0
"('55.752708', '37.645564')",1.0843075936040774,0,0,1,0,1,0
"('55.7406555', '37.6665063')",0.2756714588531933,1,0,1,0,1,0
"('55.747703', '37.688297')",1.5168348776608953,0,0,1,0,1,0
"('55.71954', '37.690896')",2.7743697094274897,0,0,1,0,1,0
"('55.681442', '37.6555')",2.048373979112217,0,0,1,0,1,0
"('55.674473', '37.667501')",2.6655161214589613,0,0,1,0,1,0
"('55.6898201', '37.6558154')",2.5487709673757957,0,0,1,0,1,0
