coords,shops_closest_km,shops_less500m,shops_0.5-1km,shops_1-3km,shops_3-5km,shops_5-10km,shops_10-15km
"('55.732839', '37.622306')",0.1537294158220953,82,260,2642,6593,19151,25922
"('55.65044', '37.34142')",0.028119909722314717,15,73,563,797,4052,8380
"('55.776188', '37.586095')",0.02335345349892077,109,237,3428,4785,19170,25111
"('55.765154', '37.603586')",0.018112961292197673,173,307,2891,5516,18806,26753
"('55.716846', '37.508022')",0.13641574664543146,6,51,1488,3057,17588,20750
"('55.772684', '37.729664')",0.16419816639770754,17,98,1193,3680,16130,19484
"('55.543419', '37.482277')",0.02750208499995529,108,41,630,761,4332,9110
"('55.742954', '37.58051')",0.07052561605634362,61,526,2517,4924,20584,23787
"('55.7119655', '37.9285327')",0.09447814558207084,14,70,494,288,3183,6708
"('55.817612', '37.745424')",0.012941923456287386,13,166,929,2141,10161,18888
"('55.757906', '37.606137')",0.09733083039672655,76,536,3009,5384,19698,25790
"('55.790712', '37.474444')",0.10279808959501352,40,71,1267,2781,15120,18539
"('55.7742587', '37.546541')",0.026233359278444418,60,84,2418,5706,15987,26420
"('55.740451', '37.592716')",0.0,52,168,2912,4416,21663,23156
"('55.748577', '37.598557')",0.03932709341593042,120,234,3223,4487,21014,23971
"('55.783539', '37.742016')",0.06755631060022113,37,150,1641,2956,15182,17387
"('55.747323', '37.396371')",0.10108495904025429,5,96,928,703,7118,19412
"('55.717589', '37.511643')",0.04296997392497906,8,41,1657,3016,18209,20379
"('55.7498574', '37.6055674')",0.23941673703195743,33,270,3166,4817,20608,24211
"('55.745868', '37.597926')",0.12157161590062729,39,310,3027,4528,21045,23877
"('55.715753', '37.753964')",0.004056643947470498,34,48,1409,4326,14356,19643
"('55.76317', '37.508592')",0.11615025750125632,70,75,2141,3504,16571,22994
"('55.76643', '37.6137')",0.14485768922203682,114,580,2622,5695,18537,27122
"('55.771211', '37.676134')",0.06788701999809545,147,108,1908,4094,19127,22278
"('55.692318', '37.597594')",0.17833327373882585,150,82,2771,4612,19917,22578
"('55.758068', '37.419117')",0.07434612172949147,27,154,718,1663,9073,19699
"('55.730101', '37.630939')",0.07732562104657427,94,426,2742,6677,18950,26501
"('55.675346', '37.541386')",0.02947573210649402,29,525,2682,3280,18980,21202
"('55.781626', '37.734578')",0.0,60,204,1399,3074,15930,17517
"('55.746227', '37.63473')",0.028076292563910053,53,162,3273,6495,18980,25634
"('55.725534', '37.570501')",0.1226775980459502,97,151,1748,5249,20877,22611
"('55.76565', '37.594926')",0.052752492519839364,179,276,3153,5539,18696,26243
"('55.768405', '37.626187')",0.10948228458173785,204,412,2814,5318,18232,26830
"('55.76705', '37.61186')",0.10789232856608075,85,531,2641,5935,18248,27458
"('55.757492', '37.399048')",0.06518537651556285,64,127,722,935,8410,17373
"('55.747652', '37.61777')",0.3476870172214937,6,342,3173,5275,20243,24414
"('55.784997', '37.526636')",0.17429278561972672,20,633,1530,5644,15354,25184
"('55.723004', '37.575468')",0.004103911728871368,81,175,1766,4861,21216,22697
"('55.822979', '37.526735')",0.07038583586620521,38,129,1696,4126,16277,16211
"('55.64191', '37.34936')",0.08648790331677711,130,159,529,1222,3758,8835
"('55.731891', '37.539922')",0.16328380874865697,8,43,2218,3298,22293,19078
"('55.69316', '37.470599')",0.09068406913677987,24,34,1073,2496,13195,21342
"('55.738698', '37.593039')",0.06524808451527755,66,114,2713,4682,21469,23140
"('55.763933', '37.60929')",0.03224481209169115,152,433,2750,5772,18688,27059
"('55.77796', '37.600594')",0.032065653173718664,150,227,3712,4732,19915,24281
"('55.71268', '37.517698')",0.24283598457224118,21,35,830,4237,17082,21697
"('55.900103', '37.585745')",0.013127648307955661,108,123,1412,2277,6623,12231
"('55.742954', '37.58051')",0.07052561605634362,61,526,2517,4924,20584,23787
"('55.904835', '37.38836')",0.2224737297585237,25,16,115,104,5102,5946
"('55.643658', '37.539455')",0.14273380329098492,45,199,1094,4888,11105,23185
"('55.5677654', '37.4416839')",0.11549451264391851,27,18,288,603,5976,9615
"('55.841561', '37.495863')",0.0033394993525857324,168,379,1790,3411,12684,14524
"('55.817612', '37.745424')",0.012941923456287386,13,166,929,2141,10161,18888
"('55.694784', '37.581559')",0.14293299682871552,21,111,2734,3934,20366,22280
"('55.733917', '37.614754')",0.08450041344786181,90,149,2904,6590,19098,26166
"('55.757214', '37.64955')",0.11073282651268967,57,353,2891,5343,18369,25286
"('55.588949', '37.60081')",0.006312545673830966,45,225,1646,1639,10722,12529
"('55.637393', '37.600388')",0.1308787541068082,125,174,1925,4046,14493,19599
"('55.898916', '37.379034')",0.5984018102176377,0,45,85,173,4493,6730
"('55.745083', '37.49736')",0.08763733441832879,348,440,1602,2862,17672,21414
"('55.834421', '37.659596')",0.05331855429275051,55,23,1246,2141,14653,19003
"('55.790975', '37.634182')",0.0136180520533211,58,78,2567,4250,19865,21806
"('55.795423', '37.495276')",0.08630849388266085,159,121,2136,2209,16920,19992
"('55.763265', '37.514994')",0.023645133809899757,73,79,2245,3652,16844,23348
"('55.7407086', '37.6011763')",0.0543806933723283,51,145,3240,4722,21408,24159
"('55.763072', '37.58968')",0.05946837675688613,96,280,3165,5609,18355,26131
"('55.760915', '37.554861')",0.0807360024291084,102,181,2659,5248,18418,24130
"('55.7182621', '37.4771618')",0.24244131321469842,9,15,1250,2565,14413,22224
