coords,shops_closest_km,shops_less500m,shops_0.5-1km,shops_1-3km,shops_3-5km,shops_5-10km,shops_10-15km
"('55.807435', '37.448662')",0.14421929105426823,18,55,963,2974,12276,15293
"('55.681183', '37.495808')",0.1858032921774614,31,153,1870,2190,15115,19951
"('55.5213774', '37.3160383')",0.18625909949784208,1,1,231,320,1223,4099
"('55.720798', '37.444099')",0.09487002292794985,24,115,1422,2049,10919,23143
"('55.739352', '37.602606')",0.120096258861833,44,161,3249,4841,21304,24149
"('55.76725', '37.584476')",0.19100058556859326,94,283,3137,5326,18826,25369
"('55.78564', '37.633266')",0.07368819551057613,78,145,2922,4058,20465,22083
"('55.789289', '37.491126')",0.0807084272936899,92,139,1981,2065,16927,19996
"('55.77854', '37.662956')",0.01353268356981008,154,128,1982,4827,17878,23587
"('55.643769', '37.496075')",0.0442354430289179,13,52,1999,2690,12408,17998
"('55.795853', '37.485538')",0.07592426135077308,150,106,1913,2409,16661,18542
"('55.893369', '37.602058')",0.0989965766727816,54,535,866,3296,6120,14538
"('55.886782', '37.38988')",0.21937097566505664,29,23,159,1510,4917,8050
"('55.841278', '37.494442')",0.04137998080573881,328,220,1950,3228,12747,14390
"('55.742043', '37.552498')",0.008840716869773863,45,494,1881,4558,21610,20443
"('55.83525', '37.643642')",0.15205959780487166,7,32,1356,2684,15056,18676
"('55.8134352', '37.5849828')",0.11611082495580333,21,433,1979,3648,19174,18905
"('55.695625', '37.821663')",0.04736015996881569,22,50,1072,1761,9018,14600
"('55.715527', '37.477104')",0.11392595287644348,8,64,1220,2665,13978,22426
"('55.739534', '37.63341')",0.025308838947601626,125,160,3025,6793,19054,26324
"('55.684929', '37.533966')",0.06647794575939493,84,394,1833,3865,19158,20604
"('55.6900645', '37.6548865')",0.06242630423121499,21,166,2630,5402,19456,22135
"('55.806504', '37.449866')",0.1720248337837719,18,225,847,3058,12412,15406
"('55.715527', '37.477104')",0.11392595287644348,8,64,1220,2665,13978,22426
"('55.702763', '37.64046')",0.07851664341703102,168,95,2902,5707,18748,24573
"('55.700877', '37.622405')",0.10054664873757808,24,304,2344,6486,18455,25481
"('55.7220172', '37.6077158')",0.12656732551572752,87,116,2427,6018,19338,25448
"('55.828217', '37.462414')",0.3887367611391258,4,45,2239,2684,11694,14971
"('55.8170545', '37.7545798')",0.09786256703736121,17,69,1229,1961,8959,18994
"('55.68153', '37.849888')",0.01830677486021525,64,149,318,1404,5936,13271
"('55.853178', '37.608212')",0.015126733768085715,45,102,1398,3700,12494,16787
"('55.807435', '37.448662')",0.14421929105426823,18,55,963,2974,12276,15293
"('55.7439839', '37.5919617')",0.14600746979565546,28,391,2843,4572,21048,24055
"('55.5512278', '37.3356786')",0.4618679494880935,3,17,28,445,2355,5127
"('55.740928', '37.622118')",0.043661703647710756,96,214,3202,6454,19359,25802
"('55.741683', '37.601726')",0.06521774379358616,50,129,3237,4757,21186,24388
"('55.829598', '37.465955')",0.28484507442035234,1,35,2402,2424,12291,14505
"('55.758402', '37.549282')",0.029170213409103633,69,117,2478,5036,19474,22583
"('55.756376', '37.54948')",0.06792893012045695,55,336,2281,4748,19719,22366
"('55.756771', '37.592725')",0.0688526272780564,56,380,3163,5233,20111,24674
"('55.779575', '37.706863')",0.13639633152299718,142,220,1524,2888,18701,19238
"('55.828217', '37.462414')",0.3887367611391258,4,45,2239,2684,11694,14971
"('55.786166', '37.497836')",0.05948912576542631,24,130,2029,2924,16419,21525
"('55.699314', '37.511239')",0.15461025013675816,39,138,1182,3866,16297,21418
"('55.735175', '37.44064')",0.36033906458792037,31,49,1330,1895,10326,22120
"('55.738292', '37.625972')",0.08507608302952857,126,218,2993,6520,19354,25816
"('55.807435', '37.448662')",0.14421929105426823,18,55,963,2974,12276,15293
"('55.76447', '37.652958')",0.03513761034183431,67,310,2556,4498,19188,23751
"('55.659573', '37.56007')",0.07666673479115266,22,142,2897,3434,17165,20760
"('55.76963', '37.47916')",0.07808164761178289,14,198,944,3862,13700,22504
"('55.763194', '37.62572')",0.08894994423471546,302,565,2769,5265,18618,26725
"('55.733493', '37.609973')",0.011370988692525133,42,146,2763,6728,19135,26225
"('55.806504', '37.449866')",0.1720248337837719,18,225,847,3058,12412,15406
"('55.738262', '37.420177')",0.17998890315315513,198,251,977,1345,8936,20482
"('55.774137', '37.630769')",0.04549438561547647,84,297,2831,4940,18731,25411
"('55.759384', '37.602894')",0.11508921170751107,90,439,3155,5245,19850,25542
"('55.790975', '37.634182')",0.0136180520533211,58,78,2567,4250,19865,21806
"('55.806504', '37.449866')",0.1720248337837719,18,225,847,3058,12412,15406
"('55.768441', '37.62713')",0.06742863835409504,124,488,2702,5423,18126,26712
"('55.770157', '37.635998')",0.08473874844648392,76,247,2724,4987,18623,25675
"('55.73467', '37.616646')",0.06623273483551945,83,177,2910,6237,19590,25797
"('55.700444', '37.51071')",0.09955979523425888,74,118,1072,3967,16163,21361
"('55.754983', '37.647675')",0.005100650738669986,21,361,2976,5700,17843,26235
"('55.743923', '37.582655')",0.010630426041362691,133,194,3013,4283,21213,23329
"('55.651811', '37.395635')",0.006668558320206689,60,266,585,1693,6975,13145
"('55.729807', '37.62978')",0.00331031037131671,107,393,2727,6707,18997,26478
"('55.763194', '37.62572')",0.08894994423471546,302,565,2769,5265,18618,26725
"('55.669889', '37.556262')",0.21333090038556168,364,111,2972,3653,18170,21537
"('55.817837', '37.464825')",0.11723529063630339,31,181,1602,3049,12842,15513
"('55.642133', '37.601385')",0.11954153964600805,152,168,1435,4580,15568,18960
"('55.77517', '37.674022')",0.043021646954250495,127,274,1706,4318,18923,22180
"('55.747936', '37.599058')",0.07467351951962739,99,247,3193,4496,21002,24036
"('55.7952463', '37.6114797')",0.08623139934009542,184,102,2863,3873,20549,21311
"('55.776894', '37.630096')",0.035811247756801806,88,289,2777,4782,19404,24028
"('55.732012', '37.594054')",0.07288991111003537,53,127,2731,5080,20987,24283
"('55.775505', '37.594971')",0.07267537384741886,97,361,3542,4956,19411,24695
"('55.709637', '37.591943')",0.08455330299086579,261,80,1970,5292,19925,24120
"('55.637195', '37.665668')",0.004975076655007088,45,208,563,4833,13751,17915
"('55.7678312', '37.6190593')",0.007970532192348714,202,439,2860,5336,18759,26532
"('55.745797', '37.513107')",0.003927501237750994,112,670,1293,3432,18806,21778
"('55.885332', '37.389095')",0.13447017226145408,10,31,159,1605,4808,8245
"('55.765205', '37.647486')",0.062467532344308706,67,186,2677,4858,18701,25106
"('55.856432', '37.449641')",0.030686309555924888,15,219,1779,2435,9214,13621
"('55.754303', '37.58563')",0.0913692965554109,111,328,3211,4927,20606,23862
"('55.757214', '37.64955')",0.11073282651268967,57,353,2891,5343,18369,25286
"('55.674606', '37.568497')",0.2187989415427492,30,433,2641,3556,18868,21905
"('55.733802', '37.438906')",0.30993462551107254,29,59,1300,1813,10174,22185
"('55.8099435', '37.644094')",0.02307692359524992,127,87,1053,4344,16815,20517
"('55.754814', '37.59013')",0.022685588617218647,107,377,3126,4982,20525,24070
"('55.762733', '37.589745')",0.02688050815378404,96,257,3193,5590,18412,25999
"('55.776041', '37.603631')",0.017601946594334502,141,233,3569,4803,19754,24695
"('55.829633', '37.470455')",0.02659427292153233,1,5,2428,2446,13139,13863
"('55.744941', '37.658886')",0.05077052780197135,145,156,2443,6762,18137,24975
"('55.763108', '37.634865')",0.012078646266580345,70,492,2791,5427,18373,26501
"('55.811452', '37.632799')",0.11927587358014032,133,102,1328,3960,17412,20120
"('55.677209', '37.528163')",0.005283439071971246,75,110,2040,3541,16690,22534
"('55.744617', '37.51212')",0.07584922290802865,120,667,1472,3237,18825,21550
"('55.765854', '37.63352')",0.004057061819377149,74,466,2656,5288,18515,26338
"('55.7417', '37.59354')",0.000255662539800165,54,259,2910,4404,21283,23853
"('55.789026', '37.567887')",0.0038917810576609667,54,280,3090,4738,16968,25344
"('55.717863', '37.442015')",0.1826356435026433,22,120,1213,2136,10593,23129
"('55.754801', '37.58455')",0.014584114256002655,98,337,3231,4942,20545,23686
"('55.780846', '37.449147')",0.06249213035057222,9,87,554,2335,13434,17459
"('55.734354', '37.446866')",0.23242542945750178,17,46,1361,2016,11209,23226
"('55.763187', '37.615112')",0.0010165117529938599,218,631,2745,5819,18807,26917
"('55.7633955', '37.6147912')",0.031413687505116764,223,628,2732,5836,18753,26963
"('55.683112', '37.521803')",0.009696222362992269,40,120,1962,3432,16990,21767
"('55.7411641', '37.6230759')",0.009308998596934783,122,182,3222,6444,19328,25828
"('55.75506', '37.59004')",0.012600108098728887,107,373,3115,4995,20495,24074
"('55.727952', '37.737578')",0.002900197482298531,230,66,1368,4291,16199,20040
"('55.88793', '37.617294')",0.10148771325008658,21,417,1461,2593,6988,14659
"('55.747966', '37.687102')",0.03464082592551803,32,128,1806,6677,16557,24471
"('55.720418', '37.608472')",0.07846452702893521,88,138,2385,5974,19411,25472
"('55.75939', '37.598968')",0.010599469892845737,99,372,3229,5052,19798,25505
"('55.580742', '37.159881')",0.8495991673511089,0,10,78,156,280,1933
"('55.762783', '37.590443')",0.030763243653850247,101,264,3168,5616,18406,26073
"('55.769479', '37.622738')",0.1188429790371703,197,312,3059,5119,18748,26137
"('55.641834', '37.48491')",0.15165802490134656,21,79,1777,2793,11863,16651
"('55.755383', '37.596579')",0.0355885743152469,121,285,3323,4728,20587,24584
"('55.765073', '37.582799')",0.07652319745925995,65,265,3101,5347,18311,25721
"('55.789406', '37.569539')",0.020125355539439636,47,298,3046,4796,16968,25277
"('55.589147', '37.456388')",0.1370617553306436,82,44,547,1738,7824,10318
"('55.68172', '37.49094')",0.13091608858635173,32,46,1921,2077,14944,19847
"('55.711681', '37.519512')",0.14656337128103983,21,39,855,4463,16966,21901
"('55.780846', '37.449147')",0.06249213035057222,9,87,554,2335,13434,17459
"('55.615765', '37.738006')",0.11364173947317441,37,247,1642,1676,7753,15819
"('55.7956', '37.706667')",0.07164023811608682,50,142,1748,1991,17192,17964
"('55.707436', '37.784157')",0.13475279699443116,20,201,1082,2605,12297,17201
"('55.826554', '37.65028')",0.06318809511911663,30,93,1079,3191,15902,18582
"('55.716468', '37.619028')",0.02851280369330874,82,400,2575,6201,19246,25945
"('55.664538', '37.473483')",0.12995617911212884,71,357,1232,3182,11525,19542
"('55.72386', '37.610054')",0.06064601809006507,74,164,2388,6434,19022,26016
"('55.7457189', '37.5925871')",0.13497566046070011,86,340,3016,4463,21108,23709
"('55.723521', '37.58694')",0.007175065827791312,52,162,2238,4983,21072,23639
"('55.74192', '37.598015')",0.07080042832797118,54,175,3196,4391,21379,24098
"('55.748589', '37.591351')",0.09258317161841367,178,247,3170,4338,21215,23490
"('55.7499998', '37.6990018')",0.09247453892202065,31,289,1540,5493,17413,22485
"('55.7515567', '37.7105369')",0.04286094493401067,58,365,1043,5154,17279,21481
"('55.753235', '37.70709')",0.01452538773396659,37,382,1057,5140,17201,21786
"('55.752445', '37.71445')",0.10972361151660225,72,347,1040,4986,17187,21167
"('55.756072', '37.706128')",0.32933429808058673,31,348,1405,4670,17776,21292
"('55.745595', '37.704754')",0.12099619430230298,270,107,1612,5271,17251,22377
"('55.7515567', '37.7105369')",0.04286094493401067,58,365,1043,5154,17279,21481
"('55.747535', '37.702966')",0.100084622227279,275,90,1880,5072,17491,22158
"('55.773773', '37.687839')",0.003652484758741721,55,171,1826,3659,19093,21581
"('55.75527', '37.657806')",0.004477283816658118,224,136,3017,5125,18433,24702
"('55.751817', '37.716144')",0.0003698573001911595,96,321,1035,4945,17109,21128
"('55.7524872', '37.7055563')",0.03402442920380737,43,372,1233,5147,17330,21847
"('55.749927', '37.704736')",0.16823129203205006,300,99,1520,5017,17512,21886
"('55.74342', '37.720467')",0.2850560762070999,11,372,1141,5125,16765,21421
"('55.751206', '37.7001934')",0.03943995486470712,31,298,1500,5267,17294,22366
"('55.748539', '37.70337')",0.013922256293478917,296,90,1741,5105,17473,22137
"('55.788216', '37.671272')",0.21966941547868293,136,181,1393,4288,18764,20727
"('55.771104', '37.703865')",0.004251475370037889,17,59,2038,2826,19179,19643
"('55.751959', '37.686006')",0.22512139554063734,20,135,1885,5679,17405,23302
"('55.7515567', '37.7105369')",0.04286094493401067,58,365,1043,5154,17279,21481
"('55.751568', '37.71495')",0.030362379031399073,102,316,1062,4935,17229,21100
"('55.7515567', '37.7105369')",0.04286094493401067,58,365,1043,5154,17279,21481
"('55.752267', '37.7002331')",0.04074593683560117,29,313,1453,5234,17331,22622
"('55.740406', '37.627445')",0.006008558014506832,159,135,3186,6525,19073,26306
"('55.677159', '37.695348')",0.09743599752776093,60,87,934,5613,15518,22345
"('55.752708', '37.645564')",0.004449979030649457,22,284,3027,5830,19144,25108
"('55.7406555', '37.6665063')",0.09413191278583047,88,380,3287,5600,18810,24864
"('55.747703', '37.688297')",0.06008787842734356,21,129,1788,6545,16802,24150
"('55.71954', '37.690896')",0.15379924158165734,157,1220,2690,4744,18550,22708
"('55.681442', '37.6555')",0.021899904801855382,112,209,1608,5789,17776,22772
"('55.674473', '37.667501')",0.1016828035582453,72,121,1217,4956,17361,20950
"('55.6898201', '37.6558154')",0.0033316505694148462,21,168,2610,5379,19424,22067
"('55.719315', '37.66175')",0.07190648271247428,38,172,4641,3727,20861,22425
"('55.702186', '37.684856')",0.04728490931226685,470,73,3694,3077,20270,21175
"('55.699938', '37.635314')",0.04936732815434484,77,166,2763,6047,18448,25242
"('55.6892303', '37.6536623')",0.05018256499759682,20,89,2678,5392,19391,22017
"('55.720802', '37.661785')",0.11406638810761204,35,127,4717,3674,20959,22305
"('55.717518', '37.659748')",0.09993742519402497,39,510,4272,4000,20685,22617
"('55.70457', '37.670868')",0.06093331938763385,63,657,3163,4172,19806,22445
"('55.72108', '37.664867')",0.09828696300751329,42,129,4494,3755,20901,21976
"('55.698361', '37.635296')",0.056979881243654974,60,175,2771,5934,18821,24770
"('55.703155', '37.672792')",0.011150018999447581,55,600,3187,4292,19651,22353
"('55.6996661', '37.6368671')",0.06284385453431549,78,173,2773,5984,18433,25244
"('55.713234', '37.67484')",0.1423140856761264,184,1391,2591,5062,18940,23599
"('55.688923', '37.6556035')",0.006657504306291599,20,104,2542,5400,19283,22054
"('55.71148', '37.658733')",0.07901550085358164,543,232,4243,3242,20567,22682
"('55.702495', '37.669881')",0.06407938640137144,59,395,3445,4080,19978,22080
"('55.700613', '37.633634')",0.05517890996942504,62,188,2730,6082,18518,25252
"('55.683194', '37.648277')",0.009238312003388188,22,189,1877,5871,18292,22455
"('55.703814', '37.640138')",0.04668714941800965,172,120,4121,4361,20238,23137
"('55.683194', '37.648277')",0.009238312003388188,22,189,1877,5871,18292,22455
"('55.715748', '37.675415')",0.08211950204865227,1225,317,3731,3970,20147,22054
"('55.700613', '37.633634')",0.05517890996942504,62,188,2730,6082,18518,25252
"('55.700704', '37.660961')",0.23175091481670568,22,393,3730,3720,20199,22129
"('55.70073', '37.631586')",0.0057178788159172635,64,199,2578,6319,18290,25505
"('55.6903564', '37.655683')",0.05895019269900763,22,157,2632,5248,19592,22072
"('55.702495', '37.669881')",0.06407938640137144,59,395,3445,4080,19978,22080
"('55.6988708', '37.6385646')",0.15385787652295566,61,186,2676,6007,18704,24922
"('55.703581', '37.661078')",0.0,71,767,3423,4169,19831,22704
"('55.6987549', '37.6362756')",0.034834959762759556,62,185,2766,5969,18712,24887
"('55.707806', '37.67393')",0.05627728632326626,275,320,3452,4152,19613,22658
"('55.690187', '37.657781')",0.059107083606754984,22,158,2496,4677,20078,21474
"('55.695611', '37.662371')",0.07187171308463623,106,58,3897,3274,20546,21400
"('55.682727', '37.584829')",0.09963985031380465,35,131,2859,3592,19816,21623
"('55.686909', '37.593695')",0.06942351671661061,21,259,2489,4783,19396,22510
"('55.693084', '37.59613')",0.3032949004836536,29,201,2615,4716,19657,22857
"('55.678199', '37.596731')",0.0253427491204214,40,110,2955,3719,20385,20876
"('55.690256', '37.5530337')",0.11498521663306367,58,284,2374,3058,20699,20825
"('55.68701', '37.577678')",0.14528487300093085,100,140,2974,3558,20017,21552
"('55.686306', '37.538036')",0.06820055258265857,97,412,1731,3967,19519,20618
"('55.702926', '37.580337')",0.011161795279982718,38,195,1853,5060,18701,24404
"('55.693497', '37.58077')",0.07633408861273677,36,118,2705,3736,20436,22122
"('55.676164', '37.579259')",0.08116579933228539,188,901,2230,4344,18461,22457
"('55.6940437', '37.6040148')",0.1027355868938561,148,87,2886,4895,19816,23221
"('55.689162', '37.598286')",0.13923842014310325,189,61,2823,4570,19988,22170
"('55.679276', '37.57349')",0.0033331474130324323,35,381,2578,3740,19230,21962
"('55.682194', '37.578738')",0.05326271609716633,35,222,2903,3505,19799,21512
"('55.675369', '37.55206')",0.17279652274710836,129,475,2791,3251,19159,21246
"('55.683823', '37.577364')",0.12038392734192814,77,177,2923,3524,19705,21644
"('55.685675', '37.581379')",0.049136031614741484,69,163,2897,3483,20112,21414
"('55.696078', '37.563152')",0.10765385377027747,82,103,2140,3689,20134,22547
"('55.684093', '37.597145')",0.06379160574272923,26,254,2507,4758,19930,21879
"('55.672763', '37.560529')",0.13510230952969793,132,383,2638,3575,18560,21552
"('55.678458', '37.564248')",0.00017794891386335197,106,131,3010,3327,19503,21353
"('55.67314', '37.57369')",0.053813943443478535,42,1076,2164,4030,18380,22075
"('55.687193', '37.56388')",0.0869673582693406,53,295,2822,3546,19726,22001
"('55.670773', '37.571003')",0.12160995933435703,30,1045,2163,3926,18223,21966
"('55.673818', '37.565174')",0.02776133600470681,37,502,2643,3539,18690,21887
"('55.683798', '37.537883')",0.01935574683902841,84,301,1921,3826,19308,20697
"('55.678113', '37.548511')",0.1808628925987041,15,617,2596,3285,19380,21107
"('55.677346', '37.565955')",0.0005290254076491843,90,209,2978,3526,19202,21651
"('55.692475', '37.551726')",0.001535564454203641,62,199,1777,3660,20422,21475
"('55.678113', '37.548511')",0.1808628925987041,15,617,2596,3285,19380,21107
"('55.68665', '37.592644')",0.004724230984770707,26,252,2611,4596,19566,22307
"('55.680103', '37.581963')",0.249840096290952,30,986,1989,4544,18761,22586
"('55.68499', '37.595215')",0.05158165870127129,26,251,2604,4615,19693,22201
"('55.670128', '37.57097')",0.18615181914479076,28,1042,2212,3887,18237,21746
"('55.69109', '37.542958')",0.14942172757628655,92,385,1596,3982,19854,21115
"('55.674477', '37.570007')",0.1791536308637631,31,1013,2051,4054,18423,22299
"('55.682026', '37.566539')",0.0024847033768299258,136,149,2878,3470,19758,21471
"('55.691526', '37.538134')",0.06745960901638308,104,265,1729,3795,19808,20838
"('55.681265', '37.582403')",0.14553390729573995,29,366,2739,3731,19616,21717
"('55.693597', '37.577678')",0.01221145738619912,52,108,2730,3727,20076,22379
"('55.692191', '37.562991')",0.018221881730609655,33,225,2880,2882,20732,21255
"('55.691526', '37.538134')",0.06745960901638308,104,265,1729,3795,19808,20838
"('55.680625', '37.559218')",0.006842649056801223,110,199,2911,3236,19758,21164
"('55.68955', '37.56528')",0.08101719061735982,43,254,2932,3191,20220,21653
"('55.687497', '37.543327')",0.00694659042783761,90,311,1841,3883,19621,21140
"('55.688072', '37.569305')",0.05660345770905261,109,149,3041,3513,19886,21749
"('55.67733', '37.571552')",0.194999954311601,65,381,2608,3800,19166,21767
"('55.670585', '37.566243')",0.09725441675969648,29,475,2620,3489,18545,21322
"('55.693394', '37.557502')",0.012065378937531587,69,115,2745,2826,20983,21290
"('55.694205', '37.566503')",0.09624092304371659,29,191,2878,3063,20799,21441
"('55.672011', '37.570878')",0.06436517569781199,33,1081,2173,3921,18296,22041
"('55.689625', '37.564034')",0.10979375849631644,43,257,2933,3062,20289,21584
"('55.683036', '37.585655')",0.08832796373915817,34,137,2888,3567,19868,21616
"('55.691379', '37.604906')",0.07069816793946901,187,38,2969,4867,19927,22710
"('55.688086', '37.565955')",0.14726162089473246,63,221,2945,3459,19860,21914
"('55.67855', '37.593623')",0.1257264047195347,31,1003,2178,4388,19497,21923
"('55.687066', '37.56697')",0.01924041990025139,71,223,2931,3562,19769,21780
"('55.690268', '37.553873')",0.15042796442938583,47,294,2375,3090,20759,20799
"('55.695296', '37.575648')",0.004375620761659682,26,176,2647,3598,20447,22047
"('55.683676', '37.582215')",0.10975722801433337,39,177,2908,3537,19957,21468
"('55.677783', '37.560493')",0.0694498404286748,103,481,2684,3450,19253,21455
"('55.692506', '37.558454')",0.030805045887865562,61,132,2875,2698,21039,20850
"('55.701861', '37.580679')",0.006047837128208023,31,205,1794,5023,18716,24448
"('55.72386', '37.610054')",0.06064601809006507,74,164,2388,6434,19022,26016
"('55.645136', '37.51697')",0.00958224428803658,66,193,1453,3013,12563,20259
"('55.753169', '37.589796')",0.006860661621746188,158,294,3134,4852,20535,24083
"('55.753129', '37.589096')",0.03818367176083526,155,296,3123,4888,20486,24048
"('55.753286', '37.59657')",0.0169532370953694,169,188,3351,4826,20578,24713
"('55.753114', '37.591566')",0.06521047528258392,174,273,3177,4879,20526,24243
"('55.7531212', '37.5903682')",0.0045914270020579575,164,286,3151,4980,20435,24211
"('55.7270229', '37.561437')",0.0011730318976863614,76,57,1998,4772,21110,21898
"('55.727212', '37.583598')",0.007895958637564348,103,134,2166,4857,21329,23119
"('55.748936', '37.595627')",0.06118876933372441,148,280,3210,4321,21291,23624
"('55.747363', '37.594486')",0.06059776201362061,107,306,3064,4415,21121,23715
"('55.741465', '37.540784')",0.009173962452093032,53,415,2257,3420,21209,20147
"('55.757131', '37.617114')",0.0044911319784509095,348,366,3041,5284,19790,25715
"('55.720585', '37.567042')",0.05945555043149203,46,118,1524,5081,20625,22381
"('55.749847', '37.579815')",0.02900858808057645,149,241,3017,4833,20781,22420
"('55.7630905', '37.5930036')",0.004572486944978254,119,304,3155,5570,18426,26367
"('55.760955', '37.611446')",0.0019494076174493375,153,715,2623,5921,18809,26688
"('55.744713', '37.5827')",0.01324441875571672,144,198,3047,4442,21001,23488
"('55.742534', '37.545465')",0.09342879199556373,83,372,2440,3540,21996,19564
"('55.765716', '37.59356')",0.0037734538196999767,135,319,3120,5607,18581,26155
"('55.762485', '37.598887')",0.009142461317854176,141,262,3243,5233,18904,26357
"('55.725214', '37.578496')",0.00862141354579615,99,169,1915,4766,21498,22813
"('55.744414', '37.594072')",0.17832638162587203,44,375,2869,4590,21035,23819
"('55.7180332', '37.5737618')",0.044525615536868964,39,91,1323,4573,20929,22373
"('55.751933', '37.590075')",0.028083188957165554,173,269,3126,4727,20663,23970
