coords,moscow_stations_closest_km,moscow_stations_less500m,moscow_stations_0.5-1km,moscow_stations_1-3km,moscow_stations_3-5km,moscow_stations_5-10km,moscow_stations_10-15km
"('55.77796', '37.600594')",0.18785558327226434,2,1,34,31,142,113
"('55.71268', '37.517698')",0.6340957716712025,0,1,9,32,100,134
"('55.900103', '37.585745')",0.1274370701588011,1,0,4,7,39,64
"('55.742954', '37.58051')",0.5687606501713569,0,1,26,37,133,126
"('55.904835', '37.38836')",2.203289066183854,0,0,1,2,24,40
"('55.643658', '37.539455')",0.8523728676118575,0,1,4,17,58,130
"('55.5677654', '37.4416839')",1.1036899867900702,0,0,3,1,26,36
"('55.841561', '37.495863')",0.5968560866353321,0,1,6,18,70,105
"('55.817612', '37.745424')",0.8800714097255893,0,1,2,12,66,108
"('55.694784', '37.581559')",1.0305510039430628,0,0,9,21,123,131
"('55.733917', '37.614754')",0.40107669344280034,1,2,23,39,136,124
"('55.757214', '37.64955')",0.6144094172913546,0,3,34,37,129,125
"('55.588949', '37.60081')",0.6549052374477913,0,3,6,7,38,58
"('55.637393', '37.600388')",0.5004096782068922,0,1,7,13,59,124
"('55.898916', '37.379034')",2.8137018574495887,0,0,1,2,23,41
"('55.745083', '37.49736')",0.17250789679073408,1,0,20,17,114,124
"('55.834421', '37.659596')",0.7586641028495789,0,1,7,13,96,103
"('55.790975', '37.634182')",0.20806127294371732,3,0,24,38,119,122
"('55.795423', '37.495276')",0.23907754820556312,2,0,15,13,120,96
"('55.763265', '37.514994')",0.8905779381003831,0,2,20,22,123,122
"('55.7407086', '37.6011763')",0.545388527344337,0,2,26,39,143,119
"('55.763072', '37.58968')",0.5873390463994622,0,5,24,51,117,144
"('55.760915', '37.554861')",0.5745501242365526,0,1,21,40,125,129
"('55.7182621', '37.4771618')",1.3146998346531382,0,0,13,17,91,122
"('55.807435', '37.448662')",0.9399350592105112,0,1,5,15,78,109
"('55.681183', '37.495808')",0.7556379918256809,0,2,10,15,76,126
"('55.5213774', '37.3160383')",9.708417444081094,0,0,0,0,2,21
"('55.720798', '37.444099')",0.7905986002513186,0,1,10,15,67,128
"('55.739352', '37.602606')",0.5938919278665272,0,2,26,41,141,120
"('55.76725', '37.584476')",0.7470193450475503,0,3,27,46,123,137
"('55.78564', '37.633266')",0.6746835505631552,0,4,24,39,123,128
"('55.789289', '37.491126')",0.49723439931704816,1,1,13,16,117,98
"('55.77854', '37.662956')",0.2564715340822484,1,2,21,37,122,121
"('55.643769', '37.496075')",1.5032117003563612,0,0,5,9,60,100
"('55.795853', '37.485538')",0.549597660482924,0,2,10,18,108,103
"('55.893369', '37.602058')",1.059518857403801,0,0,3,11,37,83
"('55.886782', '37.38988')",3.9080083211940484,0,0,0,6,29,48
"('55.841278', '37.494442')",0.5038976989060557,0,1,5,19,68,108
"('55.742043', '37.552498')",0.4462412822298477,1,1,20,36,126,130
"('55.83525', '37.643642')",0.6673326919962,0,1,7,21,88,109
"('55.8134352', '37.5849828')",0.6326017385956745,0,2,15,26,126,99
"('55.695625', '37.821663')",1.1071439274247914,0,0,9,11,53,96
"('55.715527', '37.477104')",1.1554810020274184,0,0,13,14,92,117
"('55.739534', '37.63341')",0.41045250257093924,1,2,29,36,134,126
"('55.684929', '37.533966')",0.9315125242431515,0,1,9,19,98,131
"('55.6900645', '37.6548865')",0.8016034043298771,0,1,8,22,116,131
"('55.806504', '37.449866')",0.8984856768143016,0,1,5,15,79,108
"('55.715527', '37.477104')",1.1554810020274184,0,0,13,14,92,117
"('55.702763', '37.64046')",0.698785151793468,0,1,10,23,135,122
"('55.700877', '37.622405')",0.9723559678031541,0,1,10,25,125,128
"('55.7220172', '37.6077158')",0.3552477301540826,1,1,15,35,138,122
"('55.828217', '37.462414')",1.6201656476915591,0,0,9,11,71,107
"('55.8170545', '37.7545798')",1.4213567372573195,0,0,4,10,62,109
"('55.68153', '37.849888')",0.515887606508298,0,3,4,9,45,63
"('55.853178', '37.608212')",1.2410694852923891,0,0,11,16,78,106
"('55.807435', '37.448662')",0.9399350592105112,0,1,5,15,78,109
"('55.7439839', '37.5919617')",0.6595284199644814,0,3,27,43,128,135
"('55.5512278', '37.3356786')",6.916076748339498,0,0,0,0,10,26
"('55.740928', '37.622118')",0.22131134895061674,2,1,32,32,142,119
"('55.741683', '37.601726')",0.43171711344880953,1,1,27,41,137,125
"('55.829598', '37.465955')",1.707547404053751,0,0,10,9,72,106
"('55.758402', '37.549282')",0.9995306070750327,0,1,21,38,124,129
"('55.756376', '37.54948')",0.8066345925978189,0,1,18,43,120,135
"('55.756771', '37.592725')",0.838641002465786,0,2,30,45,123,140
"('55.779575', '37.706863')",0.29322691057645867,3,1,14,26,112,115
"('55.828217', '37.462414')",1.6201656476915591,0,0,9,11,71,107
"('55.786166', '37.497836')",0.45173989018518407,1,1,10,24,113,106
"('55.699314', '37.511239')",0.8073325985525973,0,2,10,22,97,129
"('55.735175', '37.44064')",0.578730786608178,0,2,8,14,68,127
"('55.738292', '37.625972')",0.2723185020229331,2,1,26,37,134,127
"('55.807435', '37.448662')",0.9399350592105112,0,1,5,15,78,109
"('55.76447', '37.652958')",0.5360248390417947,0,4,24,48,116,136
"('55.659573', '37.56007')",0.9587736430084133,0,1,9,12,77,136
"('55.76963', '37.47916')",0.08897761282440388,1,1,8,28,97,125
"('55.763194', '37.62572')",0.2056338227809849,2,9,26,40,126,133
"('55.733493', '37.609973')",0.47567181976081874,1,3,19,46,132,130
"('55.806504', '37.449866')",0.8984856768143016,0,1,5,15,79,108
"('55.738262', '37.420177')",0.44922484537792956,1,0,8,6,67,114
"('55.774137', '37.630769')",0.2412614282479342,1,4,32,36,127,131
"('55.759384', '37.602894')",0.666566978694599,0,8,27,49,123,136
"('55.790975', '37.634182')",0.20806127294371732,3,0,24,38,119,122
"('55.806504', '37.449866')",0.8984856768143016,0,1,5,15,79,108
"('55.768441', '37.62713')",0.336620797692592,1,7,33,34,133,125
"('55.770157', '37.635998')",0.3110665508531636,2,5,32,38,125,130
"('55.73467', '37.616646')",0.2663636422328594,1,3,22,40,139,119
"('55.700444', '37.51071')",0.8098398857069988,0,2,10,23,94,132
"('55.754983', '37.647675')",0.7373682506651071,0,3,37,35,130,126
"('55.743923', '37.582655')",0.42807219936382435,1,0,28,37,132,127
"('55.651811', '37.395635')",0.4236233367849758,1,1,6,7,39,66
"('55.729807', '37.62978')",0.4642248634358195,2,1,19,43,127,134
"('55.763194', '37.62572')",0.2056338227809849,2,9,26,40,126,133
"('55.669889', '37.556262')",0.11326234935018296,1,1,7,22,85,141
"('55.817837', '37.464825')",0.8471700592053928,0,3,6,15,81,107
"('55.642133', '37.601385')",0.34406491786994564,1,0,7,13,65,123
"('55.77517', '37.674022')",0.44038755427620746,1,1,20,42,118,121
"('55.747936', '37.599058')",0.4373753412727362,1,5,25,44,130,129
"('55.7952463', '37.6114797')",0.3401218837351362,3,0,21,40,120,123
"('55.776894', '37.630096')",0.3732584797497863,1,2,30,38,127,128
"('55.732012', '37.594054')",0.46618439824007296,1,0,22,37,136,128
"('55.775505', '37.594971')",0.6031782776562097,0,5,29,42,132,125
"('55.709637', '37.591943')",0.4872574658345691,1,1,14,22,144,115
"('55.637195', '37.665668')",0.6073339882810622,0,1,5,15,55,122
"('55.7678312', '37.6190593')",0.1804376879455378,2,6,35,34,132,127
"('55.745797', '37.513107')",0.1223268067426619,1,0,16,26,119,122
"('55.885332', '37.389095')",3.9939514408758328,0,0,0,6,28,49
"('55.765205', '37.647486')",0.3459310932067361,1,3,30,43,123,131
"('55.856432', '37.449641')",0.8810545693215606,0,2,2,17,45,92
"('55.754303', '37.58563')",0.7426373952599333,0,3,27,49,121,143
"('55.757214', '37.64955')",0.6144094172913546,0,3,34,37,129,125
"('55.674606', '37.568497')",0.5043046261463763,0,1,10,14,103,134
"('55.733802', '37.438906')",0.5262660663237796,0,2,8,14,68,125
"('55.8099435', '37.644094')",0.4143674579219229,1,0,14,28,118,104
"('55.754814', '37.59013')",0.8686273792435202,0,3,26,47,121,142
"('55.762733', '37.589745')",0.5758296369461574,0,5,25,50,118,144
"('55.776041', '37.603631')",0.4240639192430679,1,2,36,27,145,114
"('55.829633', '37.470455')",1.4917294743421272,0,0,10,9,78,99
"('55.744941', '37.658886')",0.44930659868863626,1,2,25,39,133,123
"('55.763108', '37.634865')",0.27787950841430703,3,5,31,40,131,125
"('55.811452', '37.632799')",0.5501980826750497,0,1,14,26,119,105
"('55.677209', '37.528163')",0.9043926283291498,0,1,9,15,87,134
"('55.744617', '37.51212')",0.267490504136986,1,1,15,27,120,120
"('55.765854', '37.63352')",0.13894599354426115,3,5,33,37,130,127
"('55.7417', '37.59354')",0.6235089881893398,0,3,26,43,131,130
"('55.789026', '37.567887')",0.6116054489699387,0,2,14,48,108,138
"('55.717863', '37.442015')",0.6824778873385244,0,1,9,14,68,126
"('55.754801', '37.58455')",0.6987132847332316,0,3,26,50,120,144
"('55.780846', '37.449147')",2.2433907168194738,0,0,3,15,75,123
"('55.734354', '37.446866')",0.4284040708238694,2,0,9,13,73,126
"('55.763187', '37.615112')",0.5038523798864105,0,9,29,44,125,134
"('55.7633955', '37.6147912')",0.4741775409846127,1,9,29,43,126,133
"('55.683112', '37.521803')",1.3066195606500293,0,0,11,16,89,130
"('55.7411641', '37.6230759')",0.1671833481902266,2,1,35,30,143,118
"('55.75506', '37.59004')",0.8441106270297937,0,3,26,47,122,141
"('55.727952', '37.737578')",0.6712935011454118,0,3,12,25,108,109
"('55.88793', '37.617294')",1.0016901439445256,0,0,4,9,38,92
"('55.747966', '37.687102')",0.26807318435667127,3,0,18,44,116,131
"('55.720418', '37.608472')",0.18073888276785424,1,1,15,31,141,120
"('55.75939', '37.598968')",0.7320182094020892,0,4,30,45,124,137
"('55.580742', '37.159881')",1.403344517022997,0,0,2,3,6,9
"('55.762783', '37.590443')",0.6186384703593177,0,5,25,50,119,143
"('55.769479', '37.622738')",0.20344339762382632,2,5,35,34,132,127
"('55.641834', '37.48491')",0.9030574214277146,0,1,5,10,53,91
"('55.755383', '37.596579')",0.5524537420257805,0,4,30,44,124,138
"('55.765073', '37.582799')",0.486444892028043,1,2,25,49,119,143
"('55.789406', '37.569539')",0.7113325749904574,0,2,17,46,111,134
"('55.589147', '37.456388')",1.491268340920427,0,0,2,5,33,45
"('55.68172', '37.49094')",0.8723213505224703,0,2,10,13,77,125
"('55.711681', '37.519512')",0.5583012426504892,0,1,9,28,104,132
"('55.780846', '37.449147')",2.2433907168194738,0,0,3,15,75,123
"('55.615765', '37.738006')",0.35039247260562034,1,2,5,7,33,78
"('55.7956', '37.706667')",0.4411029117087568,1,0,12,18,110,106
"('55.707436', '37.784157')",1.1076244451979378,0,0,11,17,72,108
"('55.826554', '37.65028')",0.45103424243823675,1,2,6,22,100,107
"('55.716468', '37.619028')",0.7475614345851243,0,2,14,31,136,126
"('55.664538', '37.473483')",0.6096492774749788,0,1,7,14,61,109
"('55.72386', '37.610054')",0.5764847895331898,0,4,12,44,130,135
"('55.7457189', '37.5925871')",0.5947027939304407,0,2,27,43,129,133
"('55.723521', '37.58694')",0.6089487562888244,0,1,16,38,132,132
"('55.74192', '37.598015')",0.541377235812103,0,2,26,42,137,125
"('55.748589', '37.591351')",0.4839902453848895,1,2,27,44,130,133
"('55.7499998', '37.6990018')",0.8276762235622962,0,1,21,32,120,121
"('55.7515567', '37.7105369')",0.43573039533508784,1,0,14,36,108,126
"('55.753235', '37.70709')",0.6661007813294347,0,1,13,36,111,124
"('55.752445', '37.71445')",0.19644998593466587,1,0,14,34,107,125
"('55.756072', '37.706128')",0.8468713556606177,0,3,16,33,114,120
"('55.745595', '37.704754')",1.0329889445615614,0,0,16,32,111,130
"('55.7515567', '37.7105369')",0.43573039533508784,1,0,14,36,108,126
"('55.747535', '37.702966')",0.9441235609375076,0,1,16,34,111,130
"('55.773773', '37.687839')",0.5728263817674721,0,1,17,36,113,126
"('55.75527', '37.657806')",0.12027208283409889,3,0,31,36,130,122
"('55.751817', '37.716144')",0.08264487491854186,1,0,14,33,108,121
"('55.7524872', '37.7055563')",0.7489910502093416,0,1,16,35,113,124
"('55.749927', '37.704736')",0.8286449405812418,0,1,15,36,109,129
"('55.74342', '37.720467')",0.914726294260167,0,3,14,27,111,121
"('55.751206', '37.7001934')",0.9690651045731408,0,1,15,36,112,130
"('55.748539', '37.70337')",0.9611673690785454,0,2,17,33,112,128
"('55.788216', '37.671272')",0.5538110884417711,0,3,14,42,107,124
"('55.771104', '37.703865')",0.7365045781297676,0,2,13,34,108,122
"('55.751959', '37.686006')",0.6330848443470963,0,3,15,45,116,132
"('55.7515567', '37.7105369')",0.43573039533508784,1,0,14,36,108,126
"('55.751568', '37.71495')",0.16179038396359552,1,0,14,33,108,121
"('55.7515567', '37.7105369')",0.43573039533508784,1,0,14,36,108,126
"('55.752267', '37.7002331')",1.0501159637035578,0,0,16,36,116,127
"('55.740406', '37.627445')",0.1199308626452257,2,1,31,34,139,123
"('55.677159', '37.695348')",0.9094222085069746,0,2,6,19,89,132
"('55.752708', '37.645564')",0.9345807917848532,0,2,36,37,130,126
"('55.7406555', '37.6665063')",0.6574641415588947,0,4,14,49,118,141
"('55.747703', '37.688297')",0.22790798203230328,2,1,19,42,118,129
"('55.71954', '37.690896')",0.4528945303668274,1,2,12,29,118,129
"('55.681442', '37.6555')",0.6837785278170131,0,1,9,16,108,128
"('55.674473', '37.667501')",0.40557238583309707,1,1,6,19,91,135
"('55.6898201', '37.6558154')",0.7800262953070322,0,1,7,24,114,133
"('55.719315', '37.66175')",0.9222969762280632,0,1,15,31,131,125
"('55.702186', '37.684856')",0.44352792289309073,1,0,10,24,114,133
"('55.699938', '37.635314')",0.8378677355324287,0,1,7,27,122,133
"('55.6892303', '37.6536623')",0.9214467919341104,0,1,8,22,116,129
"('55.720802', '37.661785')",0.9591144471479245,0,1,16,30,132,123
"('55.717518', '37.659748')",1.0394794811934056,0,0,16,31,130,125
"('55.70457', '37.670868')",0.9011193970404073,0,2,5,34,115,138
"('55.72108', '37.664867')",0.7904708752408068,0,1,16,31,131,124
"('55.698361', '37.635296')",0.8197447630308609,0,1,8,27,121,135
"('55.703155', '37.672792')",0.862497624082386,0,1,8,28,118,133
"('55.6996661', '37.6368671')",0.7360589984534415,0,1,8,28,120,135
"('55.713234', '37.67484')",0.5457602788633418,0,1,11,29,125,131
"('55.688923', '37.6556035')",0.8647556028904905,0,1,7,24,113,132
"('55.71148', '37.658733')",0.5503254140557945,0,1,12,30,128,128
"('55.702495', '37.669881')",0.9085239551385916,0,2,7,30,118,133
"('55.700613', '37.633634')",0.9584425638894207,0,1,8,28,121,133
"('55.683194', '37.648277')",1.1646733531336921,0,0,9,17,113,126
"('55.703814', '37.640138')",0.798665905642663,0,1,11,22,137,120
"('55.683194', '37.648277')",1.1646733531336921,0,0,9,17,113,126
"('55.715748', '37.675415')",0.2639094042300988,1,0,12,31,123,132
"('55.700613', '37.633634')",0.9584425638894207,0,1,8,28,121,133
"('55.700704', '37.660961')",0.66629001102816,0,3,5,30,121,133
"('55.70073', '37.631586')",1.0862764035630457,0,0,10,27,122,133
"('55.6903564', '37.655683')",0.74293169011802,0,1,8,22,116,131
"('55.702495', '37.669881')",0.9085239551385916,0,2,7,30,118,133
"('55.6988708', '37.6385646')",0.6171238697418925,0,1,8,28,121,135
"('55.703581', '37.661078')",0.425450087898363,1,2,7,31,120,132
"('55.6987549', '37.6362756')",0.7595936344690326,0,1,8,28,119,137
"('55.707806', '37.67393')",0.7465210052678837,0,1,8,30,119,135
"('55.690187', '37.657781')",0.6696473051627058,0,1,7,24,111,135
"('55.695611', '37.662371')",0.13184256912911843,1,1,9,23,121,128
"('55.682727', '37.584829')",0.929094575878968,0,1,9,18,116,123
"('55.686909', '37.593695')",0.7917717237786595,0,1,8,24,114,129
"('55.693084', '37.59613')",0.6528216582797599,0,1,9,21,122,126
"('55.678199', '37.596731')",1.038846597960744,0,0,11,17,114,125
"('55.690256', '37.5530337')",1.2128527002707792,0,0,9,19,111,133
"('55.68701', '37.577678')",0.33859820846665445,1,0,11,17,119,123
"('55.686306', '37.538036')",0.8085578153350557,0,1,9,20,101,134
"('55.702926', '37.580337')",0.5193149596831405,0,2,9,21,130,127
"('55.693497', '37.58077')",0.8852008112106208,0,1,9,20,121,133
"('55.676164', '37.579259')",1.061711334611269,0,0,11,15,103,135
"('55.6940437', '37.6040148')",0.4502626003128333,1,0,10,21,126,125
"('55.689162', '37.598286')",0.4333734950353537,1,0,9,21,119,128
"('55.679276', '37.57349')",0.7083131166363356,0,2,7,20,102,136
"('55.682194', '37.578738')",0.684162436385147,0,1,10,18,115,122
"('55.675369', '37.55206')",0.6087513704974158,0,2,8,19,93,136
"('55.683823', '37.577364')",0.4882764261406914,1,0,11,17,117,123
"('55.685675', '37.581379')",0.5940942796150146,0,1,9,19,118,123
"('55.696078', '37.563152')",1.1487802292346443,0,0,10,20,117,131
"('55.684093', '37.597145')",0.8259455663556292,0,1,8,23,116,125
"('55.672763', '37.560529')",0.48339578711944947,1,1,7,18,93,136
"('55.678458', '37.564248')",0.1359839156287424,1,0,10,17,102,133
"('55.67314', '37.57369')",0.8612437226720232,0,1,10,13,104,131
"('55.687193', '37.56388')",0.5296075166186271,0,1,7,22,109,130
"('55.670773', '37.571003')",0.9325557306264073,0,1,9,14,96,138
"('55.673818', '37.565174')",0.45863755511554716,1,1,9,16,98,136
"('55.683798', '37.537883')",1.0778723886731467,0,0,10,17,98,129
"('55.678113', '37.548511')",0.8873998867917755,0,2,8,19,95,134
"('55.677346', '37.565955')",0.21445666196396357,1,0,11,15,102,133
"('55.692475', '37.551726')",1.0863896417790093,0,0,8,22,111,133
"('55.678113', '37.548511')",0.8873998867917755,0,2,8,19,95,134
"('55.68665', '37.592644')",0.8638266455685912,0,1,8,24,114,129
"('55.680103', '37.581963')",0.9922155992948644,0,1,10,17,112,127
"('55.68499', '37.595215')",0.8334423468656594,0,1,8,24,114,128
"('55.670128', '37.57097')",0.991428869974522,0,1,9,14,95,135
"('55.69109', '37.542958')",0.5849637367377214,0,1,9,20,107,130
"('55.674477', '37.570007')",0.5864355872314758,0,1,9,15,101,136
"('55.682026', '37.566539')",0.5446600160422996,0,2,6,21,102,136
"('55.691526', '37.538134')",0.3008045491748775,1,0,10,18,109,128
"('55.681265', '37.582403')",0.9125276708849651,0,1,10,17,116,123
"('55.693597', '37.577678')",0.7937826647053408,0,1,8,24,118,133
"('55.692191', '37.562991')",0.8112551351419253,0,1,7,21,116,131
"('55.691526', '37.538134')",0.3008045491748775,1,0,10,18,109,128
"('55.680625', '37.559218')",0.3915331444647224,1,0,8,20,101,131
"('55.68955', '37.56528')",0.5162497999124751,0,1,7,20,116,129
"('55.687497', '37.543327')",0.8505263183286792,0,1,8,20,101,136
"('55.688072', '37.569305')",0.2146850681055293,1,0,8,20,114,127
"('55.67733', '37.571552')",0.5647743221317627,0,1,8,18,101,135
"('55.670585', '37.566243')",0.7415035118141614,0,2,9,14,96,130
"('55.693394', '37.557502')",1.161838871301452,0,0,7,21,116,129
"('55.694205', '37.566503')",0.8662639353970223,0,1,8,18,120,129
"('55.672011', '37.570878')",0.8177282915741358,0,1,10,13,101,134
"('55.689625', '37.564034')",0.5885505426688942,0,1,7,22,114,132
"('55.683036', '37.585655')",0.9566202077690317,0,1,9,18,116,127
"('55.691379', '37.604906')",0.14941882899351575,1,1,8,23,125,125
"('55.688086', '37.565955')",0.41253601083371133,1,0,8,19,117,124
"('55.67855', '37.593623')",1.2250585080661733,0,0,10,17,114,126
"('55.687066', '37.56697')",0.33535650998885025,1,0,8,19,115,124
"('55.690268', '37.553873')",1.2099067645313952,0,0,7,21,110,133
"('55.695296', '37.575648')",0.931390051799575,0,1,8,23,120,132
"('55.683676', '37.582215')",0.7336678859047947,0,1,9,19,115,124
"('55.677783', '37.560493')",0.132825475654516,1,1,7,21,94,139
"('55.692506', '37.558454')",1.0555938071915292,0,0,8,19,116,129
"('55.701861', '37.580679')",0.6110568401792299,0,2,10,18,133,123
"('55.72386', '37.610054')",0.5764847895331898,0,4,12,44,130,135
"('55.645136', '37.51697')",0.6536795210114161,0,1,6,9,63,110
"('55.753169', '37.589796')",0.7146127817557327,0,2,29,44,124,138
"('55.753129', '37.589096')",0.6885665224478535,0,3,28,45,125,138
"('55.753286', '37.59657')",0.4478376644112938,1,3,30,42,124,139
"('55.753114', '37.591566')",0.7540205763607418,0,2,28,44,123,138
"('55.7531212', '37.5903682')",0.729776157116962,0,2,28,44,123,139
"('55.7270229', '37.561437')",0.5174287695572405,0,2,15,31,125,133
"('55.727212', '37.583598')",0.21406157400444206,1,0,16,38,134,130
"('55.748936', '37.595627')",0.620539709431009,0,6,23,46,128,135
"('55.747363', '37.594486')",0.6529715091723393,0,4,25,45,128,134
"('55.741465', '37.540784')",0.4321594901338935,2,5,14,38,121,132
"('55.757131', '37.617114')",0.12828241031820253,3,6,30,39,134,125
"('55.720585', '37.567042')",0.2528111496304774,2,0,11,36,120,141
"('55.749847', '37.579815')",0.34516156949742216,1,0,25,45,129,133
"('55.7630905', '37.5930036')",0.7295776865210788,0,4,26,50,120,141
"('55.760955', '37.611446')",0.45859256842532364,2,9,27,45,127,133
"('55.744713', '37.5827')",0.3411060449716767,1,0,29,36,133,127
"('55.742534', '37.545465')",0.4592510747938537,1,5,14,39,123,129
"('55.765716', '37.59356')",0.4846202909923537,1,4,26,50,119,142
"('55.762485', '37.598887')",0.44831704050408805,2,2,31,43,128,135
"('55.725214', '37.578496')",0.272721064978281,1,0,16,36,132,127
"('55.744414', '37.594072')",0.6446784978080313,0,3,27,42,131,131
"('55.7180332', '37.5737618')",0.7177217870385829,0,2,9,35,123,134
"('55.751933', '37.590075')",0.6131241890995502,0,2,30,43,128,134
"('55.75571', '37.600845')",0.41317112319555277,1,4,30,47,118,145
"('55.753407', '37.600082')",0.24628156888711336,1,4,30,45,120,143
"('55.758929', '37.645393')",0.8087228616845363,0,6,31,40,127,131
"('55.764121', '37.615416')",0.4707640882533021,1,9,28,42,127,132
"('55.75554', '37.594433')",0.6727252317711965,0,2,31,43,123,139
"('55.749603', '37.597872')",0.46413277571152717,1,5,24,47,124,139
"('55.754507', '37.602687')",0.24953240678458274,2,3,31,47,119,144
"('55.7557561', '37.6033112')",0.3836212742355324,1,5,30,49,116,147
"('55.755196', '37.592796')",0.7442901511265485,0,2,29,45,122,140
"('55.75768', '37.606674')",0.5300225010412948,0,10,25,53,116,144
"('55.754507', '37.602687')",0.24953240678458274,2,3,31,47,119,144
"('55.754753', '37.59622')",0.531256466126379,0,4,29,45,121,142
"('55.759436', '37.605733')",0.6361157393533133,0,8,27,50,121,138
"('55.812666', '37.640911')",0.5598894638580745,0,2,12,26,117,104
"('55.801455', '37.63765')",0.708832101510188,0,1,17,36,118,113
"('55.812292', '37.653316')",1.0443685341137818,0,0,9,32,105,117
"('55.814062', '37.623735')",0.8902612538734136,0,1,16,26,120,100
"('55.816387', '37.656082')",1.02646802070948,0,0,9,25,105,109
"('55.817613', '37.661859')",1.3419956533688429,0,0,7,24,101,114
"('55.8114519', '37.6453291')",0.5819554904631689,0,2,12,28,117,104
"('55.8064017', '37.6481266')",0.6111278535978004,0,1,14,29,120,104
"('55.813637', '37.645501')",0.7302711398722671,0,2,12,23,120,99
"('55.816328', '37.631379')",0.6661398598400493,0,3,13,24,119,98
"('55.8064017', '37.6481266')",0.6111278535978004,0,1,14,29,120,104
"('55.804612', '37.635503')",0.40703193484021405,1,0,15,32,118,111
"('55.812337', '37.658571')",1.3446999164375983,0,0,10,27,104,119
"('55.8134', '37.659847')",1.3833091475808714,0,0,11,23,108,113
"('55.815367', '37.659084')",1.2432171891402393,0,0,9,24,103,114
"('55.806282', '37.640947')",0.21956415264992743,1,0,14,33,117,112
"('55.814117', '37.64788')",0.758903065000345,0,2,9,25,116,103
"('55.806499', '37.643911')",0.3572011224617903,1,0,16,27,121,103
"('55.80527', '37.63897')",0.2815311860190804,1,0,15,35,115,117
"('55.801536', '37.636715')",0.7077750193628392,0,1,14,39,115,116
"('55.806565', '37.642662')",0.2836761230999143,1,0,14,31,117,108
"('55.815556', '37.624374')",0.7191721648710808,0,1,16,23,121,96
"('55.816045', '37.627247')",0.6431109197109286,0,2,15,24,120,98
"('55.8145435', '37.6248368')",0.8233270301479655,0,1,16,25,119,99
"('55.8158484', '37.6282409')",0.6683790988122852,0,2,14,25,118,101
