coords,moscow_stations_closest_km,moscow_stations_less500m,moscow_stations_0.5-1km,moscow_stations_1-3km,moscow_stations_3-5km,moscow_stations_5-10km,moscow_stations_10-15km
"('55.732839', '37.622306')",0.4283279764068411,2,3,23,39,137,123
"('55.65044', '37.34142')",1.0073501494129884,0,0,6,6,25,43
"('55.776188', '37.586095')",0.28640386420880565,2,1,26,45,119,138
"('55.765154', '37.603586')",0.02961580648902536,3,1,30,40,130,133
"('55.716846', '37.508022')",1.0158276545112799,0,0,8,30,99,135
"('55.772684', '37.729664')",1.024495617665034,0,0,13,25,107,110
"('55.543419', '37.482277')",2.043702346049829,0,0,2,4,18,35
"('55.742954', '37.58051')",0.5687606501713569,0,1,26,37,133,126
"('55.7119655', '37.9285327')",1.002359771638681,0,0,2,7,24,42
"('55.817612', '37.745424')",0.8800714097255893,0,1,2,12,66,108
"('55.757906', '37.606137')",0.5663936468475615,0,9,26,52,117,143
"('55.790712', '37.474444')",1.2261881923673712,0,0,9,17,100,104
"('55.7742587', '37.546541')",0.10565700343584854,2,0,19,40,118,129
"('55.740451', '37.592716')",0.49899462307584086,1,2,26,43,133,127
"('55.748577', '37.598557')",0.5096111876935188,0,6,24,45,129,132
"('55.783539', '37.742016')",0.5667258975873036,0,2,11,16,101,105
"('55.747323', '37.396371')",1.2919898695301033,0,0,4,7,58,102
"('55.717589', '37.511643')",1.1180349094887307,0,0,9,30,102,133
"('55.7498574', '37.6055674')",0.24445335284665173,4,1,31,41,129,133
"('55.745868', '37.597926')",0.4001696806760402,1,4,24,46,128,133
"('55.715753', '37.753964')",1.2797547840996306,0,0,14,21,100,108
"('55.76317', '37.508592')",1.1824284484066194,0,0,20,21,121,118
"('55.76643', '37.6137')",0.3355683558666297,1,6,30,40,129,133
"('55.771211', '37.676134')",0.22568751989806107,1,0,24,40,120,120
"('55.692318', '37.597594')",0.5304425369155237,0,1,8,22,121,127
"('55.758068', '37.419117')",0.7026179302794229,0,1,2,11,63,122
"('55.730101', '37.630939')",0.48880802016264,1,2,18,44,126,136
"('55.675346', '37.541386')",1.0120422882130695,0,0,10,14,90,139
"('55.781626', '37.734578')",0.9324563397266799,0,2,13,14,110,102
"('55.746227', '37.63473')",0.5473229898787138,0,2,37,27,142,115
"('55.725534', '37.570501')",0.63661870583956,0,3,11,39,124,135
"('55.76565', '37.594926')",0.46971195077434114,1,3,27,48,121,142
"('55.768405', '37.626187')",0.2784147274013361,1,7,34,33,134,124
"('55.76705', '37.61186')",0.25634256337514505,2,4,32,38,134,128
"('55.757492', '37.399048')",0.5753337687144952,0,1,1,9,56,113
"('55.747652', '37.61777')",0.6113734967833354,0,6,33,33,136,122
"('55.784997', '37.526636')",0.4547283827177274,1,1,14,32,120,115
"('55.723004', '37.575468')",0.5792316204197449,0,3,9,39,126,134
"('55.822979', '37.526735')",0.8351825797593768,0,1,6,28,101,106
"('55.64191', '37.34936')",0.49483665703742646,1,0,7,3,25,43
"('55.731891', '37.539922')",0.9327516494341453,0,1,19,25,130,118
"('55.69316', '37.470599')",0.5729347130503788,0,2,9,12,76,123
"('55.738698', '37.593039')",0.30863119990072513,1,0,24,44,136,124
"('55.763933', '37.60929')",0.20807029496420767,3,4,30,41,128,131
