coords,train_stations_closest_km,train_stations_less500m,train_stations_0.5-1km,train_stations_1-3km,train_stations_3-5km,train_stations_5-10km,train_stations_10-15km
"('55.732839', '37.622306')",1.1357837272393434,0,0,1,2,7,3
"('55.65044', '37.34142')",17.504635584848593,0,0,0,0,0,0
"('55.776188', '37.586095')",0.3102648199860297,1,0,2,5,4,6
"('55.765154', '37.603586')",1.91381340996818,0,0,1,8,2,8
"('55.716846', '37.508022')",4.685804631206674,0,0,0,1,3,6
"('55.772684', '37.729664')",3.5243355244870314,0,0,0,5,4,6
"('55.543419', '37.482277')",22.850971458439428,0,0,0,0,0,0
"('55.742954', '37.58051')",0.8900496987464316,0,1,0,3,6,4
"('55.7119655', '37.9285327')",15.219965543789948,0,0,0,0,0,0
"('55.817612', '37.745424')",1.6596362433598846,0,0,1,0,6,4
"('55.757906', '37.606137')",2.6262405161403883,0,0,2,7,2,8
"('55.790712', '37.474444')",6.87920294766133,0,0,0,0,4,5
"('55.7742587', '37.546541')",2.2016379221684987,0,0,1,2,7,3
"('55.740451', '37.592716')",1.6822883661965429,0,0,1,3,6,4
"('55.748577', '37.598557')",2.1137499908386497,0,0,1,6,3,7
"('55.783539', '37.742016')",2.1633864609350453,0,0,1,0,8,2
"('55.747323', '37.396371')",10.684966744684182,0,0,0,0,0,3
"('55.717589', '37.511643')",4.4569932365364515,0,0,0,1,3,6
"('55.7498574', '37.6055674')",2.576408465769243,0,0,1,6,3,7
"('55.745868', '37.597926')",2.0078105833475366,0,0,1,5,4,6
"('55.715753', '37.753964')",7.3575236008979035,0,0,0,0,6,4
"('55.76317', '37.508592')",4.260334869483366,0,0,0,2,7,2
"('55.76643', '37.6137')",2.342866266444232,0,0,4,5,5,5
"('55.771211', '37.676134')",1.2663904658241223,0,0,4,1,9,1
"('55.692318', '37.597594')",4.930682720371678,0,0,0,1,4,5
"('55.758068', '37.419117')",9.394119202593405,0,0,0,0,1,6
"('55.730101', '37.630939')",0.5413484356650778,0,1,0,3,6,4
"('55.675346', '37.541386')",7.702835341113128,0,0,0,0,2,7
"('55.781626', '37.734578')",2.48234473654647,0,0,1,2,7,3
"('55.746227', '37.63473')",1.859846301421526,0,0,2,5,5,5
"('55.725534', '37.570501')",1.9710765983505778,0,0,1,1,8,2
"('55.76565', '37.594926')",1.515638673964166,0,0,1,8,1,9
"('55.768405', '37.626187')",1.9785071268175445,0,0,6,3,7,3
"('55.76705', '37.61186')",2.2083394971027084,0,0,3,6,4,6
"('55.757492', '37.399048')",10.62685379917798,0,0,0,0,0,3
"('55.747652', '37.61777')",2.417456000483557,0,0,2,5,4,6
"('55.784997', '37.526636')",3.547299449263301,0,0,0,2,7,3
"('55.723004', '37.575468')",2.3077276096516384,0,0,1,1,8,2
"('55.822979', '37.526735')",4.995394376520206,0,0,0,1,6,4
"('55.64191', '37.34936')",17.693852037372352,0,0,0,0,0,0
"('55.731891', '37.539922')",2.0751206626499576,0,0,1,0,9,0
"('55.69316', '37.470599')",8.191229894650466,0,0,0,0,1,7
"('55.738698', '37.593039')",1.7464981760027285,0,0,1,3,6,4
"('55.763933', '37.60929')",2.272815845237333,0,0,1,8,2,8
"('55.77796', '37.600594')",1.2157824126037184,0,0,3,5,5,5
"('55.71268', '37.517698')",4.56040953653576,0,0,0,1,2,7
"('55.900103', '37.585745')",11.774464474802429,0,0,0,0,0,7
"('55.742954', '37.58051')",0.8900496987464316,0,1,0,3,6,4
"('55.904835', '37.38836')",17.544269046062674,0,0,0,0,0,0
"('55.643658', '37.539455')",11.197796706626603,0,0,0,0,0,3
"('55.5677654', '37.4416839')",21.037065749098325,0,0,0,0,0,0
"('55.841561', '37.495863')",7.813071567621596,0,0,0,0,2,6
"('55.817612', '37.745424')",1.6596362433598846,0,0,1,0,6,4
"('55.694784', '37.581559')",5.33179532035782,0,0,0,0,5,4
"('55.733917', '37.614754')",1.6245362263982235,0,0,1,2,7,3
"('55.757214', '37.64955')",0.7106663594946814,0,1,3,4,6,4
"('55.588949', '37.60081')",15.863778565216489,0,0,0,0,0,0
"('55.637393', '37.600388')",10.572650063578081,0,0,0,0,0,3
"('55.898916', '37.379034')",17.521573694736052,0,0,0,0,0,0
"('55.745083', '37.49736')",4.33800449431144,0,0,0,1,3,6
"('55.834421', '37.659596')",4.9562729256229705,0,0,0,1,7,3
"('55.790975', '37.634182')",0.2044216522181092,1,0,5,2,8,2
"('55.795423', '37.495276')",5.778436620278034,0,0,0,0,4,5
"('55.763265', '37.514994')",3.9299187916251244,0,0,0,2,7,2
"('55.7407086', '37.6011763')",2.203860934711111,0,0,2,2,7,3
"('55.763072', '37.58968')",1.6260254286903313,0,0,2,7,2,8
"('55.760915', '37.554861')",2.1123388831360224,0,0,2,1,8,2
"('55.7182621', '37.4771618')",6.247115135529221,0,0,0,0,2,7
"('55.807435', '37.448662')",8.864363513889314,0,0,0,0,2,7
"('55.681183', '37.495808')",8.194402391826896,0,0,0,0,1,7
"('55.5213774', '37.3160383')",29.288315810689475,0,0,0,0,0,0
"('55.720798', '37.444099')",8.070486368479834,0,0,0,0,1,8
"('55.739352', '37.602606')",2.315341483578278,0,0,2,2,7,3
"('55.76725', '37.584476')",1.0919089376243494,0,0,2,6,3,7
"('55.78564', '37.633266')",0.7739117905638577,0,1,4,3,7,3
"('55.789289', '37.491126')",5.824286829897097,0,0,0,0,4,5
"('55.77854', '37.662956')",0.4066791374892114,1,2,3,2,8,2
"('55.643769', '37.496075')",11.907289055766402,0,0,0,0,0,2
"('55.795853', '37.485538')",6.368527508603951,0,0,0,0,4,5
"('55.893369', '37.602058')",11.058456875087803,0,0,0,0,0,7
"('55.886782', '37.38988')",16.12736827079673,0,0,0,0,0,0
"('55.841278', '37.494442')",7.858246137091724,0,0,0,0,2,6
"('55.742043', '37.552498')",0.8770520557522166,0,1,0,2,7,3
"('55.83525', '37.643642')",4.800854074847136,0,0,0,1,7,3
"('55.8134352', '37.5849828')",2.132941698115312,0,0,1,2,7,3
"('55.695625', '37.821663')",12.061587043318205,0,0,0,0,0,6
"('55.715527', '37.477104')",6.3910110567330936,0,0,0,0,2,7
"('55.739534', '37.63341')",1.15589909950591,0,0,2,4,5,5
"('55.684929', '37.533966')",6.786713858953087,0,0,0,0,2,7
"('55.6900645', '37.6548865')",4.521928506074793,0,0,0,1,5,5
"('55.806504', '37.449866')",8.773419170097315,0,0,0,0,2,7
"('55.715527', '37.477104')",6.3910110567330936,0,0,0,0,2,7
"('55.702763', '37.64046')",3.004487201503787,0,0,0,1,6,4
"('55.700877', '37.622405')",3.389382459768851,0,0,0,1,6,4
"('55.7220172', '37.6077158')",2.1763589717758287,0,0,1,1,8,2
"('55.828217', '37.462414')",8.734820120718332,0,0,0,0,2,6
"('55.8170545', '37.7545798')",1.657960265205431,0,0,1,0,6,4
"('55.68153', '37.849888')",14.272197557383533,0,0,0,0,0,3
"('55.853178', '37.608212')",6.669267933138622,0,0,0,0,6,4
"('55.807435', '37.448662')",8.864363513889314,0,0,0,0,2,7
"('55.7439839', '37.5919617')",1.6122871171145998,0,0,1,3,6,4
"('55.5512278', '37.3356786')",25.829327625280563,0,0,0,0,0,0
"('55.740928', '37.622118')",1.6575048593036816,0,0,1,6,3,7
"('55.741683', '37.601726')",2.227914625343499,0,0,2,3,6,4
"('55.829598', '37.465955')",8.603988424602695,0,0,0,0,2,6
"('55.758402', '37.549282')",2.014199170947783,0,0,2,1,8,2
"('55.756376', '37.54948')",1.8198688126567528,0,0,1,2,7,3
"('55.756771', '37.592725')",2.2512529571543127,0,0,2,7,2,8
"('55.779575', '37.706863')",3.1239047330829983,0,0,0,6,4,6
"('55.828217', '37.462414')",8.734820120718332,0,0,0,0,2,6
"('55.786166', '37.497836')",5.338404909324862,0,0,0,0,5,4
"('55.699314', '37.511239')",5.977890447446322,0,0,0,0,3,6
"('55.735175', '37.44064')",7.944462251849306,0,0,0,0,2,7
"('55.738292', '37.625972')",1.2773059221589982,0,0,1,5,4,6
"('55.807435', '37.448662')",8.864363513889314,0,0,0,0,2,7
"('55.76447', '37.652958')",0.9212398902508343,0,1,3,4,6,4
"('55.659573', '37.56007')",9.273851926396821,0,0,0,0,2,5
"('55.76963', '37.47916')",6.220719961218841,0,0,0,0,4,5
