coords,train_stations_closest_km,train_stations_less500m,train_stations_0.5-1km,train_stations_1-3km,train_stations_3-5km,train_stations_5-10km,train_stations_10-15km
"('55.763194', '37.62572')",2.241555962893909,0,0,4,5,5,5
"('55.733493', '37.609973')",1.903380456792638,0,0,2,1,8,2
"('55.806504', '37.449866')",8.773419170097315,0,0,0,0,2,7
"('55.738262', '37.420177')",9.196177534005065,0,0,0,0,1,4
"('55.774137', '37.630769')",1.546252689339108,0,0,5,3,7,3
"('55.759384', '37.602894')",2.373914760511563,0,0,2,7,2,8
"('55.790975', '37.634182')",0.2044216522181092,1,0,5,2,8,2
"('55.806504', '37.449866')",8.773419170097315,0,0,0,0,2,7
"('55.768441', '37.62713')",1.9207203026205812,0,0,5,4,6,4
"('55.770157', '37.635998')",1.3326741663299022,0,0,5,3,7,3
"('55.73467', '37.616646')",1.5388587556277948,0,0,1,3,6,4
"('55.700444', '37.51071')",5.895409027216015,0,0,0,0,3,6
"('55.754983', '37.647675')",0.873758572069908,0,1,4,3,7,3
"('55.743923', '37.582655')",1.028919044021325,0,0,1,2,7,3
"('55.651811', '37.395635')",14.780912389391766,0,0,0,0,0,1
"('55.729807', '37.62978')",0.6127431275918759,0,1,0,3,6,4
"('55.763194', '37.62572')",2.241555962893909,0,0,4,5,5,5
"('55.669889', '37.556262')",8.173573478531308,0,0,0,0,2,7
"('55.817837', '37.464825')",8.159402028305813,0,0,0,0,2,7
"('55.642133', '37.601385')",10.044982604812272,0,0,0,0,0,3
"('55.77517', '37.674022')",1.0610816279209467,0,0,4,1,9,1
"('55.747936', '37.599058')",2.1246351609616165,0,0,1,6,3,7
"('55.7952463', '37.6114797')",1.3577364600593727,0,0,3,3,7,3
"('55.776894', '37.630096')",1.5632647193563802,0,0,5,2,8,2
"('55.732012', '37.594054')",2.132923410489976,0,0,2,0,9,1
"('55.775505', '37.594971')",0.8709821253668308,0,1,1,7,2,8
"('55.709637', '37.591943')",3.7356972164367295,0,0,0,2,7,3
"('55.637195', '37.665668')",10.434312181563513,0,0,0,0,0,3
"('55.7678312', '37.6190593')",2.4262591438501158,0,0,6,3,7,3
"('55.745797', '37.513107')",3.3569082606802465,0,0,0,1,8,1
"('55.885332', '37.389095')",16.063158648320353,0,0,0,0,0,0
"('55.765205', '37.647486')",1.081101721412717,0,0,4,4,6,4
"('55.856432', '37.449641')",11.093135209583709,0,0,0,0,0,4
"('55.754303', '37.58563')",1.7401959227111137,0,0,2,4,5,5
"('55.757214', '37.64955')",0.7106663594946814,0,1,3,4,6,4
"('55.674606', '37.568497')",7.591514362328485,0,0,0,0,2,7
"('55.733802', '37.438906')",8.070997399409606,0,0,0,0,1,8
"('55.8099435', '37.644094')",2.063078997851258,0,0,1,4,6,4
"('55.754814', '37.59013')",1.9844693994562295,0,0,2,7,2,8
"('55.762733', '37.589745')",1.663085046133288,0,0,2,7,2,8
"('55.776041', '37.603631')",1.4037936676917158,0,0,3,5,5,5
"('55.829633', '37.470455')",8.35572064156246,0,0,0,0,2,6
"('55.744941', '37.658886')",1.4034378519641093,0,0,2,3,7,3
"('55.763108', '37.634865')",1.747303723739565,0,0,4,5,5,5
"('55.811452', '37.632799')",2.101105376306382,0,0,1,4,6,4
"('55.677209', '37.528163')",7.716642989025777,0,0,0,0,2,7
"('55.744617', '37.51212')",3.4095925987129116,0,0,0,1,8,1
"('55.765854', '37.63352')",1.6693462397587104,0,0,5,4,6,4
"('55.7417', '37.59354')",1.7152372604825414,0,0,1,3,6,4
"('55.789026', '37.567887')",1.3994541178996287,0,0,2,1,8,2
"('55.717863', '37.442015')",8.300216737832601,0,0,0,0,1,7
"('55.754801', '37.58455')",1.7349868963199577,0,0,2,4,5,5
"('55.780846', '37.449147')",8.304818754367847,0,0,0,0,3,6
"('55.734354', '37.446866')",7.567196539726943,0,0,0,0,2,7
"('55.763187', '37.615112')",2.6132672872764084,0,0,4,5,5,5
"('55.7633955', '37.6147912')",2.583371745771628,0,0,4,5,5,5
"('55.683112', '37.521803')",7.239882226356334,0,0,0,0,2,7
"('55.7411641', '37.6230759')",1.6387320206564207,0,0,2,5,4,6
"('55.75506', '37.59004')",1.9983883789725385,0,0,2,7,2,8
"('55.727952', '37.737578')",5.834262077465051,0,0,0,0,7,3
"('55.88793', '37.617294')",10.577636907449506,0,0,0,0,0,8
"('55.747966', '37.687102')",1.9599792089434045,0,0,1,4,6,4
"('55.720418', '37.608472')",2.2106563330098403,0,0,1,1,8,2
"('55.75939', '37.598968')",2.241870191637938,0,0,2,7,2,8
"('55.580742', '37.159881')",31.321899824088316,0,0,0,0,0,0
"('55.762783', '37.590443')",1.672310684530824,0,0,2,7,2,8
"('55.769479', '37.622738')",2.1585991326135847,0,0,6,3,7,3
"('55.641834', '37.48491')",12.381164481305495,0,0,0,0,0,2
"('55.755383', '37.596579')",2.3412779921081266,0,0,2,7,2,8
"('55.765073', '37.582799')",1.319387066313142,0,0,2,6,3,7
"('55.789406', '37.569539')",1.2876732009528222,0,0,2,1,8,2
"('55.589147', '37.456388')",18.482441077823722,0,0,0,0,0,0
"('55.68172', '37.49094')",8.31469315056761,0,0,0,0,1,7
"('55.711681', '37.519512')",4.569376667333805,0,0,0,1,2,7
"('55.780846', '37.449147')",8.304818754367847,0,0,0,0,3,6
"('55.615765', '37.738006')",14.121693202427315,0,0,0,0,0,1
"('55.7956', '37.706667')",2.6681858577122677,0,0,1,4,5,5
"('55.707436', '37.784157')",9.422230861129608,0,0,0,0,2,7
"('55.826554', '37.65028')",3.9415504265196497,0,0,0,1,7,3
"('55.716468', '37.619028')",1.960797549512358,0,0,1,1,8,2
"('55.664538', '37.473483')",10.51432560517355,0,0,0,0,0,3
"('55.72386', '37.610054')",1.9645998702759955,0,0,1,2,7,3
"('55.7457189', '37.5925871')",1.6743471289306895,0,0,1,3,6,4
"('55.723521', '37.58694')",2.53327382368649,0,0,1,1,8,2
"('55.74192', '37.598015')",1.9935823189226112,0,0,2,2,7,3
"('55.748589', '37.591351')",1.6861595710302277,0,0,1,4,5,5
"('55.7499998', '37.6990018')",2.536289007934247,0,0,1,4,6,4
"('55.7515567', '37.7105369')",3.188555159754888,0,0,0,4,6,4
"('55.753235', '37.70709')",2.9412533366326468,0,0,1,4,6,4
"('55.752445', '37.71445')",3.4115528357790597,0,0,0,4,6,4
"('55.756072', '37.706128')",2.8466430827252234,0,0,1,3,7,3
"('55.745595', '37.704754')",3.058321147956604,0,0,0,5,5,5
"('55.7515567', '37.7105369')",3.188555159754888,0,0,0,4,6,4
"('55.747535', '37.702966')",2.8672061059913907,0,0,1,4,6,4
"('55.773773', '37.687839')",1.9419684833169046,0,0,4,2,8,2
"('55.75527', '37.657806')",0.31338159997324044,1,0,4,2,8,2
"('55.751817', '37.716144')",3.5283886967306874,0,0,0,4,6,4
"('55.7524872', '37.7055563')",2.8613469826224365,0,0,1,4,6,4
"('55.749927', '37.704736')",2.8810780948862162,0,0,1,4,6,4
"('55.74342', '37.720467')",4.057970579678132,0,0,0,1,8,2
"('55.751206', '37.7001934')",2.567175419905282,0,0,1,4,6,4
"('55.748539', '37.70337')",2.8495615516412935,0,0,1,4,6,4
"('55.788216', '37.671272')",1.5501224380728373,0,0,4,1,9,1
"('55.771104', '37.703865')",2.9860445785641665,0,0,2,3,7,3
"('55.751959', '37.686006')",1.6950839210529398,0,0,1,4,6,4
"('55.7515567', '37.7105369')",3.188555159754888,0,0,0,4,6,4
"('55.751568', '37.71495')",3.459853540631933,0,0,0,4,6,4
"('55.7515567', '37.7105369')",3.188555159754888,0,0,0,4,6,4
"('55.752267', '37.7002331')",2.539884612768115,0,0,1,4,6,4
"('55.740406', '37.627445')",1.4091886023644613,0,0,2,5,4,6
"('55.677159', '37.695348')",6.825684671511103,0,0,0,0,2,8
"('55.752708', '37.645564')",1.0983801557239559,0,0,5,2,8,2
"('55.7406555', '37.6665063')",1.9083474582134596,0,0,2,3,7,3
"('55.747703', '37.688297')",2.0389862605254994,0,0,1,4,6,4
"('55.71954', '37.690896')",3.4215776468255545,0,0,0,2,7,3
"('55.681442', '37.6555')",5.470609885974568,0,0,0,0,3,7
"('55.674473', '37.667501')",6.399938090194335,0,0,0,0,3,6
"('55.6898201', '37.6558154')",4.561263333527958,0,0,0,1,5,5
"('55.719315', '37.66175')",1.8158013679488092,0,0,1,1,8,2
"('55.702186', '37.684856')",4.186652287368629,0,0,0,1,5,5
"('55.699938', '37.635314')",3.329020001531413,0,0,0,1,6,4
"('55.6892303', '37.6536623')",4.597223682578766,0,0,0,1,5,5
"('55.720802', '37.661785')",1.716439395064258,0,0,1,1,8,2
"('55.717518', '37.659748')",1.861831235352715,0,0,1,1,8,2
"('55.70457', '37.670868')",3.4254647689456337,0,0,0,1,6,4
"('55.72108', '37.664867')",1.8613277628121612,0,0,1,1,8,2
"('55.698361', '37.635296')",3.5041538459388413,0,0,0,1,6,4
"('55.703155', '37.672792')",3.623916565113103,0,0,0,1,5,5
"('55.6996661', '37.6368671')",3.352905504239547,0,0,0,1,6,4
"('55.713234', '37.67484')",2.881252495405411,0,0,1,0,8,2
"('55.688923', '37.6556035')",4.655743768277164,0,0,0,1,5,5
"('55.71148', '37.658733')",2.364456999172848,0,0,1,0,8,2
"('55.702495', '37.669881')",3.583558320773515,0,0,0,1,6,4
"('55.700613', '37.633634')",3.2644111773323927,0,0,0,1,6,4
"('55.683194', '37.648277')",5.211735114538424,0,0,0,0,3,7
"('55.703814', '37.640138')",2.8871577414808054,0,0,1,0,8,2
"('55.683194', '37.648277')",5.211735114538424,0,0,0,0,3,7
"('55.715748', '37.675415')",2.740858253643146,0,0,1,1,7,3
"('55.700613', '37.633634')",3.2644111773323927,0,0,0,1,6,4
"('55.700704', '37.660961')",3.502465668188024,0,0,0,1,6,4
"('55.70073', '37.631586')",3.2686471209608623,0,0,0,1,6,4
"('55.6903564', '37.655683')",4.501210464721365,0,0,0,1,5,5
"('55.702495', '37.669881')",3.583558320773515,0,0,0,1,6,4
"('55.6988708', '37.6385646')",3.437802597703821,0,0,0,1,6,4
"('55.703581', '37.661078')",3.212216438462654,0,0,0,1,6,4
"('55.6987549', '37.6362756')",3.4562346240757718,0,0,0,1,6,4
"('55.707806', '37.67393')",3.2616973016624624,0,0,0,1,7,3
"('55.690187', '37.657781')",4.5510257958803395,0,0,0,1,5,5
"('55.695611', '37.662371')",4.062298017110145,0,0,0,1,5,5
"('55.682727', '37.584829')",6.263210202767952,0,0,0,0,3,6
"('55.686909', '37.593695')",5.571921946286889,0,0,0,0,3,6
"('55.693084', '37.59613')",4.9093456653051,0,0,0,1,4,5
"('55.678199', '37.596731')",6.338324119332709,0,0,0,0,3,6
"('55.690256', '37.5530337')",5.9405619707572175,0,0,0,0,3,6
"('55.68701', '37.577678')",6.1445297990605425,0,0,0,0,3,6
"('55.686306', '37.538036')",6.5667385178394975,0,0,0,0,2,7
"('55.702926', '37.580337')",4.556460736209488,0,0,0,2,5,4
"('55.693497', '37.58077')",5.470681323214998,0,0,0,0,4,5
"('55.676164', '37.579259')",7.067176409583244,0,0,0,0,2,7
"('55.6940437', '37.6040148')",4.558748576249442,0,0,0,1,6,3
"('55.689162', '37.598286')",5.209266571534798,0,0,0,0,4,5
"('55.679276', '37.57349')",6.986438241833384,0,0,0,0,2,7
"('55.682194', '37.578738')",6.529396944177765,0,0,0,0,3,6
"('55.675369', '37.55206')",7.592116001254172,0,0,0,0,2,7
"('55.683823', '37.577364')",6.435268656436945,0,0,0,0,3,6
"('55.685675', '37.581379')",6.118581663141638,0,0,0,0,3,6
"('55.696078', '37.563152')",5.237035155797632,0,0,0,0,4,5
"('55.684093', '37.597145')",5.738707180696863,0,0,0,0,3,6
"('55.672763', '37.560529')",7.837519999592318,0,0,0,0,2,7
"('55.678458', '37.564248')",7.196145263368845,0,0,0,0,2,7
"('55.67314', '37.57369')",7.540066602095963,0,0,0,0,2,7
"('55.687193', '37.56388')",6.224344059974201,0,0,0,0,3,6
"('55.670773', '37.571003')",7.853152291714019,0,0,0,0,2,7
"('55.673818', '37.565174')",7.711890497252343,0,0,0,0,2,7
"('55.683798', '37.537883')",6.838470071766938,0,0,0,0,2,7
"('55.678113', '37.548511')",7.319660933475212,0,0,0,0,2,7
"('55.677346', '37.565955')",7.318788897121179,0,0,0,0,2,7
"('55.692475', '37.551726')",5.708715039714342,0,0,0,0,4,5
"('55.678113', '37.548511')",7.319660933475212,0,0,0,0,2,7
"('55.68665', '37.592644')",5.630927591748373,0,0,0,0,3,6
"('55.680103', '37.581963')",6.606379257447419,0,0,0,0,3,6
"('55.68499', '37.595215')",5.70865016977971,0,0,0,0,3,6
"('55.670128', '37.57097')",7.914437153231064,0,0,0,0,2,7
"('55.69109', '37.542958')",5.972167901596984,0,0,0,0,3,6
"('55.674477', '37.570007')",7.547762431240001,0,0,0,0,2,7
"('55.682026', '37.566539')",6.797707807698255,0,0,0,0,2,7
"('55.691526', '37.538134')",6.007504036961658,0,0,0,0,3,6
"('55.681265', '37.582403')",6.483140356505443,0,0,0,0,3,6
"('55.693597', '37.577678')",5.555308842533016,0,0,0,0,4,5
"('55.692191', '37.562991')",5.669873484141775,0,0,0,0,4,5
"('55.691526', '37.538134')",6.007504036961658,0,0,0,0,3,6
"('55.680625', '37.559218')",6.968074621344084,0,0,0,0,2,7
"('55.68955', '37.56528')",5.960376111704415,0,0,0,0,4,5
"('55.687497', '37.543327')",6.35535823219109,0,0,0,0,2,7
"('55.688072', '37.569305')",6.127391912271836,0,0,0,0,4,5
"('55.67733', '37.571552')",7.233222554518817,0,0,0,0,2,7
"('55.670585', '37.566243')",8.038410520174716,0,0,0,0,2,7
"('55.693394', '37.557502')",5.559843368522841,0,0,0,0,4,5
"('55.694205', '37.566503')",5.441743000861043,0,0,0,0,4,5
"('55.672011', '37.570878')",7.74262794862094,0,0,0,0,2,7
"('55.689625', '37.564034')",5.95341826588622,0,0,0,0,4,5
"('55.683036', '37.585655')",6.205986945544535,0,0,0,0,3,6
"('55.691379', '37.604906')",4.79395012828514,0,0,0,1,4,5
"('55.688086', '37.565955')",6.1230475499322425,0,0,0,0,4,5
"('55.67855', '37.593623')",6.388820035606069,0,0,0,0,3,6
"('55.687066', '37.56697')",6.23668802343935,0,0,0,0,3,6
"('55.690268', '37.553873')",5.932041543546544,0,0,0,0,3,6
"('55.695296', '37.575648')",5.352323577341654,0,0,0,0,4,5
"('55.683676', '37.582215')",6.268151586520575,0,0,0,0,3,6
"('55.677783', '37.560493')",7.279380555237067,0,0,0,0,2,7
"('55.692506', '37.558454')",5.652664658193523,0,0,0,0,4,5
"('55.701861', '37.580679')",4.676955046578047,0,0,0,2,5,4
"('55.72386', '37.610054')",1.9645998702759955,0,0,1,2,7,3
"('55.645136', '37.51697')",11.33820911703617,0,0,0,0,0,2
"('55.753169', '37.589796')",1.8523059601934744,0,0,2,6,3,7
"('55.753129', '37.589096')",1.8147973322376576,0,0,2,5,4,6
"('55.753286', '37.59657')",2.212372682831018,0,0,2,7,2,8
"('55.753114', '37.591566')",1.93833036352595,0,0,2,6,3,7
"('55.7531212', '37.5903682')",1.8778341472677271,0,0,2,6,3,7
"('55.7270229', '37.561437')",1.8142415424726026,0,0,1,1,8,2
"('55.727212', '37.583598')",2.0729263609601873,0,0,1,1,8,2
"('55.748936', '37.595627')",1.9513289744102051,0,0,1,6,3,7
"('55.747363', '37.594486')",1.830768523747506,0,0,1,4,5,5
"('55.741465', '37.540784')",1.6151876384206165,0,0,1,1,8,2
"('55.757131', '37.617114')",2.746705534972077,0,0,1,8,2,8
"('55.720585', '37.567042')",2.505064342914598,0,0,1,1,8,2
"('55.749847', '37.579815')",1.1329102346485682,0,0,1,3,6,4
"('55.7630905', '37.5930036')",1.7030126625039244,0,0,2,7,2,8
"('55.760955', '37.611446')",2.5935154425538545,0,0,1,8,2,8
"('55.744713', '37.5827')",1.043394990561316,0,0,1,2,7,3
"('55.742534', '37.545465')",1.312527307537206,0,0,1,1,8,2
"('55.765716', '37.59356')",1.4627584813056842,0,0,1,8,1,9
"('55.762485', '37.598887')",1.9468704102391545,0,0,2,7,2,8
"('55.725214', '37.578496')",2.1308265473441463,0,0,1,1,8,2
"('55.744414', '37.594072')",1.747989561573023,0,0,1,3,6,4
"('55.7180332', '37.5737618')",2.8274936686128487,0,0,1,1,8,2
"('55.751933', '37.590075')",1.7868553565663998,0,0,2,5,4,6
"('55.75571', '37.600845')",2.5829694427470042,0,0,2,7,2,8
"('55.753407', '37.600082')",2.410676566769418,0,0,2,7,2,8
"('55.758929', '37.645393')",0.9839363682333663,0,1,3,4,6,4
"('55.764121', '37.615416')",2.569785467013704,0,0,5,4,6,4
"('55.75554', '37.594433')",2.244133137812033,0,0,2,7,2,8
"('55.749603', '37.597872')",2.1091345446825676,0,0,1,6,3,7
"('55.754507', '37.602687')",2.6130097144111537,0,0,2,7,2,8
"('55.7557561', '37.6033112')",2.716851938336764,0,0,2,7,2,8
"('55.755196', '37.592796')",2.1399181811049504,0,0,2,7,2,8
"('55.75768', '37.606674')",2.6665243205365394,0,0,1,8,1,9
"('55.754507', '37.602687')",2.6130097144111537,0,0,2,7,2,8
"('55.754753', '37.59622')",2.282392041527795,0,0,2,7,2,8
"('55.759436', '37.605733')",2.4753678819222684,0,0,1,8,1,9
"('55.812666', '37.640911')",2.296131405013857,0,0,1,4,6,4
"('55.801455', '37.63765')",1.037500623354616,0,0,2,4,6,4
"('55.812292', '37.653316')",2.550204854682675,0,0,1,4,6,4
"('55.814062', '37.623735')",2.455455638472681,0,0,1,5,5,5
"('55.816387', '37.656082')",3.0320082891787905,0,0,0,5,5,5
"('55.817613', '37.661859')",3.3366414162811022,0,0,0,4,5,5
"('55.8114519', '37.6453291')",2.247536552437157,0,0,1,4,6,4
"('55.8064017', '37.6481266')",1.820918098995174,0,0,1,4,6,4
"('55.813637', '37.645501')",2.4799616030203566,0,0,1,4,6,4
"('55.816328', '37.631379')",2.6450682374246695,0,0,1,3,7,3
"('55.8064017', '37.6481266')",1.820918098995174,0,0,1,4,6,4
"('55.804612', '37.635503')",1.3518112446407227,0,0,1,5,5,5
"('55.812337', '37.658571')",2.7368393621703286,0,0,1,4,6,4
"('55.8134', '37.659847')",2.8795661092479192,0,0,1,4,6,4
"('55.815367', '37.659084')",3.0321272648041755,0,0,0,4,6,4
"('55.806282', '37.640947')",1.61272339360386,0,0,1,5,5,5
"('55.814117', '37.64788')",2.582097721845219,0,0,1,4,6,4
"('55.806499', '37.643911')",1.7041969947282936,0,0,1,4,6,4
"('55.80527', '37.63897')",1.4681336271397534,0,0,1,5,5,5
"('55.801536', '37.636715')",1.0298631430154799,0,0,2,4,6,4
"('55.806565', '37.642662')",1.6799231905231413,0,0,1,4,6,4
"('55.815556', '37.624374')",2.60952460713211,0,0,1,3,7,3
"('55.816045', '37.627247')",2.6339431417772605,0,0,1,3,7,3
"('55.8145435', '37.6248368')",2.493290543326735,0,0,1,4,6,4
"('55.8158484', '37.6282409')",2.6049551218054834,0,0,1,3,7,3
"('55.812216', '37.632368')",2.186181176314682,0,0,1,4,6,4
"('55.810602', '37.632098')",2.006680924636697,0,0,1,5,5,5
"('55.8064017', '37.6481266')",1.820918098995174,0,0,1,4,6,4
"('55.809904', '37.635081')",1.9349707629855852,0,0,1,5,5,5
"('55.810688', '37.63676')",2.03279687731418,0,0,1,4,6,4
"('55.8039169', '37.6292881')",1.2791264439947896,0,0,2,4,6,4
"('55.806545', '37.632107')",1.555042344212222,0,0,1,5,5,5
