coords,eco_boiler_closest_km,eco_boiler_less500m,eco_boiler_0.5-1km,eco_boiler_1-3km,eco_boiler_3-5km,eco_boiler_5-10km,eco_boiler_10-15km
"('55.735505', '37.635593')",5.798132477833362,0,0,0,0,1,3
"('55.732839', '37.622306')",5.4995335328378125,0,0,0,0,2,1
"('55.65044', '37.34142')",13.141416054310305,0,0,0,0,0,1
"('55.776188', '37.586095')",0.9378593731111463,0,1,0,1,1,1
"('55.749626', '37.537427')",3.4164360339342816,0,0,0,2,0,2
"('55.751568', '37.535314')",3.3426338229995274,0,0,0,2,0,2
"('55.702307', '37.515093')",4.904134901248842,0,0,0,1,1,2
"('55.765154', '37.603586')",2.1766285724225622,0,0,1,0,2,0
"('55.716846', '37.508022')",3.3043281501965556,0,0,0,1,1,2
"('55.6255029', '37.3040935')",16.77923024723332,0,0,0,0,0,0
"('55.69731', '37.473725')",4.817777144202049,0,0,0,1,0,3
"('55.772684', '37.729664')",9.891270602891696,0,0,0,0,1,1
"('55.543419', '37.482277')",13.422617220407048,0,0,0,0,0,1
"('55.742954', '37.58051')",3.4197308673491134,0,0,0,1,1,2
"('55.7119655', '37.9285327')",4.263293625961006,0,0,0,1,0,1
"('55.817612', '37.745424')",11.940864710646668,0,0,0,0,0,2
"('55.625831', '37.641575')",1.2365724382724184,0,0,1,0,1,0
"('55.757906', '37.606137')",2.740859065180641,0,0,1,0,2,0
"('55.790712', '37.474444')",5.585581168221894,0,0,0,0,2,0
"('55.7742587', '37.546541')",1.604939269504174,0,0,1,0,2,0
"('55.740451', '37.592716')",3.880173343025191,0,0,0,1,1,2
"('55.748577', '37.598557')",3.2159453658010486,0,0,0,1,1,1
"('55.7538036', '37.5246841')",3.3725362254259816,0,0,0,2,0,2
"('55.783539', '37.742016')",10.490162851653944,0,0,0,0,0,2
"('55.747323', '37.396371')",5.0816656076668245,0,0,0,0,1,1
"('55.717589', '37.511643')",3.3829965586240562,0,0,0,1,1,2
"('55.7498574', '37.6055674')",3.351967715608491,0,0,0,1,1,1
"('55.745868', '37.597926')",3.4588244490632762,0,0,0,1,1,2
"('55.715753', '37.753964')",6.759114892518463,0,0,0,0,1,2
"('55.714699', '37.504701')",3.384091252019722,0,0,0,1,1,2
"('55.806687', '37.542949')",4.141828904278201,0,0,0,1,1,1
"('55.76317', '37.508592')",3.229252042204454,0,0,0,2,0,2
"('55.76643', '37.6137')",2.7231110860064116,0,0,1,0,2,0
"('55.771211', '37.676134')",6.535851886663605,0,0,0,0,1,2
"('55.8088116', '37.5776144')",3.9694575276853152,0,0,0,1,1,1
"('55.692318', '37.597594')",9.120683002913434,0,0,0,0,3,0
"('55.758068', '37.419117')",4.090961213884956,0,0,0,1,1,1
"('55.730101', '37.630939')",6.066251141433468,0,0,0,0,2,2
"('55.67638', '37.642')",6.713006966078711,0,0,0,0,1,3
"('55.675346', '37.541386')",8.331003090586504,0,0,0,0,2,1
"('55.749633', '37.577561')",2.6572419523987283,0,0,1,0,2,0
"('55.781626', '37.734578')",10.240334767670122,0,0,0,0,0,2
"('55.746227', '37.63473')",4.95620012757348,0,0,0,1,1,3
"('55.725534', '37.570501')",5.318700584130121,0,0,0,0,2,1
"('55.76565', '37.594926')",1.668803832261486,0,0,1,0,2,0
"('55.768405', '37.626187')",3.4405987520674346,0,0,0,1,1,1
"('55.790529', '37.569063')",1.9277549134804652,0,0,1,0,2,0
"('55.76705', '37.61186')",2.593092837115186,0,0,1,0,2,0
"('55.757492', '37.399048')",5.209940178744503,0,0,0,0,1,1
"('55.863544', '37.47846')",11.635527935703733,0,0,0,0,0,2
"('55.747652', '37.61777')",4.04817234150175,0,0,0,1,1,2
"('55.74446', '37.613018')",4.113488352604298,0,0,0,1,1,2
"('55.784997', '37.526636')",3.13372407542124,0,0,0,1,1,1
"('55.809085', '37.448482')",7.828274460417069,0,0,0,0,2,0
"('55.723004', '37.575468')",5.603577145463073,0,0,0,0,2,1
"('55.697238', '37.476732')",4.8229317392995945,0,0,0,1,0,3
"('55.759897', '37.644477')",4.784187820911601,0,0,0,1,0,3
"('55.822979', '37.526735')",6.219131678942313,0,0,0,0,2,0
"('55.64191', '37.34936')",13.581004158933128,0,0,0,0,0,1
"('55.731891', '37.539922')",4.105903603754654,0,0,0,1,1,2
"('55.69316', '37.470599')",5.28944479832632,0,0,0,0,1,2
"('55.738698', '37.593039')",4.071170384048855,0,0,0,1,1,2
"('55.763933', '37.60929')",2.5588850140451496,0,0,1,0,2,0
"('55.77796', '37.600594')",1.8644810915962815,0,0,1,0,2,0
"('55.71268', '37.517698')",4.0459063340660775,0,0,0,1,1,2
"('55.900103', '37.585745')",14.144455736554306,0,0,0,0,0,1
"('55.701262', '37.651583')",9.448647632204546,0,0,0,0,2,2
"('55.904835', '37.38836')",18.626365331451936,0,0,0,0,0,0
"('55.643658', '37.539455')",7.700273079697428,0,0,0,0,1,2
"('55.5677654', '37.4416839')",14.306633271862557,0,0,0,0,0,1
"('55.841561', '37.495863')",8.977292758053897,0,0,0,0,1,1
"('55.718633', '37.623214')",6.882027203902664,0,0,0,0,2,2
"('55.694784', '37.581559')",8.346082657526704,0,0,0,0,3,0
"('55.726894', '37.574345')",5.1683793489475605,0,0,0,0,2,1
"('55.733917', '37.614754')",5.139110553172008,0,0,0,0,2,1
"('55.757214', '37.64955')",5.18332844300186,0,0,0,0,1,2
"('55.588949', '37.60081')",4.428715811346182,0,0,0,1,0,1
"('55.637393', '37.600388')",3.996092836409205,0,0,0,1,0,2
"('55.898916', '37.379034')",18.49014505708124,0,0,0,0,0,0
"('55.745083', '37.49736')",1.4102587518642868,0,0,1,0,2,0
"('55.834421', '37.659596')",8.743405468440526,0,0,0,0,1,0
"('55.790975', '37.634182')",4.366609944090717,0,0,0,1,0,2
"('55.795423', '37.495276')",5.41062370720366,0,0,0,0,2,0
"('55.763265', '37.514994')",3.5026792495406096,0,0,0,2,0,2
"('55.7407086', '37.6011763')",4.062851810514374,0,0,0,1,1,2
"('55.763072', '37.58968')",1.5872552955628159,0,0,1,0,2,0
"('55.760915', '37.554861')",1.750890744688886,0,0,1,0,2,0
"('55.7182621', '37.4771618')",2.4826085730620933,0,0,1,0,2,0
"('55.807435', '37.448662')",7.646762874185054,0,0,0,0,2,0
"('55.7753205', '37.6300127')",3.643969287656861,0,0,0,1,0,2
"('55.681183', '37.495808')",6.722138683754438,0,0,0,0,1,2
"('55.5213774', '37.3160383')",23.671538758234263,0,0,0,0,0,0
"('55.77396', '37.586293')",0.8963900767889756,0,1,0,1,1,1
"('55.720798', '37.444099')",2.9924104124902775,0,0,1,0,2,0
"('55.739352', '37.602606')",4.238159751293656,0,0,0,1,1,2
"('55.76725', '37.584476')",1.0299103196613104,0,0,1,0,2,0
"('55.78564', '37.633266')",4.079113731406699,0,0,0,1,0,2
"('55.789289', '37.491126')",5.381154952913516,0,0,0,0,2,0
"('55.77854', '37.662956')",5.7339400064706085,0,0,0,0,1,2
"('55.643769', '37.496075')",10.271007753312059,0,0,0,0,0,2
"('55.795853', '37.485538')",5.980994291236507,0,0,0,0,2,0
"('55.893369', '37.602058')",13.500190350677642,0,0,0,0,0,1
"('55.771545', '37.568956')",0.27558918864120846,1,0,1,0,2,0
"('55.886782', '37.38988')",17.028931955005955,0,0,0,0,0,0
"('55.841278', '37.494442')",8.998516837691527,0,0,0,0,1,1
"('55.742043', '37.552498')",3.690073170692865,0,0,0,2,0,2
"('55.83525', '37.643642')",8.229747818067226,0,0,0,0,1,1
"('55.8134352', '37.5849828')",4.541850495167197,0,0,0,1,0,2
"('55.695625', '37.821663')",3.5042220134178326,0,0,0,1,0,2
"('55.715527', '37.477104')",2.7870127530838578,0,0,1,0,2,0
"('55.739534', '37.63341')",5.3822231768754145,0,0,0,0,2,2
"('55.684929', '37.533966')",7.17316487332419,0,0,0,0,1,2
"('55.6900645', '37.6548865')",8.210730628393724,0,0,0,0,1,3
"('55.703599', '37.516463')",4.824113367077569,0,0,0,1,1,2
