coords,eco_boiler_closest_km,eco_boiler_less500m,eco_boiler_0.5-1km,eco_boiler_1-3km,eco_boiler_3-5km,eco_boiler_5-10km,eco_boiler_10-15km
"('55.806504', '37.449866')",7.528802984218556,0,0,0,0,2,0
"('55.702763', '37.64046')",8.951605277136437,0,0,0,0,2,2
"('55.700877', '37.622405')",8.661081614302761,0,0,0,0,2,1
"('55.7220172', '37.6077158')",6.132779750304474,0,0,0,0,2,1
"('55.828217', '37.462414')",9.201675298363327,0,0,0,0,2,0
"('55.8170545', '37.7545798')",12.441714466345095,0,0,0,0,0,2
"('55.763245', '37.624822')",3.4957554692037585,0,0,0,1,1,1
"('55.68153', '37.849888')",4.088370822590155,0,0,0,1,0,2
"('55.7355913', '37.5720679')",4.198053051200347,0,0,0,1,1,2
"('55.853178', '37.608212')",9.178107564989046,0,0,0,0,1,0
"('55.712766', '37.528064')",4.485006441081145,0,0,0,1,1,2
"('55.7439839', '37.5919617')",3.494684385943937,0,0,0,1,1,2
"('55.699886', '37.500745')",4.779759630927389,0,0,0,1,1,2
"('55.5512278', '37.3356786')",21.210046650682003,0,0,0,0,0,0
"('55.740928', '37.622118')",4.781844752979884,0,0,0,1,1,2
"('55.741683', '37.601726')",3.9822830653399897,0,0,0,1,1,2
"('55.829598', '37.465955')",9.141589002515886,0,0,0,0,2,0
"('55.758402', '37.549282')",2.189535205890766,0,0,1,1,1,1
"('55.756376', '37.54948')",2.357504111364211,0,0,1,1,1,1
"('55.756771', '37.592725')",2.2513138193814357,0,0,1,0,2,0
"('55.779575', '37.706863')",8.488172950083932,0,0,0,0,1,1
"('55.786166', '37.497836')",4.872641240808519,0,0,0,1,1,1
"('55.699314', '37.511239')",5.087301570971101,0,0,0,0,2,1
"('55.735175', '37.44064')",2.324098439171621,0,0,1,0,2,0
"('55.738292', '37.625972')",5.162154585265847,0,0,0,0,2,2
"('55.76447', '37.652958')",5.1718891972882,0,0,0,0,1,2
"('55.659573', '37.56007')",7.517601272020698,0,0,0,0,1,2
"('55.76963', '37.47916')",3.2416948639607193,0,0,0,1,1,1
"('55.763194', '37.62572')",3.5509949238433323,0,0,0,1,1,1
"('55.733493', '37.609973')",5.030632821634309,0,0,0,0,2,1
"('55.738262', '37.420177')",3.5400105277614724,0,0,0,1,0,2
"('55.774137', '37.630769')",3.685703026895641,0,0,0,1,0,2
"('55.759384', '37.602894')",2.4790764265288394,0,0,1,0,2,0
"('55.810165', '37.651043')",6.4340615415639135,0,0,0,0,1,1
"('55.768441', '37.62713')",3.4984257868114303,0,0,0,1,1,1
"('55.770157', '37.635998')",4.028075879300666,0,0,0,1,0,2
"('55.71304', '37.500944')",3.4301131231690745,0,0,0,1,1,2
"('55.73467', '37.616646')",5.131592531866636,0,0,0,0,2,1
"('55.700444', '37.51071')",4.959480310289195,0,0,0,1,1,2
"('55.807983', '37.450844')",7.67642537030396,0,0,0,0,2,0
"('55.754983', '37.647675')",5.166073838247238,0,0,0,0,1,2
"('55.743923', '37.582655')",3.337408761506681,0,0,0,1,1,2
"('55.809348', '37.450872')",7.824750122442163,0,0,0,0,2,0
"('55.651811', '37.395635')",11.10901853350619,0,0,0,0,0,1
"('55.729807', '37.62978')",6.048352804673684,0,0,0,0,2,2
"('55.669889', '37.556262')",8.46806553763243,0,0,0,0,2,1
"('55.817837', '37.464825')",8.356347860145966,0,0,0,0,2,0
"('55.642133', '37.601385')",4.279911608730242,0,0,0,1,0,3
"('55.77517', '37.674022')",6.40224958301836,0,0,0,0,1,2
"('55.747936', '37.599058')",3.2933141199628913,0,0,0,1,1,1
"('55.7952463', '37.6114797')",3.4769783522870688,0,0,0,1,0,2
"('55.669899', '37.515371')",8.239585741928723,0,0,0,0,1,2
"('55.730431', '37.574067')",4.774252048435731,0,0,0,1,1,2
"('55.776894', '37.630096')",3.6641042030486703,0,0,0,1,0,2
"('55.8170621', '37.7536315')",12.387338322111727,0,0,0,0,0,2
"('55.732012', '37.594054')",4.799576455164111,0,0,0,1,1,2
"('55.7482025', '37.6930091')",8.090750865032273,0,0,0,0,1,3
"('55.775505', '37.594971')",1.458785177598576,0,0,1,0,2,0
"('55.709637', '37.591943')",7.196920517304695,0,0,0,0,2,1
"('55.637195', '37.665668')",2.4817999900281627,0,0,1,0,1,0
"('55.7678312', '37.6190593')",3.0120072358643117,0,0,0,1,1,1
"('55.74938', '37.534092')",3.5736983249142455,0,0,0,2,0,2
"('55.745797', '37.513107')",2.378785716326071,0,0,1,1,1,1
"('55.885332', '37.389095')",16.942885656169217,0,0,0,0,0,0
"('55.765205', '37.647486')",4.819128796665563,0,0,0,1,0,3
"('55.856432', '37.449641')",12.0238202781879,0,0,0,0,0,2
"('55.754303', '37.58563')",2.279905384234216,0,0,1,0,2,0
"('55.767477', '37.50025')",3.3508916356336695,0,0,0,2,0,2
"('55.674606', '37.568497')",8.340922205401014,0,0,0,0,2,1
"('55.747115', '37.539078')",3.575492796634758,0,0,0,2,0,2
"('55.733802', '37.438906')",2.4716789640266748,0,0,1,0,2,0
"('55.8099435', '37.644094')",6.088191008494913,0,0,0,0,1,1
"('55.754814', '37.59013')",2.349822642079227,0,0,1,0,2,0
"('55.762733', '37.589745')",1.6173411675548284,0,0,1,0,2,0
"('55.776041', '37.603631')",2.004788360482576,0,0,1,0,2,0
"('55.733964', '37.620905')",5.346449235775896,0,0,0,0,2,1
"('55.829633', '37.470455')",8.941004509846259,0,0,0,0,2,0
"('55.744941', '37.658886')",6.299326863239591,0,0,0,0,1,3
"('55.763108', '37.634865')",4.102103478793295,0,0,0,1,0,2
"('55.811452', '37.632799')",5.706415278913208,0,0,0,0,1,1
"('55.677209', '37.528163')",7.767538532232251,0,0,0,0,1,2
"('55.744617', '37.51212')",2.2892455454285985,0,0,1,1,1,1
"('55.765854', '37.63352')",3.945574856302774,0,0,0,1,0,2
"('55.828941', '37.468784')",8.962595483766474,0,0,0,0,2,0
"('55.7417', '37.59354')",3.7676008118474753,0,0,0,1,1,2
"('55.789026', '37.567887')",1.7706802096917165,0,0,1,0,2,0
"('55.717863', '37.442015')",3.3238052005102228,0,0,0,1,0,2
"('55.754801', '37.58455')",2.203544261687041,0,0,1,0,2,0
"('55.780846', '37.449147')",4.80073285236534,0,0,0,1,1,1
"('55.734354', '37.446866')",1.9788731897889835,0,0,1,0,2,0
"('55.763187', '37.615112')",2.9273732310363543,0,0,1,0,2,0
"('55.835483', '37.658338')",8.786913046769055,0,0,0,0,1,0
"('55.743005', '37.602256')",3.868984141895827,0,0,0,1,1,2
"('55.768962', '37.59825')",1.7132267934489576,0,0,1,0,2,0
"('55.7633955', '37.6147912')",2.899885615498232,0,0,1,0,2,0
"('55.683112', '37.521803')",7.003741900586386,0,0,0,0,1,2
"('55.740664', '37.60284')",4.1152947642166255,0,0,0,1,1,2
"('55.7411641', '37.6230759')",4.8019633457038955,0,0,0,1,1,2
"('55.75506', '37.59004')",2.3231223987805873,0,0,1,0,2,0
"('55.727952', '37.737578')",7.868186835745698,0,0,0,0,1,2
"('55.88793', '37.617294')",13.07410654119797,0,0,0,0,0,1
"('55.747966', '37.687102')",7.753348415986428,0,0,0,0,1,3
"('55.720418', '37.608472')",6.315926911112559,0,0,0,0,2,1
"('55.75939', '37.598968')",2.2914036764786547,0,0,1,0,2,0
"('55.580742', '37.159881')",26.709817233519747,0,0,0,0,0,0
"('55.762783', '37.590443')",1.643751211713877,0,0,1,0,2,0
"('55.774674', '37.630831')",3.6915667602339197,0,0,0,1,0,2
"('55.79848', '37.520671')",4.272566774385142,0,0,0,1,1,1
"('55.769479', '37.622738')",3.2089856144786597,0,0,0,1,1,1
"('55.641834', '37.48491')",10.886551305204069,0,0,0,0,0,2
"('55.755383', '37.596579')",2.5193770568724823,0,0,1,0,2,0
"('55.765073', '37.582799')",1.1370466623213165,0,0,1,0,2,0
"('55.789406', '37.569539')",1.8004920637821276,0,0,1,0,2,0
"('55.589147', '37.456388')",12.68142602593569,0,0,0,0,0,1
"('55.68172', '37.49094')",6.6141438231136895,0,0,0,0,1,2
"('55.756376', '37.508975')",2.6999594722780755,0,0,1,1,1,1
"('55.711681', '37.519512')",4.204400280336956,0,0,0,1,1,2
"('55.615765', '37.738006')",5.434474856866877,0,0,0,0,1,1
"('55.7956', '37.706667')",8.802807377757158,0,0,0,0,1,1
"('55.707436', '37.784157')",4.9903848221995135,0,0,0,1,0,2
"('55.826554', '37.65028')",7.695778508654022,0,0,0,0,1,1
"('55.751974', '37.578855')",2.4120876683237364,0,0,1,0,2,0
"('55.716468', '37.619028')",6.981039249602473,0,0,0,0,2,1
"('55.664538', '37.473483')",8.465543057101824,0,0,0,0,1,2
"('55.722527', '37.613503')",6.222998096161464,0,0,0,0,2,1
"('55.72386', '37.610054')",5.999099283133598,0,0,0,0,2,1
"('55.785366', '37.479824')",4.99369158828009,0,0,0,1,1,1
"('55.7457189', '37.5925871')",3.3299924159285945,0,0,0,1,1,2
"('55.723521', '37.58694')",5.620168692067393,0,0,0,0,2,1
"('55.74192', '37.598015')",3.854846687393734,0,0,0,1,1,2
"('55.748589', '37.591351')",3.005746610598175,0,0,0,1,1,1
"('55.751447', '37.703775')",8.618985745934317,0,0,0,0,1,2
"('55.7499998', '37.6990018')",8.380562852598716,0,0,0,0,1,2
"('55.7515567', '37.7105369')",9.023704559104461,0,0,0,0,1,2
"('55.751928', '37.696364')",8.157906122300362,0,0,0,0,1,2
"('55.753235', '37.70709')",8.765805523474079,0,0,0,0,1,2
"('55.752445', '37.71445')",9.235125871374025,0,0,0,0,1,1
"('55.756072', '37.706128')",8.631500794820367,0,0,0,0,1,2
"('55.75667', '37.70716')",8.680167496611219,0,0,0,0,1,2
"('55.745595', '37.704754')",8.883240896375202,0,0,0,0,1,3
"('55.753225', '37.706973')",8.758988702963567,0,0,0,0,1,2
"('55.751017', '37.6985938')",8.321654705594407,0,0,0,0,1,2
"('55.747535', '37.702966')",8.704325083663576,0,0,0,0,1,3
"('55.773773', '37.687839')",7.266275074058957,0,0,0,0,1,2
"('55.75527', '37.657806')",5.744602493055317,0,0,0,0,1,2
"('55.751817', '37.716144')",9.35578733808449,0,0,0,0,2,0
"('55.7524872', '37.7055563')",8.694634898738538,0,0,0,0,1,2
"('55.749927', '37.704736')",8.725990715739831,0,0,0,0,1,2
"('55.74342', '37.720467')",9.310433024742244,0,0,0,0,2,1
"('55.751206', '37.7001934')",8.411362592128938,0,0,0,0,1,2
"('55.748539', '37.70337')",8.692081827765659,0,0,0,0,1,2
"('55.788216', '37.671272')",6.443028527624099,0,0,0,0,1,2
"('55.771104', '37.703865')",8.275712326675848,0,0,0,0,1,2
"('55.751959', '37.686006')",7.537246769534126,0,0,0,0,1,2
"('55.751568', '37.71495')",9.29055229626945,0,0,0,0,2,0
"('55.752267', '37.7002331')",8.379870370408781,0,0,0,0,1,2
"('55.740406', '37.627445')",5.050013212419425,0,0,0,0,2,2
"('55.677159', '37.695348')",7.30640649561973,0,0,0,0,1,2
"('55.752708', '37.645564')",5.152304621358014,0,0,0,0,1,2
"('55.7406555', '37.6665063')",6.954873277997771,0,0,0,0,1,3
"('55.720121', '37.690686')",9.515901145451503,0,0,0,0,1,3
"('55.747703', '37.688297')",7.833902911847194,0,0,0,0,1,3
"('55.71954', '37.690896')",9.566609028099405,0,0,0,0,1,3
"('55.681442', '37.6555')",7.252197130815629,0,0,0,0,1,3
"('55.719433', '37.656871')",8.020879211928031,0,0,0,0,1,3
"('55.674473', '37.667501')",6.54788463856999,0,0,0,0,1,3
"('55.6898201', '37.6558154')",8.18514118246771,0,0,0,0,1,3
"('55.719315', '37.66175')",8.237126408994547,0,0,0,0,1,3
"('55.702186', '37.684856')",9.78224921971407,0,0,0,0,1,3
"('55.697453', '37.633976')",9.100127587556354,0,0,0,0,2,2
"('55.714191', '37.670914')",9.047255408020973,0,0,0,0,1,3
"('55.699938', '37.635314')",9.082844582740199,0,0,0,0,2,2
"('55.694114', '37.665183')",8.70033445782791,0,0,0,0,1,3
"('55.6892303', '37.6536623')",8.116380597097505,0,0,0,0,1,3
"('55.720802', '37.661785')",8.118568171807528,0,0,0,0,1,3
"('55.6968553', '37.6359431')",9.019583324561875,0,0,0,0,2,2
"('55.717518', '37.659748')",8.30036457622415,0,0,0,0,1,3
"('55.70457', '37.670868')",9.85250745011942,0,0,0,0,2,2
"('55.72108', '37.664867')",8.23217758559331,0,0,0,0,1,3
"('55.698208', '37.647504')",9.11898741917278,0,0,0,0,2,2
"('55.70128', '37.642654')",9.162738002828126,0,0,0,0,2,2
"('55.698361', '37.635296')",9.19071867642863,0,0,0,0,2,2
"('55.703155', '37.672792')",9.756014834706189,0,0,0,0,1,3
"('55.6996661', '37.6368671')",9.153055862179606,0,0,0,0,2,2
"('55.713234', '37.67484')",9.294627154355364,0,0,0,0,1,3
"('55.688923', '37.6556035')",8.084900912139522,0,0,0,0,1,3
"('55.694322', '37.63676')",8.733608420275992,0,0,0,0,2,2
"('55.71148', '37.658733')",8.775205749886146,0,0,0,0,1,3
"('55.702495', '37.669881')",9.659881485615722,0,0,0,0,2,2
"('55.700613', '37.633634')",8.969298234271879,0,0,0,0,2,2
"('55.683194', '37.648277')",7.446679169518893,0,0,0,0,1,3
"('55.703814', '37.640138')",8.839298477385253,0,0,0,0,2,2
"('55.6988237', '37.6385601')",9.221123646021516,0,0,0,0,2,2
"('55.715748', '37.675415')",9.12084189696291,0,0,0,0,1,3
"('55.700704', '37.660961')",9.410760600322225,0,0,0,0,2,2
"('55.70073', '37.631586')",8.902750154513129,0,0,0,0,2,2
"('55.6903564', '37.655683')",8.244568337954226,0,0,0,0,1,3
"('55.6988708', '37.6385646')",9.226320702340615,0,0,0,0,2,2
"('55.703581', '37.661078')",9.566339861869773,0,0,0,0,2,2
"('55.6987549', '37.6362756')",9.227577141234223,0,0,0,0,2,2
"('55.707806', '37.67393')",9.700981627437962,0,0,0,0,1,3
"('55.690187', '37.657781')",8.230736136418113,0,0,0,0,1,3
"('55.695611', '37.662371')",8.851121852167958,0,0,0,0,1,3
"('55.682727', '37.584829')",8.50829440017892,0,0,0,0,2,1
"('55.686909', '37.593695')",8.665840911958457,0,0,0,0,3,0
"('55.693084', '37.59613')",9.057803522049618,0,0,0,0,3,0
"('55.678199', '37.596731')",7.709764861586697,0,0,0,0,1,2
"('55.690256', '37.5530337')",7.386988429223659,0,0,0,0,2,1
"('55.6811648', '37.5948427')",8.058220292154145,0,0,0,0,2,1
"('55.68701', '37.577678')",8.721876325316991,0,0,0,0,3,0
"('55.686306', '37.538036')",7.176024671773032,0,0,0,0,2,1
"('55.702926', '37.580337')",7.760245263700259,0,0,0,0,2,1
"('55.693497', '37.58077')",8.395620877329266,0,0,0,0,3,0
"('55.676164', '37.579259')",8.074961627877302,0,0,0,0,2,1
"('55.6940437', '37.6040148')",9.049318042482271,0,0,0,0,3,0
"('55.689162', '37.598286')",8.779024484457592,0,0,0,0,3,0
"('55.679276', '37.57349')",8.566616113688388,0,0,0,0,2,1
"('55.682194', '37.578738')",8.654277020351332,0,0,0,0,2,1
"('55.675369', '37.55206')",8.677663188614073,0,0,0,0,2,1
"('55.683823', '37.577364')",8.853866702115091,0,0,0,0,3,0
"('55.685675', '37.581379')",8.900958567583526,0,0,0,0,3,0
"('55.696078', '37.563152')",7.365763016313031,0,0,0,0,2,1
"('55.686366', '37.582152')",8.943799833314579,0,0,0,0,3,0
"('55.684093', '37.597145')",8.29026447179161,0,0,0,0,2,1
"('55.672763', '37.560529')",8.512605255852188,0,0,0,0,2,1
"('55.678458', '37.564248')",8.842680888212788,0,0,0,0,2,1
"('55.67314', '37.57369')",8.00995453486631,0,0,0,0,2,1
"('55.687193', '37.56388')",8.09556918737257,0,0,0,0,3,0
"('55.670773', '37.571003')",7.911332233136724,0,0,0,0,2,1
"('55.693145', '37.546525')",6.877003617535892,0,0,0,0,2,1
"('55.673818', '37.565174')",8.407054918310891,0,0,0,0,2,1
"('55.683798', '37.537883')",7.4076272013917155,0,0,0,0,1,2
"('55.678113', '37.548511')",8.299787489327471,0,0,0,0,2,1
"('55.677346', '37.565955')",8.678931833165635,0,0,0,0,2,1
"('55.692475', '37.551726')",7.146687905486285,0,0,0,0,2,1
"('55.68665', '37.592644')",8.667912162545413,0,0,0,0,3,0
"('55.680103', '37.581963')",8.34938230230359,0,0,0,0,2,1
"('55.68499', '37.595215')",8.43179950749745,0,0,0,0,3,0
"('55.670128', '37.57097')",7.857828145053135,0,0,0,0,2,1
"('55.69109', '37.542958')",6.916343638989305,0,0,0,0,2,1
"('55.684772', '37.585404')",8.689305287125801,0,0,0,0,3,0
"('55.674477', '37.570007')",8.270252851414162,0,0,0,0,2,1
"('55.682026', '37.566539')",8.635688303387019,0,0,0,0,2,1
"('55.691526', '37.538134')",6.697630590714637,0,0,0,0,2,1
"('55.681265', '37.582403')",8.44526850134865,0,0,0,0,2,1
"('55.693597', '37.577678')",8.237594715782757,0,0,0,0,3,0
"('55.692191', '37.562991')",7.6564073272515225,0,0,0,0,2,1
"('55.680625', '37.559218')",8.46344218217413,0,0,0,0,2,1
"('55.68955', '37.56528')",7.9663378806465355,0,0,0,0,3,0
"('55.687497', '37.543327')",7.252468423857271,0,0,0,0,2,1
"('55.688072', '37.569305')",8.261389271451751,0,0,0,0,3,0
"('55.67733', '37.571552')",8.462636902977493,0,0,0,0,2,1
"('55.670585', '37.566243')",8.091607195922798,0,0,0,0,2,1
"('55.693394', '37.557502')",7.318398301568035,0,0,0,0,2,1
"('55.694205', '37.566503')",7.661970410266837,0,0,0,0,2,1
"('55.672011', '37.570878')",8.022353827817915,0,0,0,0,2,1
"('55.689625', '37.564034')",7.905618206024852,0,0,0,0,3,0
"('55.683036', '37.585655')",8.512645312123318,0,0,0,0,2,1
"('55.691379', '37.604906')",8.860139886535851,0,0,0,0,3,0
"('55.688086', '37.565955')",8.112791713992287,0,0,0,0,3,0
"('55.67855', '37.593623')",7.834186246672363,0,0,0,0,1,2
"('55.687066', '37.56697')",8.23894942786648,0,0,0,0,3,0
"('55.690268', '37.553873')",7.420486819852821,0,0,0,0,2,1
"('55.695296', '37.575648')",8.019106667630814,0,0,0,0,2,1
"('55.683676', '37.582215')",8.682036102910525,0,0,0,0,3,0
"('55.677783', '37.560493')",8.76330712815025,0,0,0,0,2,1
"('55.692506', '37.558454')",7.431096419912352,0,0,0,0,2,1
"('55.701861', '37.580679')",7.8429213050517985,0,0,0,0,2,1
"('55.661327', '37.509342')",9.061122962983093,0,0,0,0,1,2
"('55.650583', '37.563543')",6.738642874892122,0,0,0,0,1,2
"('55.663639', '37.486679')",8.588064611007024,0,0,0,0,1,2
"('55.692317', '37.531551')",6.392521123461302,0,0,0,0,2,1
"('55.645136', '37.51697')",9.07541056844054,0,0,0,0,1,2
"('55.753169', '37.589796')",2.5023837433432927,0,0,1,0,2,0
"('55.753129', '37.589096')",2.4871631966209846,0,0,1,0,2,0
"('55.753286', '37.59657')",2.7076722604557375,0,0,1,0,2,0
"('55.753114', '37.591566')",2.5591387520095616,0,0,1,0,2,0
"('55.7531212', '37.5903682')",2.523308888802714,0,0,1,0,2,0
"('55.7270229', '37.561437')",5.195021624487161,0,0,0,0,2,1
"('55.727212', '37.583598')",5.181897057526615,0,0,0,0,2,1
"('55.748936', '37.595627')",3.0896156043051097,0,0,0,1,1,1
"('55.747363', '37.594486')",3.212424429702511,0,0,0,1,1,1
"('55.741465', '37.540784')",4.0458753041756035,0,0,0,2,0,2
"('55.757131', '37.617114')",3.3523456586452203,0,0,0,1,1,1
"('55.720585', '37.567042')",5.877255303685673,0,0,0,0,2,1
"('55.749847', '37.579815')",2.655887325789213,0,0,1,0,2,0
"('55.7630905', '37.5930036')",1.7377213922972359,0,0,1,0,2,0
