coords,kids_hospitals_closest_km,kids_hospitals_less500m,kids_hospitals_0.5-1km,kids_hospitals_1-3km,kids_hospitals_3-5km,kids_hospitals_5-10km,kids_hospitals_10-15km
"('55.732839', '37.622306')",0.7161534617470585,0,1,0,2,3,6
"('55.65044', '37.34142')",15.528003271037795,0,0,0,0,0,0
"('55.776188', '37.586095')",0.8853362875825773,0,1,0,2,5,3
"('55.765154', '37.603586')",1.0397550605582633,0,0,1,2,4,4
"('55.716846', '37.508022')",4.602915248395215,0,0,0,1,3,4
"('55.772684', '37.729664')",2.171236274105795,0,0,2,0,4,3
"('55.543419', '37.482277')",14.22652656231449,0,0,0,0,0,1
"('55.742954', '37.58051')",2.4373821485616434,0,0,3,0,6,3
"('55.7119655', '37.9285327')",10.350957993297591,0,0,0,0,0,2
"('55.817612', '37.745424')",4.44655940366969,0,0,0,1,2,4
"('55.757906', '37.606137')",1.4431110158076346,0,0,1,2,4,5
"('55.790712', '37.474444')",2.2714258371813085,0,0,1,0,4,4
"('55.7742587', '37.546541')",2.065139000741126,0,0,2,0,5,3
"('55.740451', '37.592716')",2.1340728652364525,0,0,2,1,5,4
"('55.748577', '37.598557')",1.9607072156206065,0,0,2,1,5,4
"('55.783539', '37.742016')",2.810127789922962,0,0,1,1,3,4
"('55.747323', '37.396371')",5.097783743626191,0,0,0,0,2,3
"('55.717589', '37.511643')",4.433617513266916,0,0,0,1,3,4
"('55.7498574', '37.6055674')",2.058646764198301,0,0,2,1,5,4
"('55.745868', '37.597926')",2.225404024085567,0,0,2,1,5,4
"('55.715753', '37.753964')",3.7502674881687246,0,0,0,1,3,4
"('55.76317', '37.508592')",2.113835335156962,0,0,2,1,3,5
"('55.76643', '37.6137')",1.6810514961698628,0,0,1,2,4,4
"('55.771211', '37.676134')",2.1641658900720118,0,0,2,0,5,3
"('55.692318', '37.597594')",3.7638870049117945,0,0,0,1,3,5
"('55.758068', '37.419117')",3.270488513649375,0,0,0,1,1,4
"('55.730101', '37.630939')",0.8471033539388677,0,1,0,2,4,5
"('55.675346', '37.541386')",7.237355516958403,0,0,0,0,3,4
"('55.781626', '37.734578')",2.3888904174833296,0,0,1,1,3,4
"('55.746227', '37.63473')",2.390853257327497,0,0,1,2,3,6
"('55.725534', '37.570501')",2.878657054949198,0,0,1,2,3,5
"('55.76565', '37.594926')",0.49982739880062593,1,0,1,2,4,4
"('55.768405', '37.626187')",2.4856057693700406,0,0,1,2,3,5
"('55.76705', '37.61186')",1.5740193411431618,0,0,1,2,4,4
"('55.757492', '37.399048')",4.459411600376861,0,0,0,1,1,4
"('55.747652', '37.61777')",2.3331850287210187,0,0,2,1,5,4
"('55.784997', '37.526636')",3.371148267417628,0,0,0,3,1,7
"('55.723004', '37.575468')",2.5932259874964587,0,0,1,2,3,5
"('55.822979', '37.526735')",6.939993712038323,0,0,0,0,5,3
"('55.64191', '37.34936')",16.122418752145833,0,0,0,0,0,0
"('55.731891', '37.539922')",2.4801455956659875,0,0,1,2,2,5
"('55.69316', '37.470599')",8.056377506765513,0,0,0,0,3,2
"('55.738698', '37.593039')",1.9830820547679298,0,0,2,1,5,4
