coords,kids_hospitals_closest_km,kids_hospitals_less500m,kids_hospitals_0.5-1km,kids_hospitals_1-3km,kids_hospitals_3-5km,kids_hospitals_5-10km,kids_hospitals_10-15km
"('55.763933', '37.60929')",1.4038949339376228,0,0,1,2,4,5
"('55.77796', '37.600594')",1.492779675047901,0,0,1,1,6,3
"('55.71268', '37.517698')",4.818571571756021,0,0,0,1,3,4
"('55.900103', '37.585745')",5.7176051233600225,0,0,0,0,1,3
"('55.742954', '37.58051')",2.4373821485616434,0,0,3,0,6,3
"('55.904835', '37.38836')",5.672321030007062,0,0,0,0,1,1
"('55.643658', '37.539455')",7.037970565600041,0,0,0,0,1,5
"('55.5677654', '37.4416839')",14.76006439095275,0,0,0,0,0,1
"('55.841561', '37.495863')",5.80874923422582,0,0,0,0,5,2
"('55.817612', '37.745424')",4.44655940366969,0,0,0,1,2,4
"('55.694784', '37.581559')",3.97352631934886,0,0,0,1,3,5
"('55.733917', '37.614754')",0.8157163368638095,0,1,0,2,3,6
"('55.757214', '37.64955')",3.515658169154414,0,0,0,4,1,8
"('55.588949', '37.60081')",5.4480475964250505,0,0,0,0,1,1
"('55.637393', '37.600388')",3.138114004428646,0,0,0,1,1,4
"('55.898916', '37.379034')",5.1834131223475035,0,0,0,0,1,1
"('55.745083', '37.49736')",2.835669532853402,0,0,1,1,3,4
"('55.834421', '37.659596')",2.943781076878319,0,0,1,0,4,3
"('55.790975', '37.634182')",3.703641936638205,0,0,0,2,4,4
"('55.795423', '37.495276')",3.292962832636695,0,0,0,1,3,5
"('55.763265', '37.514994')",1.7619639121608865,0,0,1,2,2,6
"('55.7407086', '37.6011763')",1.8310297463193943,0,0,2,1,5,4
"('55.763072', '37.58968')",0.2812959219079246,1,0,1,2,4,4
"('55.760915', '37.554861')",0.9715788769129252,0,1,1,1,5,3
"('55.7182621', '37.4771618')",5.597978852930261,0,0,0,0,4,1
"('55.807435', '37.448662')",4.213718413883152,0,0,0,1,3,3
"('55.681183', '37.495808')",8.578070754125994,0,0,0,0,2,3
"('55.5213774', '37.3160383')",16.977341457620895,0,0,0,0,0,0
"('55.720798', '37.444099')",5.74242742411394,0,0,0,0,2,3
"('55.739352', '37.602606')",1.6553170204266023,0,0,1,2,4,5
"('55.76725', '37.584476')",0.12180590391095314,1,0,2,1,5,4
"('55.78564', '37.633266')",3.640301278140614,0,0,0,2,4,4
"('55.789289', '37.491126')",2.586191700991108,0,0,1,1,3,5
"('55.77854', '37.662956')",2.168773422501258,0,0,1,2,4,4
"('55.643769', '37.496075')",9.740203828377728,0,0,0,0,1,4
"('55.795853', '37.485538')",3.0392397841077248,0,0,0,1,3,5
"('55.893369', '37.602058')",4.5086319190454365,0,0,0,1,0,4
"('55.886782', '37.38988')",3.6921459160795322,0,0,0,1,0,3
"('55.841278', '37.494442')",5.729765333634724,0,0,0,0,5,2
"('55.742043', '37.552498')",1.5758023949205993,0,0,1,2,3,6
"('55.83525', '37.643642')",2.653503135243804,0,0,1,0,4,3
"('55.8134352', '37.5849828')",5.023473387568428,0,0,0,0,7,1
"('55.695625', '37.821663')",3.4229966128029523,0,0,0,1,0,5
"('55.715527', '37.477104')",5.82187392616772,0,0,0,0,4,1
"('55.739534', '37.63341')",1.6952928717214883,0,0,1,2,3,6
"('55.684929', '37.533966')",6.823108703830131,0,0,0,0,4,3
"('55.6900645', '37.6548865')",4.427427096803644,0,0,0,1,4,4
"('55.806504', '37.449866')",4.094337456200102,0,0,0,1,3,3
"('55.715527', '37.477104')",5.82187392616772,0,0,0,0,4,1
"('55.702763', '37.64046')",2.7489897555778757,0,0,1,0,6,2
"('55.700877', '37.622405')",2.606574246859185,0,0,1,0,6,2
"('55.7220172', '37.6077158')",0.6458971412234631,0,1,0,2,3,5
"('55.828217', '37.462414')",4.50445953507483,0,0,0,1,2,4
"('55.8170545', '37.7545798')",4.809739005625236,0,0,0,1,2,5
"('55.68153', '37.849888')",4.882334002990049,0,0,0,1,0,3
"('55.853178', '37.608212')",2.2526571882765065,0,0,1,0,3,5
"('55.807435', '37.448662')",4.213718413883152,0,0,0,1,3,3
"('55.7439839', '37.5919617')",2.3328363212639496,0,0,2,1,5,4
"('55.5512278', '37.3356786')",20.01996539101477,0,0,0,0,0,0
"('55.740928', '37.622118')",1.5965844596182075,0,0,1,1,4,5
"('55.741683', '37.601726')",1.9078649132731296,0,0,2,1,5,4
"('55.829598', '37.465955')",4.597251348848418,0,0,0,1,2,5
"('55.758402', '37.549282')",0.5233885548126271,0,1,1,1,5,3
"('55.756376', '37.54948')",0.4394047454908495,1,0,2,0,6,2
"('55.756771', '37.592725')",0.9792378057442457,0,1,0,3,3,6
"('55.779575', '37.706863')",0.9824891590611892,0,1,1,1,4,3
"('55.828217', '37.462414')",4.50445953507483,0,0,0,1,2,4
"('55.786166', '37.497836')",2.6245203088976536,0,0,1,1,4,4
"('55.699314', '37.511239')",6.360807431591852,0,0,0,0,4,2
"('55.735175', '37.44064')",4.281766925758018,0,0,0,1,2,3
"('55.738292', '37.625972')",1.3649371709668892,0,0,1,1,4,5
"('55.807435', '37.448662')",4.213718413883152,0,0,0,1,3,3
"('55.76447', '37.652958')",3.362260869595195,0,0,0,4,1,8
"('55.659573', '37.56007')",6.385868108568262,0,0,0,0,2,5
"('55.76963', '37.47916')",0.8369733973278178,0,1,0,2,2,6
"('55.763194', '37.62572')",2.438477430042683,0,0,1,1,4,5
"('55.733493', '37.609973')",0.8594767180785685,0,1,0,3,3,6
"('55.806504', '37.449866')",4.094337456200102,0,0,0,1,3,3
"('55.738262', '37.420177')",4.632827339998779,0,0,0,1,1,4
"('55.774137', '37.630769')",2.9240347806354774,0,0,1,2,4,4
"('55.759384', '37.602894')",1.1826390620962037,0,0,1,2,4,5
"('55.790975', '37.634182')",3.703641936638205,0,0,0,2,4,4
"('55.806504', '37.449866')",4.094337456200102,0,0,0,1,3,3
"('55.768441', '37.62713')",2.5447418306498775,0,0,1,2,3,5
"('55.770157', '37.635998')",3.1250814117003274,0,0,0,4,2,6
"('55.73467', '37.616646')",0.8942568002096102,0,1,0,2,3,6
"('55.700444', '37.51071')",6.249663648068064,0,0,0,0,4,2
"('55.754983', '37.647675')",3.6310707695189617,0,0,0,4,1,8
"('55.743923', '37.582655')",2.315288920377012,0,0,3,0,6,3
"('55.651811', '37.395635')",13.974458637482465,0,0,0,0,0,2
"('55.729807', '37.62978')",0.7673386797047255,0,1,0,2,3,6
"('55.763194', '37.62572')",2.438477430042683,0,0,1,1,4,5
"('55.669889', '37.556262')",7.164252921583455,0,0,0,0,3,4
"('55.817837', '37.464825')",5.229464148002887,0,0,0,0,4,3
"('55.642133', '37.601385')",3.212620071534877,0,0,0,1,1,5
"('55.77517', '37.674022')",1.8740653972481827,0,0,2,0,6,2
"('55.747936', '37.599058')",2.038699919832507,0,0,2,1,5,4
"('55.7952463', '37.6114797')",3.456467025167891,0,0,0,1,6,2
"('55.776894', '37.630096')",3.005128699992795,0,0,0,2,4,4
"('55.732012', '37.594054')",1.5186868904850908,0,0,1,2,4,5
"('55.775505', '37.594971')",1.0529464757299183,0,0,1,1,6,3
"('55.709637', '37.591943')",2.2737151599993997,0,0,1,0,5,3
"('55.637195', '37.665668')",1.100727682315074,0,0,1,0,2,2
"('55.7678312', '37.6190593')",2.033702114119972,0,0,1,2,4,4
"('55.745797', '37.513107')",1.9039454476169595,0,0,1,2,2,5
"('55.885332', '37.389095')",3.5507499720788123,0,0,0,1,0,3
"('55.765205', '37.647486')",3.715120921092713,0,0,0,4,1,8
"('55.856432', '37.449641')",2.7362751020331952,0,0,1,0,2,3
"('55.754303', '37.58563')",1.1513604032744202,0,0,2,1,5,4
"('55.757214', '37.64955')",3.515658169154414,0,0,0,4,1,8
"('55.674606', '37.568497')",6.3197617137574476,0,0,0,0,3,5
"('55.733802', '37.438906')",4.464394969371291,0,0,0,1,2,3
"('55.8099435', '37.644094')",3.910542501915447,0,0,0,1,5,2
"('55.754814', '37.59013')",1.1281250107251912,0,0,2,1,5,4
"('55.762733', '37.589745')",0.3146832441316278,1,0,1,2,4,5
"('55.776041', '37.603631')",1.499069489167242,0,0,1,1,6,2
"('55.829633', '37.470455')",4.832621226195049,0,0,0,1,3,4
"('55.744941', '37.658886')",3.231059566757351,0,0,0,2,4,5
"('55.763108', '37.634865')",3.0114500479387796,0,0,0,4,1,8
"('55.811452', '37.632799')",4.580695465433057,0,0,0,1,5,3
"('55.677209', '37.528163')",7.6667160125609515,0,0,0,0,3,4
"('55.744617', '37.51212')",2.024066124695034,0,0,1,1,3,4
"('55.765854', '37.63352')",2.9198789288639344,0,0,1,3,2,7
"('55.7417', '37.59354')",2.2024170591460472,0,0,2,1,5,4
"('55.789026', '37.567887')",2.5190366682207292,0,0,1,1,6,2
"('55.717863', '37.442015')",6.0912502669498165,0,0,0,0,2,2
"('55.754801', '37.58455')",1.098558444323026,0,0,2,1,5,4
"('55.780846', '37.449147')",1.5338088591307517,0,0,1,0,4,2
"('55.734354', '37.446866')",4.2398050537019465,0,0,0,1,2,3
"('55.763187', '37.615112')",1.776177636778029,0,0,1,2,4,5
"('55.7633955', '37.6147912')",1.7535107452749488,0,0,1,2,4,5
"('55.683112', '37.521803')",7.546911711298159,0,0,0,0,4,2
"('55.7411641', '37.6230759')",1.6313102111948548,0,0,1,1,4,5
"('55.75506', '37.59004')",1.1001838729134732,0,0,2,1,5,4
"('55.727952', '37.737578')",3.9299446365427237,0,0,0,1,3,4
"('55.88793', '37.617294')",3.501557983115647,0,0,0,1,0,4
"('55.747966', '37.687102')",1.6535220956756698,0,0,1,2,4,5
"('55.720418', '37.608472')",0.6953739649024329,0,1,0,1,4,4
"('55.75939', '37.598968')",0.9835643824335781,0,1,0,3,3,6
"('55.580742', '37.159881')",26.93255276966665,0,0,0,0,0,0
"('55.762783', '37.590443')",0.33617562175910193,1,0,1,2,4,5
"('55.769479', '37.622738')",2.294061154650471,0,0,1,2,4,4
"('55.641834', '37.48491')",10.405548960231776,0,0,0,0,0,4
"('55.755383', '37.596579')",1.234301408088978,0,0,1,2,4,5
"('55.765073', '37.582799')",0.09730387631572872,1,0,2,1,5,4
"('55.789406', '37.569539')",2.5184732340212723,0,0,1,1,6,2
"('55.589147', '37.456388')",12.934179017055426,0,0,0,0,0,1
"('55.68172', '37.49094')",8.625005086518401,0,0,0,0,2,3
"('55.711681', '37.519512')",4.894758713499116,0,0,0,1,3,4
"('55.780846', '37.449147')",1.5338088591307517,0,0,1,0,4,2
"('55.615765', '37.738006')",5.760684908691927,0,0,0,0,2,1
"('55.7956', '37.706667')",1.0092238913233162,0,0,1,1,4,3
"('55.707436', '37.784157')",2.847642146420221,0,0,1,0,2,4
"('55.826554', '37.65028')",3.6525863272339363,0,0,0,1,3,4
"('55.716468', '37.619028')",0.8607658867035695,0,1,0,1,6,2
"('55.664538', '37.473483')",10.808517325631032,0,0,0,0,0,5
"('55.72386', '37.610054')",0.450153308013271,1,0,1,1,4,4
"('55.7457189', '37.5925871')",2.1500768121382556,0,0,2,1,5,4
"('55.723521', '37.58694')",1.8706639901341047,0,0,1,2,4,4
"('55.74192', '37.598015')",2.0516961968853105,0,0,2,1,5,4
"('55.748589', '37.591351')",1.8215140863729864,0,0,2,1,5,4
"('55.7499998', '37.6990018')",1.0383245478528098,0,0,1,1,5,4
"('55.7515567', '37.7105369')",0.8165636545789295,0,1,0,2,3,5
"('55.753235', '37.70709')",0.5830934250234353,0,1,0,2,3,5
"('55.752445', '37.71445')",0.850920412772548,0,1,0,2,3,5
"('55.756072', '37.706128')",0.26355429860232465,1,0,1,1,4,4
"('55.745595', '37.704754')",1.4322601431413555,0,0,1,1,4,4
"('55.7515567', '37.7105369')",0.8165636545789295,0,1,0,2,3,5
"('55.747535', '37.702966')",1.2292426217050731,0,0,1,1,4,4
"('55.773773', '37.687839')",1.56130501402094,0,0,2,0,6,2
"('55.75527', '37.657806')",3.0168400485242857,0,0,0,4,1,8
"('55.751817', '37.716144')",0.9725740367888309,0,1,0,2,3,5
"('55.7524872', '37.7055563')",0.663318281208319,0,1,0,2,3,5
"('55.749927', '37.704736')",0.951201298037317,0,1,0,2,3,5
"('55.74342', '37.720467')",1.9017417059831183,0,0,1,0,5,3
"('55.751206', '37.7001934')",0.8850163711919591,0,1,0,2,4,5
"('55.748539', '37.70337')",1.1148879614873481,0,0,1,1,4,4
"('55.788216', '37.671272')",1.3637395147933207,0,0,1,1,5,3
"('55.771104', '37.703865')",1.3964479646745642,0,0,2,0,4,4
"('55.751959', '37.686006')",1.429361376811507,0,0,1,1,5,4
"('55.7515567', '37.7105369')",0.8165636545789295,0,1,0,2,3,5
"('55.751568', '37.71495')",0.9476597989899774,0,1,0,2,3,5
"('55.7515567', '37.7105369')",0.8165636545789295,0,1,0,2,3,5
"('55.752267', '37.7002331')",0.7779013335193944,0,1,0,2,4,5
"('55.740406', '37.627445')",1.61765072205171,0,0,1,1,4,5
"('55.677159', '37.695348')",4.431704788382979,0,0,0,1,3,4
"('55.752708', '37.645564')",3.3454368087975737,0,0,0,4,1,8
"('55.7406555', '37.6665063')",3.1596520210536476,0,0,0,2,4,5
"('55.747703', '37.688297')",1.6237714405447736,0,0,1,2,4,5
"('55.71954', '37.690896')",4.43411081947297,0,0,0,2,3,4
"('55.681442', '37.6555')",5.291318275616382,0,0,0,0,4,3
"('55.674473', '37.667501')",4.797165881814766,0,0,0,1,3,4
"('55.6898201', '37.6558154')",4.480893274309242,0,0,0,1,4,4
"('55.719315', '37.66175')",2.7098663464520105,0,0,1,0,7,1
"('55.702186', '37.684856')",4.805444442925985,0,0,0,1,5,2
"('55.699938', '37.635314')",2.894669330045048,0,0,1,0,6,2
"('55.6892303', '37.6536623')",4.469120673361758,0,0,0,1,4,4
"('55.720802', '37.661785')",2.679534649752487,0,0,1,0,7,1
"('55.717518', '37.659748')",2.6418981950209224,0,0,1,0,7,1
"('55.70457', '37.670868')",3.924459580303866,0,0,0,1,6,2
"('55.72108', '37.664867')",2.866044730956532,0,0,1,1,6,2
"('55.698361', '37.635296')",3.0587726785953473,0,0,0,1,5,3
"('55.703155', '37.672792')",4.114385975766589,0,0,0,1,5,2
"('55.6996661', '37.6368671')",2.95911392699966,0,0,1,0,6,2
"('55.713234', '37.67484')",3.6946826408929274,0,0,0,1,6,2
"('55.688923', '37.6556035')",4.559734548554832,0,0,0,1,4,3
"('55.71148', '37.658733')",2.8646030390887294,0,0,1,0,7,1
"('55.702495', '37.669881')",4.012620947525419,0,0,0,1,6,2
"('55.700613', '37.633634')",2.7874824592574003,0,0,1,0,6,2
"('55.683194', '37.648277')",4.928153900010132,0,0,0,1,4,3
"('55.703814', '37.640138')",2.637663192700176,0,0,1,0,7,1
"('55.683194', '37.648277')",4.928153900010132,0,0,0,1,4,3
"('55.715748', '37.675415')",3.6412783440224232,0,0,0,1,6,2
"('55.700613', '37.633634')",2.7874824592574003,0,0,1,0,6,2
"('55.700704', '37.660961')",3.7256946111133704,0,0,0,1,6,2
"('55.70073', '37.631586')",2.7345108994615788,0,0,1,0,6,2
"('55.6903564', '37.655683')",4.425619246693358,0,0,0,1,4,4
"('55.702495', '37.669881')",4.012620947525419,0,0,0,1,6,2
"('55.6988708', '37.6385646')",3.082577624053648,0,0,0,1,5,3
"('55.703581', '37.661078')",3.511895832776369,0,0,0,1,6,2
"('55.6987549', '37.6362756')",3.0393349135507672,0,0,0,1,5,3
"('55.707806', '37.67393')",3.8963078626439454,0,0,0,1,6,2
"('55.690187', '37.657781')",4.512028284501596,0,0,0,1,4,3
"('55.695611', '37.662371')",4.200930721301618,0,0,0,1,4,4
"('55.682727', '37.584829')",5.052209050691384,0,0,0,0,4,4
"('55.686909', '37.593695')",4.41332564244829,0,0,0,1,3,5
"('55.693084', '37.59613')",3.7151995939458358,0,0,0,1,3,5
"('55.678199', '37.596731')",5.287387143770986,0,0,0,0,4,4
"('55.690256', '37.5530337')",5.531937782025436,0,0,0,0,4,4
"('55.68701', '37.577678')",4.834561672444716,0,0,0,1,3,5
"('55.686306', '37.538036')",6.528594348886465,0,0,0,0,4,4
"('55.702926', '37.580337')",3.3180380528360924,0,0,0,1,3,5
"('55.693497', '37.58077')",4.120049899326476,0,0,0,1,3,5
"('55.676164', '37.579259')",5.862200762695286,0,0,0,0,4,4
"('55.6940437', '37.6040148')",3.464879763994003,0,0,0,1,4,4
"('55.689162', '37.598286')",4.0846638859769415,0,0,0,1,3,5
"('55.679276', '37.57349')",5.7127862755443095,0,0,0,0,4,4
"('55.682194', '37.578738')",5.2708901185868475,0,0,0,0,4,4
"('55.675369', '37.55206')",6.812046077751087,0,0,0,0,3,4
"('55.683823', '37.577364')",5.151810949396812,0,0,0,0,4,4
"('55.685675', '37.581379')",4.85039211481856,0,0,0,1,3,5
"('55.696078', '37.563152')",4.624509845142776,0,0,0,1,3,5
"('55.684093', '37.597145')",4.646481474680545,0,0,0,1,3,5
"('55.672763', '37.560529')",6.750546332495418,0,0,0,0,3,4
"('55.678458', '37.564248')",6.089963478752875,0,0,0,0,4,4
"('55.67314', '37.57369')",6.3149128797364344,0,0,0,0,3,5
"('55.687193', '37.56388')",5.316627763708574,0,0,0,0,4,4
"('55.670773', '37.571003')",6.525528091577027,0,0,0,0,3,4
"('55.673818', '37.565174')",6.4992688657232,0,0,0,0,3,4
"('55.683798', '37.537883')",6.719963959742293,0,0,0,0,4,3
"('55.678113', '37.548511')",6.711738110759305,0,0,0,0,4,3
"('55.677346', '37.565955')",6.137017531917386,0,0,0,0,4,4
"('55.692475', '37.551726')",5.427850483231302,0,0,0,0,4,4
"('55.678113', '37.548511')",6.711738110759305,0,0,0,0,4,3
"('55.68665', '37.592644')",4.462926789897846,0,0,0,1,3,5
"('55.680103', '37.581963')",5.392419731723202,0,0,0,0,4,4
"('55.68499', '37.595215')",4.585525556592496,0,0,0,1,3,5
"('55.670128', '37.57097')",6.480427191706358,0,0,0,0,3,4
"('55.69109', '37.542958')",5.951299525655293,0,0,0,0,4,4
"('55.674477', '37.570007')",6.2869734087263955,0,0,0,0,3,5
"('55.682026', '37.566539')",5.679318877577374,0,0,0,0,4,4
"('55.691526', '37.538134')",6.1630999973844425,0,0,0,0,5,3
"('55.681265', '37.582403')",5.263162980180128,0,0,0,0,4,4
"('55.693597', '37.577678')",4.222142340122502,0,0,0,1,3,5
"('55.692191', '37.562991')",4.935516161708081,0,0,0,1,3,5
"('55.691526', '37.538134')",6.1630999973844425,0,0,0,0,5,3
"('55.680625', '37.559218')",6.073708834515026,0,0,0,0,4,4
"('55.68955', '37.56528')",5.058306114798489,0,0,0,0,4,4
"('55.687497', '37.543327')",6.190219832222486,0,0,0,0,4,4
"('55.688072', '37.569305')",5.029739945701615,0,0,0,0,4,4
"('55.67733', '37.571552')",5.961379442336098,0,0,0,0,4,4
"('55.670585', '37.566243')",6.741945491719481,0,0,0,0,3,4
"('55.693394', '37.557502')",5.088298069597182,0,0,0,0,4,4
"('55.694205', '37.566503')",4.620826901768455,0,0,0,1,3,5
"('55.672011', '37.570878')",6.505659829620883,0,0,0,0,3,4
"('55.689625', '37.564034')",5.102877435567614,0,0,0,0,4,4
"('55.683036', '37.585655')",4.999915203333549,0,0,0,1,3,5
"('55.691379', '37.604906')",3.7416627571239944,0,0,0,1,4,4
"('55.688086', '37.565955')",5.157335792015744,0,0,0,0,4,4
"('55.67855', '37.593623')",5.300768257786781,0,0,0,0,4,4
"('55.687066', '37.56697')",5.207596298311279,0,0,0,0,4,4
"('55.690268', '37.553873')",5.49266693534131,0,0,0,0,4,4
"('55.695296', '37.575648')",4.149768922981831,0,0,0,1,3,5
"('55.683676', '37.582215')",5.0253824385373,0,0,0,0,4,4
"('55.677783', '37.560493')",6.283913435777885,0,0,0,0,4,4
"('55.692506', '37.558454')",5.112229637462103,0,0,0,0,4,4
"('55.701861', '37.580679')",3.3893626590209434,0,0,0,1,3,5
"('55.72386', '37.610054')",0.450153308013271,1,0,1,1,4,4
"('55.645136', '37.51697')",8.46102044255222,0,0,0,0,1,4
"('55.753169', '37.589796')",1.3023314210946744,0,0,2,1,5,4
"('55.753129', '37.589096')",1.298918240458045,0,0,2,1,5,4
"('55.753286', '37.59657')",1.4348278941275925,0,0,1,2,4,5
"('55.753114', '37.591566')",1.3342626721823239,0,0,1,2,4,5
"('55.7531212', '37.5903682')",1.3149672192250068,0,0,1,2,4,5
"('55.7270229', '37.561437')",3.3200756934580067,0,0,0,3,2,6
"('55.727212', '37.583598')",2.054031132046181,0,0,1,2,4,4
"('55.748936', '37.595627')",1.855117677061206,0,0,2,1,5,4
"('55.747363', '37.594486')",2.000298395631994,0,0,2,1,5,4
"('55.741465', '37.540784')",1.4162223379875216,0,0,1,1,3,5
"('55.757131', '37.617114')",2.08736357740483,0,0,1,2,4,5
"('55.720585', '37.567042')",3.156847245868732,0,0,0,2,3,5
"('55.749847', '37.579815')",1.6893523773477677,0,0,2,1,5,4
"('55.7630905', '37.5930036')",0.4374335148261732,1,0,1,2,4,5
"('55.760955', '37.611446')",1.6013437739965413,0,0,1,2,4,5
"('55.744713', '37.5827')",2.2274130249121464,0,0,3,0,6,3
"('55.742534', '37.545465')",1.347325377205126,0,0,1,2,2,6
"('55.765716', '37.59356')",0.41598114202216274,1,0,1,2,4,4
"('55.762485', '37.598887')",0.7999355116372047,0,1,0,3,3,6
"('55.725214', '37.578496')",2.378985107632644,0,0,1,2,3,5
"('55.744414', '37.594072')",2.3118562194237215,0,0,2,1,5,4
"('55.7180332', '37.5737618')",2.814840051726886,0,0,1,1,4,4
"('55.751933', '37.590075')",1.4407599818318375,0,0,1,2,4,5
"('55.75571', '37.600845')",1.3592099174170296,0,0,1,2,4,5
"('55.753407', '37.600082')",1.539114693928172,0,0,1,2,4,5
"('55.758929', '37.645393')",3.728265346711944,0,0,0,4,1,8
"('55.764121', '37.615416')",1.7857123777531454,0,0,1,2,4,5
"('55.75554', '37.594433')",1.150255176579386,0,0,1,2,4,5
"('55.749603', '37.597872')",1.8388913497259578,0,0,2,1,5,4
"('55.754507', '37.602687')",1.5361401444627176,0,0,1,2,4,5
"('55.7557561', '37.6033112')",1.459252411809063,0,0,1,2,4,5
"('55.755196', '37.592796')",1.1406101793986647,0,0,1,2,4,5
"('55.75768', '37.606674')",1.4851244255516645,0,0,1,2,4,5
"('55.754507', '37.602687')",1.5361401444627176,0,0,1,2,4,5
"('55.754753', '37.59622')",1.2817942323957021,0,0,1,2,4,5
"('55.759436', '37.605733')",1.3334912269235037,0,0,1,2,4,5
"('55.812666', '37.640911')",4.2565596109069785,0,0,0,1,5,2
"('55.801455', '37.63765')",3.774581962409119,0,0,0,2,4,3
"('55.812292', '37.653316')",3.6625586932433145,0,0,0,1,5,2
"('55.814062', '37.623735')",5.149572282076453,0,0,0,0,6,2
"('55.816387', '37.656082')",3.9035600052673898,0,0,0,2,3,4
"('55.817613', '37.661859')",3.816736336170793,0,0,0,2,2,5
"('55.8114519', '37.6453291')",3.9579606545204506,0,0,0,1,5,2
"('55.8064017', '37.6481266')",3.4710530919071183,0,0,0,1,5,2
"('55.813637', '37.645501')",4.11356767138384,0,0,0,1,5,2
"('55.816328', '37.631379')",4.811316501640776,0,0,0,2,3,5
"('55.8064017', '37.6481266')",3.4710530919071183,0,0,0,1,5,2
"('55.804612', '37.635503')",4.045205053628472,0,0,0,1,5,2
"('55.812337', '37.658571')",3.450950061276416,0,0,0,1,5,2
"('55.8134', '37.659847')",3.495821336590405,0,0,0,1,5,2
"('55.815367', '37.659084')",3.7014262868328216,0,0,0,2,3,4
"('55.806282', '37.640947')",3.83826671879648,0,0,0,1,5,2
"('55.814117', '37.64788')",4.04481977608333,0,0,0,1,5,2
"('55.806499', '37.643911')",3.694699183273247,0,0,0,1,5,2
"('55.80527', '37.63897')",3.8879089637724915,0,0,0,1,5,2
"('55.801536', '37.636715')",3.832093035225039,0,0,0,2,4,3
"('55.806565', '37.642662')",3.76423208475106,0,0,0,1,5,2
"('55.815556', '37.624374')",4.978478749370165,0,0,0,1,5,3
"('55.816045', '37.627247')",4.886860731732295,0,0,0,1,5,3
"('55.8145435', '37.6248368')",5.081828929259799,0,0,0,0,6,2
"('55.8158484', '37.6282409')",4.896482975064444,0,0,0,1,5,3
"('55.812216', '37.632368')",4.651421447760263,0,0,0,1,5,3
"('55.810602', '37.632098')",4.564561019287325,0,0,0,1,5,3
"('55.8064017', '37.6481266')",3.4710530919071183,0,0,0,1,5,2
"('55.809904', '37.635081')",4.365641721229244,0,0,0,1,5,2
"('55.810688', '37.63676')",4.328364172386201,0,0,0,1,5,2
