coords,adult_hospitals_closest_km,adult_hospitals_less500m,adult_hospitals_0.5-1km,adult_hospitals_1-3km,adult_hospitals_3-5km,adult_hospitals_5-10km,adult_hospitals_10-15km
"('55.641834', '37.48491')",1.6676833878748663,0,0,1,2,5,8
"('55.755383', '37.596579')",1.2883367022659504,0,0,1,6,13,16
"('55.765073', '37.582799')",1.0196854343781883,0,0,2,3,16,14
"('55.789406', '37.569539')",1.154683617535943,0,0,3,2,15,11
"('55.589147', '37.456388')",2.372713726639894,0,0,2,0,4,4
"('55.68172', '37.49094')",1.4673847602804748,0,0,2,0,10,10
"('55.711681', '37.519512')",4.735555800784051,0,0,0,2,11,15
"('55.780846', '37.449147')",1.1835367303828868,0,0,2,2,9,11
"('55.615765', '37.738006')",5.318932664833803,0,0,0,0,3,5
"('55.7956', '37.706667')",0.34743392819222096,2,0,4,2,14,9
"('55.707436', '37.784157')",2.4447047948996654,0,0,1,1,8,10
"('55.826554', '37.65028')",4.339305117997998,0,0,0,4,10,14
"('55.716468', '37.619028')",0.36901809608730285,1,0,4,1,14,15
"('55.664538', '37.473483')",1.073348882897032,0,0,2,1,6,10
"('55.72386', '37.610054')",0.42112118096122814,1,1,3,3,12,17
"('55.7457189', '37.5925871')",2.3363829722094165,0,0,3,3,16,14
"('55.723521', '37.58694')",0.5539388880806749,0,2,1,5,12,17
"('55.74192', '37.598015')",1.850415147570596,0,0,3,3,16,14
"('55.748589', '37.591351')",2.0938508572273626,0,0,2,4,15,16
"('55.7499998', '37.6990018')",1.7953550655942752,0,0,2,4,15,11
"('55.7515567', '37.7105369')",1.7031759747487953,0,0,2,4,14,8
"('55.753235', '37.70709')",1.4639794416386498,0,0,2,5,14,9
"('55.752445', '37.71445')",1.7088767611266147,0,0,2,4,14,8
"('55.756072', '37.706128')",1.1426945853259232,0,0,2,5,14,10
"('55.745595', '37.704754')",2.284303881171365,0,0,1,3,15,8
"('55.7515567', '37.7105369')",1.7031759747487953,0,0,2,4,14,8
"('55.747535', '37.702966')",2.0621688002065905,0,0,1,4,15,10
"('55.773773', '37.687839')",1.0321769127095324,0,0,4,3,16,9
"('55.75527', '37.657806')",1.0946729029591,0,0,3,4,15,13
"('55.751817', '37.716144')",1.8211752408629507,0,0,2,4,13,9
"('55.7524872', '37.7055563')",1.5275521678581834,0,0,2,4,15,9
"('55.749927', '37.704736')",1.803845371603543,0,0,1,5,14,11
"('55.74342', '37.720467')",2.7774830647110638,0,0,1,3,14,8
"('55.751206', '37.7001934')",1.6554380896033591,0,0,1,5,14,11
"('55.748539', '37.70337')",1.9515442832469774,0,0,1,4,15,10
"('55.788216', '37.671272')",0.9943579275674973,0,1,3,3,16,10
"('55.771104', '37.703865')",0.22965367192879454,1,0,5,2,16,9
"('55.751959', '37.686006')",1.8339856527313323,0,0,3,3,16,11
"('55.7515567', '37.7105369')",1.7031759747487953,0,0,2,4,14,8
"('55.751568', '37.71495')",1.8100363275803224,0,0,2,4,13,9
"('55.7515567', '37.7105369')",1.7031759747487953,0,0,2,4,14,8
"('55.752267', '37.7002331')",1.5373908006861228,0,0,1,5,14,11
"('55.740406', '37.627445')",1.3542553008249663,0,0,4,2,14,16
"('55.677159', '37.695348')",2.581280741538712,0,0,1,2,7,13
"('55.752708', '37.645564')",0.6953840408087351,0,1,1,5,11,19
"('55.7406555', '37.6665063')",1.0575436380201089,0,0,2,3,15,14
"('55.747703', '37.688297')",2.2016695499676624,0,0,3,3,16,11
"('55.71954', '37.690896')",1.5002497240338715,0,0,1,3,12,11
"('55.681442', '37.6555')",0.8555280089009137,0,1,0,4,6,15
"('55.674473', '37.667501')",0.8061276548052241,0,1,0,3,5,15
"('55.6898201', '37.6558154')",1.7882398117762466,0,0,1,4,7,18
"('55.719315', '37.66175')",0.182420562095866,1,0,1,4,10,18
"('55.702186', '37.684856')",2.1888542503932045,0,0,1,4,9,14
"('55.699938', '37.635314')",1.7227581639681544,0,0,3,2,9,17
"('55.6892303', '37.6536623')",1.7225607255154431,0,0,1,4,7,18
"('55.720802', '37.661785')",0.21887657074103772,1,0,2,3,11,17
"('55.717518', '37.659748')",0.37350311557449994,1,0,2,4,10,18
"('55.70457', '37.670868')",1.6191754276572505,0,0,1,5,8,17
"('55.72108', '37.664867')",0.07731742171094222,1,0,2,3,12,16
"('55.698361', '37.635296')",1.7326686327350047,0,0,4,1,10,16
"('55.703155', '37.672792')",1.797194179294981,0,0,1,5,7,18
"('55.6996661', '37.6368671')",1.8210017597944248,0,0,3,2,9,17
"('55.713234', '37.67484')",0.8191415097081486,0,1,0,6,8,17
"('55.688923', '37.6556035')",1.687949436997115,0,0,1,4,7,17
"('55.71148', '37.658733')",0.9171127897509509,0,1,1,5,8,19
"('55.702495', '37.669881')",1.8392086054283554,0,0,1,5,6,19
"('55.700613', '37.633634')",1.6179156263317243,0,0,3,2,9,17
"('55.683194', '37.648277')",1.1249118521058814,0,0,2,2,9,14
"('55.703814', '37.640138')",1.9834261829751973,0,0,3,3,9,18
"('55.683194', '37.648277')",1.1249118521058814,0,0,2,2,9,14
"('55.715748', '37.675415')",0.6593913864620107,0,1,0,6,9,16
"('55.700613', '37.633634')",1.6179156263317243,0,0,3,2,9,17
"('55.700704', '37.660961')",2.036279229082159,0,0,1,4,7,19
"('55.70073', '37.631586')",1.489761009031773,0,0,4,1,10,16
"('55.6903564', '37.655683')",1.8476168731395561,0,0,1,4,7,18
"('55.702495', '37.669881')",1.8392086054283554,0,0,1,5,6,19
"('55.6988708', '37.6385646')",1.9320735521685324,0,0,4,1,10,16
"('55.703581', '37.661078')",1.7182798689594287,0,0,1,5,7,19
"('55.6987549', '37.6362756')",1.7896090032752723,0,0,3,2,9,17
"('55.707806', '37.67393')",1.320285624864046,0,0,1,5,8,17
"('55.690187', '37.657781')",1.8378498512153971,0,0,1,4,6,19
"('55.695611', '37.662371')",2.4787530284886654,0,0,2,3,8,18
"('55.682727', '37.584829')",1.7841751408011584,0,0,1,3,7,18
"('55.686909', '37.593695')",1.1463794095734055,0,0,1,3,8,16
"('55.693084', '37.59613')",0.44244604762184125,1,0,3,1,11,13
"('55.678199', '37.596731')",2.0789067405532236,0,0,1,3,8,15
"('55.690256', '37.5530337')",2.9254440094016196,0,0,1,3,8,16
"('55.68701', '37.577678')",1.6894071316255121,0,0,1,3,8,17
"('55.686306', '37.538036')",2.864918965046174,0,0,1,2,9,13
"('55.702926', '37.580337')",1.2990120796296531,0,0,3,0,11,15
"('55.693497', '37.58077')",1.1503914466412166,0,0,1,3,9,15
"('55.676164', '37.579259')",2.594162488041864,0,0,1,4,5,17
"('55.6940437', '37.6040148')",0.2658126922243937,1,0,3,2,9,17
"('55.689162', '37.598286')",0.8546447746798198,0,1,1,3,8,16
"('55.679276', '37.57349')",2.4975689322196057,0,0,1,4,6,18
"('55.682194', '37.578738')",2.038976757771789,0,0,1,4,6,18
"('55.675369', '37.55206')",3.173384990822961,0,0,0,3,8,12
"('55.683823', '37.577364')",1.9527478798245446,0,0,1,4,6,19
"('55.685675', '37.581379')",1.6315640774650833,0,0,1,3,7,18
"('55.696078', '37.563152')",2.195607021290492,0,0,1,3,8,18
"('55.684093', '37.597145')",1.4235061852625996,0,0,1,3,8,16
"('55.672763', '37.560529')",3.5767837630587724,0,0,0,3,8,11
"('55.678458', '37.564248')",2.955769639460892,0,0,1,2,8,15
"('55.67314', '37.57369')",3.0575453705355353,0,0,0,3,6,14
"('55.687193', '37.56388')",2.405122642454835,0,0,1,3,8,16
"('55.670773', '37.571003')",3.3703467517764825,0,0,0,3,6,13
"('55.673818', '37.565174')",3.298827775384366,0,0,0,3,7,12
"('55.683798', '37.537883')",2.6916536549387646,0,0,1,2,8,13
"('55.678113', '37.548511')",3.027653806940998,0,0,0,3,8,13
"('55.677346', '37.565955')",2.9691531515884635,0,0,1,2,8,15
"('55.692475', '37.551726')",2.953813007068714,0,0,1,3,8,17
"('55.678113', '37.548511')",3.027653806940998,0,0,0,3,8,13
"('55.68665', '37.592644')",1.1915120058595627,0,0,1,3,8,16
"('55.680103', '37.581963')",2.1267919279282332,0,0,1,3,7,17
"('55.68499', '37.595215')",1.3388463833994284,0,0,1,3,8,16
"('55.670128', '37.57097')",3.4335743988055283,0,0,0,3,6,13
"('55.69109', '37.542958')",3.4463018716931497,0,0,0,4,10,14
"('55.674477', '37.570007')",3.0571231262823857,0,0,0,3,6,14
"('55.682026', '37.566539')",2.5826777316042473,0,0,1,4,7,17
"('55.691526', '37.538134')",3.263396315392388,0,0,0,4,10,13
"('55.681265', '37.582403')",2.000154730651922,0,0,1,3,7,18
"('55.693597', '37.577678')",1.3323366670410879,0,0,1,2,10,14
"('55.692191', '37.562991')",2.265625994747448,0,0,1,3,9,15
"('55.691526', '37.538134')",3.263396315392388,0,0,0,4,10,13
"('55.680625', '37.559218')",3.041046760331225,0,0,0,3,9,13
"('55.68955', '37.56528')",2.216974471945392,0,0,1,3,9,16
"('55.687497', '37.543327')",3.2094464160485283,0,0,0,4,7,15
"('55.688072', '37.569305')",2.0574367643081692,0,0,1,3,8,17
"('55.67733', '37.571552')",2.7435113432823437,0,0,1,4,5,18
"('55.670585', '37.566243')",3.5481633798630026,0,0,0,3,7,12
"('55.693394', '37.557502')",2.578888183480245,0,0,1,3,8,17
"('55.694205', '37.566503')",2.005713739714332,0,0,1,3,8,16
"('55.672011', '37.570878')",3.2561917837433607,0,0,0,3,6,13
"('55.689625', '37.564034')",2.286989949156909,0,0,1,3,9,16
"('55.683036', '37.585655')",1.72979927282582,0,0,1,3,7,18
"('55.691379', '37.604906')",0.5640212389467572,0,1,1,4,7,19
"('55.688086', '37.565955')",2.2440377249035217,0,0,1,3,8,17
"('55.67855', '37.593623')",2.062802265420944,0,0,1,3,8,16
"('55.687066', '37.56697')",2.24016008982037,0,0,1,3,8,17
"('55.690268', '37.553873')",2.8740707574514364,0,0,1,3,8,16
"('55.695296', '37.575648')",1.419319666398044,0,0,1,2,10,15
"('55.683676', '37.582215')",1.7778993543618447,0,0,1,3,7,18
"('55.677783', '37.560493')",3.1797305698967393,0,0,0,2,9,13
"('55.692506', '37.558454')",2.5369971517407692,0,0,1,3,8,17
"('55.701861', '37.580679')",1.2228070470981776,0,0,3,0,11,15
"('55.72386', '37.610054')",0.42112118096122814,1,1,3,3,12,17
"('55.645136', '37.51697')",2.4670888560021753,0,0,2,0,9,6
"('55.753169', '37.589796')",1.636389797712627,0,0,1,5,14,16
"('55.753129', '37.589096')",1.6570530872142049,0,0,1,5,14,16
"('55.753286', '37.59657')",1.5201076112190397,0,0,1,5,14,15
"('55.753114', '37.591566')",1.604985262335166,0,0,1,5,14,16
"('55.7531212', '37.5903682')",1.628607406208732,0,0,1,5,14,16
"('55.7270229', '37.561437')",2.1948011898675697,0,0,2,1,16,11
"('55.727212', '37.583598')",0.9613296663280488,0,1,1,5,11,18
"('55.748936', '37.595627')",2.008019457991667,0,0,2,4,15,15
"('55.747363', '37.594486')",2.190841435825483,0,0,2,4,15,15
"('55.741465', '37.540784')",4.068796191185386,0,0,0,4,12,14
"('55.757131', '37.617114')",1.5554209112468713,0,0,3,3,16,13
"('55.720585', '37.567042')",1.7540152005768441,0,0,2,1,14,13
"('55.749847', '37.579815')",2.2499931496530303,0,0,1,5,14,15
"('55.7630905', '37.5930036')",0.5649310897363604,0,1,0,7,11,19
"('55.760955', '37.611446')",1.0052875941507458,0,0,2,5,13,16
"('55.744713', '37.5827')",2.4752601038112245,0,0,3,3,17,13
"('55.742534', '37.545465')",3.897042675643806,0,0,0,4,12,14
"('55.765716', '37.59356')",0.3525604509992219,1,0,2,4,14,16
"('55.762485', '37.598887')",0.4868494877102116,1,0,1,6,12,18
"('55.725214', '37.578496')",1.115662673066895,0,0,2,3,13,14
"('55.744414', '37.594072')",2.1720839260713296,0,0,3,3,15,15
"('55.7180332', '37.5737618')",1.381324818808895,0,0,3,0,15,11
"('55.751933', '37.590075')",1.7593592400705642,0,0,1,5,14,16
"('55.75571', '37.600845')",1.2441150869027258,0,0,1,6,13,16
"('55.753407', '37.600082')",1.497591934339165,0,0,1,5,14,15
"('55.758929', '37.645393')",1.3774203463916606,0,0,2,4,13,15
"('55.764121', '37.615416')",1.0552562094652032,0,0,2,4,14,15
"('55.75554', '37.594433')",1.296125391261758,0,0,1,6,13,17
"('55.749603', '37.597872')",1.9224905437985713,0,0,2,4,15,15
"('55.754507', '37.602687')",1.3905384636299276,0,0,1,5,14,15
"('55.7557561', '37.6033112')",1.2604705117256527,0,0,1,6,13,16
"('55.755196', '37.592796')",1.3606809247655334,0,0,1,6,13,17
"('55.75768', '37.606674')",1.1206654219222592,0,0,2,5,14,15
"('55.754507', '37.602687')",1.3905384636299276,0,0,1,5,14,15
"('55.754753', '37.59622')",1.3609210730447452,0,0,1,6,13,16
"('55.759436', '37.605733')",0.9185725160741425,0,1,0,7,11,18
"('55.812666', '37.640911')",3.589379395893354,0,0,0,4,11,14
"('55.801455', '37.63765')",3.1583486224358426,0,0,0,5,12,14
"('55.812292', '37.653316')",2.994620862844103,0,0,1,3,12,13
"('55.814062', '37.623735')",3.229932586515915,0,0,0,3,13,11
"('55.816387', '37.656082')",3.245717244847088,0,0,0,3,12,13
"('55.817613', '37.661859')",3.1619958300477458,0,0,0,3,12,13
"('55.8114519', '37.6453291')",3.2898752436630287,0,0,0,4,12,13
"('55.8064017', '37.6481266')",2.810228034238546,0,0,1,3,13,13
"('55.813637', '37.645501')",3.444365625465951,0,0,0,4,11,14
"('55.816328', '37.631379')",3.7707142806125447,0,0,0,4,11,13
"('55.8064017', '37.6481266')",2.810228034238546,0,0,1,3,13,13
"('55.804612', '37.635503')",3.4110347074272265,0,0,0,5,12,14
"('55.812337', '37.658571')",2.788411432649756,0,0,1,2,13,12
"('55.8134', '37.659847')",2.8379665894291524,0,0,1,2,13,12
"('55.815367', '37.659084')",3.047011598988931,0,0,0,3,12,13
"('55.806282', '37.640947')",3.187481305414237,0,0,0,4,12,14
"('55.814117', '37.64788')",3.3759219877751,0,0,0,4,10,15
"('55.806499', '37.643911')",3.038947412665052,0,0,0,4,12,14
"('55.80527', '37.63897')",3.2448075883191168,0,0,0,5,12,14
"('55.801536', '37.636715')",3.216791908910123,0,0,0,5,12,14
"('55.806565', '37.642662')",3.1099113369147875,0,0,0,4,12,14
"('55.815556', '37.624374')",3.352344656037448,0,0,0,3,12,12
"('55.816045', '37.627247')",3.5332876396735036,0,0,0,4,11,13
"('55.8145435', '37.6248368')",3.3167830973305774,0,0,0,3,12,12
"('55.8158484', '37.6282409')",3.574623351117497,0,0,0,4,11,13
