coords,parks_closest_km,parks_less500m,parks_0.5-1km,parks_1-3km,parks_3-5km,parks_5-10km,parks_10-15km,parks_area_less500m,parks_area_0.5-1km,parks_area_1-3km,parks_area_3-5km,parks_area_5-10km,parks_area_10-15km
"('55.718633', '37.623214')",0.26505993505124886,4,5,67,139,428,493,0.08405734543179533,0.08164972804897008,4.248929783162766,5.428211776327786,129.8626725039027,67.95954144386408
"('55.694784', '37.581559')",0.25424556851745395,3,5,39,87,411,453,0.2391061846952883,0.31253860877553297,8.004260428279453,11.368415730568072,97.02751787182251,97.40308089788832
"('55.726894', '37.574345')",0.13295015157830714,3,11,82,124,424,491,0.13194132424078558,0.42048493376273993,13.427665665845838,5.329904244536193,91.18346180615015,100.20921011443448
"('55.733917', '37.614754')",0.03545563213800562,5,11,102,160,414,520,0.3251025017897526,1.519573261097525,1.8404148621175318,14.574474472550781,111.78615848998356,85.39618438443279
"('55.757214', '37.64955')",0.1172644351572301,7,15,99,151,402,536,0.08776071143798757,0.16303586972812917,1.8884486827450553,10.80461458250734,85.22170268913838,99.43284270701615
"('55.588949', '37.60081')",0.3925149279295016,1,2,16,32,139,219,26.60267911838358,0.16039238161305036,27.70287092012449,13.792090724551954,56.45082445113324,60.03256861023891
"('55.637393', '37.600388')",0.15515376665447922,2,7,24,56,220,439,0.07227335158768515,26.929634044923183,0.9839127296050414,39.90877589907191,53.4452196074955,84.99944356157802
"('55.898916', '37.379034')",0.15442495847239743,2,7,15,19,113,179,5.233146366405254,0.2875956030254132,8.416395246285944,6.735670067050531,30.853313732796796,47.992457763005675
"('55.745083', '37.49736')",0.1715742903183889,6,1,35,93,384,441,4.024894631558739,0.07454817642890177,19.886412339020822,14.280750394183137,46.868435903934234,92.69371410543175
"('55.834421', '37.659596')",0.12333735643010764,4,1,37,60,341,408,0.36156669247685214,3.434457218781409,10.181357692053496,7.108260868614277,45.94005230796171,65.91774346702552
"('55.790975', '37.634182')",0.19130438278130238,1,5,58,141,410,494,0.0006952597109639467,0.36102239804566727,7.870402914671978,8.895159494971853,65.14387993269634,83.68114392004318
"('55.795423', '37.495276')",0.0351203948783884,1,9,40,60,402,425,0.01641120276949587,0.4454640500089224,7.705020447625438,14.397019513236858,62.171672586649734,49.43574092863008
"('55.763265', '37.514994')",0.29418686966896873,1,2,46,105,418,449,0.04933958271660904,1.9545504945463632,11.9522944510341,21.821865044459535,46.69951932488791,120.51327431296093
"('55.7407086', '37.6011763')",0.11553868566201331,6,12,124,136,437,511,0.06810539131884527,1.861725475261336,1.9174228908670923,14.305136397005997,82.42760495024434,112.70031236604042
"('55.763072', '37.58968')",0.12038515004438217,6,22,108,136,427,531,0.271337185380245,0.24281244534479984,2.663637127285651,14.016234095100746,73.40680957418977,111.3935321969928
"('55.760915', '37.554861')",0.21276298993445764,3,7,78,128,425,491,0.10114044308282856,0.31587505587081494,1.4573613168947714,28.48153266468493,39.22270065092172,147.43791845309684
"('55.7182621', '37.4771618')",0.06264926805091828,1,4,40,62,326,393,5.918372941408447,0.21667895775433532,20.020924865741105,13.408296549452015,80.44594188920233,48.83156966867749
"('55.807435', '37.448662')",0.23608247098548624,3,5,41,77,256,440,7.478595730745719,0.058385629214308565,14.768675727574362,13.893336772735402,48.58950072484295,52.636411857343305
"('55.7753205', '37.6300127')",0.1718058786346492,2,11,81,161,404,537,0.01583035953137299,0.4086285456453931,7.933951929983986,4.400525267205086,76.22388861876163,95.05725025584621
"('55.681183', '37.495808')",0.11750251435096962,2,3,39,42,289,389,1.5687423760065256,0.872366704539562,16.57766947085701,14.619675595353108,73.40171410716508,58.74731596651347
"('55.5213774', '37.3160383')",1.6597202195291825,0,0,6,4,19,54,0.0,0.0,0.6782293779715933,0.21841834542327587,3.1959067524219615,11.50124200960619
"('55.77396', '37.586293')",0.40345222061653424,3,8,94,124,447,509,0.05908625425611672,0.07856314728630917,2.7107441838406543,11.79307633258915,53.42848717386978,131.90151666667202
"('55.720798', '37.444099')",0.06626285257188448,7,4,37,45,268,409,6.923064289263575,0.3413894693587123,18.14693812151543,9.85050888230365,55.88235523954079,68.45283330891749
"('55.739352', '37.602606')",0.2701471476517788,6,12,121,141,432,513,0.32561463097621335,1.6042065710284514,2.247530696228896,14.056463863423346,82.98756710294404,112.56822695574567
"('55.76725', '37.584476')",0.22496964951714674,7,7,107,127,434,525,0.2710167018999939,0.11179011662094163,2.3162530942249964,11.10632133982611,55.487347224784145,134.58825528387487
"('55.78564', '37.633266')",0.19605267553775943,2,4,68,149,419,508,0.0030396315034279518,0.34077642443947787,7.899980595430798,8.929786841933154,72.55575226366597,76.96121976455237
"('55.789289', '37.491126')",0.2319402452156074,4,5,46,45,418,408,0.4311501042256144,0.09652253788416765,15.92957533779955,8.504793920173148,61.609693176068596,49.94415852412026
"('55.77854', '37.662956')",0.23128425268674924,1,3,74,139,395,496,0.00448774740289697,0.03330418651533677,8.289044765190544,2.9886446131864286,66.20598751268062,75.16316598141435
"('55.643769', '37.496075')",0.12784919993436367,1,3,21,39,191,344,4.696264118645527,0.2497148357609138,37.92313509581002,8.063488293432918,66.3263642904652,57.810104345804405
"('55.795853', '37.485538')",0.24329997045049,1,7,46,57,391,416,0.006440846618354022,3.932482625233041,12.207867336222664,12.940419196725811,56.62419210929197,53.390246015015805
"('55.893369', '37.602058')",0.5739730963437613,0,5,25,52,150,331,0.0,1.317824338713114,2.784350876688544,8.542372504012565,27.593401656562225,58.89018381509244
"('55.771545', '37.568956')",0.5455993119947868,0,9,81,135,431,501,0.0,0.2942547043247973,2.390263180165076,17.49693789985114,48.993917491797866,134.64303304377557
"('55.886782', '37.38988')",0.24845564551526889,6,8,16,43,114,189,5.29324141970738,0.2645951616176587,12.016964260480894,5.4237107684209604,33.025718616064445,49.85303040253414
"('55.841278', '37.494442')",0.6122309417844315,0,3,45,74,275,434,0.0,0.4589612947613694,7.500500994213873,18.9230464011008,46.3901850327709,51.215121167857745
"('55.742043', '37.552498')",0.04154215548257375,6,7,90,118,439,474,0.06121574140231714,0.2041632795920935,12.670298133598413,17.453822335696223,49.85637169192204,139.25506701039234
"('55.83525', '37.643642')",0.43603345381071174,3,3,43,54,359,389,3.5182396423966824,0.5286027984140218,13.550167211451178,4.266826616883691,55.1775010051951,58.97152140176834
"('55.8134352', '37.5849828')",0.08891072476463201,2,4,27,85,487,368,0.18978507103194464,0.13091664708114875,6.550408268376499,11.074903107167588,54.87906071223607,79.58669894618306
"('55.695625', '37.821663')",0.3159894283418738,3,10,28,57,159,351,12.115168888739442,1.502428158084216,17.086486599469907,15.618853648159394,64.22029090653331,38.79679984934644
"('55.715527', '37.477104')",0.2777390349408811,1,3,41,61,322,389,5.918372941408447,0.2139231725056625,20.230125563336063,13.36303731210447,81.02442572978735,48.075110642794826
"('55.739534', '37.63341')",0.3280356066949096,4,10,108,158,419,512,0.017400777291072218,0.03125097402777596,3.1578675281526,7.034220135859998,98.03059592329865,98.79593569351496
"('55.684929', '37.533966')",0.46585329816972215,2,3,36,67,351,417,0.08648094688412862,0.3396741054757591,7.744390026242528,46.92999265656622,45.32589808814043,108.91160184088213
"('55.6900645', '37.6548865')",0.9359768228763139,0,2,34,69,453,390,0.0,0.16918640953752667,5.2631801871338295,4.588906988573915,118.4187199226707,68.75274215136065
"('55.703599', '37.516463')",0.08361146972630801,3,3,31,86,361,415,0.2687402605072464,0.8419556591538051,14.581232708840355,14.67102273512718,79.67116690605376,72.41684147529908
"('55.806504', '37.449866')",0.15455176128449263,4,4,40,73,261,441,7.49480120927849,0.042180150681537576,14.702250921794779,10.044687067148978,52.42647257659392,49.21883591139118
"('55.702763', '37.64046')",0.42953647801480144,1,1,42,97,456,422,0.11756825436227572,0.008575331653663198,1.296484585337981,12.305987908506141,113.21379160020645,84.20483851618813
"('55.700877', '37.622405')",0.11901790567558922,2,3,47,99,443,450,0.026298627020177875,0.10585265500310573,3.264654464879324,11.64533652021767,89.22599797060633,107.95612593747711
"('55.7220172', '37.6077158')",0.06291291128210356,4,6,78,150,401,506,1.5066751518987727,0.0837605705937241,6.327305320940627,11.119983738025809,87.86828055592022,109.09881764337726
"('55.828217', '37.462414')",0.2453196603124515,2,14,45,78,223,454,3.6821265274333,0.3761896512864462,14.975725595336218,15.69841644951034,43.09929013823746,54.54147976970011
"('55.8170545', '37.7545798')",0.06185670688549792,1,0,24,34,253,383,0.05312994391769466,0.0,18.623953594545835,11.814015343034388,42.04809099215993,48.110071315178885
"('55.763245', '37.624822')",0.36443574797325706,4,16,113,153,402,558,0.022409695069158256,0.23194158756290145,2.300084976207505,11.171579788697457,75.96214666388848,108.91830082006028
"('55.68153', '37.849888')",0.08122770505661579,3,7,17,36,148,219,0.15208021733226795,2.3448982577628366,13.876053080630761,8.697492357650539,57.4187669846688,33.304552676262865
"('55.7355913', '37.5720679')",0.13299158255671567,4,9,98,129,426,498,0.1337550583587052,0.20023312552524283,13.028746018312246,9.75620704174703,87.52271826270564,103.60857345245276
"('55.853178', '37.608212')",0.5133647197604357,0,4,40,68,285,438,0.0,0.3470210339958309,7.4032416203813245,5.237572831714086,40.115063962851366,76.24176583043949
"('55.712766', '37.528064')",0.09721541906385019,4,3,35,104,390,425,7.123115023659323,1.459706055703884,13.679761076443494,14.02915043690254,80.71504280137792,74.70568981975374
"('55.7439839', '37.5919617')",0.09812058888057171,5,16,119,137,435,519,0.010622481595295313,0.25672336648285404,3.8048704992120053,14.479912175246046,54.93560228228344,138.3306903436557
"('55.699886', '37.500745')",0.5941152077477296,0,7,33,74,328,400,0.0,7.930007501697706,7.240272294539635,24.601612169806007,66.50081253556917,82.37487682750145
"('55.5512278', '37.3356786')",0.7449132057585998,0,3,2,4,35,71,0.0,0.48320308028061826,0.1720429048215743,0.9793036768019028,7.06288023969244,47.81910893442814
"('55.740928', '37.622118')",0.02673850142442887,7,7,127,142,432,504,0.07971237839158817,0.3340860828508812,3.1657358623255094,7.1950265652082,96.22214667563188,100.29734434848757
"('55.741683', '37.601726')",0.15168077610728523,4,14,119,140,431,518,0.06523766980307008,1.8726220513134428,1.734529453008643,14.461359060722879,73.24707017841658,119.663072379445
"('55.829598', '37.465955')",0.27173178808326603,2,10,47,70,234,447,3.70141001805481,0.24115929927659652,15.141168635016596,11.990934329406665,47.14877837950835,50.65495339846111
"('55.758402', '37.549282')",0.16191605148220176,4,5,78,129,422,487,0.3050321822882709,0.1347977931368874,3.5799904509091625,27.254143152731398,41.29778502914978,142.741501160754
"('55.756376', '37.54948')",0.06897512264156344,4,8,79,123,428,480,0.3050321822882709,0.22344342393556138,9.54449647506855,20.898729415883537,47.81274705017681,137.69615357590607
"('55.756771', '37.592725')",0.10976566298285416,11,17,117,137,423,525,0.13419457869388215,0.37712308512859916,3.7548379738319104,12.83826339072229,71.41056145967687,114.25284667524159
"('55.779575', '37.706863')",0.19810228297631233,4,11,55,82,406,404,0.045566678943281154,0.21343047946874733,29.25438952194954,2.041559889201533,69.94950037145965,61.82183237047464
"('55.786166', '37.497836')",0.2797239946141616,3,5,36,62,420,426,0.35260898806841384,0.15865245127187239,13.377747629906,11.37956638249543,65.03042089315245,47.27420831534786
"('55.699314', '37.511239')",0.1694616574488575,1,4,37,71,347,405,0.0551264820550791,1.7352826614920598,15.243314884772316,13.693775917542444,77.4093080167311,73.51051644139059
"('55.735175', '37.44064')",0.05151592519213597,3,3,35,39,278,402,10.242726583566128,0.42265222050274254,20.462362808738952,8.226392088703804,50.996105136686076,75.11657074526332
"('55.738292', '37.625972')",0.3187600149397253,5,13,109,160,414,522,0.01574581526494348,0.4041195482159724,2.953825861389154,7.450961894926364,97.45560355803018,99.17425479905951
"('55.76447', '37.652958')",0.1139200011177786,4,11,98,148,404,523,0.07980450013578425,0.12003296504013089,2.11364484279862,10.475353985042169,84.11534570896822,94.80918474902535
"('55.659573', '37.56007')",0.5253785024413126,0,5,31,59,273,461,0.0,0.3067661438830975,29.78341176114021,11.424640781953737,81.42601730975466,69.05715652730822
"('55.76963', '37.47916')",0.18447765936218785,2,3,27,73,379,434,7.444601580605999,0.06281491979443476,17.987756913458643,15.038949094072482,49.60922393491343,91.10522101399046
"('55.763194', '37.62572')",0.36592486270888125,4,17,112,152,403,558,0.022409695069158256,0.24292106014231818,2.295169628980837,11.141458454823917,75.99226799776201,109.08386619043392
"('55.733493', '37.609973')",0.09637305826824769,4,8,106,154,420,517,1.783556737849557,0.03916780953378818,3.380350357763458,14.017282403896289,107.15619333053334,90.21164829786659
"('55.738262', '37.420177')",0.40026251046760497,2,7,32,29,235,381,0.06490206716671779,7.604401633073426,13.109696010233908,14.520839601089442,42.14914336784986,75.61341341627497
"('55.774137', '37.630769')",0.22283398683416444,2,13,85,158,404,538,0.01583035953137299,0.4230142584257177,7.981972176660803,5.507489568421769,82.68960682482222,88.38571477656296
"('55.759384', '37.602894')",0.12567249723316176,11,14,129,127,431,527,0.11691133775464126,0.16119011825364798,4.111937400279552,8.732915302932852,73.36504122377205,113.13959151278335
"('55.810165', '37.651043')",0.36634197230440874,2,6,37,89,419,397,6.715617887332299,0.18974051810822878,12.845972955871948,2.939925609984064,51.40888546425481,89.65355076126187
"('55.768441', '37.62713')",0.16714588132058597,6,11,109,150,407,550,0.08944507000309095,0.17146268715479623,1.9708705227108987,11.469754441555843,76.0539335134298,103.14455713965779
"('55.770157', '37.635998')",0.1710654182340779,4,11,96,151,411,543,0.03244880474740432,0.15942205151602146,8.369891397913412,4.684680513125391,83.1250221353285,97.0053512802178
"('55.71304', '37.500944')",0.061898001145264434,1,3,30,86,345,416,5.918372941408447,0.059771132367739455,14.61849849158507,19.330938347639545,70.75671756567618,77.72075378330794
"('55.73467', '37.616646')",0.12684762168639727,5,11,102,161,414,518,0.3161544252889422,1.5285213375983355,1.7940603429752189,14.645893017885566,88.52563160520012,107.3878096083395
"('55.700444', '37.51071')",0.2202719059099205,2,2,38,72,353,399,0.07837713093862636,0.21361377845216734,16.645484665090425,12.369072590679021,78.65346266398534,72.26636179413636
"('55.807983', '37.450844')",0.21328052208627288,3,9,40,76,260,441,7.478595730745719,3.7560281316277253,11.181696297426576,15.17698934297455,47.450126055334515,53.907719314258564
"('55.754983', '37.647675')",0.027476064175417633,6,17,101,153,405,534,0.04658164761522404,0.34910357315546575,2.0212279887373574,10.707132744456327,85.56871340265292,103.72897773975737
"('55.743923', '37.582655')",0.1793464340659977,5,21,108,136,431,515,0.023553098100317544,0.3231645595077542,11.532287651617269,7.204232559183156,65.63480451881382,125.12039547479581
"('55.809348', '37.450872')",0.123646061136313,2,9,41,79,256,439,1.9078711576047964,9.323833372814669,5.589236987932853,23.93761626627723,38.53954875191457,62.510463708589604
"('55.651811', '37.395635')",0.051562083424775855,6,4,19,18,128,205,0.5072833019333789,0.1951708739255299,7.9282835117018955,14.039921474161012,59.93917826211561,40.66584035849689
"('55.729807', '37.62978')",0.28572444812513104,4,6,88,158,413,522,0.02982643126256815,0.06678844799870476,3.0242842792720848,7.1741909279851015,118.5615848218959,78.6274629111395
"('55.669889', '37.556262')",0.11080324326273092,2,6,31,69,313,444,0.11894085951739128,1.4167944146101534,28.44600943459197,18.76401215277133,73.22655180380288,77.21700517467234
"('55.817837', '37.464825')",0.15892266367612842,2,6,40,81,266,451,3.7161204252289357,0.10138440096252221,12.538235127579163,11.386295255682988,55.57475046540372,46.4199703718326
"('55.642133', '37.601385')",0.07705482811499047,3,5,32,48,241,439,0.14783254991174258,0.3259129062263625,28.12925609047225,12.767465146851396,81.44304731055745,67.46777229698948
"('55.77517', '37.674022')",0.16322559394355474,2,5,80,129,397,483,0.019036148511431882,0.023270043108348733,8.13657872501284,24.02608375129759,56.818873607622706,83.34890290268608
