coords,parks_closest_km,parks_less500m,parks_0.5-1km,parks_1-3km,parks_3-5km,parks_5-10km,parks_10-15km,parks_area_less500m,parks_area_0.5-1km,parks_area_1-3km,parks_area_3-5km,parks_area_5-10km,parks_area_10-15km
"('55.735505', '37.635593')",0.07059872881416487,2,13,92,164,416,518,0.01247754975371025,0.15176044136655373,3.0187607491238695,6.903062725295651,91.80549828565593,104.39961041273857
"('55.732839', '37.622306')",0.20928204706187986,5,13,92,165,404,525,0.027824509594817422,1.8293288030461705,1.5212113069469047,14.864599795170014,112.34998045841479,83.5325527496517
"('55.65044', '37.34142')",0.1412337344335496,2,3,12,15,68,143,0.8346715326894487,0.5876690206560471,3.893847583018766,2.606452207484159,27.303280657514577,63.72561237040598
"('55.776188', '37.586095')",0.2902783286743789,2,5,91,126,443,503,0.050451557845168894,0.05804654388525788,2.6809857647488124,11.846756662036618,53.356925749810436,132.1800058214221
"('55.749626', '37.537427')",0.5679149523788384,0,9,70,107,434,458,0.0,0.43688856876242443,18.013255854555705,13.025744496858145,53.87764361778728,129.52968891398066
"('55.751568', '37.535314')",0.7123556892203462,0,10,63,118,423,469,0.0,0.43910116673216565,17.850274068570847,12.745257982336511,57.40703425786542,118.37098061433575
"('55.702307', '37.515093')",0.09441382350423391,3,2,32,80,359,410,0.2687402605072464,0.8349111464557826,14.567285790605068,10.676624774126596,83.5093803975004,68.08264011299141
"('55.765154', '37.603586')",0.03587984992479082,6,18,108,136,426,542,0.11412870554080574,0.20042520527673185,2.3270615301771085,11.412799783072007,70.8301277468951,110.01099900761912
"('55.716846', '37.508022')",0.09894628269991232,2,3,35,90,373,410,5.947848912194616,0.23358890451882797,14.683176874154913,17.658437209348758,76.22693099717081,74.63223811758111
"('55.6255029', '37.3040935')",0.678686297618711,0,4,9,13,35,122,0.0,2.186879284229084,2.867914115903324,4.037851621001496,16.589548046936123,52.01489498333823
"('55.69731', '37.473725')",0.48925280370000584,2,7,24,70,264,405,0.4194729329462665,6.3764969241186655,4.7722246961783945,32.38652455197135,57.10620566428402,60.41338278244504
"('55.772684', '37.729664')",0.7469971802615952,0,5,51,79,371,407,0.0,0.13825234278080425,22.854743928501343,9.130141460870739,62.18648039770776,61.54837006544492
"('55.543419', '37.482277')",1.1573841553773343,0,0,13,9,60,130,0.0,0.0,2.1083692601064175,29.893733901253047,11.443235150284952,61.992913025814886
"('55.742954', '37.58051')",0.11148960175330182,5,17,110,132,435,506,0.023964720489014744,0.2813607334900162,12.887899588380115,5.808074911418444,66.91005633298893,122.91319247611354
"('55.7119655', '37.9285327')",0.19545471878546763,1,4,9,12,72,150,0.2060427735931752,2.5831255231432246,1.2702661344705795,4.83199340375427,45.35046801708907,23.062420585354687
"('55.817612', '37.745424')",0.5593005716995471,0,1,21,39,277,377,0.0,0.05312994391769466,18.138972248373378,12.250339857772328,42.00612749779488,49.81676455023616
"('55.625831', '37.641575')",0.8562871700452657,0,2,24,50,210,367,0.0,0.28617792875275316,14.416501530554143,35.8839884874158,52.058562787388844,80.6609632450837
"('55.757906', '37.606137')",0.09070184891509205,8,16,126,135,420,541,0.09670806527208733,0.1760214873545851,3.8473620526657863,9.066880298413349,75.44344416629012,112.50787427318006
"('55.790712', '37.474444')",0.3385805550420334,1,7,38,58,378,415,0.033524855421964664,0.6156236776014625,15.23114915613934,9.236125537807334,58.6318960578519,51.52024552801834
"('55.7742587', '37.546541')",0.1426360700270906,2,3,53,144,419,484,0.018821633361078203,0.02244446815353467,4.712509845085469,24.39341224066962,43.85992417867078,145.83890039922338
"('55.740451', '37.592716')",0.07422281911003659,8,11,121,135,433,517,0.017638128425324036,1.9742058209556996,4.021790403098201,14.227924237872976,53.78034636941816,138.06987085304007
"('55.748577', '37.598557')",0.07021588980127154,5,15,130,132,433,520,0.07645865239078366,0.09256457106020761,4.004978110278833,11.96295114802829,74.98424431276833,112.51208815330124
"('55.7538036', '37.5246841')",0.2193026151782872,1,4,54,115,417,463,0.006587794121540338,0.1357826242182852,19.96818508378516,8.953640248794148,56.94725691624012,118.7818381339033
"('55.783539', '37.742016')",0.17442946838168918,3,2,48,56,333,406,21.097951735902555,0.013818424975671206,23.20959549653672,8.449328135724755,59.603321433535044,51.1190406611523
"('55.747323', '37.396371')",0.08425653669097138,2,2,20,28,179,378,2.8995332504204554,0.933214510501263,12.882703024340053,12.751983121151898,43.24698648563245,50.75094736148185
"('55.717589', '37.511643')",0.18277043746866284,2,5,35,96,376,415,5.947848912194616,0.45410350353649953,15.211529277411547,17.02411841006906,76.95515105673546,74.03157333030778
"('55.7498574', '37.6055674')",0.2439028974548476,4,12,132,133,427,530,0.07409543921864224,0.19442727794751286,3.673296474307538,12.23507473643788,74.918662462623,114.54396616587904
"('55.745868', '37.597926')",0.12358975527892542,5,14,125,133,436,515,0.06563794382692012,0.08487017814109477,3.9881837630897734,12.27454183561924,74.80124081867072,116.82441877375058
"('55.715753', '37.753964')",0.343522580465558,1,4,35,70,343,383,0.033551462317328466,0.3009219111471773,22.558759303805303,24.941642167060394,67.31695777909187,87.33658584667086
"('55.714699', '37.504701')",0.07823928929477166,3,3,33,83,364,407,5.954893424892639,0.41633223356218707,14.35258022326273,18.75705829784798,75.06649474137207,75.21738396538264
"('55.806687', '37.542949')",0.852003147760971,0,1,40,74,462,402,0.0,0.026656151997563972,2.9698583979948445,7.9837840498152115,67.75471112584833,61.809465046106084
"('55.76317', '37.508592')",0.05763759800180686,3,0,46,92,414,442,2.003890077262972,0.0,13.92481579804664,23.309909171773683,41.35396849256534,103.98378638315432
"('55.76643', '37.6137')",0.15471594938700142,7,16,109,148,405,559,0.1171210489861232,0.3267396390067371,1.8273895770756292,11.876500217189072,67.35539802755176,118.05912346981404
"('55.771211', '37.676134')",0.1178199445832454,4,4,83,121,403,475,0.028070619891138307,0.285264413611088,7.877815528013397,24.15345821108041,58.19838978741183,86.8528869976636
"('55.8088116', '37.5776144')",0.04877611624713876,2,4,29,90,482,386,0.14411714011075005,0.16727511983455884,3.1324941260559735,13.90257747107701,52.50569497486951,83.38206707503288
"('55.692318', '37.597594')",0.35750915438440606,1,3,42,81,436,432,0.06704416863398453,0.23225130961556756,5.2369151275038845,10.891215615946741,99.8930517360194,97.60365094687728
"('55.758068', '37.419117')",0.07485209785889281,2,4,14,51,221,422,2.892697590825486,0.9534187196606383,16.79476305730355,9.550083879089673,44.827275509693166,55.09999797122548
"('55.730101', '37.630939')",0.309496341385156,3,6,90,156,415,521,0.01465231470466787,0.06610140468939682,3.048717221454341,6.749297548768192,119.19079308341982,77.99962457055385
"('55.67638', '37.642')",0.34338056850471,1,2,30,73,400,396,0.031024845630967596,0.07496951246391391,6.1301266137601464,2.95989570585236,101.47020200210429,79.60316687248837
"('55.675346', '37.541386')",0.04424169281275118,1,5,30,67,323,431,0.08133506186966809,1.1966810024486902,5.980615486655136,51.54249149926703,36.02851591193567,122.3090541138456
"('55.749633', '37.577561')",0.1532417088034993,7,17,104,145,425,512,0.07064614358082084,0.1547574414817975,3.8180224959370124,17.45197689301903,50.82248292151876,136.12585446247553
"('55.781626', '37.734578')",0.23383183699053836,1,6,47,59,363,396,0.005245715046574819,21.156595588965942,1.91333940434804,29.68863370809745,40.967781222284536,74.4843626228438
"('55.746227', '37.63473')",0.09981593990411892,5,13,117,140,425,516,0.1565008510536563,0.16714839168340884,3.2346929824007824,3.32998972973663,98.35620453218887,99.56596776295127
"('55.725534', '37.570501')",0.23621816725349729,4,9,80,120,425,483,0.1393748742129126,2.209065590637167,11.783552556810994,6.908071739417023,89.58693739719888,101.49570301063216
"('55.76565', '37.594926')",0.1034271239650032,5,17,102,142,418,545,0.03884096643192565,0.49212135831886666,1.9222010786027943,11.828622610991264,72.24405734059766,109.70127042933802
"('55.768405', '37.626187')",0.11992397036791841,6,11,110,148,409,548,0.08944507000309095,0.2167472911296952,1.9332922737987346,11.579621132009262,75.94406682297638,103.23476919366071
"('55.790529', '37.569063')",0.10749864581431905,3,3,45,119,454,456,0.288455197983507,0.404284816031603,1.8396288821279743,5.650324228609919,62.28965007545841,83.85734080089318
"('55.76705', '37.61186')",0.036071622251443905,5,18,106,145,408,557,0.10828906473606521,0.3359651354700124,1.8276757220943902,11.733419571227186,67.48884368626028,113.85344758019096
"('55.757492', '37.399048')",0.024681183154730592,3,2,16,40,188,389,3.7260649735497444,0.11210778347703876,17.636073993487148,8.10954205214087,44.382603992290356,51.3221248808606
"('55.863544', '37.47846')",0.3353444987315521,1,3,37,56,240,316,0.08531944169501075,0.8244872487033499,7.982827425425078,17.3173120511166,39.38905553455905,48.53629143004012
"('55.747652', '37.61777')",0.15820956114392581,3,9,138,129,436,516,0.07607453385056634,0.19499043867492732,3.6086590694198026,6.4887361358510685,95.53674057242111,101.32077664460755
"('55.74446', '37.613018')",0.11643556110864285,4,8,137,129,434,515,0.0921017892512692,0.49917824173904646,3.4035573004642474,12.290094715195405,82.78069170043982,113.8992080759338
"('55.784997', '37.526636')",0.037742946250663476,2,1,42,96,441,441,0.8725131906974497,0.00843024071870202,4.716340916413879,16.037257987609593,54.11680994803403,81.5116321395919
"('55.809085', '37.448482')",0.05564764050203921,3,4,47,72,258,430,7.478595730745719,0.04759770941609087,14.935502072243157,14.582920941248233,47.821397140470275,53.110677428150645
"('55.723004', '37.575468')",0.06297054075378902,3,10,69,128,414,490,0.13194132424078558,3.488358664229876,10.12338212763014,8.707129396823735,85.72341324708427,106.18031544111119
"('55.697238', '37.476732')",0.30304356771994884,1,9,23,71,275,397,0.3564953012935775,0.6044708265686325,10.381589537294607,26.787855656121437,62.85135260463446,54.80736029496731
"('55.759897', '37.644477')",0.027322848868502156,6,16,104,147,400,544,0.07822939963757986,0.13080997186814083,2.276009987947471,10.452340945762787,83.84975300061798,101.44564464792406
"('55.822979', '37.526735')",0.2533752200407062,3,5,28,87,371,443,0.08865950237528317,0.1512013517526096,5.35735579805986,7.174073254047718,66.75180052912444,58.047608475283056
"('55.64191', '37.34936')",0.22287008609321682,2,5,12,20,65,149,0.5468870589049671,0.7047572397570431,3.876424639876053,3.6222614356796066,27.211662162243318,59.73626794118711
"('55.731891', '37.539922')",0.01416189896336595,2,7,64,110,422,455,7.223929260241353,2.197789881361401,11.470932808801454,20.230428544206433,75.83040413596541,112.32539215329314
"('55.69316', '37.470599')",0.16120040611087158,2,10,22,68,245,409,0.09129662910498348,7.968611107957685,3.3469325753123407,31.900942521192537,56.648526096361365,60.808592586235704
"('55.738698', '37.593039')",0.11051876931647808,7,10,117,138,431,518,0.024849257497442278,1.9592711243863776,5.206554637596257,12.904848443789168,55.19787437505395,136.91863801163282
"('55.763933', '37.60929')",0.20886790199219749,9,13,119,134,419,546,0.13172156437869464,0.2028897475358441,2.270375305786962,11.347653007395474,67.993318146397,116.41317720694784
"('55.77796', '37.600594')",0.13226573457331536,2,12,84,143,438,513,0.051045888491321745,0.22959566081827087,1.8564576632917569,13.41187985318845,70.29501005567137,111.15698158728519
"('55.71268', '37.517698')",0.2952199689238465,3,4,33,96,376,417,0.4001260973766625,6.764946605682638,8.775906906312134,19.646338511568395,71.3092934784101,84.1012714201508
"('55.900103', '37.585745')",0.13650479181770483,5,3,24,40,161,265,1.2878875935951657,0.41015970345596053,3.927715941180022,6.296933615923223,23.370938898534867,43.86446169071841
"('55.701262', '37.651583')",0.29348462534297687,2,4,31,95,454,413,0.019941516741020997,0.20429152119475052,0.8467730792244119,10.212667688645192,117.05893381043012,72.99895324627255
"('55.904835', '37.38836')",0.03352270896245739,7,2,23,11,118,171,5.414238170991938,0.08483386412219929,9.003487875132935,6.131893031629373,31.436281825223432,46.47423817589521
"('55.643658', '37.539455')",0.6435903322657548,0,4,18,64,191,446,0.0,26.74679263168901,8.023699160265444,35.61900583205238,54.5792473776858,89.09681846755196
"('55.5677654', '37.4416839')",1.845501641399775,0,0,5,7,84,129,0.0,0.0,0.2649305451922281,1.0478128176360755,50.84274842263078,31.415258026242668
"('55.841561', '37.495863')",0.5191844621626611,0,3,42,73,275,432,0.0,0.4589612947613694,7.402770469197545,13.420037023269064,51.885250857143305,45.67715821497009
