OrgType,geoData
организация дополнительного профессионального образования,"{coordinates=[[[[37.65201246, 55.742196123], [37.65197173, 55.742240301], [37.651971233, 55.742261271], [37.652188294, 55.742313836], [37.652229024, 55.742267422], [37.652224553, 55.74224785], [37.65201246, 55.742196123]]], [[[37.652397978, 55.742030421], [37.652232078, 55.742242361], [37.652233072, 55.742265288], [37.652190355, 55.742313939], [37.652187375, 55.74235588], [37.652372149, 55.742398379], [37.652582752, 55.742118776], [37.652578779, 55.742097526], [37.652406919, 55.742061736], [37.652397978, 55.742030421]]], [[[37.65553645, 55.765632821], [37.6556117, 55.765667611], [37.655661619, 55.765632821], [37.655786789, 55.765689826], [37.655909724, 55.765605996], [37.655909685, 55.765576709], [37.655587114, 55.765429531], [37.655467904, 55.765512943], [37.655466414, 55.765540188], [37.655562527, 55.765587553], [37.65554092, 55.765601804], [37.65553645, 55.765632821]]], [[[37.735185921, 55.809772218], [37.735380381, 55.809772972], [37.735383064, 55.80918288], [37.735179216, 55.809183634], [37.735185921, 55.809772218]]]], type=MultiPolygon}"
профессиональная образовательная организация,"{coordinates=[[[[37.665028352, 55.608547529], [37.665422589, 55.608122712], [37.665399157, 55.608108679], [37.665332102, 55.608088479], [37.664797896, 55.608174331], [37.664719665, 55.608185694], [37.664674961, 55.608214732], [37.66453191, 55.608361186], [37.664527673, 55.608398271], [37.665028352, 55.608547529]]], [[[37.613438065, 55.614424651], [37.61343583, 55.614471358], [37.613659347, 55.614930844], [37.613835926, 55.614899772], [37.613818138, 55.614804721], [37.61375993, 55.614670806], [37.614052738, 55.614625362], [37.614184613, 55.614913172], [37.614417072, 55.614872778], [37.614405896, 55.614828596], [37.614386766, 55.614778914], [37.614142145, 55.614250449], [37.613947685, 55.614280745], [37.613907452, 55.614285794], [37.613900746, 55.614332501], [37.614017129, 55.614543829], [37.613719697, 55.614590017], [37.613628055, 55.61439183], [37.613438065, 55.614424651]]]], type=MultiPolygon}"
профессиональная образовательная организация,"{coordinates=[[[[37.788225052, 55.804756935], [37.788207171, 55.80513491], [37.788368103, 55.805136585], [37.788382011, 55.804959043], [37.78892342, 55.804967976], [37.788931367, 55.804764193], [37.788225052, 55.804756935]]], [[[37.727132806, 55.767043669], [37.727307149, 55.767092289], [37.727410712, 55.766980379], [37.727499977, 55.767007668], [37.727823475, 55.766654706], [37.72782422, 55.766583871], [37.727778771, 55.766570039], [37.72782869, 55.766512616], [37.727823475, 55.766443457], [37.727655091, 55.766397351], [37.727546313, 55.76651094], [37.727553764, 55.766578422], [37.727599957, 55.766592254], [37.727337697, 55.766889426], [37.727237859, 55.766859667], [37.727129826, 55.766977864], [37.727132806, 55.767043669]]], [[[37.778416263, 55.791070521], [37.778301027, 55.791054883], [37.778247383, 55.791155414], [37.77824937, 55.79121685], [37.778563288, 55.791262647], [37.778787798, 55.790777862], [37.778785812, 55.790720893], [37.778459973, 55.790678446], [37.77841825, 55.790781213], [37.778420236, 55.790833713], [37.778525538, 55.790849351], [37.778416263, 55.791070521]]], [[[37.571784407, 55.785748716], [37.57204324, 55.785640127], [37.57204324, 55.785580554], [37.571657002, 55.785290227], [37.57190913, 55.785183899], [37.571803182, 55.785100194], [37.571286857, 55.785317375], [37.571284175, 55.78537167], [37.571458519, 55.785502128], [37.571588606, 55.785448587], [37.57169053, 55.785527767], [37.571611404, 55.785561701], [37.571611404, 55.785619766], [37.571784407, 55.785748716]]], [[[37.779991403, 55.799392017], [37.779983059, 55.799595046], [37.780719772, 55.799601077], [37.780723348, 55.799398718], [37.779991403, 55.799392017]]], [[[37.796011716, 55.809771464], [37.796682268, 55.809791059], [37.796715796, 55.809352447], [37.796580344, 55.809347926], [37.796564251, 55.809583058], [37.796015739, 55.809567232], [37.796011716, 55.809771464]]], [[[37.707492113, 55.816292021], [37.707307041, 55.81627243], [37.707095146, 55.816337231], [37.706958354, 55.81630257], [37.70662576, 55.81705606], [37.70662576, 55.817117845], [37.707001269, 55.817392111], [37.707140744, 55.817408688], [37.707492113, 55.816292021]]]], type=MultiPolygon}"
профессиональная образовательная организация,"{coordinates=[[[37.348869324, 55.849869531], [37.348855019, 55.850036562], [37.349561691, 55.850057441], [37.349550247, 55.850140957], [37.349458695, 55.850137745], [37.34941864, 55.850552106], [37.349933625, 55.850566561], [37.34997654, 55.850153805], [37.349656105, 55.850142563], [37.349661827, 55.850063866], [37.350133896, 55.85007832], [37.35014534, 55.849917713], [37.348869324, 55.849869531]]], type=Polygon}"
профессиональная образовательная организация,"{coordinates=[[[[37.606452942, 55.71567655], [37.606515885, 55.715665269], [37.6065588, 55.715710394], [37.606873513, 55.715639483], [37.606884957, 55.715578241], [37.607036591, 55.715533116], [37.607068062, 55.715500884], [37.607070923, 55.71538807], [37.607125283, 55.715384847], [37.607125283, 55.715305877], [37.607045174, 55.715115704], [37.606887818, 55.715131821], [37.606890679, 55.715178558], [37.606819153, 55.715186616], [37.60681057, 55.715255916], [37.606873512, 55.715421914], [37.606415749, 55.715517], [37.606415749, 55.715586299], [37.606452942, 55.71567655]]], [[[37.724225554, 55.622589132], [37.724150054, 55.622728801], [37.723785473, 55.622674953], [37.723731828, 55.622766382], [37.723730835, 55.622803964], [37.724560333, 55.622934658], [37.72461199, 55.622837058], [37.724612984, 55.622802281], [37.724255356, 55.622741141], [37.724326881, 55.622604277], [37.724793785, 55.622677196], [37.72485935, 55.622555476], [37.724861337, 55.622506676], [37.723836137, 55.622338399], [37.723766598, 55.622466851], [37.723771565, 55.622514529], [37.724225554, 55.622589132]]], [[[37.606384277, 55.715525058], [37.606372833, 55.715494437], [37.606470108, 55.715481544], [37.606481552, 55.715423526], [37.606401444, 55.715228519], [37.605989456, 55.715275256], [37.605998039, 55.715341333], [37.606169701, 55.715828041], [37.606452942, 55.715799032], [37.606472969, 55.715761965], [37.606364251, 55.715539563], [37.606384277, 55.715525058]]]], type=MultiPolygon}"
профессиональная образовательная организация,"{coordinates=[[[[37.773530781, 55.714432364], [37.773406059, 55.71457968], [37.7734074, 55.714621986], [37.773497254, 55.714645405], [37.773538828, 55.7145963], [37.774316589, 55.714796536], [37.77430594, 55.714810096], [37.774306158, 55.714853195], [37.77439482, 55.714877118], [37.774517834, 55.714730017], [37.774517834, 55.71468469], [37.773530781, 55.714432364]]], [[[37.770205956, 55.713509349], [37.770113755, 55.713627393], [37.770115431, 55.713696331], [37.770755808, 55.713859704], [37.770855725, 55.713737327], [37.770859744, 55.713667056], [37.770205956, 55.713509349]]], [[[37.661217628, 55.593678344], [37.660863974, 55.593648032], [37.660828211, 55.593783875], [37.661678571, 55.593855725], [37.6617044, 55.593716515], [37.661326903, 55.59368508], [37.66136664, 55.593543624], [37.661845464, 55.593586285], [37.6618852, 55.593456055], [37.6618852, 55.593413393], [37.660830198, 55.593323579], [37.660792448, 55.593434724], [37.660794435, 55.593496471], [37.661259351, 55.593536887], [37.661217628, 55.593678344]]]], type=MultiPolygon}"
профессиональная образовательная организация,"{coordinates=[[[[37.59884119, 55.59876252], [37.598849237, 55.598715543], [37.598747313, 55.598510962], [37.597915828, 55.598635226], [37.597910464, 55.598680688], [37.59801507, 55.598888299], [37.59884119, 55.59876252]]], [[[37.598750144, 55.599109716], [37.598745376, 55.599146085], [37.598926574, 55.599505736], [37.59956792, 55.599412793], [37.59956792, 55.599372383], [37.59939149, 55.599010036], [37.598750144, 55.599109716]]], [[[37.598323524, 55.598953461], [37.598098218, 55.598988315], [37.598084807, 55.599032262], [37.598358393, 55.599624778], [37.598597109, 55.599586893], [37.598594427, 55.599539917], [37.598688304, 55.599526278], [37.598669529, 55.599477786], [37.598774135, 55.599465663], [37.598736584, 55.59937474], [37.598827779, 55.599359586], [37.598768771, 55.599238355], [37.59847641, 55.599279271], [37.598323524, 55.598953461]]], [[[37.664465904, 55.710922905], [37.664463043, 55.710880998], [37.664222717, 55.710858433], [37.664099693, 55.711262996], [37.663857937, 55.711235595], [37.663916588, 55.711025255], [37.663633347, 55.710997049], [37.663584709, 55.711156617], [37.663521767, 55.711149364], [37.663470268, 55.711291202], [37.663473129, 55.711333109], [37.664309979, 55.711417728], [37.664465904, 55.710922905]]]], type=MultiPolygon}"
профессиональная образовательная организация,"{coordinates=[[[[37.532559872, 55.811742642], [37.533257961, 55.811753092], [37.533263683, 55.811523197], [37.532564163, 55.811513551], [37.532559872, 55.811742642]]], [[[37.6835078, 55.775936413], [37.683392465, 55.775879088], [37.682933807, 55.776218512], [37.682944536, 55.77634523], [37.683062553, 55.776401046], [37.683078647, 55.776382943], [37.683220804, 55.77644781], [37.68366605, 55.776114422], [37.683505118, 55.776048046], [37.6835078, 55.775936413]]], [[[37.581281215, 55.804362334], [37.581281215, 55.804426652], [37.581543475, 55.804456131], [37.581586391, 55.804281936], [37.581703216, 55.804280596], [37.581786662, 55.804055481], [37.581784278, 55.803983123], [37.581867725, 55.803692347], [37.581510097, 55.803653488], [37.581281215, 55.804362334]]], [[[37.691352596, 55.781825915], [37.692155309, 55.781853652], [37.692169465, 55.781703657], [37.691364058, 55.781680194], [37.691352596, 55.781825915]]], [[[37.69263722, 55.781553203], [37.692627683, 55.78171141], [37.692698538, 55.781713799], [37.692707554, 55.781555214], [37.69263722, 55.781553203]]], [[[37.691600949, 55.781699662], [37.691876124, 55.781708041], [37.691887051, 55.781610279], [37.691608896, 55.781638211], [37.691600949, 55.781699662]]], [[[37.692916759, 55.782000295], [37.693846591, 55.782015797], [37.693853011, 55.78188122], [37.692919739, 55.781860356], [37.692916759, 55.782000295]]], [[[37.683570161, 55.776417137], [37.683566585, 55.776489546], [37.683748975, 55.776575365], [37.684029117, 55.77637892], [37.684029117, 55.776362159], [37.684123293, 55.776293101], [37.6841221, 55.7762341], [37.683821693, 55.776101348], [37.683715597, 55.776177781], [37.683716789, 55.776230748], [37.683781162, 55.776259578], [37.683570161, 55.776417137]]], [[[37.564387889, 55.884526106], [37.564310403, 55.885138985], [37.564636242, 55.885153471], [37.564664057, 55.884943979], [37.56508725, 55.884962923], [37.565073343, 55.885092184], [37.565196526, 55.885096641], [37.565182618, 55.885223673], [37.565574022, 55.885233702], [37.565587929, 55.885099984], [37.565448852, 55.885093298], [37.565522364, 55.884494905], [37.565275998, 55.884487104], [37.565236262, 55.884751201], [37.56469386, 55.884732257], [37.564715715, 55.884533907], [37.564387889, 55.884526106]]], [[[37.692390748, 55.781974737], [37.692921229, 55.781984373], [37.692925165, 55.781861109], [37.692398198, 55.781852814], [37.692390748, 55.781974737]]], [[[37.533129224, 55.811877194], [37.533129224, 55.811945296], [37.533148031, 55.812048241], [37.534429531, 55.811904224], [37.534286481, 55.811455421], [37.534076938, 55.811477514], [37.53418224, 55.811757737], [37.533129224, 55.811877194]]], [[[37.534810156, 55.812284717], [37.534819543, 55.812224431], [37.534769922, 55.812092555], [37.533825785, 55.812200317], [37.533819079, 55.812231967], [37.533723861, 55.812243271], [37.533714473, 55.812215388], [37.533233017, 55.812269646], [37.533238381, 55.812326917], [37.533282638, 55.812458039], [37.534810156, 55.812284717]]], [[[37.693527088, 55.781483113], [37.693500266, 55.781514856], [37.693411753, 55.781590433], [37.69355391, 55.781652407], [37.693502948, 55.78169473], [37.693502948, 55.781734031], [37.693663881, 55.781806585], [37.693773851, 55.781726473], [37.694047437, 55.781836816], [37.694785044, 55.781289633], [37.694951341, 55.781353119], [37.695286617, 55.781106734], [37.695283935, 55.781061386], [37.694316925, 55.780646227], [37.693638326, 55.781160164], [37.693606139, 55.781143537], [37.693434478, 55.781267486], [37.693445207, 55.781321902], [37.693689288, 55.781429223], [37.693850221, 55.781309809], [37.693863632, 55.781288647], [37.694375933, 55.780907731], [37.694689752, 55.781046796], [37.693893136, 55.781637817], [37.693527088, 55.781483113]]], [[[37.69285803, 55.781491588], [37.692983199, 55.781471477], [37.693048764, 55.781415612], [37.692862003, 55.781446896], [37.69285803, 55.781491588]]], [[[37.692357928, 55.781854964], [37.692546676, 55.78185664], [37.692557007, 55.781740818], [37.692624062, 55.781741656], [37.692630023, 55.781598364], [37.692363292, 55.78159585], [37.692357928, 55.781854964]]], [[[37.532427653, 55.811884562], [37.532420202, 55.812049234], [37.532422189, 55.812061793], [37.532617891, 55.812063189], [37.532621827, 55.81188444], [37.532427653, 55.811884562]]], [[[37.692072819, 55.78157676], [37.692309251, 55.781534862], [37.69225362, 55.781414753], [37.692017188, 55.781456093], [37.692072819, 55.78157676]]], [[[37.693864932, 55.781880661], [37.693857978, 55.782016411], [37.694707345, 55.78203317], [37.694715292, 55.781822563], [37.694524557, 55.781822004], [37.694521577, 55.781892952], [37.693864932, 55.781880661]]], [[[37.692759266, 55.781722008], [37.692999572, 55.781812045], [37.693072587, 55.781753387], [37.69310239, 55.781765957], [37.693313986, 55.781596688], [37.693315476, 55.781544734], [37.693421275, 55.781584957], [37.693562836, 55.781473507], [37.693561346, 55.781415687], [37.693196267, 55.78127407], [37.693053216, 55.7813939], [37.693062157, 55.78145591], [37.69276324, 55.78170022], [37.692759266, 55.781722008]]], [[[37.692633644, 55.78154851], [37.692707554, 55.781551862], [37.692860141, 55.781526388], [37.692863718, 55.781490858], [37.692963854, 55.781475439], [37.693036571, 55.781415106], [37.692690864, 55.781480132], [37.69265987, 55.781468736], [37.692633644, 55.781472758], [37.692633644, 55.78154851]]], [[[37.692402631, 55.78185664], [37.691938709, 55.781849378], [37.691931755, 55.781910828], [37.692397664, 55.781921442], [37.692402631, 55.78185664]]], [[[37.694521577, 55.780935432], [37.694142094, 55.781191853], [37.6941411, 55.781210847], [37.694264283, 55.781269505], [37.694657674, 55.781000794], [37.694521577, 55.780935432]]], [[[37.572378159, 55.882920401], [37.572401047, 55.882775175], [37.571824551, 55.882739871], [37.571770191, 55.883016683], [37.572342396, 55.883052789], [37.57235527, 55.882983787], [37.572433949, 55.882989403], [37.572379589, 55.883254178], [37.572378159, 55.88332318], [37.572669983, 55.883339227], [37.572751522, 55.882930831], [37.572750092, 55.882859422], [37.572455406, 55.882844979], [37.572441101, 55.882926017], [37.572378159, 55.882920401]]]], type=MultiPolygon}"
профессиональная образовательная организация,"{coordinates=[[[[37.696383141, 55.613468178], [37.696852527, 55.613543289], [37.696915112, 55.613413896], [37.696921818, 55.613370344], [37.695890285, 55.613204974], [37.695828817, 55.613321743], [37.695829935, 55.613379181], [37.696262441, 55.613448611], [37.696190357, 55.613589267], [37.695841111, 55.613535083], [37.695793055, 55.613646802], [37.695791937, 55.613682148], [37.696613364, 55.613810909], [37.696664773, 55.613714339], [37.696668125, 55.613664475], [37.696314968, 55.613609563], [37.696383141, 55.613468178]]], [[[37.715972206, 55.62112203], [37.715963266, 55.621128341], [37.715851507, 55.62138455], [37.715898446, 55.621390861], [37.715829155, 55.621515809], [37.715525171, 55.621457752], [37.715230128, 55.622032008], [37.715212247, 55.622102685], [37.715500585, 55.622145596], [37.715458116, 55.622235204], [37.715406707, 55.622227631], [37.715265891, 55.622495192], [37.715277067, 55.622540627], [37.71569281, 55.622606255], [37.715851507, 55.622298308], [37.71582245, 55.62229326], [37.715871623, 55.622207438], [37.716153255, 55.622247825], [37.716459474, 55.621650855], [37.71647065, 55.621614254], [37.716191253, 55.621575128], [37.716247133, 55.621443869], [37.716294071, 55.621452704], [37.716403595, 55.621221737], [37.716419241, 55.62118766], [37.715972206, 55.62112203]], [[37.716115257, 55.621643282], [37.715900681, 55.622076181], [37.715585521, 55.622029484], [37.715820214, 55.62159406], [37.716115257, 55.621643282]]], [[[37.714445582, 55.623873839], [37.715168953, 55.623996643], [37.715616814, 55.623096421], [37.714861325, 55.622962642], [37.714441112, 55.623825882], [37.714445582, 55.623873839]]]], type=MultiPolygon}"
профессиональная образовательная организация,"{coordinates=[[[[37.651176229, 55.884642581], [37.651129737, 55.884775632], [37.651134506, 55.884817754], [37.651605383, 55.884865224], [37.651558891, 55.885011646], [37.651179805, 55.884972867], [37.651147619, 55.885071819], [37.651151195, 55.885109929], [37.651999965, 55.885194171], [37.652038112, 55.885088534], [37.652033344, 55.885058447], [37.651670948, 55.885022343], [37.651715055, 55.884875253], [37.652188316, 55.884926066], [37.652228847, 55.88479101], [37.652227655, 55.884749557], [37.651176229, 55.884642581]]], [[[37.627838552, 55.804032199], [37.627833188, 55.80410908], [37.627972662, 55.804185961], [37.628687471, 55.803797787], [37.628692836, 55.803724674], [37.628553361, 55.803647039], [37.627838552, 55.804032199]]], [[[37.650787384, 55.884465737], [37.650787384, 55.884517887], [37.651159316, 55.884556666], [37.651171237, 55.88451655], [37.65151456, 55.884552655], [37.651576549, 55.884384167], [37.651574165, 55.884346725], [37.651242763, 55.884310621], [37.651347667, 55.883976317], [37.651347667, 55.883929514], [37.650997192, 55.883898758], [37.650987655, 55.883937538], [37.651037723, 55.884075271], [37.65097335, 55.8842919], [37.650844604, 55.884281202], [37.650787384, 55.884465737]]], [[[37.628706247, 55.803414132], [37.628704906, 55.803485738], [37.628840357, 55.803565635], [37.629553825, 55.803177455], [37.629556507, 55.803103587], [37.629422396, 55.803026704], [37.628706247, 55.803414132]]], [[[37.649312496, 55.886063569], [37.649414063, 55.886062767], [37.649412632, 55.886018641], [37.65030241, 55.885998584], [37.65030241, 55.886041105], [37.650403977, 55.886038698], [37.650392532, 55.885849357], [37.649299622, 55.885873426], [37.649312496, 55.886063569]]], [[[37.648636401, 55.88373779], [37.648681998, 55.88356629], [37.647617161, 55.883463992], [37.647574246, 55.883584343], [37.647574246, 55.883635492], [37.648059726, 55.883679119], [37.648011446, 55.883822035], [37.647630572, 55.883788939], [37.647590339, 55.88388221], [37.647593021, 55.883939377], [37.647920251, 55.883970968], [37.647893429, 55.884034152], [37.647753954, 55.884019108], [37.647571564, 55.884118397], [37.64757961, 55.884162023], [37.647745907, 55.88426432], [37.647933662, 55.884348564], [37.647939026, 55.884402721], [37.648075819, 55.884393695], [37.648156285, 55.88442679], [37.648212612, 55.884441834], [37.648285031, 55.884456878], [37.648290396, 55.884526078], [37.648488879, 55.88452006], [37.648443282, 55.884049196], [37.648252845, 55.884056717], [37.648239434, 55.884110875], [37.648167014, 55.884115388], [37.648156285, 55.884062735], [37.648108006, 55.884058222], [37.648129463, 55.88399203], [37.648446634, 55.884021741], [37.648475468, 55.883921324], [37.64847815, 55.883873184], [37.64811337, 55.883832566], [37.64816165, 55.883691154], [37.648636401, 55.88373779]]], [[[37.671169639, 55.877555043], [37.671901882, 55.87781835], [37.671995759, 55.877717541], [37.671990395, 55.877675412], [37.671687305, 55.877568584], [37.671840191, 55.877442196], [37.672253251, 55.877591154], [37.672390044, 55.877482821], [37.672395408, 55.877439187], [37.671496868, 55.877102149], [37.671360075, 55.877218006], [37.671360075, 55.87726164], [37.671727538, 55.877403076], [37.671585381, 55.877530969], [37.671266198, 55.877415113], [37.671169639, 55.877506895], [37.671169639, 55.877555043]]], [[[37.709290155, 55.886730767], [37.709646001, 55.886550714], [37.709648386, 55.886532663], [37.709518888, 55.886452059], [37.709159628, 55.88663161], [37.709159628, 55.88665033], [37.709290155, 55.886730767]]], [[[37.604661608, 55.795554316], [37.604550346, 55.79555264], [37.604550346, 55.795580562], [37.604502662, 55.795581121], [37.604496702, 55.795710121], [37.604815587, 55.795714588], [37.604869231, 55.795118727], [37.604834461, 55.795117052], [37.604839428, 55.795072376], [37.604581142, 55.795070701], [37.604578161, 55.795112584], [37.604540412, 55.795112584], [37.604533458, 55.795257222], [37.604580148, 55.795258898], [37.604578161, 55.795285145], [37.604679489, 55.795289054], [37.604661608, 55.795554316]]], [[[37.658219934, 55.885210551], [37.658222616, 55.885329393], [37.65849486, 55.885325632], [37.658496201, 55.885424165], [37.658185065, 55.885425669], [37.658186406, 55.885545262], [37.658504248, 55.885543006], [37.658508271, 55.885646803], [37.658244073, 55.885651316], [37.658246756, 55.885772412], [37.658885121, 55.88576113], [37.658885121, 55.885643794], [37.658646405, 55.885645299], [37.658642381, 55.885541501], [37.658953518, 55.88553774], [37.658949494, 55.885417395], [37.658635676, 55.88542266], [37.65862897, 55.885324128], [37.658862323, 55.885322623], [37.658860981, 55.885201525], [37.658219934, 55.885210551]]], [[[37.649343982, 55.886533331], [37.649353519, 55.886723203], [37.649460807, 55.886721866], [37.649456039, 55.88667841], [37.650346532, 55.886660358], [37.650346532, 55.886697129], [37.650444284, 55.886697129], [37.650431171, 55.886509931], [37.649343982, 55.886533331]]], [[[37.62671051, 55.804496966], [37.626706536, 55.804569547], [37.626871443, 55.804670044], [37.627588685, 55.804282573], [37.627586699, 55.804207758], [37.627415832, 55.804112844], [37.62671051, 55.804496966]]], [[[37.708402903, 55.88646572], [37.708477408, 55.88643062], [37.708812685, 55.886635369], [37.708952755, 55.886562662], [37.70901683, 55.886602776], [37.709447474, 55.886382149], [37.709447474, 55.886311949], [37.709502608, 55.886281864], [37.709500566, 55.886229801], [37.709431083, 55.886190771], [37.709317834, 55.886248435], [37.709305913, 55.886238407], [37.70939979, 55.886193278], [37.7093983, 55.886138957], [37.708940834, 55.885857319], [37.708650262, 55.88600357], [37.708654732, 55.886029478], [37.708465487, 55.886123914], [37.708469958, 55.88619495], [37.70824644, 55.886307771], [37.70824495, 55.886364599], [37.708402903, 55.88646572]]], [[[37.672076225, 55.874249099], [37.672073364, 55.874308487], [37.671933174, 55.874332563], [37.671930313, 55.874380714], [37.672107697, 55.874740246], [37.672276497, 55.874711355], [37.67233944, 55.874833339], [37.673077583, 55.874714566], [37.673089028, 55.874677649], [37.673043251, 55.874589372], [37.673192025, 55.874566901], [37.673192025, 55.87453159], [37.673008919, 55.87415761], [37.672842979, 55.874186502], [37.672814369, 55.874133534], [37.672076225, 55.874249099]], [[37.672222138, 55.874364664], [37.672768593, 55.874276385], [37.672905922, 55.874557271], [37.672350884, 55.874637523], [37.672222138, 55.874364664]]], [[[37.652501464, 55.883496336], [37.652308345, 55.883476779], [37.652277499, 55.883564786], [37.65216887, 55.883552751], [37.65216887, 55.883517397], [37.65207231, 55.883509123], [37.652018666, 55.883661066], [37.652025372, 55.883725755], [37.652061582, 55.883731772], [37.652045488, 55.883777656], [37.651989162, 55.883773895], [37.651932836, 55.883931102], [37.651936859, 55.883988269], [37.652036101, 55.883998047], [37.652044147, 55.883963446], [37.652150095, 55.883973225], [37.652135342, 55.884008578], [37.652136683, 55.884061983], [37.652333826, 55.884080787], [37.652361989, 55.883994286], [37.652469277, 55.884004065], [37.652474642, 55.884040169], [37.652563155, 55.884049948], [37.652619481, 55.883893493], [37.652623504, 55.883837079], [37.652572542, 55.883831814], [37.652585953, 55.883779913], [37.652647644, 55.88378593], [37.652701288, 55.883627218], [37.652701288, 55.883570803], [37.652600706, 55.883561777], [37.652594, 55.883594121], [37.652492076, 55.883588104], [37.652501464, 55.883496336]]], [[[37.649078965, 55.884918711], [37.649180889, 55.884935259], [37.649199665, 55.884899155], [37.650066018, 55.884978885], [37.650052607, 55.885024015], [37.650151849, 55.885034545], [37.65021354, 55.884844999], [37.649132609, 55.884742704], [37.649078965, 55.884918711]]], [[[37.649352551, 55.841879675], [37.6495471, 55.841786504], [37.649552822, 55.841693332], [37.649069309, 55.84136241], [37.649188042, 55.841304579], [37.649156571, 55.841286908], [37.64915514, 55.84124996], [37.649158001, 55.841192932], [37.64896059, 55.841286908], [37.648801804, 55.841178474], [37.648601532, 55.841270844], [37.648604393, 55.841367229], [37.649352551, 55.841879675]]], [[[37.649081722, 55.885479657], [37.649101988, 55.885739736], [37.649485841, 55.885727701], [37.649471536, 55.885469628], [37.649081722, 55.885479657]]]], type=MultiPolygon}"
