geoData,obj_type
"POLYGON ((55.7296379 37.9486656, 55.7309911 37.9404688, 55.738409 37.9466486, 55.7379741 37.9500818, 55.739472 37.9519701, 55.7351231 37.9554462, 55.7332867 37.9513693, 55.730097 37.9502535, 55.7296379 37.9486656))",dump
"POLYGON ((55.7008461 38.0393457, 55.697557 38.0581856, 55.6915827 38.0459118, 55.6941951 38.0374575, 55.6952593 38.0371571, 55.7008461 38.0393457))",dump
"POLYGON ((55.9661009 37.7609217, 55.9659207 37.7638185, 55.9620655 37.7631104, 55.9619574 37.7583897, 55.9608524 37.7573383, 55.9610806 37.7545702, 55.9642634 37.7484334, 55.96502 37.7504289, 55.9636869 37.755965, 55.9640592 37.7594197, 55.9661009 37.7609646, 55.9661009 37.7609217))",dump
"POLYGON ((55.7537428 38.2985115, 55.7517141 38.2925034, 55.752487 38.2840919, 55.756834 38.2760239, 55.7605044 38.2794571, 55.7580897 38.2964516, 55.7537428 38.2985115))",dump
"POLYGON ((56.0703527 38.0839294, 56.0730714 38.0872124, 56.0705084 38.0960101, 56.0692808 38.0968791, 56.066981 38.0944812, 56.0703527 38.0839294))",dump
"POLYGON ((55.6205571 36.9110477, 55.621396 36.907363, 55.6223019 36.9051898, 55.6234165 36.9049108, 55.624204 36.9084996, 55.6239011 36.9088, 55.6240617 36.9093177, 55.6249037 36.9099131, 55.624834 36.9106333, 55.6251081 36.9110785, 55.6249234 36.9114219, 55.6241919 36.9115412, 55.622851 36.9129, 55.621971 36.913277, 55.6207389 36.9132578, 55.6205571 36.9110477))",dump
"POLYGON ((55.9894763 38.0472207, 55.9883961 38.0527139, 55.9856834 38.0514693, 55.984159 38.0486906, 55.9847111 38.0467808, 55.9865717 38.04721, 55.9870398 38.045944, 55.9894763 38.0472207))",dump
"POLYGON ((55.3693983 38.0124781, 55.3718233 38.0198407, 55.3678154 38.0239552, 55.3659983 38.018446, 55.3693983 38.0124781))",dump
"POLYGON ((55.7497089 36.8891072, 55.7512546 36.8902123, 55.7510373 36.8930876, 55.7496832 36.895802, 55.7486325 36.8925726, 55.7497089 36.8891072))",dump
"POLYGON ((55.8676722 36.9294477, 55.8685872 36.9350266, 55.8670822 36.9386101, 55.8648066 36.937902, 55.8652159 36.9357347, 55.8643355 36.9349462, 55.865363 36.931, 55.8676722 36.9294477))",dump
"POLYGON ((55.5627005 38.2788992, 55.5566328 38.2860017, 55.5554677 38.2828903, 55.5569939 38.2801223, 55.5564705 38.2778692, 55.5588825 38.2761043, 55.5593861 38.2752836, 55.560178 38.2753265, 55.5606406 38.2748115, 55.5627005 38.2788992))",dump
"POLYGON ((55.9051191 37.5014019, 55.902593 37.5001574, 55.9018472 37.4985695, 55.8998743 37.4974966, 55.8996578 37.4956512, 55.9020878 37.4917889, 55.9056964 37.493763, 55.9051191 37.5014019))",dump
"POLYGON ((55.9107287 37.5030327, 55.9113541 37.5090623, 55.9075536 37.5085044, 55.9074814 37.5073242, 55.9078422 37.5033331, 55.9107408 37.5030327, 55.9107287 37.5030327))",dump
"POLYGON ((55.4371898 37.6510477, 55.4403303 37.6495028, 55.4431298 37.6545668, 55.4418153 37.6571417, 55.4431055 37.6625061, 55.4411093 37.6644373, 55.4400382 37.6606607, 55.4379202 37.6603603, 55.436922 37.6562834, 55.4373602 37.653923, 55.4371898 37.6510477))",dump
"POLYGON ((55.6752493 37.9657245, 55.6744628 37.9646087, 55.6751404 37.9635572, 55.6755396 37.9637933, 55.6758905 37.9620981, 55.6774271 37.9622054, 55.6794597 37.964437, 55.680113 37.964673, 55.6800646 37.9650164, 55.6782014 37.9643297, 55.6772698 37.963171, 55.6764713 37.9644799, 55.6758784 37.9641366, 55.6752493 37.9657245))",dump
"POLYGON ((55.460244 37.779, 55.462275 37.7843, 55.463857 37.78548, 55.464842 37.781639, 55.46365 37.78, 55.462628 37.781746, 55.46039 37.778828, 55.460244 37.779))",dump
"POLYGON ((55.5058583 38.1408942, 55.5061985 38.1423318, 55.504315 38.1500995, 55.5026865 38.1480181, 55.5022946 38.1455666, 55.5058583 38.1408942))",dump
"POLYGON ((55.5462853 38.1160355, 55.546613 38.1154346, 55.5471836 38.1157136, 55.5476813 38.1144261, 55.5486645 38.1129241, 55.5488588 38.1132674, 55.5484946 38.1166792, 55.5477663 38.1177521, 55.546346 38.11728, 55.5462853 38.1160355))",dump
"POLYGON ((56.0429153 36.9994104, 56.0454802 37.002672, 56.0462352 37.0011485, 56.0469663 37.0024788, 56.0472779 37.0036805, 56.0482306 37.0052361, 56.047182 37.0072424, 56.0459955 37.0081437, 56.0447731 37.0105684, 56.0430082 37.0079559, 56.0445663 37.0047694, 56.0426726 37.0022911, 56.0425797 37.000891, 56.0429153 36.9994104))",dump
"POLYGON ((55.7210678 38.0225444, 55.7207778 38.0250549, 55.7196055 38.0245399, 55.719255 38.0249476, 55.7176354 38.0243039, 55.7158707 38.0205059, 55.7186628 38.0192828, 55.7187232 38.0203772, 55.7210678 38.0225444))",dump
"POLYGON ((55.7219621 38.0616403, 55.7197747 38.0601382, 55.7188924 38.0623269, 55.7196417 38.0642796, 55.7200164 38.0718112, 55.7207899 38.0733132, 55.721805 38.0722833, 55.7218413 38.0702877, 55.7216963 38.0651593, 55.7219621 38.0616403))",dump
"POLYGON ((55.997709 37.375145, 55.997181 37.3773766, 55.995933 37.3933411, 55.996077 37.3960018, 55.996941 37.3980618, 55.9989089 37.399435, 56.0006368 37.395401, 56.0023166 37.3802948, 56.0030365 37.3792648, 56.0029885 37.3778915, 55.997709 37.375145))",dump
"POLYGON ((55.4392105 37.6776123, 55.4378958 37.672677, 55.4328559 37.6770544, 55.4332942 37.6817751, 55.4392105 37.6776123))",dump
"POLYGON ((55.382609 37.293241, 55.385888 37.2947, 55.385632 37.296781, 55.386059 37.298069, 55.385425 37.300472, 55.385437 37.301373, 55.38434 37.306802, 55.382974 37.305344, 55.379452 37.298691, 55.379464 37.296717, 55.382609 37.293241))",dump
"POLYGON ((55.6096911 37.4190044, 55.6148296 37.4262142, 55.6140056 37.4326515, 55.6160899 37.4361706, 55.6143449 37.4394321, 55.6092063 37.4327374, 55.6096911 37.4190044))",dump
"POLYGON ((55.5744711 37.4180603, 55.570031 37.4127817, 55.573258 37.4066877, 55.5740587 37.4083614, 55.5763635 37.4063444, 55.5783528 37.4090052, 55.5760238 37.4132967, 55.5744711 37.4180603))",dump
