station,geoData
Перерва,POINT (55.661415 37.716998)
Москворечье,POINT (55.640396 37.689087)
Покровское,POINT (55.602968 37.632071)
Красный Строитель,POINT (55.589798 37.615093)
Битца,POINT (55.571174 37.611464)
Щербинка,POINT (55.510155 37.562191)
Силикатная,POINT (55.470459 37.555454)
Подольск,POINT (55.431494 37.565452)
Бутово,POINT (55.541698 37.57068)
Остафьево,POINT (55.486015 37.555157)
Курьяново,POINT (55.649855 37.701439)
Народное Ополчение,POINT (55.775697 37.485071)
Площадь трёх вокзалов,POINT (55.776667 37.651111)
Авиамоторная,POINT (55.751933 37.717444)
Деловой центр,POINT (55.749408 37.537624)
Каширская,POINT (55.655745 37.649683)
Лефортово,POINT (55.764693 37.706757)
Мичуринский проспект,POINT (55.6888 37.485)
Нижегородская,POINT (55.731835 37.729404)
Печатники,POINT (55.692921 37.728338)
Проспект Вернадского,POINT (55.676549 37.504584)
Савёловская,POINT (55.794054 37.587163)
Текстильщики,POINT (55.709211 37.732117)
Шелепиха,POINT (55.757116 37.524067)
Марьина Роща,POINT (55.793723 37.61618)
Зеленоград — Крюково,POINT (55.9802209 37.1739643)
Фирсановская,POINT (55.960278 37.251111)
Сходня,POINT (55.949722 37.298611)
Подрезково,POINT (55.941667 37.334722)
Новоподрезково,POINT (55.936389 37.351667)
Молжаниново,POINT (55.924167 37.380833)
Химки,POINT (55.894444 37.450833)
Левобережная,POINT (55.886944 37.468611)
Ховрино,POINT (55.878273 37.480768)
Грачёвская,POINT (55.869444 37.509167)
Моссельмаш,POINT (55.862222 37.526389)
Лихоборы,POINT (55.855143 37.561589)
Петровско-Разумовская,POINT (55.836565 37.575512)
Останкино,POINT (55.817222 37.603611)
Электрозаводская,POINT (55.782057 37.7053)
Сортировочная,POINT (55.763611 37.720833)
Андроновка,POINT (55.741111 37.734444)
Перово,POINT (55.75098 37.78422)
Плющево,POINT (55.730556 37.774167)
Вешняки,POINT (55.721944 37.799167)
Выхино,POINT (55.715983 37.816788)
Рязанский проспект,POINT (55.716139 37.792694)
Ухтомская,POINT (55.698611 37.864167)
Люберцы,POINT (55.681667 37.896944)
Панки,POINT (55.668889 37.9225)
Томилино,POINT (55.655 37.954722)
Красково,POINT (55.649722 37.9825)
Котельники,POINT (55.6743 37.8582)
Отдых,POINT (55.601111 38.136944)
Кратово,POINT (55.591667 38.16)
Есенинская,POINT (55.581944 38.184167)
Фабричная,POINT (55.572859 38.206822)
Раменское,POINT (55.565351 38.225435)
Ипподром,POINT (55.560278 38.238889)
Апрелевка,POINT (55.550278 37.0675)
Победа,POINT (55.566111 37.093056)
Крёкшино,POINT (55.577778 37.109722)
Санино,POINT (55.583889 37.138333)
Кокошкино,POINT (55.599722 37.171389)
Толстопальцево,POINT (55.607778 37.186389)
Лесной Городок,POINT (55.630278 37.219167)
Внуково,POINT (55.607087 37.287702)
