geoData,obj_type
POINT (55.861412 37.656666),thermal
POINT (55.861509 37.658243),thermal
POINT (55.861412 37.656666),thermal
POINT (55.588371 37.660328),thermal
POINT (55.645 37.593611),thermal
POINT (55.702136 37.855249),thermal
POINT (55.599874 37.623347),thermal
POINT (55.769722 37.403333),thermal
POINT (55.713889 37.423889),thermal
POINT (55.629178 37.644024),thermal
POINT (55.693611 37.451944),thermal
POINT (55.844167 37.375),thermal
POINT (55.675556 37.66),thermal
POINT (55.811716 37.616541),thermal
POINT (55.852845 37.595837),thermal
POINT (55.838989 37.347168),thermal
POINT (55.653473 37.378065),thermal
POINT (55.785572 37.642074),thermal
POINT (55.745695 37.834137),thermal
POINT (55.842358 37.654214),thermal
POINT (55.741229 37.412616),thermal
POINT (55.64427 37.407636),thermal
POINT (55.611884 37.512775),thermal
POINT (55.858643 37.433592),thermal
POINT (55.843352 37.424848),thermal
POINT (55.83245 37.408771),thermal
POINT (55.841 37.425125),thermal
POINT (55.861271 37.414052),thermal
POINT (55.734248 37.730763),thermal
POINT (55.865375 37.481172),thermal
POINT (55.623675 37.586075),thermal
POINT (55.551265 37.523679),thermal
POINT (55.885278 37.378056),thermal
POINT (55.710874 37.862166),thermal
POINT (55.645855 37.699581),thermal
POINT (55.655426 37.703021),thermal
POINT (55.688344 37.92872),thermal
POINT (55.681785 37.61868),thermal
POINT (55.539927 37.561796),thermal
POINT (55.506978 37.559354),thermal
POINT (55.816389 37.594444),thermal
POINT (55.754722 37.511944),thermal
POINT (55.668264 37.626936),thermal
POINT (55.668728 37.619445),thermal
POINT (55.734338 37.494769),thermal
POINT (55.731389 37.462778),thermal
POINT (55.814648 37.727381),thermal
POINT (55.80814 37.720434),thermal
POINT (55.812479 37.651062),thermal
POINT (55.662671 37.607255),thermal
POINT (55.659722 37.355278),thermal
POINT (55.819983 37.631395),thermal
POINT (55.537521 37.573545),thermal
POINT (55.5767 37.6361),thermal
POINT (55.893056 37.507778),thermal
POINT (55.8204 37.7751),thermal
POINT (55.69493 37.44782),thermal
POINT (55.69974 37.5877),thermal
POINT (55.78271 37.50393),thermal
POINT (55.73554 37.56224),thermal
POINT (55.7236 37.7),thermal
POINT (55.75243 37.732),thermal
POINT (55.70466 37.65171),thermal
POINT (55.76 37.528333),thermal
POINT (55.659444 37.401944),thermal
POINT (55.722222 37.871389),thermal
POINT (55.648333 37.641111),thermal
POINT (55.611389 37.265278),thermal
POINT (55.518568 37.579966),thermal
POINT (54.85771 38.26143),thermal
POINT (55.58299 39.56282),thermal
POINT (55.6335 37.8207),thermal
POINT (55.91591 37.68958),thermal
POINT (55.88666 38.78517),thermal
POINT (54.90243 38.05671),thermal
POINT (55.808 38.993),thermal
POINT (55.775833 38.659167),thermal
POINT (55.309444 38.688056),thermal
