coords,other_flats_closest_km,other_flats_less500m,other_flats_0.5-1km,other_flats_1-3km,other_flats_3-5km,other_flats_5-10km,other_flats_10-15km
"('55.747936', '37.599058')",0.0,22,58,407,558,1918,2140
"('55.7952463', '37.6114797')",0.0,5,9,280,472,1842,1915
"('55.669899', '37.515371')",0.0,15,24,203,340,1221,1975
"('55.730431', '37.574067')",0.0,11,28,259,543,1974,1881
"('55.776894', '37.630096')",0.0,15,42,319,569,1664,2273
"('55.8170621', '37.7536315')",0.0,10,10,116,163,837,1575
"('55.732012', '37.594054')",0.0,6,24,325,548,1952,1994
"('55.7482025', '37.6930091')",0.0,9,21,179,386,1700,1856
"('55.775505', '37.594971')",0.0,23,51,397,552,1756,2228
"('55.709637', '37.591943')",0.0,9,11,195,471,1861,1955
"('55.637195', '37.665668')",0.0,5,11,41,230,926,1569
"('55.7678312', '37.6190593')",0.0,19,37,411,525,1770,2285
"('55.74938', '37.534092')",0.0,11,24,240,560,1880,1876
"('55.745797', '37.513107')",0.0,7,19,181,463,1836,1788
"('55.885332', '37.389095')",0.0,8,2,19,86,342,709
"('55.765205', '37.647486')",0.0,18,37,270,603,1613,2288
"('55.856432', '37.449641')",0.0,2,8,135,151,800,1262
"('55.754303', '37.58563')",0.0,21,48,422,571,1863,2157
"('55.767477', '37.50025')",0.0,7,15,221,379,1728,1833
"('55.674606', '37.568497')",0.0,11,24,223,290,1521,2001
"('55.747115', '37.539078')",0.0,13,25,239,542,1936,1832
"('55.733802', '37.438906')",0.0,4,10,170,203,1245,1802
"('55.8099435', '37.644094')",0.0,22,19,126,350,1718,1611
"('55.754814', '37.59013')",0.0,27,52,419,569,1871,2166
"('55.762733', '37.589745')",0.0,31,54,434,545,1837,2231
"('55.776041', '37.603631')",0.0,11,50,387,550,1723,2274
"('55.733964', '37.620905')",0.0,16,34,306,578,1823,2141
"('55.829633', '37.470455')",0.0,4,2,129,307,1040,1607
"('55.744941', '37.658886')",0.0,4,29,264,529,1681,2142
"('55.763108', '37.634865')",0.0,10,38,354,582,1665,2340
"('55.811452', '37.632799')",0.0,11,35,116,390,1739,1618
"('55.677209', '37.528163')",0.0,8,36,203,367,1365,2020
"('55.744617', '37.51212')",0.0,6,22,179,462,1828,1789
"('55.765854', '37.63352')",0.0,13,39,348,600,1655,2348
"('55.828941', '37.468784')",0.0,5,2,129,314,1023,1620
"('55.7417', '37.59354')",0.0,23,47,369,555,1958,2048
"('55.789026', '37.567887')",0.0,14,30,316,559,1743,2001
"('55.717863', '37.442015')",0.0,7,28,170,219,1203,1796
"('55.754801', '37.58455')",0.0,15,50,418,574,1852,2167
"('55.780846', '37.449147')",0.0,6,9,113,269,1385,1645
"('55.734354', '37.446866')",0.0,3,13,168,260,1335,1804
"('55.763187', '37.615112')",0.0,15,39,451,506,1826,2289
"('55.835483', '37.658338')",0.0,11,8,106,208,1356,1564
"('55.743005', '37.602256')",0.0,20,35,393,553,1943,2075
"('55.768962', '37.59825')",0.0,27,77,390,549,1784,2275
"('55.7633955', '37.6147912')",0.0,16,41,448,507,1823,2286
"('55.683112', '37.521803')",0.0,4,17,216,363,1408,1942
"('55.740664', '37.60284')",0.0,16,36,367,567,1929,2083
"('55.7411641', '37.6230759')",0.0,12,33,359,592,1802,2194
"('55.75506', '37.59004')",0.0,26,53,424,563,1877,2160
"('55.727952', '37.737578')",0.0,14,13,112,266,1375,1657
"('55.88793', '37.617294')",0.0,4,7,107,183,579,1387
"('55.747966', '37.687102')",0.0,10,20,198,398,1709,1913
"('55.720418', '37.608472')",0.0,16,19,266,466,1911,2004
"('55.75939', '37.598968')",0.0,24,65,423,542,1868,2238
"('55.580742', '37.159881')",0.0,2,4,7,10,22,151
"('55.762783', '37.590443')",0.0,31,56,437,543,1839,2230
"('55.774674', '37.630831')",0.0,16,33,332,579,1639,2302
"('55.79848', '37.520671')",0.0,12,33,215,443,1715,1719
"('55.769479', '37.622738')",0.0,19,38,382,548,1743,2285
"('55.641834', '37.48491')",0.0,4,14,124,205,955,1426
"('55.755383', '37.596579')",0.0,27,62,430,533,1905,2165
"('55.765073', '37.582799')",0.0,17,70,412,567,1805,2214
"('55.789406', '37.569539')",0.0,17,25,312,556,1755,1998
"('55.589147', '37.456388')",0.0,7,7,45,70,624,832
"('55.68172', '37.49094')",0.0,7,16,209,267,1305,1791
"('55.756376', '37.508975')",0.0,13,28,195,453,1787,1860
"('55.711681', '37.519512')",0.0,10,14,139,451,1821,1648
"('55.615765', '37.738006')",0.0,7,21,92,105,502,1052
"('55.7956', '37.706667')",0.0,4,18,162,265,1490,1614
"('55.707436', '37.784157')",0.0,10,22,110,197,836,1587
"('55.826554', '37.65028')",0.0,4,11,111,253,1551,1466
"('55.751974', '37.578855')",0.0,13,44,413,552,1889,2107
"('55.716468', '37.619028')",0.0,9,39,223,446,1908,2034
"('55.664538', '37.473483')",0.0,10,10,149,275,1020,1719
"('55.722527', '37.613503')",0.0,16,22,271,486,1904,2033
"('55.72386', '37.610054')",0.0,15,17,293,483,1918,2007
"('55.785366', '37.479824')",0.0,13,32,174,302,1621,1683
"('55.7457189', '37.5925871')",0.0,24,62,384,566,1926,2095
"('55.723521', '37.58694')",0.0,10,27,236,510,1954,1921
"('55.74192', '37.598015')",0.0,24,40,380,555,1936,2084
"('55.748589', '37.591351')",0.0,30,58,403,559,1926,2104
"('55.751447', '37.703775')",0.0,13,13,155,363,1659,1772
"('55.7499998', '37.6990018')",0.0,13,12,172,374,1679,1803
"('55.7515567', '37.7105369')",0.0,9,14,137,356,1621,1719
"('55.751928', '37.696364')",0.0,9,20,178,384,1679,1830
"('55.753235', '37.70709')",0.0,11,15,151,360,1641,1743
"('55.752445', '37.71445')",0.0,7,12,134,345,1605,1704
"('55.756072', '37.706128')",0.0,7,21,154,359,1648,1740
"('55.75667', '37.70716')",0.0,7,22,147,364,1637,1742
"('55.745595', '37.704754')",0.0,5,22,146,356,1669,1758
"('55.753225', '37.706973')",0.0,11,15,152,358,1643,1741
"('55.751017', '37.6985938')",0.0,13,12,174,380,1676,1807
"('55.747535', '37.702966')",0.0,9,16,147,374,1663,1789
"('55.773773', '37.687839')",0.0,12,13,197,348,1707,1800
"('55.75527', '37.657806')",0.0,9,28,275,562,1658,2180
"('55.751817', '37.716144')",0.0,5,13,131,334,1598,1702
"('55.7524872', '37.7055563')",0.0,13,14,149,363,1649,1758
"('55.749927', '37.704736')",0.0,13,12,148,369,1657,1764
"('55.74342', '37.720467')",0.0,1,5,137,310,1603,1638
"('55.751206', '37.7001934')",0.0,13,14,169,382,1665,1803
"('55.748539', '37.70337')",0.0,11,14,147,374,1665,1781
"('55.788216', '37.671272')",0.0,7,19,171,426,1658,1815
"('55.771104', '37.703865')",0.0,8,13,181,308,1654,1650
"('55.751959', '37.686006')",0.0,7,16,228,392,1708,1909
"('55.751568', '37.71495')",0.0,4,16,131,339,1601,1709
"('55.752267', '37.7002331')",0.0,12,18,169,382,1661,1806
"('55.740406', '37.627445')",0.0,14,38,345,598,1769,2212
"('55.677159', '37.695348')",0.0,6,13,85,234,1250,1858
"('55.752708', '37.645564')",0.0,8,27,315,585,1682,2246
"('55.7406555', '37.6665063')",0.0,13,26,262,451,1732,2033
"('55.720121', '37.690686')",0.0,9,1,163,365,1597,1952
"('55.747703', '37.688297')",0.0,8,25,191,398,1700,1912
"('55.71954', '37.690896')",0.0,9,0,162,361,1599,1945
"('55.681442', '37.6555')",0.0,6,18,102,252,1589,1754
"('55.719433', '37.656871')",0.0,6,14,242,352,1850,1973
"('55.674473', '37.667501')",0.0,6,9,81,243,1406,1763
"('55.6898201', '37.6558154')",0.0,11,7,136,271,1702,1829
"('55.719315', '37.66175')",0.0,8,17,223,352,1830,1959
"('55.702186', '37.684856')",0.0,2,8,130,313,1620,1917
"('55.697453', '37.633976')",0.0,13,10,164,367,1799,1949
"('55.714191', '37.670914')",0.0,7,15,167,367,1735,1965
"('55.699938', '37.635314')",0.0,15,8,176,372,1818,1950
"('55.694114', '37.665183')",0.0,3,16,126,275,1663,1896
"('55.6892303', '37.6536623')",0.0,11,11,136,281,1707,1826
"('55.720802', '37.661785')",0.0,9,16,231,358,1827,1969
"('55.6968553', '37.6359431')",0.0,12,9,159,358,1794,1944
"('55.717518', '37.659748')",0.0,6,16,214,348,1825,1966
"('55.70457', '37.670868')",0.0,6,13,152,328,1712,1956
"('55.72108', '37.664867')",0.0,7,21,209,369,1800,1983
"('55.698208', '37.647504')",0.0,3,20,150,323,1806,1892
"('55.70128', '37.642654')",0.0,10,11,169,350,1831,1933
"('55.698361', '37.635296')",0.0,13,10,161,376,1796,1958
"('55.703155', '37.672792')",0.0,5,12,151,316,1702,1936
"('55.6996661', '37.6368671')",0.0,15,7,173,367,1814,1949
"('55.713234', '37.67484')",0.0,6,9,158,378,1713,1945
"('55.688923', '37.6556035')",0.0,11,9,132,272,1693,1825
"('55.694322', '37.63676')",0.0,5,14,150,352,1790,1900
"('55.71148', '37.658733')",0.0,3,15,194,333,1807,1960
"('55.702495', '37.669881')",0.0,5,12,152,311,1712,1940
"('55.700613', '37.633634')",0.0,14,9,178,380,1839,1944
"('55.683194', '37.648277')",0.0,7,15,115,280,1642,1762
"('55.703814', '37.640138')",0.0,4,20,175,378,1845,1946
"('55.6988237', '37.6385601')",0.0,15,6,165,355,1818,1928
"('55.715748', '37.675415')",0.0,6,11,157,382,1702,1968
"('55.700704', '37.660961')",0.0,5,9,159,315,1769,1908
"('55.70073', '37.631586')",0.0,13,9,183,385,1842,1944
"('55.6903564', '37.655683')",0.0,11,7,135,271,1713,1827
"('55.6988708', '37.6385646')",0.0,15,6,165,356,1818,1928
"('55.703581', '37.661078')",0.0,5,12,158,329,1767,1943
"('55.6987549', '37.6362756')",0.0,15,6,168,368,1800,1952
"('55.707806', '37.67393')",0.0,6,13,131,379,1690,1965
"('55.690187', '37.657781')",0.0,11,7,130,263,1697,1835
"('55.695611', '37.662371')",0.0,2,21,125,298,1701,1895
"('55.682727', '37.584829')",0.0,12,25,181,343,1684,1958
"('55.686909', '37.593695')",0.0,10,21,178,342,1779,1905
"('55.693084', '37.59613')",0.0,6,16,176,369,1818,1903
"('55.678199', '37.596731')",0.0,13,21,165,318,1643,1941
"('55.690256', '37.5530337')",0.0,7,21,175,384,1668,1972
"('55.6811648', '37.5948427')",0.0,14,25,162,342,1698,1933
"('55.68701', '37.577678')",0.0,6,30,181,370,1686,1977
"('55.686306', '37.538036')",0.0,10,18,211,363,1571,1921
"('55.702926', '37.580337')",0.0,4,10,185,436,1815,1916
"('55.693497', '37.58077')",0.0,6,12,178,368,1790,1931
"('55.676164', '37.579259')",0.0,7,30,201,301,1571,1981
"('55.6940437', '37.6040148')",0.0,9,5,180,377,1837,1892
"('55.689162', '37.598286')",0.0,9,17,178,362,1805,1893
"('55.679276', '37.57349')",0.0,7,30,213,311,1611,1978
"('55.682194', '37.578738')",0.0,13,17,205,332,1659,1965
"('55.675369', '37.55206')",0.0,4,32,234,304,1464,2044
"('55.683823', '37.577364')",0.0,9,21,199,345,1659,1971
"('55.685675', '37.581379')",0.0,11,22,185,354,1702,1957
"('55.696078', '37.563152')",0.0,8,17,164,432,1725,1977
"('55.686366', '37.582152')",0.0,10,24,179,357,1718,1948
"('55.684093', '37.597145')",0.0,11,24,174,343,1754,1912
"('55.672763', '37.560529')",0.0,7,28,228,288,1460,2040
"('55.678458', '37.564248')",0.0,7,21,218,319,1544,2015
"('55.67314', '37.57369')",0.0,13,22,221,286,1506,2008
"('55.687193', '37.56388')",0.0,9,21,201,375,1649,1978
"('55.670773', '37.571003')",0.0,17,20,225,268,1483,1999
"('55.693145', '37.546525')",0.0,5,14,172,407,1704,1921
"('55.673818', '37.565174')",0.0,10,25,225,286,1494,2020
"('55.683798', '37.537883')",0.0,13,24,223,350,1533,1935
"('55.678113', '37.548511')",0.0,10,23,230,315,1502,2023
"('55.677346', '37.565955')",0.0,9,21,223,311,1542,2012
"('55.692475', '37.551726')",0.0,9,14,173,395,1706,1944
"('55.68665', '37.592644')",0.0,11,22,178,344,1772,1907
"('55.680103', '37.581963')",0.0,10,28,195,321,1639,1970
"('55.68499', '37.595215')",0.0,12,22,174,344,1762,1911
"('55.670128', '37.57097')",0.0,15,21,221,272,1475,1998
"('55.69109', '37.542958')",0.0,5,19,178,395,1657,1920
"('55.684772', '37.585404')",0.0,11,22,178,341,1720,1945
"('55.674477', '37.570007')",0.0,12,24,221,288,1518,2001
"('55.682026', '37.566539')",0.0,5,23,209,336,1613,1983
"('55.691526', '37.538134')",0.0,5,18,190,384,1654,1892
"('55.681265', '37.582403')",0.0,13,22,195,335,1656,1968
"('55.693597', '37.577678')",0.0,7,16,180,370,1787,1935
"('55.692191', '37.562991')",0.0,12,14,183,406,1696,1985
"('55.680625', '37.559218')",0.0,5,18,216,325,1563,2009
"('55.68955', '37.56528')",0.0,11,18,198,383,1680,1972
"('55.687497', '37.543327')",0.0,4,28,177,400,1588,1960
"('55.688072', '37.569305')",0.0,9,22,195,372,1689,1956
"('55.67733', '37.571552')",0.0,10,25,218,300,1572,1986
"('55.670585', '37.566243')",0.0,15,19,226,280,1445,2033
"('55.693394', '37.557502')",0.0,11,16,173,409,1717,1958
"('55.694205', '37.566503')",0.0,7,21,169,419,1716,1991
"('55.672011', '37.570878')",0.0,15,23,218,284,1487,2009
"('55.689625', '37.564034')",0.0,13,15,200,381,1682,1972
"('55.683036', '37.585655')",0.0,12,25,180,338,1698,1948
"('55.691379', '37.604906')",0.0,10,9,184,370,1821,1896
"('55.688086', '37.565955')",0.0,10,18,205,371,1674,1963
"('55.67855', '37.593623')",0.0,12,26,167,326,1638,1964
"('55.687066', '37.56697')",0.0,8,25,200,369,1662,1965
"('55.690268', '37.553873')",0.0,7,20,176,385,1669,1981
"('55.695296', '37.575648')",0.0,7,12,180,383,1790,1940
"('55.683676', '37.582215')",0.0,14,20,191,341,1686,1963
"('55.677783', '37.560493')",0.0,4,21,224,312,1533,2018
"('55.692506', '37.558454')",0.0,13,14,181,398,1714,1963
"('55.701861', '37.580679')",0.0,3,13,177,433,1814,1916
"('55.661327', '37.509342')",0.0,9,25,203,289,1137,1878
"('55.650583', '37.563543')",0.0,3,14,174,316,1072,2040
"('55.663639', '37.486679')",0.0,6,19,164,289,1039,1812
"('55.692317', '37.531551')",0.0,5,16,196,380,1642,1862
"('55.645136', '37.51697')",0.0,5,19,151,252,991,1736
"('55.753169', '37.589796')",0.0,33,42,426,568,1879,2158
"('55.753129', '37.589096')",0.0,30,43,427,571,1871,2158
"('55.753286', '37.59657')",0.0,31,48,432,533,1918,2151
"('55.753114', '37.591566')",0.0,32,46,430,551,1895,2147
"('55.7531212', '37.5903682')",0.0,33,43,426,564,1884,2153
"('55.7270229', '37.561437')",0.0,7,18,208,564,1968,1807
"('55.727212', '37.583598')",0.0,12,27,272,525,1980,1887
"('55.748936', '37.595627')",0.0,29,54,409,546,1933,2116
"('55.747363', '37.594486')",0.0,29,55,400,561,1925,2114
"('55.741465', '37.540784')",0.0,14,17,245,537,1957,1785
"('55.757131', '37.617114')",0.0,2,31,449,539,1830,2265
"('55.720585', '37.567042')",0.0,8,21,167,553,1926,1831
"('55.749847', '37.579815')",0.0,12,53,401,562,1888,2094
"('55.7630905', '37.5930036')",0.0,36,58,428,537,1840,2237
"('55.760955', '37.611446')",0.0,21,36,468,512,1851,2277
"('55.744713', '37.5827')",0.0,16,53,380,552,1966,2006
"('55.742534', '37.545465')",0.0,18,16,275,521,1988,1789
"('55.765716', '37.59356')",0.0,37,63,416,540,1828,2245
"('55.762485', '37.598887')",0.0,30,68,421,554,1831,2283
"('55.725214', '37.578496')",0.0,15,32,238,530,1957,1884
"('55.744414', '37.594072')",0.0,23,56,381,560,1935,2082
"('55.7180332', '37.5737618')",0.0,11,16,169,538,1894,1902
"('55.751933', '37.590075')",0.0,34,43,428,559,1898,2137
"('55.756396', '37.596929')",0.0,24,68,432,526,1901,2179
"('55.75571', '37.600845')",0.0,19,61,443,513,1919,2171
"('55.753407', '37.600082')",0.0,17,59,431,533,1912,2169
"('55.74536', '37.643524')",0.0,8,23,329,567,1719,2231
"('55.758929', '37.645393')",0.0,15,40,291,606,1637,2277
"('55.761492', '37.592976')",0.0,33,68,422,552,1833,2242
"('55.764121', '37.615416')",0.0,15,45,440,513,1811,2293
"('55.75554', '37.594433')",0.0,25,64,421,546,1891,2172
"('55.755388', '37.60054')",0.0,19,61,441,515,1918,2172
"('55.749603', '37.597872')",0.0,27,45,425,540,1932,2127
"('55.754507', '37.602687')",0.0,15,64,433,538,1891,2200
"('55.7557561', '37.6033112')",0.0,20,51,448,527,1895,2202
"('55.755196', '37.592796')",0.0,26,60,427,545,1889,2166
"('55.75768', '37.606674')",0.0,21,42,456,513,1885,2231
"('55.754753', '37.59622')",0.0,26,61,422,543,1893,2182
"('55.759436', '37.605733')",0.0,22,52,454,516,1873,2245
"('55.812666', '37.640911')",0.0,15,31,103,359,1711,1572
