,author,author_type,url,floor,floors_total,rooms,meters,district,street,house_number,price,coords
981,ID 86818327,homeowner,https://www.cian.ru/rent/flat/307728887/,9,15,3,74.6,Даниловский,Автозаводская ,23с931к3,150000,"('55.690187', '37.657781')"
982,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307701538/,8,15,3,70.0,Даниловский, Мастеркова,1,150000,"('55.710094', '37.65888')"
983,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307686823/,3,15,3,105.0,Даниловский, Мастеркова,1,200000,"('55.710094', '37.65888')"
984,Лайк Стрит,real_estate_agent,https://www.cian.ru/rent/flat/307684529/,13,30,3,145.0,Южнопортовый, 1-я Машиностроения,10,180000,"('55.714191', '37.670914')"
985,ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/307670911/,8,15,3,70.0,Даниловский, Мастеркова,1,150000,"('55.710094', '37.65888')"
986,Валерия Архипова,realtor,https://www.cian.ru/rent/flat/307639402/,20,20,3,76.0,Даниловский,бульвар Братьев Весниных,2,250000,"('55.6988237', '37.6385601')"
987,ID 89975907,realtor,https://www.cian.ru/rent/flat/307581341/,11,21,3,65.0,Даниловский,бульвар Братьев Весниных,1,240000,"('55.694322', '37.63676')"
988,ID 113479997,realtor,https://www.cian.ru/rent/flat/307549170/,9,28,3,87.0,Даниловский,Автозаводская ,23Бк2,120000,"('55.701262', '37.651583')"
989,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307541390/,20,20,3,76.0,Даниловский,бульвар Братьев Весниных,2,250000,"('55.6988237', '37.6385601')"
990,Элитный Дом,real_estate_agent,https://www.cian.ru/rent/flat/307534552/,5,6,3,90.0,Даниловский,проспект Лихачева,10к4,220000,"('55.6907642', '37.6558984')"
991,ID 85349734,homeowner,https://www.cian.ru/rent/flat/307531588/,20,20,3,76.0,Даниловский,бульвар Братьев Весниных,2,250000,"('55.6988237', '37.6385601')"
992,AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307489842/,20,20,3,80.0,Даниловский,бульвар Братьев Весниных,2,250000,"('55.6988237', '37.6385601')"
993,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307473602/,15,20,3,68.0,Даниловский,проспект Андропова,18к2,150000,"('55.695611', '37.662371')"
994,Лайк Стрит,real_estate_agent,https://www.cian.ru/rent/flat/307364276/,6,30,3,140.0,Южнопортовый, 1-я Машиностроения,10,195000,"('55.714191', '37.670914')"
995,ID 71209286,homeowner,https://www.cian.ru/rent/flat/307226574/,6,19,3,97.0,Южнопортовый, 1-я Машиностроения,10,210000,"('55.714191', '37.670914')"
996,One Life,real_estate_agent,https://www.cian.ru/rent/flat/307114948/,3,8,3,52.8,Южнопортовый,7-я Кожуховская ,20а,75000,"('55.708785', '37.676807')"
997,Мистраль,real_estate_agent,https://www.cian.ru/rent/flat/306673482/,4,9,3,55.0,Нагатинский затон,проспект Андропова,37К2,95000,"('55.673138', '37.66627')"
998,ID 851,realtor,https://www.cian.ru/rent/flat/306652636/,8,15,3,70.0,Даниловский, Мастеркова,1,150000,"('55.710094', '37.65888')"
999,ID 83054009,homeowner,https://www.cian.ru/rent/flat/306217821/,7,20,3,67.0,Даниловский,проспект Лихачева,18к4,200000,"('55.698208', '37.647504')"
1000,EstateLiga,real_estate_agent,https://www.cian.ru/rent/flat/306110383/,9,15,3,60.0,Даниловский,проспект Лихачева,18к6,127000,"('55.698208', '37.647504')"
1001,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/305905900/,4,5,3,73.0,Южнопортовый, Трофимова,25К1,125000,"('55.702926', '37.67855')"
1002,AGORA,real_estate_agent,https://www.cian.ru/rent/flat/305886544/,4,5,3,73.0,Южнопортовый, Трофимова,25К1,125000,"('55.702926', '37.67855')"
1003,Артур Акопян,realtor,https://www.cian.ru/rent/flat/282911645/,13,30,3,145.0,Южнопортовый, 1-я Машиностроения,10,180000,"('55.714191', '37.670914')"
1004,АКРУС-сити,real_estate_agent,https://www.cian.ru/rent/flat/307219810/,2,11,2,50.4,Даниловский, Архитектора Щусева,5к1,145000,"('55.6968553', '37.6359431')"
1005,Владис,real_estate_agent,https://www.cian.ru/rent/flat/307723977/,6,12,1,38.0,Академический,Большая Черемушкинская ,20К4,80000,"('55.682727', '37.584829')"
1006,Ирина Михалина,realtor,https://www.cian.ru/rent/flat/307722501/,4,5,1,30.0,Академический,Большая Черемушкинская ,8к1,45000,"('55.686909', '37.593695')"
1007,ID 122170844,realtor,https://www.cian.ru/rent/flat/307719747/,4,14,1,39.2,Академический,Большая Черемушкинская ,2К6,60000,"('55.693084', '37.59613')"
1008,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307717564/,1,5,1,20.0,Академический,Большая Черемушкинская ,40К2,50000,"('55.678169', '37.580939')"
1009,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307702120/,1,5,1,25.0,Академический,Большая Черемушкинская ,40К2,50000,"('55.678169', '37.580939')"
1010,BDC,real_estate_agent,https://www.cian.ru/rent/flat/307700371/,6,12,1,40.0,Академический, Шверника,7К2,70000,"('55.693957', '37.585098')"
1011,ID 446076,realtor,https://www.cian.ru/rent/flat/307689444/,2,5,1,34.4,Котловка, Ремизова,4,60000,"('55.678199', '37.596731')"
1012,ID 238591,realtor,https://www.cian.ru/rent/flat/307685554/,16,26,1,56.0,Гагаринский,Ленинский проспект,67к1,99000,"('55.690256', '37.5530337')"
1013,ID 134808,unknown,https://www.cian.ru/rent/flat/307683896/,10,17,1,40.0,Котловка, Дмитрия Ульянова,47,65000,"('55.6811648', '37.5948427')"
1014,Яндекс Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307681345/,15,19,1,37.0,Академический, Дмитрия Ульянова,23к1,79500,"('55.68701', '37.577678')"
1015,Жилсоцгарантия,real_estate_agent,https://www.cian.ru/rent/flat/307668640/,6,7,1,45.3,Гагаринский, Строителей,4К3,100000,"('55.686306', '37.538036')"
1016,Ирина Терезинова,realtor,https://www.cian.ru/rent/flat/307662481/,6,13,1,39.0,Гагаринский,проспект 60-летия Октября,5К4,60000,"('55.702926', '37.580337')"
1017,ID 93921447,unknown,https://www.cian.ru/rent/flat/307658988/,4,5,1,32.0,Академический, Шверника,6К1,50000,"('55.693497', '37.58077')"
1018,Виктор Плотников,realtor,https://www.cian.ru/rent/flat/307655071/,1,9,1,20.0,Академический, Кржижановского,28,50000,"('55.676164', '37.579259')"
1019,Мой Дом - отделение Добрынинское,real_estate_agent,https://www.cian.ru/rent/flat/307635931/,7,9,1,36.0,Донской,Загородное шоссе,8кВ,45000,"('55.6940437', '37.6040148')"
1020,ID 53602860,unknown,https://www.cian.ru/rent/flat/307635832/,4,12,1,40.0,Котловка,Большая Черемушкинская ,5К1,80000,"('55.689162', '37.598286')"
1021,ОЛИМПИК СТАР,real_estate_agent,https://www.cian.ru/rent/flat/307635745/,6,12,1,40.0,Академический, Шверника,7К2,70000,"('55.693957', '37.585098')"
1022,Виктор Плотников,realtor,https://www.cian.ru/rent/flat/307629672/,1,5,1,25.0,Академический, Кржижановского,17К1,60000,"('55.679276', '37.57349')"
1023,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307625844/,6,12,1,40.0,Академический, Шверника,7К2,70000,"('55.693957', '37.585098')"
1024,MOTYLEK - департамент недвижимости,real_estate_agent,https://www.cian.ru/rent/flat/307612258/,12,17,1,36.1,Академический,Новочеремушкинская ,20/23,70000,"('55.682194', '37.578738')"
1025,Виктория Шмакова,realtor,https://www.cian.ru/rent/flat/307605586/,7,9,1,33.0,Черемушки, Архитектора Власова,19К4,58000,"('55.675369', '37.55206')"
1026,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307605472/,3,4,1,35.0,Академический, Вавилова,35К1,65000,"('55.69553', '37.56943')"
1027,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307587819/,19,19,1,40.0,Академический, Дмитрия Ульянова,27к1,85000,"('55.686366', '37.582152')"
1028,ID 5677,realtor,https://www.cian.ru/rent/flat/307566563/,5,5,1,31.0,Котловка,Большая Черемушкинская ,15К1,40000,"('55.685477', '37.593345')"
1029,ID 92082754,homeowner,https://www.cian.ru/rent/flat/307551654/,3,4,1,35.0,Академический, Вавилова,35К1,65000,"('55.69553', '37.56943')"
1030,Олег Акулов,realtor,https://www.cian.ru/rent/flat/307528085/,1,17,1,40.0,Академический, Дмитрия Ульянова,28К2,70000,"('55.683823', '37.577364')"
1031,AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307484734/,7,19,1,37.0,Академический, Дмитрия Ульянова,27,130000,"('55.685675', '37.581379')"
1032,Надежда Канькова,realtor,https://www.cian.ru/rent/flat/307483523/,6,8,1,39.0,Гагаринский, Губкина,4,80000,"('55.696078', '37.563152')"
1033,ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/307725702/,3,8,2,45.0,Гагаринский, Вавилова,46,120000,"('55.692851', '37.562766')"
1034,ID 98855841,unknown,https://www.cian.ru/rent/flat/307724888/,3,8,2,45.0,Гагаринский, Вавилова,46,120000,"('55.692851', '37.562766')"
1035,LaRichesse,real_estate_agent,https://www.cian.ru/rent/flat/307681010/,16,20,2,55.0,Академический, Дмитрия Ульянова,27к1,100000,"('55.686366', '37.582152')"
1036,Юлия Бударина,realtor,https://www.cian.ru/rent/flat/307654564/,4,9,2,38.0,Котловка, Винокурова,26К1,70000,"('55.684093', '37.597145')"
1037,Мария  Тимина,realtor,https://www.cian.ru/rent/flat/307644127/,2,5,2,44.0,Черемушки,Профсоюзная ,29К3,65000,"('55.672763', '37.560529')"
1039,Олеся Шевченко,realtor,https://www.cian.ru/rent/flat/307636625/,5,8,2,60.0,Академический,Профсоюзная ,19,90000,"('55.678458', '37.564248')"
1040,EstateLiga,real_estate_agent,https://www.cian.ru/rent/flat/307609075/,5,5,2,42.0,Котловка,Большая Черемушкинская ,15К1,60000,"('55.685477', '37.593345')"
1041,ID 49842840,realtor,https://www.cian.ru/rent/flat/307607772/,2,9,2,38.0,Черемушки,Нахимовский проспект,37К2,75000,"('55.67314', '37.57369')"
1042,Яндекс Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307547705/,12,12,2,67.0,Академический, Ивана Бабушкина,9,130500,"('55.687193', '37.56388')"
1043,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307501909/,7,8,2,65.0,Гагаринский,Молодежная ,3,150000,"('55.693145', '37.546525')"
1044,ID 113816042,homeowner,https://www.cian.ru/rent/flat/307501170/,7,8,2,60.0,Гагаринский,Молодежная ,3,150000,"('55.693145', '37.546525')"
1045,Наталья Кудрявцева,realtor,https://www.cian.ru/rent/flat/307498982/,2,9,2,40.0,Черемушки,Новочеремушкинская ,53К3,70000,"('55.670773', '37.571003')"
1046,Классика,real_estate_agent,https://www.cian.ru/rent/flat/307497094/,1,8,2,53.0,Гагаринский,Молодежная ,3,90000,"('55.693145', '37.546525')"
1047,Александр Петров,realtor,https://www.cian.ru/rent/flat/307484606/,2,20,2,70.0,Черемушки,Новочеремушкинская ,44К3,95000,"('55.673818', '37.565174')"
1048,Марина Макарова,realtor,https://www.cian.ru/rent/flat/307484079/,9,9,2,60.0,Ломоносовский,Ленинский проспект,74,100000,"('55.683798', '37.537883')"
1049,ID 21526,realtor,https://www.cian.ru/rent/flat/307475855/,8,28,2,90.0,Ломоносовский, Архитектора Власова,8,150000,"('55.678113', '37.548511')"
1050,ID 8618,realtor,https://www.cian.ru/rent/flat/307468599/,18,27,2,68.0,Академический,Нахимовский проспект,56,125000,"('55.683407', '37.555355')"
1051,ID 352326,realtor,https://www.cian.ru/rent/flat/307462834/,8,8,2,44.0,Академический,Нахимовский проспект,40,87000,"('55.677346', '37.565955')"
1052,ID 62674,realtor,https://www.cian.ru/rent/flat/307458452/,4,10,2,60.0,Гагаринский,Ленинский проспект,64/2,150000,"('55.692475', '37.551726')"
1053,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307435043/,5,22,2,58.0,Котловка, Дмитрия Ульянова,47,110000,"('55.6811648', '37.5948427')"
1055,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307434970/,5,22,2,62.0,Котловка, Дмитрия Ульянова,47,110000,"('55.6811648', '37.5948427')"
1056,ОЛИМПИК СТАР,real_estate_agent,https://www.cian.ru/rent/flat/307431659/,5,22,2,58.0,Котловка, Дмитрия Ульянова,47,110000,"('55.6811648', '37.5948427')"
1057,Евгений Тогобицкий,realtor,https://www.cian.ru/rent/flat/307429802/,1,5,2,45.6,Академический, Винокурова,12К1,80000,"('55.686985', '37.589733')"
1058,Юлия Богунова,realtor,https://www.cian.ru/rent/flat/307361109/,11,28,2,60.0,Ломоносовский, Архитектора Власова,8,125000,"('55.678113', '37.548511')"
1059,ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/307311805/,13,14,2,49.0,Котловка, Дмитрия Ульянова,47,90000,"('55.6811648', '37.5948427')"
1061,ИНКОМ-Недвижимость. Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307294348/,3,5,2,47.0,Академический, Винокурова,15К1,75000,"('55.68665', '37.592644')"
1062,Артём Морев,realtor,https://www.cian.ru/rent/flat/307205986/,2,5,2,65.0,Академический,Большая Черемушкинская ,32К2,85000,"('55.680103', '37.581963')"
1063,CENTURY 21 Milestone,real_estate_agent,https://www.cian.ru/rent/flat/307103359/,2,12,2,47.3,Котловка, Винокурова,20,100000,"('55.68499', '37.595215')"
1064,Адресъ-недвижимость,real_estate_agent,https://www.cian.ru/rent/flat/307764308/,9,17,3,72.0,Черемушки,Новочеремушкинская ,53К4,100000,"('55.670128', '37.57097')"
1065,Gallery HOUSE,real_estate_agent,https://www.cian.ru/rent/flat/307753715/,8,17,3,79.4,Гагаринский,Ломоносовский проспект,14,170000,"('55.69109', '37.542958')"
1066,Whitewill Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307742515/,5,5,3,175.0,Академический, Дмитрия Ульянова,31,340000,"('55.684772', '37.585404')"
1067,ID 94980064,unknown,https://www.cian.ru/rent/flat/307741563/,2,5,3,54.2,Черемушки,Новочеремушкинская ,38К1,95000,"('55.674477', '37.570007')"
1068,Мария Зайцева,realtor,https://www.cian.ru/rent/flat/307657497/,5,9,3,80.0,Академический,Профсоюзная ,20/9,155000,"('55.682026', '37.566539')"
1069,ID 29738035,unknown,https://www.cian.ru/rent/flat/307655915/,4,9,3,82.0,Гагаринский,Ломоносовский проспект,23,120000,"('55.691526', '37.538134')"
1071,ID 12557799,homeowner,https://www.cian.ru/rent/flat/307651006/,22,27,3,120.0,Академический,Нахимовский проспект,56,230000,"('55.683407', '37.555355')"
1072,ID 59221109,unknown,https://www.cian.ru/rent/flat/307634334/,13,17,3,115.0,Академический,Новочеремушкинская ,23К2,160000,"('55.681265', '37.582403')"
1073,Юлия Паниотова,realtor,https://www.cian.ru/rent/flat/307629702/,5,16,3,82.0,Академический,проспект 60-летия Октября,19,110000,"('55.693597', '37.577678')"
1074,МИЭЛЬ,real_estate_agent,https://www.cian.ru/rent/flat/307609957/,6,8,3,96.0,Академический, Вавилова,55/7,130000,"('55.692191', '37.562991')"
1075,Юлия Кравчук,realtor,https://www.cian.ru/rent/flat/307602633/,7,9,3,83.0,Гагаринский,Ломоносовский проспект,23,140000,"('55.691526', '37.538134')"
1076,ID 88720357,unknown,https://www.cian.ru/rent/flat/307579707/,7,8,3,80.0,Академический,Нахимовский проспект,50,90000,"('55.680625', '37.559218')"
1077,Елена Иванова,realtor,https://www.cian.ru/rent/flat/307552748/,3,12,3,67.5,Академический, Ивана Бабушкина,4К1,120000,"('55.68955', '37.56528')"
1078,Оксана Артемова,realtor,https://www.cian.ru/rent/flat/307552389/,7,9,3,82.5,Гагаринский,Ленинский проспект,70/11,150000,"('55.687497', '37.543327')"
1079,ВАШ ДОМ,real_estate_agent,https://www.cian.ru/rent/flat/307549302/,6,16,3,80.0,Академический, Дмитрия Ульянова,16К2,140000,"('55.688072', '37.569305')"
1080,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307530890/,19,23,3,115.0,Академический,Новочеремушкинская ,34к1,185000,"('55.67733', '37.571552')"
1081,ID 11215092,realtor,https://www.cian.ru/rent/flat/307527142/,16,17,3,74.3,Черемушки,Новочеремушкинская ,50,120000,"('55.670585', '37.566243')"
1082,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307499910/,5,13,3,70.0,Гагаринский, Дмитрия Ульянова,4К1,150000,"('55.693394', '37.557502')"
1083,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307126183/,6,7,3,144.0,Академический, Кржижановского,23К3,230000,"('55.678768', '37.578702')"
1084,ID 76949128,unknown,https://www.cian.ru/rent/flat/307110348/,2,5,3,75.0,Академический, Вавилова,43,120000,"('55.694205', '37.566503')"
1085,Вера Тарусова,realtor,https://www.cian.ru/rent/flat/307056038/,12,17,3,80.0,Черемушки,Новочеремушкинская ,49,120000,"('55.672011', '37.570878')"
1086,DAVIDOV GROUP,real_estate_agent,https://www.cian.ru/rent/flat/307045172/,4,5,3,90.0,Академический, Ивана Бабушкина,2К1,120000,"('55.689625', '37.564034')"
1087,ID 13626796,unknown,https://www.cian.ru/rent/flat/307042025/,13,14,3,102.4,Академический, Дмитрия Ульянова,36,140000,"('55.683036', '37.585655')"
1088,Елена Витченко,realtor,https://www.cian.ru/rent/flat/306969815/,2,9,3,56.3,Донской,Загородное шоссе,15К2,100000,"('55.691379', '37.604906')"
1089,Александр Григорьев,realtor,https://www.cian.ru/rent/flat/306793398/,6,16,3,77.0,Академический, Ивана Бабушкина,3,130000,"('55.688086', '37.565955')"
1090,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/306777186/,6,16,3,92.0,Академический, Дмитрия Ульянова,6к1,170000,"('55.689563', '37.561949')"
1091,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/306398022/,5,42,3,65.0,Котловка,Севастопольский проспект,22А,185000,"('55.67855', '37.593623')"
1092,На Петровке,real_estate_agent,https://www.cian.ru/rent/flat/306214510/,10,16,3,100.0,Академический, Кедрова,5К1,150000,"('55.687066', '37.56697')"
1093,ID 69037650,unknown,https://www.cian.ru/rent/flat/306190440/,22,27,3,125.0,Академический,Нахимовский проспект,56,220000,"('55.683407', '37.555355')"
1094,Slava Realty,real_estate_agent,https://www.cian.ru/rent/flat/306153793/,6,18,3,90.0,Гагаринский,Ленинский проспект,67к2,250000,"('55.690268', '37.553873')"
1095,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/305973757/,15,21,3,116.0,Академический, Дмитрия Ульянова,31,255000,"('55.684772', '37.585404')"
1096,AGORA,real_estate_agent,https://www.cian.ru/rent/flat/305918793/,15,21,3,120.0,Академический, Дмитрия Ульянова,31,250000,"('55.684772', '37.585404')"
1097,Гермес Град,real_estate_agent,https://www.cian.ru/rent/flat/305835982/,21,25,3,112.0,Академический,проспект 60-летия Октября,8,165000,"('55.695296', '37.575648')"
1098,ID 59607315,realtor,https://www.cian.ru/rent/flat/305673283/,13,22,3,72.0,Академический,Новочеремушкинская ,17,200000,"('55.683676', '37.582215')"
1099,ID 71151495,unknown,https://www.cian.ru/rent/flat/304695350/,22,27,3,120.0,Академический,Нахимовский проспект,56,230000,"('55.683407', '37.555355')"
1100,ID 83305363,homeowner,https://www.cian.ru/rent/flat/298517722/,10,17,3,83.0,Черемушки,Профсоюзная ,30К2,170000,"('55.677783', '37.560493')"
1101,ID 112792384,homeowner,https://www.cian.ru/rent/flat/297962216/,2,8,3,73.5,Гагаринский,Молодежная ,3,140000,"('55.693145', '37.546525')"
1102,ID 99241024,homeowner,https://www.cian.ru/rent/flat/297445018/,6,18,3,92.4,Академический, Дмитрия Ульянова,6к1,170000,"('55.689563', '37.561949')"
1103,ID 246142,realtor,https://www.cian.ru/rent/flat/274391132/,5,13,3,60.0,Гагаринский, Дмитрия Ульянова,4К2,150000,"('55.692506', '37.558454')"
1104,Светлана Кудрова,realtor,https://www.cian.ru/rent/flat/271647671/,3,8,3,70.0,Академический, Вавилова,17,110000,"('55.701861', '37.580679')"
1105,Verges of estate,real_estate_agent,https://www.cian.ru/rent/flat/307264309/,17,34,3,118.0,Обручевский,Ленинский проспект,111к1,165000,"('55.661327', '37.509342')"
1106,Виктория Рояк,realtor,https://www.cian.ru/rent/flat/307214185/,10,16,3,70.0,Черемушки, Обручева,65/54,115000,"('55.650583', '37.563543')"
1107,Penny Lane Moscow,real_estate_agent,https://www.cian.ru/rent/flat/307209973/,23,32,2,82.0,Тропарево-Никулино,проспект Вернадского,105к4,140000,"('55.663639', '37.486679')"
1108,Alfa Forum Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/306778572/,4,18,3,105.0,Якиманка, Шаболовка,10к1,180000,"('55.72386', '37.610054')"
1109,333980,real_estate_agent,https://www.cian.ru/rent/flat/307567406/,4,14,3,120.0,Раменки,Ломоносовский проспект,25к5,250000,"('55.692317', '37.531551')"
1110,ВАШ ВЫБОР,real_estate_agent,https://www.cian.ru/rent/flat/307342093/,2,16,3,74.0,Коньково,Миклухо-Маклая ,18/1,120000,"('55.645136', '37.51697')"
1111,ID 88369331,homeowner,https://www.cian.ru/rent/flat/303498571/,21,26,4,90.0,Нагорный,Электролитный проезд,7,180000,"('55.67278', '37.619144')"
1112,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307544058/,21,25,4,130.0,Проспект Вернадского, Удальцова,19К1,170000,"('55.67335', '37.51068')"
1113,Дарья Мазурова,realtor,https://www.cian.ru/rent/flat/307608895/,5,6,1,43.0,Арбат, Большая Молчановка,23С1,180000,"('55.753169', '37.589796')"
1114,Вертикаль,real_estate_agent,https://www.cian.ru/rent/flat/307362281/,13,24,1,40.0,Арбат, Новый Арбат,22,130000,"('55.753129', '37.589096')"
1115,Этажи Москва,real_estate_agent,https://www.cian.ru/rent/flat/307115734/,7,24,1,33.8,Арбат, Новый Арбат,6,95000,"('55.753286', '37.59657')"
1116,Delight Realty,real_estate_agent,https://www.cian.ru/rent/flat/307070017/,22,24,1,40.0,Арбат, Новый Арбат,16,130000,"('55.753114', '37.591566')"
1117,Chase R.E.S.,real_estate_agent,https://www.cian.ru/rent/flat/306163759/,6,6,1,47.5,Арбат, Большая Молчановка,23С2,230000,"('55.7531212', '37.5903682')"
1118,ID 477396,realtor,https://www.cian.ru/rent/flat/229808794/,21,26,1,30.0,Арбат, Новый Арбат,15,130000,"('55.752141', '37.592411')"
1119,Олег Кочнев,realtor,https://www.cian.ru/rent/flat/306897340/,3,12,2,53.0,Хамовники,Большая Пироговская ,53-55,145000,"('55.7270229', '37.561437')"
1120,Arch Capital,real_estate_agent,https://www.cian.ru/rent/flat/300286269/,2,9,1,31.0,Хамовники,Комсомольский проспект,23/7,100000,"('55.727212', '37.583598')"
1121,Вартан Вартанян,realtor,https://www.cian.ru/rent/flat/307525401/,12,12,2,49.0,Арбат,Староконюшенный переулок,30,100000,"('55.748936', '37.595627')"
1122,ID 16276255,unknown,https://www.cian.ru/rent/flat/307538535/,3,4,1,45.0,Басманный,Старосадский переулок,10С1,128000,"('55.755424', '37.639015')"
1123,ID 24419,real_estate_agent,https://www.cian.ru/rent/flat/307470965/,4,8,2,46.0,Хамовники,переулок Сивцев Вражек,15/25,150000,"('55.747363', '37.594486')"
1124,Диана Товт,realtor,https://www.cian.ru/rent/flat/306948289/,8,8,2,60.1,Дорогомилово,Кутузовский проспект,33,100000,"('55.741465', '37.540784')"
1125,ID 18835544,official_representative,https://www.cian.ru/rent/flat/281664247/,5,12,2,80.0,Тверской, Охотный Ряд,2,1200000,"('55.757131', '37.617114')"
1126,ID 44635371,homeowner,https://www.cian.ru/rent/flat/293542836/,3,8,2,57.0,Хамовники, Хамовнический Вал,28,140000,"('55.720585', '37.567042')"
1127,ID 20606879,realtor,https://www.cian.ru/rent/flat/307609475/,4,10,2,45.0,Арбат,1-й Смоленский переулок,24,120000,"('55.749847', '37.579815')"
1128,Дипломат,real_estate_agent,https://www.cian.ru/rent/flat/307131445/,6,6,2,52.0,Пресненский,Большой Патриарший переулок,10,130000,"('55.7630905', '37.5930036')"
1129,Apple Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307447111/,5,6,2,55.0,Тверской,Тверская ,6С5,175000,"('55.760955', '37.611446')"
1130,Надежда Карпенкова,realtor,https://www.cian.ru/rent/flat/307412052/,2,7,2,55.0,Хамовники,Смоленская-Сенная площадь,27С1,165000,"('55.744713', '37.5827')"
1131,ID 866911,unknown,https://www.cian.ru/rent/flat/307471577/,5,5,1,38.0,Дорогомилово, Дунаевского,4,110000,"('55.742534', '37.545465')"
1132,Apple Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307210998/,7,10,2,70.0,Пресненский,Ермолаевский переулок,18А,145000,"('55.765716', '37.59356')"
1133,PANDA ESTATE,real_estate_agent,https://www.cian.ru/rent/flat/305572564/,6,6,2,60.0,Пресненский,Богословский переулок,5,140000,"('55.762485', '37.598887')"
1134,ID 18707,realtor,https://www.cian.ru/rent/flat/307236441/,6,8,2,45.0,Хамовники,Комсомольский проспект,30,97000,"('55.725214', '37.578496')"
1135,ID 713083,realtor,https://www.cian.ru/rent/flat/153653945/,10,13,1,45.0,Хамовники,Гагаринский переулок,21,150000,"('55.744414', '37.594072')"
1136,ID 28822716,homeowner,https://www.cian.ru/rent/flat/287545831/,8,8,2,54.0,Хамовники, Хамовнический Вал,14,120000,"('55.7180332', '37.5737618')"
1137,ID 99704473,realtor,https://www.cian.ru/rent/flat/306122988/,6,8,2,94.8,Тверской,Тверская ,4,160000,"('55.773008', '37.596085')"
1138,Елена Маранова,realtor,https://www.cian.ru/rent/flat/307716655/,3,8,2,54.0,Арбат,Большой Николопесковский переулок,12,120000,"('55.751933', '37.590075')"
1140,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307217776/,5,6,2,100.0,Пресненский,Мерзляковский переулок,13,350000,"('55.756396', '37.596929')"
1141,Дмитрий Рублев,realtor,https://www.cian.ru/rent/flat/306932614/,5,7,2,55.4,Пресненский,Никитский бульвар,12,140000,"('55.755388', '37.60054')"
1142,ID 84179812,realtor,https://www.cian.ru/rent/flat/305383389/,3,5,2,70.0,Пресненский,Калашный переулок,7,185000,"('55.75571', '37.600845')"
1143,Сергей Головин,realtor,https://www.cian.ru/rent/flat/301280492/,6,7,2,60.0,Арбат,Никитский бульвар,5,150000,"('55.753407', '37.600082')"
1144,Apple Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307126701/,21,24,2,67.0,Таганский,Котельническая набережная,1/15кБ,160000,"('55.74536', '37.643524')"
1145,ID 87484330,homeowner,https://www.cian.ru/rent/flat/293720088/,3,3,3,77.0,Басманный, Покровка,14/2С1,187000,"('55.758929', '37.645393')"
1146,ЕГСН Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307314879/,4,8,2,75.0,Тверской,Тверская ,4,140000,"('55.773008', '37.596085')"
1147,Monumental Group,real_estate_agent,https://www.cian.ru/rent/flat/307602200/,6,10,2,65.0,Якиманка, Малая Полянка,2,170000,"('55.736883', '37.617105')"
1148,ID 97814080,realtor,https://www.cian.ru/rent/flat/307627263/,8,9,3,85.5,Пресненский, Спиридоновка,22/2,250000,"('55.761492', '37.592976')"
1149,Суламит-НГС,real_estate_agent,https://www.cian.ru/rent/flat/307573431/,4,4,1,24.0,Тверской, Петровка,17С2,110000,"('55.764121', '37.615416')"
1150,Tower Estate,real_estate_agent,https://www.cian.ru/rent/flat/307646837/,1,6,3,76.0,Пресненский,Хлебный переулок,14,200000,"('55.75554', '37.594433')"
1151,Las Vegas,real_estate_agent,https://www.cian.ru/rent/flat/307632891/,3,6,3,71.0,Пресненский,Никитский бульвар,12,200000,"('55.755388', '37.60054')"
