,author,author_type,url,floor,floors_total,rooms,meters,district,street,house_number,price,coords
31,ID 122239110,realtor,https://www.cian.ru/rent/flat/307809177/,4,13,4,92.0,, Летчика Ульянина,3А,90000,"('55.6255029', '37.3040935')"
32,NIKA ESTATE,real_estate_agent,https://www.cian.ru/rent/flat/307806480/,5,6,4,290.0,Хамовники,Молочный переулок,1,1300000,"('55.73888', '37.602005')"
33,Ashtons International Realty,real_estate_agent,https://www.cian.ru/rent/flat/307806362/,6,6,4,270.0,Хамовники,Малый Могильцевский переулок,4Б,500000,"('55.7445153', '37.5898298')"
34,Андрей Смирнов,realtor,https://www.cian.ru/rent/flat/307805564/,2,27,4,100.0,Раменки, Янковского,1к1,450000,"('55.69731', '37.473725')"
35,My Hoyse,real_estate_agent,https://www.cian.ru/rent/flat/307799327/,2,14,4,155.0,Соколиная гора, 10-я Соколиной Горы,6к1,200000,"('55.772684', '37.729664')"
36,Apple Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307798895/,12,24,4,161.4,Очаково-Матвеевское,Староволынская ,12к5,500000,"('55.71548', '37.479034')"
37,МОСКВА СИТИ,real_estate_agent,https://www.cian.ru/rent/flat/307797624/,5,9,4,160.0,Пресненский, Спиридоновка,15,750000,"('55.76077', '37.592194')"
38,DreamHouseRealty,real_estate_agent,https://www.cian.ru/rent/flat/307797217/,7,13,4,170.0,Таганский,Котельническая набережная,1/15кА,390000,"('55.74536', '37.643524')"
39,ID 12664419,realtor,https://www.cian.ru/rent/flat/307784903/,3,10,4,70.0,, Александры Монаховой,90к2,95000,"('55.543419', '37.482277')"
40,Trust Realty,real_estate_agent,https://www.cian.ru/rent/flat/307781937/,3,11,4,221.0,Хамовники, Усачева,2С3,924073,"('55.730431', '37.574067')"
41,CapitalEstate,real_estate_agent,https://www.cian.ru/rent/flat/307781575/,9,12,4,126.0,Хамовники,Ружейный переулок,3,375000,"('55.742954', '37.58051')"
42,ID 13413458,unknown,https://www.cian.ru/rent/flat/307781014/,6,16,4,112.8,Некрасовка, Сочинская,8,150000,"('55.7119655', '37.9285327')"
43,Intermark Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307779641/,4,8,4,166.0,Таганский,Котельническая набережная,1/15кБ,390000,"('55.74536', '37.643524')"
44,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307778316/,7,33,4,86.0,Метрогородок,Открытое шоссе,18Ак1,135000,"('55.817612', '37.745424')"
45,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307778308/,5,22,4,100.0,Хорошево-Мневники,проспект Маршала Жукова,47,125000,"('55.775894', '37.466593')"
46,ID 20510,real_estate_agent,https://www.cian.ru/rent/flat/307777576/,20,25,4,85.0,Царицыно,Кавказский бульвар,51к2,120000,"('55.625831', '37.641575')"
47,Дарья Солодкова,realtor,https://www.cian.ru/rent/flat/307776580/,2,8,4,318.0,Хамовники,переулок Хилков,1,1900000,"('55.736458', '37.599678')"
48,ID 32403,real_estate_agent,https://www.cian.ru/rent/flat/307776451/,3,8,4,110.0,Пресненский,переулок Брюсов,2/14С1,250000,"('55.757906', '37.606137')"
49,Chase R.E.S.,real_estate_agent,https://www.cian.ru/rent/flat/307774256/,12,13,4,230.0,Мещанский, Гиляровского,4К1,350000,"('55.774674', '37.630831')"
50,ДОМ.РФ Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307773674/,9,23,4,95.0,Щукино, Берзарина,30,161700,"('55.790712', '37.474444')"
51,ID 549007,homeowner,https://www.cian.ru/rent/flat/307773064/,2,8,4,95.0,Раменки, Янковского,1к3,450000,"('55.695611', '37.47351')"
52,BARSANDKEY,real_estate_agent,https://www.cian.ru/rent/flat/307772949/,2,9,4,70.0,Ивановское, Молостовых,11К3,75000,"('55.757206', '37.834354')"
53,Las Vegas,real_estate_agent,https://www.cian.ru/rent/flat/307772608/,2,8,4,95.0,Раменки, Янковского,1к3,450000,"('55.695611', '37.47351')"
54,Intermark Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307771561/,3,11,4,175.0,Пресненский,Большой Тишинский переулок,38С1,230000,"('55.769666', '37.570069')"
55,VIVAVI ESTATE,real_estate_agent,https://www.cian.ru/rent/flat/307770273/,43,43,4,176.0,Хорошевский,Хорошевское шоссе,16к2,300000,"('55.7742587', '37.546541')"
56,Delight Realty,real_estate_agent,https://www.cian.ru/rent/flat/307768516/,4,13,4,167.0,Таганский,Котельническая набережная,1/15кА,390000,"('55.74536', '37.643524')"
57,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307756620/,21,26,4,120.0,Черемушки,Херсонская ,43,245000,"('55.658683', '37.560377')"
58,МОСКВА СИТИ,real_estate_agent,https://www.cian.ru/rent/flat/307756165/,3,10,4,200.0,Хамовники,Еропкинский переулок,16/23,700000,"('55.740451', '37.592716')"
59,МОСКВА СИТИ,real_estate_agent,https://www.cian.ru/rent/flat/307753845/,9,9,4,241.0,Арбат,Филипповский переулок,8С1,700000,"('55.748577', '37.598557')"
60,Елена Войнова,realtor,https://www.cian.ru/rent/flat/307752730/,3,9,4,135.0,Тверской,1-я Тверская-Ямская ,28,350000,"('55.775054', '37.588054')"
61,ID 6663826,realtor,https://www.cian.ru/rent/flat/307751864/,5,22,4,100.0,Хорошево-Мневники,проспект Маршала Жукова,47,125000,"('55.775894', '37.466593')"
62,Penny Lane Moscow,real_estate_agent,https://www.cian.ru/rent/flat/307751280/,3,5,4,152.6,Хамовники, Остоженка,7С1,800000,"('55.74296', '37.600963')"
63,ID 54376685,unknown,https://www.cian.ru/rent/flat/307748282/,8,30,4,88.1,Пресненский,Шмитовский проезд,39к2,210000,"('55.7538036', '37.5246841')"
64,ID 79957865,unknown,https://www.cian.ru/rent/flat/307745989/,2,10,4,92.0,Соколиная гора,Щербаковская ,57/20,120000,"('55.783539', '37.742016')"
65,ArArAt ESTATE,real_estate_agent,https://www.cian.ru/rent/flat/307742285/,2,7,4,340.0,Хамовники,переулок Хилков,1,1650000,"('55.736458', '37.599678')"
66,Славянский Двор Остоженка,real_estate_agent,https://www.cian.ru/rent/flat/307741061/,9,20,4,144.0,Кунцево, Маршала Тимошенко,17К2,280000,"('55.747323', '37.396371')"
67,ID 8618,realtor,https://www.cian.ru/rent/flat/307735879/,16,30,4,170.0,Раменки, Улофа Пальме,1,300000,"('55.717589', '37.511643')"
68,ID 449626,unknown,https://www.cian.ru/rent/flat/307734352/,4,9,4,137.0,Хамовники, Знаменка,13С1,380000,"('55.7498574', '37.6055674')"
69,Мозаик Групп,real_estate_agent,https://www.cian.ru/rent/flat/307731737/,4,6,4,127.0,Хамовники,Большой Афанасьевский переулок,6,450000,"('55.745868', '37.597926')"
70,Максим Белоусов,realtor,https://www.cian.ru/rent/flat/307729100/,9,25,4,100.0,Пресненский,Шмитовский проезд,39к2,200000,"('55.7538036', '37.5246841')"
71,Ольга Козицкая,realtor,https://www.cian.ru/rent/flat/307725463/,15,23,4,105.7,Рязанский, Васильцовский Стан,10к1,120000,"('55.715753', '37.753964')"
72,ID 429227,realtor,https://www.cian.ru/rent/flat/307725104/,14,38,4,143.8,Раменки,Мосфильмовская ,70к1,290000,"('55.714699', '37.504701')"
73,Антон Маслов,realtor,https://www.cian.ru/rent/flat/307724005/,32,32,4,127.0,Аэропорт,Кочновский проезд,4к1,250000,"('55.806687', '37.542949')"
74,Stapler Estate,real_estate_agent,https://www.cian.ru/rent/flat/307723868/,19,21,4,137.0,Пресненский,2-я Звенигородская ,16,750000,"('55.76018', '37.554897')"
75,YU HOME,real_estate_agent,https://www.cian.ru/rent/flat/307723587/,1,19,4,77.0,, Бориса Пастернака,35,90000,"('55.636702', '37.310384')"
76,ID 40525867,homeowner,https://www.cian.ru/rent/flat/307722635/,1,19,4,76.4,, Бориса Пастернака,35,90000,"('55.636702', '37.310384')"
77,Century 21 Premium Property,real_estate_agent,https://www.cian.ru/rent/flat/307719580/,1,19,4,156.0,Хорошево-Мневники,Шелепихинская набережная,34к2,588000,"('55.76317', '37.508592')"
78,Вертикаль,real_estate_agent,https://www.cian.ru/rent/flat/307718123/,2,4,4,160.0,Тверской,Петровский переулок,5С8,300000,"('55.76643', '37.6137')"
79,ID 12878514,homeowner,https://www.cian.ru/rent/flat/307717096/,5,5,4,74.0,Басманный,Плетешковский переулок,3АС1,158000,"('55.771211', '37.676134')"
81,CapitalEstate,real_estate_agent,https://www.cian.ru/rent/flat/307716935/,19,21,4,136.0,Пресненский,2-я Звенигородская ,16,750000,"('55.76018', '37.554897')"
82,Intermark Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307715235/,6,8,4,155.0,Красносельский,переулок Даев,5,330000,"('55.770801', '37.635754')"
83,MHEstate - Элитная недвижимость,real_estate_agent,https://www.cian.ru/rent/flat/307714213/,3,4,4,121.0,Басманный,Малый Козловский переулок,8,370000,"('55.764526', '37.648196')"
84,ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/307714205/,4,15,4,99.0,Хорошевский,Ходынский бульвар,2,260000,"('55.78939', '37.536823')"
85,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307712603/,5,9,4,150.0,Арбат,Кривоарбатский переулок,16/22,350000,"('55.74772', '37.588432')"
86,Вертикаль,real_estate_agent,https://www.cian.ru/rent/flat/307712342/,3,14,4,101.0,Даниловский, Мастеркова,1,200000,"('55.710094', '37.65888')"
87,Chase R.E.S.,real_estate_agent,https://www.cian.ru/rent/flat/307709303/,3,12,4,175.0,Пресненский,Большой Тишинский переулок,38С1,230000,"('55.769666', '37.570069')"
88,ID 90857299,homeowner,https://www.cian.ru/rent/flat/307707258/,53,65,4,125.0,Тимирязевский,Дмитровский проезд,1,450000,"('55.8088116', '37.5776144')"
89,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307706382/,2,5,4,158.0,Тверской,Петровский переулок,5С1,300000,"('55.76603', '37.613557')"
90,Светлана Шишкина,realtor,https://www.cian.ru/rent/flat/307706147/,3,14,4,95.0,Академический,Большая Черемушкинская ,2К5,170000,"('55.692318', '37.597594')"
91,Delight Realty,real_estate_agent,https://www.cian.ru/rent/flat/307701074/,2,5,4,156.0,Тверской,Петровский переулок,5С1,300000,"('55.76603', '37.613557')"
92,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307700301/,3,15,4,101.0,Даниловский, Мастеркова,1,200000,"('55.710094', '37.65888')"
93,ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/307696102/,3,15,4,105.0,Даниловский, Мастеркова,1,200000,"('55.710094', '37.65888')"
94,Estate time,real_estate_agent,https://www.cian.ru/rent/flat/307683168/,4,22,4,170.0,Крылатское, Крылатские Холмы,33К3,450000,"('55.758068', '37.419117')"
95,Intermark Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307680761/,56,75,4,201.0,Пресненский,1-й Красногвардейский проезд,15,980000,"('55.75052', '37.539401')"
96,SKOLKOVO НЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/rent/flat/307679820/,3,4,4,175.0,Арбат,Староконюшенный переулок,36С2,300000,"('55.749866', '37.595116')"
97,Александр Неклюдов,realtor,https://www.cian.ru/rent/flat/307679205/,5,12,4,88.6,Замоскворечье,Валовая ,21К125,150000,"('55.730101', '37.630939')"
98,AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307677839/,5,33,4,100.0,Нагатино-Садовники,2-й Нагатинский проезд,2/2к1,250000,"('55.67638', '37.642')"
99,ИНКОМ-Недвижимость. Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307677049/,8,9,4,129.0,Аэропорт, 8 Марта,9,190000,"('55.508542', '37.581629')"
100,Chase R.E.S.,real_estate_agent,https://www.cian.ru/rent/flat/307675782/,11,17,4,160.0,Ломоносовский, Вавилова,97,250000,"('55.675346', '37.541386')"
101,Apple Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307675736/,1,14,4,210.0,Арбат,Малый Новопесковский переулок,8,450000,"('55.749633', '37.577561')"
102,CapitalEstate,real_estate_agent,https://www.cian.ru/rent/flat/307671467/,4,9,4,130.0,Беговой,Беговая ,5,350000,"('55.77672', '37.554843')"
103,Intermark Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307670004/,6,8,4,140.0,Тверской,Селезневская ,22,450000,"('55.780426', '37.607466')"
104,Point Estate Город,real_estate_agent,https://www.cian.ru/rent/flat/307666843/,8,10,4,186.5,Хамовники,3-я Фрунзенская ,5к1,550000,"('55.719683', '37.578343')"
105,Николай Шевченко,realtor,https://www.cian.ru/rent/flat/307665487/,6,11,4,118.7,Соколиная гора,Щербаковская ,40,150000,"('55.781626', '37.734578')"
106,Ashtons International Realty,real_estate_agent,https://www.cian.ru/rent/flat/307664858/,3,3,4,185.0,Тверской,Петровский переулок,1/30С2,330000,"('55.765625', '37.612495')"
107,GRAND ESTATE - Премиальная недвижимость,real_estate_agent,https://www.cian.ru/rent/flat/307664084/,2,8,4,320.0,Хамовники,переулок Хилков,1,1900000,"('55.736458', '37.599678')"
108,Delight Realty,real_estate_agent,https://www.cian.ru/rent/flat/307661572/,5,7,4,150.0,Арбат,Кривоарбатский переулок,16/22,350000,"('55.74772', '37.588432')"
109,Ashtons International Realty,real_estate_agent,https://www.cian.ru/rent/flat/307661288/,7,7,4,160.0,Хамовники,1-й Обыденский переулок,9/12,400000,"('55.743005', '37.602256')"
110,ZAVIDOV REALTY,real_estate_agent,https://www.cian.ru/rent/flat/307660711/,2,5,4,116.3,Замоскворечье,Садовническая ,27С1,400000,"('55.746227', '37.63473')"
111,Vesco Realty,real_estate_agent,https://www.cian.ru/rent/flat/307654224/,3,7,4,98.0,Хамовники, Усачева,15А,600000,"('55.725534', '37.570501')"
112,ID 89989998,unknown,https://www.cian.ru/rent/flat/307650837/,3,5,4,147.1,Пресненский,Трехпрудный переулок,11/13С1,380000,"('55.76565', '37.594926')"
113,Intermark Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307649497/,4,6,4,183.0,Мещанский,Большой Сергиевский переулок,5,350000,"('55.768405', '37.626187')"
114,ID 122095580,homeowner,https://www.cian.ru/rent/flat/307647191/,4,15,4,96.0,Хорошевский,Ходынский бульвар,2,260000,"('55.78939', '37.536823')"
